card_id,implementation_level,data_readiness,manifest,manifest_status,claim
Q00_GR_COHERENT_SPIN2_CONTROL,REDUCED_FREE_MODE_DIAGNOSTIC,2,M01_GWOSC_DISPERSION_BLOCKED,SOURCE_BLOCKED,massless free-pole and coherent relative-noise control only
Q01_MASSIVE_SPIN2,REDUCED_FREE_POLE_DIAGNOSTIC,2,M01_GWOSC_DISPERSION_BLOCKED,SOURCE_BLOCKED,"massive free dispersion and group-delay diagnostic, not a nonlinear spin-2 completion"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,REDUCED_LINEAR_TRANSFER_DIAGNOSTIC,2,M02_GWOSC_POLARIZATION_BLOCKED,SOURCE_BLOCKED,three-mode linear algebra fixture only
Q03_DISCRETE_GRAVITY_IMPULSES,REDUCED_POISSON_COUNT_DIAGNOSTIC,1,M09_HOLOMETER_TIME_CUMULANTS_BLOCKED,SOURCE_BLOCKED,"finite-rate Poisson count cumulants, without a gravity interaction vertex"
Q04_CLASSICAL_STOCHASTIC_METRIC,REDUCED_FIXED_GAUSSIAN_MEASUREMENT_DIAGNOSTIC,1,M10_STOCHASTIC_ONTOLOGY_BLOCKED,SOURCE_BLOCKED,finite Gaussian pushforward under the explicitly narrowed measurement scope
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,REDUCED_BRANCH_MEAN_DIAGNOSTIC,1,M08_PAGE_GEILKER_ROWS_BLOCKED,SOURCE_BLOCKED,expectation-source arithmetic only
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,REDUCED_EXPONENTIAL_VISIBILITY_DIAGNOSTIC,2,M03_GRAN_SASSO_PAYLOAD_BLOCKED,SOURCE_BLOCKED,"one-rate visibility law, not a full Diosi-Penrose master equation"
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,REDUCED_BMV_BRANCH_PHASE_DIAGNOSTIC,0,M04_BMV_RESPONSE_BLOCKED,SOURCE_BLOCKED,two-qubit pure branch phases and concurrence under BMV isolation assumptions
Q08_EMERGENT_SUPERFLUID_MEDIUM,REDUCED_PHASE_FRACTION_DIAGNOSTIC,1,M05_SPARC_XCOP_BINDING_BLOCKED,SOURCE_BLOCKED,"toy phase-fraction transfer, not the Berezhiani-Khoury action"
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,REDUCED_FREE_POLE_DIAGNOSTIC,2,M01_GWOSC_DISPERSION_BLOCKED,SOURCE_BLOCKED,quadratic-plus-quartic free dispersion inside a declared EFT band
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,REDUCED_RESPONSE_RANK_DIAGNOSTIC,2,M02_GWOSC_POLARIZATION_BLOCKED,SOURCE_BLOCKED,"network response rank only, not a polarization inference pipeline"
Q11_FINITE_OCCUPATION_COHERENCE,REDUCED_STATE_MOMENT_DIAGNOSTIC,1,M09_HOLOMETER_TIME_CUMULANTS_BLOCKED,SOURCE_BLOCKED,coherent/thermal/squeezed moments only; no full detector POVM is instantiated
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,REDUCED_DAMPED_MEAN_TRANSFER_DIAGNOSTIC,1,M06_MEMORY_TIMESTREAM_BLOCKED,SOURCE_BLOCKED,classical mean transfer and ringdown only; no bath spectral density or CPTP quantum completion is implemented
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,REDUCED_IMMIGRATION_DEATH_DIAGNOSTIC,1,M06_MEMORY_TIMESTREAM_BLOCKED,SOURCE_BLOCKED,classical immigration-death occupation process; no quantum dilation or energy-conserving gravity vertex
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,REDUCED_DIAGNOSTIC_NOT_CQ_GENERATOR,1,M07_CQ_PHYSICAL_MAP_BLOCKED,SOURCE_BLOCKED,"normalized 2x2 positivity diagnostic only; no Oppenheim drift, Lindblad, backreaction, diffusion generator, or physical parameter map is implemented"
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,REDUCED_DIAGNOSTIC_NOT_FEEDBACK_MASTER_EQUATION,0,M11_KTM_PHYSICAL_MAP_BLOCKED,SOURCE_BLOCKED,"dimensionless AM-GM noise-cost diagnostic only; no measurement record, feedback map, master equation, or physical gravity coefficient conversion is implemented"
