#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:51:56 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:51:56	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/861/49/table2&-out=AGC,Name,Vhel,HIflux,e_HIflux,SNR,Dist,e_Dist,logMHI,e_logMHI,HI&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18610049
#Name: J/ApJ/861/49
#Title: ALFALFA extragalactic HI source catalog (Haynes+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/861/49	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/861/49	    IVOID of underlying data collection
#INFO	creator=Haynes M.P.	    First author or institution
#INFO	cites=bibcode:2018ApJ...861...49H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/861/49	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18610049	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-11-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_861_49_table2:
#Name: J/ApJ/861/49/table2
#Title: ALFALFA extragalactic HI source catalog; corrected version (August 2019)
#Column	AGC	(A6)	[1/749512] UGC/AGC number (1)	[ucd=meta.id;meta.main]
#Column	Name	(A8)	Common name of the optical counterpart	[ucd=meta.id]
#Column	Vhel	(I5)	[-430/17823] Heliocentric velocity of the HI profile midpoint	[ucd=spect.dopplerVeloc;em.line.HI]
#Column	HIflux	(F6.2)	[-7.7/999.9] HI line flux density	[ucd=phot.flux]
#Column	e_HIflux	(F5.2)	[0.02/1.2] Uncertainty in HIflux	[ucd=stat.error]
#Column	SNR	(F5.1)	[1.2/964] Ratio of peak flux to rms noise	[ucd=instr.det.noise]
#Column	Dist	(F5.1)	[0.3/259.6] Adopted distance, where applicable	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F4.1)	[0/31] Uncertainty in Dist	[ucd=stat.error]
#Column	logMHI	(F5.2)	[3.7/11] log HI mass where distance has been adopted	[ucd=phys.mass]
#Column	e_logMHI	(F5.2)	[0.04/1.2] Uncertainty in logMHI	[ucd=stat.error]
#Column	HI	(I1)	[1/2] HI source code (2)	[ucd=meta.code]
AGC	Name	Vhel	HIflux	e_HIflux	SNR	Dist	e_Dist	logMHI	e_logMHI	HI
 	 	km/s	Jy.km/s	Jy.km/s	 	Mpc	Mpc	[Msun]	[Msun]	
------	--------	-----	------	-----	-----	-----	----	-----	-----	-
105367	        	11983	  1.14	 0.08	  8.1	166.0	 2.3	 9.87	 0.05	1
333313	        	11181	  1.80	 0.09	 11.3	154.8	 2.3	10.01	 0.05	1
331060	478-009b	 4463	  1.96	 0.07	 14.7	 50.6	10.4	 9.07	 0.18	1
331061	456-013 	 6007	  1.13	 0.09	  6.5	 85.2	 2.4	 9.29	 0.06	1
104570	        	10614	  0.86	 0.07	  6.6	147.0	 2.3	 9.64	 0.06	1
331405	        	10409	  2.62	 0.09	 16.1	143.8	 2.2	10.11	 0.05	1
102896	        	16254	  2.37	 0.12	 11.2	227.4	 2.2	10.46	 0.05	1
630358	382-015 	 7089	  2.47	 0.06	 29.7	 96.2	 2.3	 9.73	 0.05	1
105368	        	 3845	  0.72	 0.06	  7.5	 54.2	 2.2	 8.70	 0.07	1
331066	382-016 	 7370	  2.30	 0.11	 13.3	100.2	 2.2	 9.74	 0.05	1
102571	        	 4654	  2.00	 0.06	 19.0	 65.9	 2.1	 9.31	 0.05	1
102728	        	  566	  0.31	 0.03	  7.5	  9.1	 2.2	 6.78	 0.22	1
331067	517-010 	12687	  0.99	 0.08	  7.8	176.7	 2.3	 9.86	 0.06	1
104678	        	 6852	  2.49	 0.11	 13.6	 92.9	 2.2	 9.70	 0.05	1
105370	        	13133	  1.04	 0.09	  6.6	182.5	 2.3	 9.91	 0.06	1
012893	456-014 	 1105	  2.30	 0.05	 29.2	 12.8	 4.4	 7.95	 0.30	1
012896	478-010 	 7653	  3.14	 0.08	 22.0	104.5	 2.3	 9.91	 0.05	1
102729	        	 4618	  0.70	 0.04	 10.5	 65.4	 2.1	 8.85	 0.06	1
331070	        	11715	  1.49	 0.06	 16.4	162.4	 2.3	 9.97	 0.05	1
012895	        	 6746	  3.82	 0.07	 29.9	 91.3	 2.3	 9.88	 0.05	1
102730	        	12631	  0.66	 0.05	  7.3	175.8	 2.2	 9.68	 0.06	1
105297	        	 5468	  0.74	 0.06	  7.6	 77.4	 2.3	 9.02	 0.06	1
105091	        	 5328	  0.72	 0.05	  8.7	 75.4	 2.2	 8.98	 0.06	1
101866	        	10877	  0.79	 0.11	  4.1	150.3	 2.4	 9.62	 0.08	2
102303	        	 3095	  1.18	 0.05	 13.1	 43.6	 2.4	 8.72	 0.07	1
103576	        	12859	  1.99	 0.11	 15.0	178.6	 2.3	10.17	 0.05	1
103581	        	10060	  1.26	 0.08	 10.1	138.6	 2.3	 9.76	 0.05	1
331943	        	16678	  0.81	 0.08	  5.9	233.2	 2.3	10.02	 0.06	2
012900	456-015 	 6804	  9.42	 0.12	 39.8	 92.2	 2.4	10.28	 0.05	1
103040	        	12951	  0.99	 0.10	  6.1	180.4	 2.4	 9.88	 0.06	1
012901	499-035 	 6896	  5.03	 0.11	 25.2	 93.7	 2.3	10.02	 0.05	1
331074	I5374   	 8956	  3.08	 0.09	 20.2	122.8	 2.3	10.04	 0.05	1
331073	I5375   	 9226	  2.29	 0.09	 14.4	126.7	 2.3	 9.94	 0.05	1
103567	        	  542	  1.42	 0.04	 25.9	  8.8	 2.4	 7.41	 0.24	1
102731	FGC290A 	 7366	  1.33	 0.08	  8.9	100.5	 2.3	 9.50	 0.05	1
012903	408-010 	14743	  2.93	 0.16	  8.4	205.5	 2.2	10.46	 0.05	1
102306	        	13091	  1.49	 0.09	  8.7	181.9	 2.3	10.06	 0.05	1
331076	M+201010	 5376	  3.78	 0.08	 26.2	 76.1	 2.2	 9.71	 0.05	1
102732	        	12532	  1.54	 0.09	  9.1	174.3	 2.2	10.04	 0.05	1
105371	        	 8761	  1.10	 0.08	  7.4	120.0	 2.4	 9.57	 0.06	1
012909	I5376   	 5026	  7.09	 0.12	 31.1	 71.3	 2.3	 9.93	 0.05	1
012906	N7803   	 5308	  3.70	 0.10	 21.6	 75.1	 2.4	 9.69	 0.05	1
101869	        	12639	  1.00	 0.09	  6.4	175.4	 2.5	 9.86	 0.06	1
012910	        	 3947	  3.11	 0.05	 46.4	 55.6	 2.3	 9.36	 0.06	1
102733	        	12581	  1.03	 0.08	  8.6	175.0	 2.3	 9.87	 0.06	1
103582	        	 6304	  0.58	 0.06	  8.4	 89.3	 2.2	 9.04	 0.07	1
012911	N7806   	 4767	  1.40	 0.08	  9.4	 68.9	 4.3	 9.20	 0.07	1
331079	I1526   	 9121	  1.03	 0.09	  6.1	125.2	 2.2	 9.58	 0.06	2
103080	        	12025	  2.14	 0.08	 15.4	166.6	 2.2	10.15	 0.05	1
012912	408-011 	 9251	  2.12	 0.11	 11.1	127.0	 2.3	 9.91	 0.05	1
