#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-28T08:29:09 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T08:29:09	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J%2FAJ%2F136%2F2782%2Fsample&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51362782
#Name: J/AJ/136/2782
#Title: Star formation efficiency in nearby galaxies (Leroy+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/aj/136/2782	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/136/2782	    IVOID of underlying data collection
#INFO	creator=Leroy A.K.	    First author or institution
#INFO	cites=bibcode:2008AJ....136.2782L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/136/2782	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51362782	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_136_2782_sample:
#Name: J/AJ/136/2782/sample
#Title: Properties of sample galaxies }
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A8)	Galaxy (1)	[ucd=src.class.starGalaxy;meta.main]
#Column	prof	(A4)	Plot the surface density profile	[ucd=meta.ref.url]
#Column	n_Name	(A1)	[e] e for IR data from Spitzer archive (not SINGS)	[ucd=meta.note]
#Column	Res	(I2)	Angular resolution to match working spatial resolution in the subsample, 400pc for dwarf galaxies and 800pc for spirals	[ucd=pos.angResolution]
#Column	CO	(A9)	Origin of CO data	[ucd=meta.ref;pos.frame]
#Column	RC	(A2)	Rotation curve data (2)	[ucd=meta.ref;pos.frame]
#Column	Also	(a7)	Also in Sample of (3)	[ucd=meta.code]
#Column	Dist	(F4.1)	Distance	[ucd=pos.distance;pos.galactocentric]
#Column	i	(I2)	Inclination	[ucd=src.orbital.inclination]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	MType	(A4)	Morphological type	[ucd=src.morph.type]
#Column	BMAG	(F5.1)	Absolute B magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	r25	(F4.1)	B-band isophotal radius at 25mag/arcsec^2^	[ucd=phys.size.radius]
#Column	vflat	(I3)	? Free velocity parameter for our rotation curve fit	[ucd=phys.veloc]
#Column	lflat	(F4.1)	? Free scale length parameter for our rotation curve fit	[ucd=phys.angSize;src]
#Column	logM*	(F4.1)	Stellar mass	[ucd=phys.mass]
#Column	logMHI	(F4.1)	HI mass	[ucd=phys.mass]
#Column	l_logMH2	(A2)	[<= ] Limit flag on logMH2 (Upper limits are at 5{sigma} significance)	[ucd=meta.code.error]
#Column	logMH2	(F4.1)	? H_2_ mass	[ucd=phys.mass]
#Column	n_logMH2	(A1)	[a] Note on logMH2 (1)	[ucd=meta.note]
#Column	SFR	(F6.3)	Star formation rate	[ucd=phys.SFR]
#Column	l*	(F4.1)	Scale length derived from exponential fits to the {Sigma}_*_ profile	[ucd=phys.angSize;src]
#Column	lSFR	(F4.1)	Scale length derived from exponential fits to the {Sigma}_SFR_ profile	[ucd=phys.angSize;src]
#Column	lCO	(F4.1)	? Scale length derived from exponential fits to the {Sigma}_H2_(CO) profile	[ucd=phys.angSize;src]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	prof	n_Name	Res	CO	RC	Also	Dist	i	PA	MType	BMAG	r25	vflat	lflat	logM*	logMHI	l_logMH2	logMH2	n_logMH2	SFR	l*	lSFR	lCO	SimbadName	NED	_RA	_DE
 	 	 	 	arcsec	 	 	 	Mpc	deg	deg	 	mag	kpc	km/s	kpc	[Msun]	[Msun]	 	[Msun]	 	Msun/yr	kpc	kpc	kpc	 	 	deg	deg
--------	--------	----	-	--	---------	--	-------	----	--	---	----	-----	----	---	----	----	----	--	----	-	------	----	----	----	-----------	---	---------	---------
       1	DDO 154 	prof	 	19	         	dB	       	 4.3	66	230	Irr 	-14.4	 1.2	 50	 2.0	 7.1	 8.7	<=	 6.8	 	 0.005	 0.8	 1.0	    	DDO 154    	NED	193.52187	+27.14963
       2	Ho I    	prof	 	21	         	T 	       	 3.8	12	 50	Irr 	-14.9	 1.8	 53	 0.4	 7.4	 8.3	<=	 7.2	 	 0.009	 0.8	 1.2	    	Holmberg I 	NED	145.13471	+71.18222
       3	Ho II   	prof	 	24	         	T 	       	 3.4	41	177	Irr 	-16.9	 3.7	 36	 0.6	 8.3	 8.9	<=	 7.6	 	 0.048	 1.2	 1.3	    	Holmberg II	NED	124.77074	+70.72003
       4	IC 2574 	prof	 	21	         	dB	       	 4.0	53	 56	Irr 	-18.0	 7.5	134	12.9	 8.7	 9.3	<=	 7.9	 	 0.070	 2.1	 4.8	    	IC 2574    	NED	157.09784	+68.41214
       5	NGC 4214	prof	e	28	         	T 	       	 2.9	44	 65	Irr 	-17.4	 2.9	 57	 0.9	 8.8	 8.7	  	 7.0	 	 0.107	 0.7	 0.5	    	NGC 4214   	NED	183.91322	+36.32689
       6	NGC 2976	prof	 	23	         	dB	       	 3.6	65	335	Sc  	-17.8	 3.8	 92	 1.2	 9.1	 8.3	  	 7.8	 	 0.087	 0.9	 0.8	 1.2	NGC 2976   	NED	146.81441	+67.91638
       7	NGC 4449	prof	e	20	         	  	       	 4.2	60	230	Irr 	-19.1	 2.8	   	    	 9.3	 9.2	  	 6.9	a	 0.371	 0.9	 0.8	    	NGC 4449   	NED	187.04632	+44.09356
       8	NGC 3077	prof	e	22	         	  	       	 3.8	46	 45	Sd  	-17.7	 3.0	   	    	 9.3	 9.1	  	 6.5	a	 0.086	 0.7	 0.3	    	NGC 3077   	NED	150.82947	+68.73396
       9	NGC 7793	prof	 	21	         	dB	       	 3.9	50	290	Scd 	-18.7	 6.0	115	 1.5	 9.5	 9.1	  	    	 	 0.235	 1.3	 1.3	    	NGC 7793   	NED	359.45761	-32.59103
      10	NGC  925	prof	 	 9	         	dB	1,2,4  	 9.2	66	287	SBcd	-20.0	14.2	136	 6.5	 9.9	 9.8	  	 8.4	 	 0.561	 4.1	 4.1	    	NGC 2403   	NED	114.21415	+65.60255
      11	NGC 2403	prof	 	26	         	dB	1,2,4  	 3.2	63	124	SBc 	-19.4	 7.3	134	 1.7	 9.7	 9.5	  	 7.3	 	 0.382	 1.6	 2.0	 1.9	NGC  925   	NED	036.82047	+33.57888
      12	NGC  628	prof	 	23	HERACLES 	T 	1,2    	 7.3	 7	 20	Sc  	-20.0	10.4	217	 0.8	10.1	 9.7	  	 9.0	 	 0.807	 2.3	 2.4	 2.4	NGC  628   	NED	024.17405	+15.78346
      13	NGC 3198	prof	 	12	HERACLES 	dB	       	13.8	72	215	SBc 	-20.7	13.0	150	 2.8	10.1	10.1	  	 8.8	 	 0.931	 3.2	 3.4	 2.7	NGC 3198   	NED	154.97912	+45.54969
      14	NGC 3184	prof	 	15	HERACLES 	T 	       	11.1	16	179	SBc 	-19.9	11.9	210	 2.8	10.3	 9.6	  	 9.2	 	 0.901	 2.4	 2.8	 2.9	NGC 3184   	NED	154.57077	+41.42438
      15	NGC 4736	prof	 	35	HERACLES 	dB	1,2,3,5	 4.7	41	296	Sab 	-20.0	 5.3	156	 0.2	10.3	 8.7	  	 8.6	 	 0.481	 1.1	 0.9	 0.8	NGC 4736   	NED	192.72145	+41.12015
      16	NGC 3351	prof	 	16	HERACLES 	T 	       	10.1	41	192	SBb 	-19.7	10.6	196	 0.7	10.4	 9.2	  	 9.0	 	 0.940	 2.2	 1.8	 2.5	NGC 3351   	NED	160.99055	+11.70361
      17	NGC 6946	prof	 	28	HERACLES 	dB	2      	 5.9	33	243	SBc 	-20.9	 9.8	186	 1.4	10.5	 9.8	  	 9.6	 	 3.239	 2.5	 2.7	 1.9	NGC 6946   	NED	308.71805	+60.15368
