#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:18:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:18:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/182/12/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21820012
#Name: J/ApJS/182/12
#Title: ICM entropy profiles (ACCEPT) (Cavagnolo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	creator=Cavagnolo K.W.	    First author or institution
#INFO	cites=bibcode:2009ApJS..182...12C	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/182/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21820012	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_182_12_table1:
#Name: J/ApJS/182/12/table1
#Title: Summary of sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ObsID	(I5)	Chandra observation identifier	[ucd=meta.id;obs.param;obs]
#Column	RAJ2000	(A12)	Cluster Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Cluster Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F5.1)	Exposure time	[ucd=time.duration;obs.exposure]
#Column	ACIS	(A2)	CCD location of cluster center	[ucd=meta.note]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	<kT>	(F5.2)	Average cluster temperature	[ucd=phys.temperature]
#Column	Notes	(a5)	Assigned note(s) (1)	[ucd=meta.note]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
recno	Name	ObsID	RAJ2000	DEJ2000	Exp	ACIS	z	<kT>	Notes	SimbadName	NED
 	 	 	"h:m:s"	"d:m:s"	ks	 	 	keV	 	 	
--------	------------------	-----	------------	------------	-----	--	-------	-----	-----	-----------------------	---
       1	1E0657 56         	 3184	06 58 29.627	-55 56 39.79	 87.5	I3	 0.2960	11.64	     	ClG 0657-56            	NED
       2	1E0657 56         	 5356	06 58 29.627	-55 56 39.79	 97.2	I2	 0.2960	11.64	     	ClG 0657-56            	NED
       3	1E0657 56         	 5361	06 58 29.627	-55 56 39.79	 82.6	I3	 0.2960	11.64	     	ClG 0657-56            	NED
       4	2A 335+096        	  919	03 38 41.105	+09 58 00.66	 19.7	S3	 0.0347	 2.88	     	2A 0335+096            	NED
       5	2PIGG J0011.5-2850	 5797	00 11 21.623	-28 51 14.44	 19.9	I3	 0.0753	 5.15	f    	NAME 2PIGG J0011.5-2850	NED
       6	2PIGG J2227.0-3041	 5798	22 27 54.560	-30 34 34.84	 22.3	I2	 0.0729	 2.79	     	NAME 2PIGG J2227.0-3041	NED
       7	3C 28.0           	 3233	00 55 50.401	+26 24 36.47	 49.7	I3	 0.1952	 5.53	     	ACO 115                	NED
       8	3C 295            	 2254	14 11 20.280	+52 12 10.55	 90.9	I3	 0.4641	 5.16	d    	NAME 3C 295 CLUSTER    	NED
       9	3C 388            	 5295	18 44 02.365	+45 33 29.31	 30.7	I3	 0.0917	 3.23	d    	ClG 1842.6+4530        	NED
      10	4C 55.16          	 4940	08 34 54.923	+55 34 21.15	 96.0	S3	 0.2420	 4.98	d    	NAME 4C 55.16 CLUSTER  	NED
      11	Abell 13          	 4945	00 13 37.883	-19 30 09.10	 55.3	S3	 0.0940	 6.84	     	Abell 13               	NED
      12	Abell 68          	 3250	00 37 06.475	+09 09 32.28	 10.0	I3	 0.2546	 9.01	     	Abell 68               	NED
      13	Abell 85          	  904	00 41 50.406	-09 18 10.79	 38.4	I0	 0.0558	 6.40	     	Abell 85               	NED
      14	Abell 119         	 4180	00 56 15.150	-01 14 59.70	 11.9	I3	 0.0442	 5.86	a,e  	Abell 119              	NED
      15	Abell 133         	 2203	01 02 41.756	-21 52 49.79	 35.5	S3	 0.0558	 4.31	     	Abell 133              	NED
      16	Abell 141         	 9410	01 05 34.385	-24 37 58.78	 19.9	I3	 0.2300	 5.31	     	Abell 141              	NED
      17	Abell 160         	 3219	01 13 00.692	+15 29 15.08	 58.5	I3	 0.0447	 1.88	a,e  	Abell 160              	NED
      18	Abell 193         	 6931	01 25 07.660	+08 41 57.08	 17.9	S3	 0.0485	 2.50	a,e  	Abell 193              	NED
      19	Abell 209         	 3579	01 31 52.565	-13 36 38.79	 10.0	I3	 0.2060	 8.28	     	Abell 209              	NED
      20	Abell 209         	  522	01 31 52.565	-13 36 38.79	 10.0	I3	 0.2060	 8.28	     	Abell 209              	NED
      21	Abell 222         	 4967	01 37 34.562	-12 59 34.88	 45.1	I3	 0.2130	 4.60	     	Abell 222              	NED
      22	Abell 223         	49671	01 37 55.963	-12 49 10.53	 45.1	I0	 0.2070	 5.28	e    	Abell 223              	NED
      23	Abell 262         	 2215	01 52 46.299	+36 09 11.80	 28.7	S3	 0.0164	 2.18	     	Abell 262              	NED
      24	Abell 262         	 7921	01 52 46.299	+36 09 11.80	110.7	S3	 0.0164	 2.18	     	Abell 262              	NED
      25	Abell 267         	 1448	01 52 42.269	+01 00 45.33	  7.9	I3	 0.2300	 6.79	     	Abell 267              	NED
      26	Abell 267         	 3580	01 52 42.269	+01 00 45.33	 19.9	I3	 0.2300	 6.79	     	Abell 267              	NED
      27	Abell 368         	 9412	02 37 27.640	-26 30 28.99	 18.4	I3	 0.2200	 6.23	     	Abell 368              	NED
      28	Abell 370         	  515	02 39 53.169	-01 34 36.96	 88.0	S3	 0.3747	 7.35	     	Abell 370              	NED
      29	Abell 383         	 2321	02 48 03.364	-03 31 44.69	 19.5	S3	 0.1871	 4.91	     	Abell 383              	NED
      30	Abell 399         	 3230	02 57 53.382	+13 01 30.86	 48.6	I0	 0.0716	 7.95	     	Abell 399              	NED
      31	Abell 400         	 4181	02 57 41.603	+06 01 27.61	 21.5	I3	 0.0240	 2.31	a,e  	Abell 400              	NED
      32	Abell 401         	 2309	02 58 56.920	+13 34 14.51	 11.6	I2	 0.0745	 8.07	     	Abell 401              	NED
      33	Abell 401         	  518	02 58 56.920	+13 34 14.51	 18.0	I3	 0.0745	 8.07	     	Abell 401              	NED
      34	Abell 426         	 3209	03 19 48.194	+41 30 40.73	 95.8	S3	 0.0179	 3.55	d    	Abell 426              	NED
      35	Abell 426         	 4289	03 19 48.194	+41 30 40.73	 95.4	S3	 0.0179	 3.55	d    	Abell 426              	NED
      36	Abell 478         	 1669	04 13 25.345	+10 27 55.15	 42.4	S3	 0.0883	 7.07	     	Abell 478              	NED
      37	Abell 478         	 6102	04 13 25.345	+10 27 55.15	 10.0	I3	 0.0883	 7.07	     	Abell 478              	NED
      38	Abell 496         	 3361	04 33 38.038	-13 15 39.65	 10.0	S3	 0.0328	 5.03	     	Abell 496              	NED
      39	Abell 520         	 4215	04 54 10.303	+02 55 36.48	 66.3	I3	 0.2020	 9.29	     	Abell 520              	NED
      40	Abell 521         	  430	04 54 06.337	-10 13 16.88	 39.1	S3	 0.2533	 7.03	     	Abell 521              	NED
      41	Abell 539         	 5808	05 16 37.335	+06 26 25.18	 24.3	I3	 0.0288	 3.24	b,e  	Abell 539              	NED
      42	Abell 539         	 7209	05 16 37.335	+06 26 25.18	 18.6	I3	 0.0288	 3.24	b,e  	Abell 539              	NED
      43	Abell 562         	 6936	06 53 21.524	+69 19 51.19	 51.5	S3	 0.1100	 3.04	e    	Abell 562              	NED
      44	Abell 576         	 3289	07 21 30.394	+55 45 41.95	 38.6	S3	 0.0385	 4.43	e    	Abell 576              	NED
      45	Abell 586         	  530	07 32 20.339	+31 37 58.59	 10.0	I3	 0.1710	 6.47	     	Abell 586              	NED
      46	Abell 611         	 3194	08 00 56.832	+36 03 24.09	 36.1	S3	 0.2880	 7.06	e    	Abell 611              	NED
      47	Abell 644         	 2211	08 17 25.225	-07 30 40.03	 29.7	I3	 0.0698	 7.73	     	Abell 644              	NED
      48	Abell 665         	 3586	08 30 59.226	+65 50 20.06	 29.7	I3	 0.1810	 7.45	     	Abell 665              	NED
      49	Abell 697         	 4217	08 42 57.549	+36 21 57.65	 19.5	I3	 0.2820	 9.52	     	Abell 697              	NED
      50	Abell 744         	 6947	09 07 20.455	+16 39 06.18	 39.5	I3	 0.0729	 2.50	e    	Abell 744              	NED
      51	Abell 754         	  577	09 09 18.188	-09 41 09.56	 44.2	I3	 0.0543	 9.94	     	Abell 754              	NED
      52	Abell 773         	 5006	09 17 52.566	+51 43 38.18	 19.8	I3	 0.2170	 7.83	     	Abell 773              	NED
      53	Abell 907         	 3185	09 58 21.946	-11 03 50.73	 48.0	I3	 0.1527	 5.59	     	Abell 907              	NED
      54	Abell 907         	 3205	09 58 21.946	-11 03 50.73	 47.1	I3	 0.1527	 5.59	     	Abell 907              	NED
      55	Abell 907         	  535	09 58 21.946	-11 03 50.73	 11.0	I3	 0.1527	 5.59	     	Abell 907              	NED
      56	Abell 963         	  903	10 17 03.744	+39 02 49.17	 36.3	S3	 0.2056	 6.73	     	Abell 963              	NED
      57	Abell 1060        	 2220	10 36 42.828	-27 31 42.06	 31.9	I3	 0.0125	 3.29	a,e,f	Abell 1060             	NED
      58	Abell 1063S       	 4966	22 48 44.294	-44 31 48.37	 26.7	I3	 0.3540	11.96	     	ACO S 1063             	NED
      59	Abell 1068        	 1652	10 40 44.520	+39 57 10.28	 26.8	S3	 0.1375	 4.62	     	Abell 1068             	NED
      60	Abell 1201        	 4216	11 12 54.489	+13 26 08.76	 39.7	S3	 0.1688	 5.61	     	Abell 1201             	NED
      61	Abell 1204        	 2205	11 13 20.419	+17 35 38.45	 23.6	I3	 0.1706	 3.63	     	Abell 1204             	NED
      62	Abell 1240        	 4961	11 23 38.357	+43 05 48.33	 51.3	I3	 0.1590	 4.77	a    	Abell 1240             	NED
      63	Abell 1361        	 2200	11 43 39.637	+46 21 20.41	 16.7	S3	 0.1171	 5.32	     	Abell 1361             	NED
      64	Abell 1413        	 5003	11 55 17.893	+23 24 21.84	 75.1	I2	 0.1426	 7.41	     	Abell 1413             	NED
      65	Abell 1423        	  538	11 57 17.263	+33 36 37.44	  9.8	I3	 0.2130	 6.01	     	Abell 1423             	NED
      66	Abell 1446        	 4975	12 02 03.744	+58 02 17.93	 58.4	S3	 0.1035	 3.96	     	Abell 1446             	NED
      67	Abell 1569        	 6100	12 36 26.015	+16 32 17.81	 41.2	I3	 0.0735	 2.51	     	Abell 1569             	NED
      68	Abell 1576        	 7938	12 36 58.274	+63 11 13.88	 15.0	I3	 0.2790	10.10	     	Abell 1576             	NED
      69	Abell 1644        	 2206	12 57 11.665	-17 24 32.86	 18.7	I3	 0.0471	 4.60	b    	Abell 1644             	NED
      70	Abell 1644        	 7922	12 57 11.665	-17 24 32.86	 51.5	I3	 0.0471	 4.60	b    	Abell 1644             	NED
      71	Abell 1650        	 4178	12 58 41.499	-01 45 44.32	 27.3	S3	 0.0843	 6.17	     	Abell 1650             	NED
      72	Abell 1651        	 4185	12 59 22.830	-04 11 45.86	  9.6	I3	 0.0840	 6.26	     	Abell 1651             	NED
      73	Abell 1664        	 1648	13 03 42.622	-24 14 41.59	  9.8	S3	 0.1276	 4.39	     	Abell 1664             	NED
      74	Abell 1664        	 7901	13 03 42.622	-24 14 41.59	 36.6	S3	 0.1276	 4.39	     	Abell 1664             	NED
      75	Abell 1689        	 1663	13 11 29.612	-01 20 28.69	 10.7	I3	 0.1843	10.10	     	Abell 1689             	NED
      76	Abell 1689        	 5004	13 11 29.612	-01 20 28.69	 19.9	I3	 0.1843	10.10	     	Abell 1689             	NED
      77	Abell 1689        	  540	13 11 29.612	-01 20 28.69	 10.3	I3	 0.1843	10.10	     	Abell 1689             	NED
      78	Abell 1736        	 4186	13 26 49.453	-27 09 48.13	 14.9	I1	 0.0338	 3.45	a,e  	Abell 1736             	NED
      79	Abell 1758        	 2213	13 32 48.398	+50 32 32.53	 58.3	S3	 0.2792	12.14	     	Abell 1758             	NED
      80	Abell 1763        	 3591	13 35 17.957	+40 59 55.80	 19.6	I3	 0.1866	 7.78	     	Abell 1763             	NED
      81	Abell 1795        	  493	13 48 52.802	+26 35 23.55	 19.6	S3	 0.0625	 7.80	     	Abell 1795             	NED
      82	Abell 1795        	 5289	13 48 52.802	+26 35 23.55	 15.0	I3	 0.0625	 7.80	     	Abell 1795             	NED
      83	Abell 1835        	  495	14 01 01.951	+02 52 43.18	 19.5	S3	 0.2532	 9.77	     	Abell 1835             	NED
      84	Abell 1914        	 3593	14 26 03.060	+37 49 27.84	 18.9	I3	 0.1712	 9.62	     	Abell 1914             	NED
      85	Abell 1942        	 3290	14 38 21.878	+03 40 12.97	 57.6	I2	 0.2240	 4.77	     	Abell 1942             	NED
      86	Abell 1991        	 3193	14 54 31.620	+18 38 41.48	 38.3	S3	 0.0587	 2.67	     	Abell 1991             	NED
      87	Abell 1995        	 7021	14 52 57.410	+58 02 56.84	 48.5	I3	 0.3186	 3.40	     	Abell 1995             	NED
      88	Abell 2029        	 4977	15 10 56.139	+05 44 40.47	 77.9	S3	 0.0765	 7.38	     	Abell 2029             	NED
      89	Abell 2029        	 6101	15 10 56.139	+05 44 40.47	  9.9	I3	 0.0765	 7.38	     	Abell 2029             	NED
