#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable2&-out=AGC,OName,RAJ2000,DEJ2000,TT,Imagc,gamma,i,cz,r,Gnum&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table2:
#Name: J/ApJS/172/599/table2
#Title: *Parameters of non-template galaxies (from erratum)
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	Imagc	(F7.2)	Corrected I-band apparent magnitude	[ucd=phot.mag;em.opt.I]
#Column	gamma	(F6.2)	Extinction coefficient gamma (G3)	[ucd=stat.fit.param]
#Column	i	(F5.1)	Inclination	[ucd=src.orbital.inclination]
#Column	cz	(I6)	Velocity in the CMB frame (1)	[ucd=phys.veloc;pos.cmb]
#Column	r	(A1)	[O/H] Code indicating whether the spectroscopy is radio (H, HI spectroscopy) or optical (O)	[ucd=meta.ref;pos.frame]
#Column	Gnum	(I5)	Group number (G2)	[ucd=meta.id]
AGC	OName	RAJ2000	DEJ2000	TT	Imagc	gamma	i	cz	r	Gnum
 	 	"h:m:s"	"d:m:s"	 	mag	mag	deg	km/s	 	
------	--------	----------	---------	--	-------	------	-----	------	-	-----
331060	478-009b	00 00 03.4	+23 05 15	 5	  14.63	  0.50	 78.4	  4113	H	40353
 12898	        	00 00 37.4	+33 36 02	 5	  14.81	  0.50	 70.6	  4456	H	40612
 12900	456-015 	00 00 55.9	+20 20 17	 5	  12.90	  1.00	 82.8	  6452	H	41035
 36544	349 G 17	00 00 57.7	-33 36 47	 5	  12.79	  1.00	 39.0	  6639	H	    0
 12901	499-035 	00 00 58.9	+28 54 41	 3	  12.56	  1.00	 67.1	  6559	H	40609
 12913	M+001018	00 01 36.7	+03 30 21	 5	  13.93	  0.86	 82.5	  5979	H	    0
 36558	409 G  4	00 01 57.6	-27 59 53	 3	  13.53	  1.00	 70.3	  9427	O	    0
 12920	478-014 	00 02 23.0	+27 12 38	 4	  13.61	  1.00	 76.7	  7271	H	    0
400001	M-101024	00 02 34.7	-03 42 37	 4	  12.67	  1.00	 56.6	  6110	H	    0
100002	408-013 	00 02 39.8	+08 44 13	 3	  13.06	  1.00	 79.7	  5178	H	    0
100920	        	00 02 40.6	+08 46 25	 3	  14.53	  1.00	 61.4	 11722	H	    0
     3	456-021 	00 02 46.3	+18 53 09	 1	  12.43	  1.06	 66.3	  7533	H	    0
     4	408-014 	00 02 56.9	+04 12 32	 4	  13.28	  1.00	 51.9	  8272	H	    0
     5	382-021 	00 03 05.6	-01 54 51	 4	  12.00	  1.15	 61.2	  6933	H	    0
     8	N7814   	00 03 14.8	+16 08 44	 2	   8.94	  0.71	 62.7	   695	H	30004
    10	408-015 	00 03 20.5	+08 37 07	 5	  12.48	  1.30	 36.2	 11584	H	    0
    14	478-019 	00 03 35.1	+23 12 01	 5	  12.00	  1.15	 53.9	  6908	H	    0
400737	D0003-21	00 03 51.5	-50 46 01	 4	  14.58	  1.00	 68.8	 11708	O	    0
101122	n95     	00 03 51.7	+10 59 28	 5	  15.86	  0.50	 77.6	  7624	H	    0
    19	N7817   	00 03 59.0	+20 45 07	 4	  10.16	  1.00	 75.7	  1960	H	40255
 20018	193 G 13	00 04 00.7	-51 23 35	 3	  13.27	  1.01	 72.4	 10310	O	    0
    23	433-021 	00 04 13.0	+10 47 25	 3	  12.62	  1.01	 53.4	  7616	H	    0
400738	DC0003-6	00 04 13.9	-51 13 25	-2	  15.03	  0.96	 56.2	 10944	O	    0
 20019	193 G 14	00 04 14.6	-50 38 48	 3	  13.15	  1.15	 56.2	 11682	O	    0
    24	478-020 	00 04 14.7	+22 35 16	 5	  13.67	  0.62	 54.6	  4097	H	40353
    25	M+101020	00 04 25.1	+06 10 40	 5	  13.52	  0.85	 76.3	  4712	H	40564
