galaxy,fold
CamB,2
D564-8,1
D631-7,4
DDO064,0
DDO161,0
DDO168,0
DDO170,2
ESO079-G014,4
ESO116-G012,4
F565-V2,2
F568-3,0
F568-V1,2
F571-V1,1
F583-1,2
F583-4,3
KK98-251,4
NGC0024,3
NGC0055,3
NGC0247,2
NGC0289,1
NGC0300,4
NGC0801,0
NGC1003,3
NGC1090,1
NGC2403,1
NGC2683,2
NGC2841,3
NGC2915,4
NGC2955,2
NGC2976,4
NGC2998,3
NGC3109,3
NGC3198,3
NGC3521,0
NGC3741,4
NGC3769,4
NGC3877,0
NGC3893,1
NGC3917,0
NGC3949,4
NGC3972,4
NGC3992,3
NGC4051,3
NGC4068,4
NGC4088,2
NGC4100,0
NGC5005,0
NGC5033,1
NGC5371,2
NGC5585,3
NGC5985,1
NGC6015,1
NGC6195,2
NGC6503,1
NGC6674,4
NGC6946,4
NGC7331,3
UGC00128,1
UGC00191,2
UGC00731,0
UGC00891,1
UGC02259,2
UGC02487,2
UGC02916,0
UGC02953,3
UGC03205,2
UGC03580,3
UGC04325,3
UGC04483,0
UGC04499,2
UGC05414,3
UGC05716,3
UGC05750,0
UGC05764,1
UGC05829,1
UGC06399,0
UGC06614,4
UGC06786,1
UGC06787,4
UGC06818,0
UGC06917,2
UGC06923,4
UGC06983,3
UGC07089,3
UGC07261,4
UGC07323,4
UGC07399,2
UGC07524,0
UGC07577,0
UGC07603,2
UGC07866,1
UGC08490,1
UGC08699,0
UGC08837,1
UGC09037,0
UGC09133,4
UGC09992,3
UGC10310,1
UGC11820,0
UGC11914,1
UGCA442,2
UGCA444,1
