#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:11:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:11:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F809%2F146%2Ftable1&-out=NSA,RAJ2000,DEJ2000,Dist,e_Dist,Inc,Reff,e_Reff,MHI,e_MHI,Mstar,e_Mstar,Ref,SimbadName&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18090146
#Name: J/ApJ/809/146
#Title: SDSS-DR8 isolated low-mass galaxies (Bradford+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	creator=Bradford J.D.	    First author or institution
#INFO	cites=bibcode:2015ApJ...809..146B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/809/146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18090146	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_809_146_table1:
#Name: J/ApJ/809/146/table1
#Title: Isolated galaxy data sample
#Column	NSA	(I6)	[162/171138] NASA Sloan Atlas v0.1.2 identifier	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[13/246] Heliocentric luminosity distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[1/4] Uncertainty in Dist	[ucd=stat.error]
#Column	Inc	(I2)	[8/90] Inclination Angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	Reff	(F5.2)	[0.2/29.1] Effective radius at assumed distance	[ucd=pos.distance;phys.size.radius]
#Column	e_Reff	(F5.2)	[0.01/0.6] Uncertainty in reff	[ucd=stat.error]
#Column	MHI	(F6.3)	[0.01/59.1] HI Mass	[ucd=phys.mass]
#Column	e_MHI	(F6.3)	[0.004/28] Uncertainty in MHI	[ucd=stat.error]
#Column	Mstar	(F7.3)	[0.007/262.3] Stellar mass	[ucd=phys.mass]
#Column	e_Mstar	(F7.3)	[0.003/121] Uncertainty in Mstar	[ucd=stat.error]
#Column	Ref	(I1)	Source of HI observations (1)	[ucd=meta.bib]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
NSA	RAJ2000	DEJ2000	Dist	e_Dist	Inc	Reff	e_Reff	MHI	e_MHI	Mstar	e_Mstar	Ref	SimbadName
 	"h:m:s"	"d:m:s"	Mpc	Mpc	deg	kpc	kpc	10+9Msun	10+9Msun	10+9Msun	10+9Msun	 	
------	-----------	------------	------	-----	--	-----	-----	------	------	-------	-------	-	------------------------
   162	09 58 30.23	+00 02 42.72	 30.23	 1.89	71	 0.72	 0.04	 0.105	 0.029	  0.016	  0.007	1	SDSS J095830.23+000242.7
  1443	12 23 09.98	+00 25 37.76	 35.36	 2.00	68	 0.86	 0.05	 0.041	 0.019	  0.043	  0.020	1	SDSS J122309.95+002537.3
  5109	22 30 36.80	-00 06 37.01	 21.26	 1.86	28	 0.29	 0.02	 0.067	 0.024	  0.008	  0.004	3	SDSS J223036.79-000636.9
  5378	23 06 39.16	+00 34 41.02	 68.13	 2.39	70	 1.82	 0.06	 1.039	 0.166	  0.273	  0.126	1	SDSS J230639.16+003440.8
  5424	23 14 19.43	+00 10 59.36	 60.30	 1.75	88	 1.77	 0.05	 0.405	 0.058	  0.612	  0.282	1	SDSS J231419.44+001058.2
  5449	23 28 12.31	-01 03 46.37	 35.30	 2.14	60	 1.08	 0.07	 0.229	 0.059	  0.020	  0.009	3	SDSS J232812.30-010346.2
  5720	00 13 44.02	+00 22 18.46	 56.50	 1.75	60	 0.85	 0.03	 0.337	 0.049	  0.097	  0.045	1	SDSS J001343.98+002218.2
  6186	00 57 56.60	+00 52 08.56	 30.17	 2.86	62	 0.69	 0.07	 0.150	 0.059	  0.051	  0.024	3	SDSS J005756.56+005208.8
  6368	01 09 07.85	+01 07 15.89	 15.97	 1.64	55	 0.60	 0.06	 0.061	 0.026	  0.015	  0.007	1	SDSS J010907.93+010715.7
  6412	01 13 45.98	+00 56 44.13	104.68	 2.14	75	 1.57	 0.03	 0.766	 0.135	  0.788	  0.363	1	SDSS J011345.96+005643.9
  6748	01 26 05.01	+00 19 00.68	 24.85	 2.00	71	 1.39	 0.11	 0.461	 0.152	  0.088	  0.040	3	SDSS J012604.74+001854.9
  6949	01 55 59.76	-00 11 08.02	 51.69	 1.75	60	 0.95	 0.03	 0.208	 0.039	  0.323	  0.149	1	SDSS J015559.75-001108.0
  7167	02 18 08.02	+00 45 29.39	 39.84	 2.32	56	 1.16	 0.07	 0.371	 0.091	  0.139	  0.064	1	SDSS J021808.09+004530.1
  8260	00 35 06.49	+14 21 17.42	170.84	 2.14	63	 5.61	 0.07	14.956	 3.551	 25.029	 11.528	2	SDSS J003506.48+142117.3
  8266	00 32 00.11	+14 44 17.36	142.07	 2.14	67	 7.84	 0.12	11.555	 1.152	  7.108	  3.274	2	SDSS J003200.10+144417.3
  8269	00 28 16.69	+13 49 24.46	177.35	 2.14	78	 6.93	 0.08	 8.935	 2.653	  4.080	  1.879	2	SDSS J002816.68+134924.6
  8274	00 32 34.94	+15 02 10.01	 76.57	 2.86	46	 2.80	 0.10	 0.912	 0.322	  3.758	  1.731	2	SDSS J003234.97+150210.4
  8289	00 35 46.94	+13 59 01.48	165.18	 2.14	73	 9.23	 0.12	16.092	 3.234	 30.422	 14.012	2	SDSS J003546.93+135901.5
  8303	00 47 35.13	+14 09 18.42	173.89	 2.14	67	 8.65	 0.11	17.267	 6.027	 27.653	 12.737	2	SDSS J004735.13+140918.4
  8308	00 45 10.98	+14 10 52.89	176.39	 2.14	38	 3.35	 0.04	 8.883	 1.542	 13.621	  6.274	2	SDSS J004510.97+141052.9
  8309	00 45 22.30	+14 34 00.00	245.15	 2.14	63	 8.50	 0.07	22.683	14.996	 93.389	 43.015	2	SDSS J004522.30+143400.0
  8313	00 43 32.39	+14 20 33.16	 62.46	 2.04	28	 6.59	 0.21	 5.618	 0.773	 69.552	 32.036	2	SDSS J004332.39+142033.2
  8331	00 49 22.10	+15 31 33.00	 76.64	 2.89	57	 2.11	 0.08	 1.059	 0.178	  0.400	  0.184	1	SDSS J004922.08+153132.7
  8333	00 56 42.19	+14 12 45.12	156.79	 2.14	63	 5.22	 0.07	 3.883	 1.242	  2.932	  1.350	2	SDSS J005642.15+141245.4
  8348	00 53 24.62	+14 29 19.65	142.15	 2.14	76	 2.62	 0.04	 7.783	 1.558	  5.200	  2.395	2	SDSS J005324.61+142919.7
