galaxy	radius_index	pressure_stratum	pressure_strength	log10_radius	log10_vrot	log10_v_classical	local_pressure_fraction	pressure_curvature	nonlocal_pressure_fraction	local_nonlocal_slope_difference	memory_pressure_fraction	local_memory_slope_difference	vrot_km_s	sigma_km_s	surface_density_msun_pc2	internal_vc_km_s	internal_vc_error_km_s	target_velocity_km_s	target_error_km_s	log10_target_velocity
ddo126	0	high	3.624328747625e-01	-3.187587626244e-01	7.788744720027e-01	1.048232717580e+00	2.457136211750e+00	1.211595394198e+00	1.853660890096e+00	-1.523863614900e-01	2.457136211750e+00	0.000000000000e+00	6.010000000000e+00	1.196000000000e+01	5.060000000000e+00	7.750000000000e+00	2.320000000000e+00	1.105770071261e+01	2.187691323971e+00	1.043664831161e+00
ddo126	1	high	3.624328747625e-01	-1.487416512809e-01	9.845273133438e-01	1.070878881434e+00	4.883433665514e-01	-1.164415505545e-02	6.432168118626e-01	1.222846474890e-01	6.370796594063e-01	1.174388876287e-01	9.650000000000e+00	1.086000000000e+01	5.040000000000e+00	1.153000000000e+01	3.910000000000e+00	1.280230105817e+01	2.984617521255e+00	1.107288035824e+00
ddo126	2	high	3.624328747625e-01	-2.227639471115e-02	1.163459551770e+00	1.217273488454e+00	2.812322841552e-01	-7.736398351877e-01	3.558003401191e-01	1.382624884575e-01	2.599037506593e-01	-3.954690890303e-02	1.457000000000e+01	1.070000000000e+01	4.760000000000e+00	1.644000000000e+01	4.200000000000e+00	1.717387652897e+01	2.756160748725e+00	1.234868336228e+00
ddo126	3	high	3.624328747625e-01	7.554696139253e-02	1.299725153976e+00	1.340428790240e+00	2.061665285991e-01	1.998952889759e-01	2.427477652264e-01	1.329368309711e-01	1.430844706613e-01	-2.292412626400e-01	1.994000000000e+01	1.046000000000e+01	4.260000000000e+00	2.177000000000e+01	4.200000000000e+00	1.995141297075e+01	3.064280589527e+00	1.299973658102e+00
ddo126	4	high	3.624328747625e-01	1.553360374651e-01	1.364175632771e+00	1.385316675541e+00	1.022550203331e-01	-1.471571088022e+00	2.154296990717e-01	5.877172683994e-01	1.040226663351e-01	9.179403832971e-03	2.313000000000e+01	1.015000000000e+01	3.910000000000e+00	2.505000000000e+01	3.540000000000e+00	2.358074606837e+01	2.764600176861e+00	1.372557541567e+00
ddo126	5	high	3.624328747625e-01	2.201080880401e-01	1.447623097760e+00	1.476405871161e+00	1.417356104484e-01	-4.219076410744e+00	1.754308021171e-01	2.549563062933e-01	7.554672368381e-02	-5.008214303428e-01	2.803000000000e+01	1.019000000000e+01	3.700000000000e+00	2.993000000000e+01	2.490000000000e+00	2.668230066963e+01	2.123068359918e+00	1.426223273709e+00
ddo126	6	high	3.624328747625e-01	2.787536009528e-01	1.463445031770e+00	1.497161779146e+00	1.679748595123e-01	-2.473538264287e+00	1.484553063943e-01	-1.991944113473e-01	6.391805282673e-02	-1.061885701438e+00	2.907000000000e+01	9.100000000000e+00	3.660000000000e+00	3.121000000000e+01	1.920000000000e+00	2.997713069993e+01	1.984295754167e+00	1.476790061440e+00
ddo126	7	high	3.624328747625e-01	3.304137733492e-01	1.502973059066e+00	1.527462715216e+00	1.193845601041e-01	1.126320448240e+00	1.128220871218e-01	-9.727531088450e-02	4.985409902804e-02	-1.030647628632e+00	3.184000000000e+01	8.270000000000e+00	3.630000000000e+00	3.407000000000e+01	1.430000000000e+00	3.347693054878e+01	2.431548428929e+00	1.524745631315e+00
ddo126	8	high	3.624328747625e-01	3.765769570565e-01	1.513350798806e+00	1.531169755667e+00	8.552021061778e-02	-5.347636254555e+00	1.029659002694e-01	3.057136460514e-01	4.556187618426e-02	-7.002192721398e-01	3.261000000000e+01	7.790000000000e+00	3.360000000000e+00	3.500000000000e+01	1.820000000000e+00	3.427999366047e+01	2.588452212623e+00	1.535040732935e+00
ddo126	9	high	3.624328747625e-01	4.166405073383e-01	1.526210003842e+00	1.556483017475e+00	1.495980733217e-01	-6.734873274640e+00	1.089801208746e-01	-7.125072666295e-01	4.943772731265e-02	-1.756981089887e+00	3.359000000000e+01	8.020000000000e+00	2.840000000000e+00	3.605000000000e+01	1.820000000000e+00	3.670153551737e+01	3.189980085098e+00	1.564684234627e+00
