galaxy	team_release_kin	point_index	observed_speed_km_s	observed_speed_error_km_s
WALLABY J100351-273417	Hydra Kin TR2	0	2.508000000000e+02	1.159815502569e+02
WALLABY J100351-273417	Hydra Kin TR2	1	2.166000000000e+02	4.206340452222e+01
WALLABY J100351-273417	Hydra Kin TR2	2	2.199000000000e+02	4.276821249480e+01
WALLABY J100351-273417	Hydra Kin TR2	3	2.341000000000e+02	4.576953135001e+01
WALLABY J100351-273417	Hydra Kin TR2	4	2.272000000000e+02	4.525925319755e+01
WALLABY J100351-273417	Hydra Kin TR2	5	1.804000000000e+02	4.233024923149e+01
WALLABY J103915-301757	Hydra Kin TR2	0	1.503000000000e+02	1.047068765650e+02
WALLABY J103915-301757	Hydra Kin TR2	1	2.603000000000e+02	6.153251173160e+01
WALLABY J103915-301757	Hydra Kin TR2	2	2.052000000000e+02	2.408318915758e+00
WALLABY J103915-301757	Hydra Kin TR2	3	1.965000000000e+02	3.443835071545e+00
WALLABY J103915-301757	Hydra Kin TR2	4	2.079000000000e+02	2.640075756489e+00
WALLABY J103915-301757	Hydra Kin TR2	5	2.075000000000e+02	1.676305461424e+00
WALLABY J103915-301757	Hydra Kin TR2	6	2.041000000000e+02	3.312099032336e+00
WALLABY J103915-301757	Hydra Kin TR2	7	2.041000000000e+02	5.059644256269e+00
WALLABY J103915-301757	Hydra Kin TR2	8	2.075000000000e+02	5.632051136131e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	0	2.150000000000e+01	4.981967482832e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	1	4.650000000000e+01	3.124099870363e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	2	6.360000000000e+01	3.087069808087e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	3	7.570000000000e+01	4.666904755831e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	4	8.100000000000e+01	6.657326790837e+00
WALLABY J122708+055255	NGC 4636 Kin TR1	5	7.960000000000e+01	8.549268974597e+00
WALLABY J123026+041450	NGC 4636 Kin TR1	0	1.185000000000e+02	5.070039447578e+01
WALLABY J123026+041450	NGC 4636 Kin TR1	1	1.603000000000e+02	8.105553651664e+00
WALLABY J123026+041450	NGC 4636 Kin TR1	2	1.640000000000e+02	5.000000000000e-01
WALLABY J123026+041450	NGC 4636 Kin TR1	3	1.635000000000e+02	3.605551275464e-01
WALLABY J123026+041450	NGC 4636 Kin TR1	4	1.643000000000e+02	5.000000000000e-01
WALLABY J123026+041450	NGC 4636 Kin TR1	5	1.652000000000e+02	1.334166406413e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	0	5.370000000000e+01	2.310346294390e+01
WALLABY J123805-000137	NGC 4636 Kin TR1	1	1.381000000000e+02	9.552486587271e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	2	1.569000000000e+02	5.824946351684e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	3	1.583000000000e+02	4.464302857110e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	4	1.607000000000e+02	3.231098884281e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	5	1.587000000000e+02	5.336665625651e+00
WALLABY J123805-000137	NGC 4636 Kin TR1	6	1.550000000000e+02	8.287339742040e+00
WALLABY J123911+004305	NGC 4636 Kin TR1	0	1.217000000000e+02	2.145809870422e+01
WALLABY J123911+004305	NGC 4636 Kin TR1	1	1.278000000000e+02	1.207021126576e+01
WALLABY J123911+004305	NGC 4636 Kin TR1	2	1.331000000000e+02	1.182285921425e+01
WALLABY J123911+004305	NGC 4636 Kin TR1	3	1.312000000000e+02	1.156243918903e+01
WALLABY J123911+004305	NGC 4636 Kin TR1	4	1.248000000000e+02	1.342721117731e+01
WALLABY J123911+004305	NGC 4636 Kin TR1	5	1.257000000000e+02	1.298499133615e+01
WALLABY J124231+035729	NGC 4636 Kin TR1	0	3.800000000000e+01	9.832598842625e+00
WALLABY J124231+035729	NGC 4636 Kin TR1	1	7.300000000000e+01	2.640075756489e+00
WALLABY J124231+035729	NGC 4636 Kin TR1	2	9.260000000000e+01	6.229767250869e+00
WALLABY J124231+035729	NGC 4636 Kin TR1	3	1.007000000000e+02	5.738466694161e+00
WALLABY J124231+035729	NGC 4636 Kin TR1	4	1.019000000000e+02	5.371219600798e+00
WALLABY J124231+035729	NGC 4636 Kin TR1	5	9.240000000000e+01	8.634813257969e+00
WALLABY J124240+012047	NGC 4636 Kin TR1	0	1.012000000000e+02	6.412487816753e+01
WALLABY J124240+012047	NGC 4636 Kin TR1	1	1.547000000000e+02	8.213403679352e+00
WALLABY J124240+012047	NGC 4636 Kin TR1	2	1.623000000000e+02	7.155417527999e+00
WALLABY J124240+012047	NGC 4636 Kin TR1	3	1.588000000000e+02	6.212889826804e+00
WALLABY J124240+012047	NGC 4636 Kin TR1	4	1.520000000000e+02	1.040432602334e+01
WALLABY J124240+012047	NGC 4636 Kin TR1	5	1.419000000000e+02	6.657326790837e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	0	8.980000000000e+01	3.601124824274e+01
WALLABY J124257-011345	NGC 4636 Kin TR1	1	1.130000000000e+02	2.632736219221e+01
WALLABY J124257-011345	NGC 4636 Kin TR1	2	1.333000000000e+02	1.168417733518e+01
WALLABY J124257-011345	NGC 4636 Kin TR1	3	1.439000000000e+02	4.178516483155e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	4	1.493000000000e+02	2.483948469675e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	5	1.534000000000e+02	1.708800749064e+00
WALLABY J124257-011345	NGC 4636 Kin TR1	6	1.559000000000e+02	1.627882059610e+00
