#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:16 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A11/tablec1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610011
#Name: J/A+A/661/A11
#Title: eFEDS. Masses of galaxy clusters and groups (Chui+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	creator=Chiu I.-N.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610011	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A11_tablec1:
#Name: J/A+A/661/A11/tablec1
#Title: The estimates of the cluster true mass M500 of the eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A16)	eFEDS name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[*] * for clusters with 20.1<=f_cont_<0.3	[ucd=meta.note]
#Column	logM500R0.2A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.2B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.2B	(F6.3)	Error on logM500R-0.2B	[ucd=stat.error]
#Column	logM500R0.5A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.5B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.5B	(F6.3)	Error on logM500R-0.5B	[ucd=stat.error]
#Column	logM500Rzsp	(F6.3)	? Mass M500 estimated with spectroscopic redshifts and without the core in the weak-lensing calibration	[ucd=phys.mass]
#Column	e_logM500Rzsp	(F6.3)	? Error on logM500R-zsp	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	n_Name	logM500R0.2A	logM500R0.2B	e_logM500R0.2B	logM500R0.5A	logM500R0.5B	e_logM500R0.5B	logM500Rzsp	e_logM500Rzsp	Simbad	_RA	_DE
 	 	 	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	 	deg	deg
--------	----------------	-	------	------	------	------	------	------	------	------	------	---------	---------
       1	J082751.7-002853	 	13.793	13.803	 0.110	13.796	13.805	 0.109	      	      	Simbad	126.96562	-00.48163
       2	J082808.7-001003	 	13.247	13.351	 0.115	13.259	13.361	 0.113	      	      	Simbad	127.03678	-00.16770
       3	J082820.5-000721	 	14.547	14.500	 0.082	14.576	14.528	 0.085	      	      	Simbad	127.08569	-00.12274
       4	J082840.6-000500	 	13.764	13.975	 0.109	13.764	13.976	 0.109	      	      	Simbad	127.16933	-00.08354
       5	J082859.9+010756	 	14.020	14.089	 0.121	14.021	14.090	 0.121	      	      	Simbad	127.25003	+01.13236
       6	J082955.4+004131	 	14.276	14.327	 0.080	14.308	14.361	 0.084	      	      	Simbad	127.48108	+00.69223
       7	J083040.7+023219	 	13.051	13.186	 0.126	13.074	13.207	 0.124	      	      	Simbad	127.66971	+02.53891
       8	J083110.5+015616	 	14.126	14.058	 0.100	14.134	14.065	 0.101	      	      	Simbad	127.79402	+01.93790
       9	J083120.5+005257	*	13.980	14.001	 0.098	14.002	14.023	 0.100	      	      	Simbad	127.83551	+00.88257
      10	J083120.5+030949	 	14.379	14.482	 0.087	14.404	14.510	 0.089	14.398	 0.097	Simbad	127.83545	+03.16396
      11	J083125.9+015533	 	14.302	14.351	 0.085	14.321	14.370	 0.088	      	      	Simbad	127.85805	+01.92596
      12	J083137.9+004632	 	13.839	13.830	 0.100	13.843	13.834	 0.101	13.817	 0.101	Simbad	127.90815	+00.77584
      13	J083149.4+005230	 	14.047	14.025	 0.100	14.053	14.031	 0.101	      	      	Simbad	127.95602	+00.87511
      14	J083153.6+012530	 	14.037	14.162	 0.098	14.028	14.154	 0.099	14.119	 0.099	Simbad	127.97340	+01.42531
      15	J083204.4+041907	 	14.196	14.241	 0.101	14.176	14.221	 0.101	      	      	Simbad	128.01834	+04.31895
      16	J083228.0-000656	 	13.929	13.970	 0.100	13.937	13.979	 0.102	      	      	Simbad	128.11707	-00.11565
      17	J083238.8-003200	 	14.046	13.977	 0.103	14.053	13.984	 0.104	      	      	Simbad	128.16187	-00.53355
      18	J083249.9+031737	 	14.012	14.044	 0.092	14.039	14.073	 0.095	14.083	 0.094	Simbad	128.20809	+03.29398
      19	J083310.2+030136	 	13.972	13.980	 0.100	13.999	14.007	 0.102	      	      	Simbad	128.29272	+03.02699
      20	J083315.5+000623	 	14.066	14.039	 0.099	14.077	14.049	 0.100	      	      	Simbad	128.31489	+00.10653
      21	J083321.1+012644	 	14.197	14.171	 0.091	14.212	14.185	 0.093	      	      	Simbad	128.33823	+01.44564
      22	J083322.6-011128	 	13.659	13.858	 0.108	13.662	13.860	 0.108	      	      	Simbad	128.34464	-01.19119
      23	J083330.4+050427	 	13.995	13.978	 0.100	13.986	13.970	 0.100	      	      	Simbad	128.37656	+05.07455
      24	J083341.0-002943	 	13.833	13.711	 0.105	13.843	13.721	 0.106	      	      	Simbad	128.42122	-00.49537
      25	J083345.8+004208	 	14.074	14.095	 0.097	14.077	14.099	 0.098	14.078	 0.099	Simbad	128.44097	+00.70250
      26	J083402.5+023437	 	13.885	13.841	 0.106	13.894	13.851	 0.106	13.823	 0.107	Simbad	128.51047	+02.57726
      27	J083403.7+012131	 	14.008	14.141	 0.090	14.023	14.161	 0.093	14.168	 0.092	Simbad	128.51552	+01.35881
      28	J083412.7+035856	 	13.642	13.609	 0.115	13.648	13.615	 0.113	13.617	 0.113	Simbad	128.55284	+03.98260
      29	J083427.0-015612	 	14.145	13.996	 0.098	14.165	14.013	 0.100	      	      	Simbad	128.61312	-01.93696
      30	J083431.0+034208	 	13.483	13.358	 0.124	13.498	13.375	 0.122	      	      	Simbad	128.62946	+03.70242
      31	J083435.6+050159	 	13.016	13.073	 0.117	13.043	13.098	 0.115	      	      	Simbad	128.64826	+05.03329
      32	J083457.7+052033	 	13.882	13.993	 0.106	13.889	14.001	 0.107	      	      	Simbad	128.74041	+05.34269
      33	J083503.2+010756	 	14.064	13.995	 0.100	14.063	13.994	 0.100	13.991	 0.100	Simbad	128.76369	+01.13253
      34	J083509.0+001542	 	14.392	14.428	 0.085	14.404	14.440	 0.087	      	      	Simbad	128.78769	+00.26190
      35	J083532.5+030911	*	13.764	13.703	 0.103	13.769	13.709	 0.103	13.718	 0.103	Simbad	128.88577	+03.15341
      36	J083615.7+024420	 	13.660	13.865	 0.105	13.674	13.884	 0.106	13.886	 0.106	Simbad	129.06544	+02.73907
      37	J083651.3+030002	 	14.164	14.265	 0.096	14.143	14.243	 0.096	14.233	 0.096	Simbad	129.21377	+03.00073
      38	J083654.6+025954	 	13.964	13.891	 0.115	13.958	13.885	 0.114	13.876	 0.114	Simbad	129.22767	+02.99850
      39	J083723.6+012413	 	13.906	13.985	 0.099	13.908	13.988	 0.099	14.000	 0.099	Simbad	129.34872	+01.40372
      40	J083757.1-014217	 	13.902	14.102	 0.088	13.926	14.133	 0.091	      	      	Simbad	129.48824	-01.70495
      41	J083759.5-003643	 	14.145	14.057	 0.093	14.155	14.066	 0.095	      	      	Simbad	129.49829	-00.61210
      42	J083802.9+015626	 	14.374	14.285	 0.095	14.373	14.282	 0.096	14.259	 0.097	Simbad	129.51243	+01.94081
      43	J083806.9-003600	 	14.116	14.131	 0.105	14.122	14.137	 0.106	14.122	 0.107	Simbad	129.52907	-00.60020
      44	J083807.6+002501	*	12.762	12.820	 0.136	12.802	12.858	 0.132	12.821	 0.133	Simbad	129.53218	+00.41709
      45	J083810.1+031520	 	14.078	13.931	 0.098	14.084	13.936	 0.099	13.930	 0.099	Simbad	129.54213	+03.25588
      46	J083811.8-015934	 	14.737	14.725	 0.083	14.742	14.730	 0.085	      	      	Simbad	129.54981	-01.99299
      47	J083817.4+041821	 	13.638	13.772	 0.108	13.638	13.772	 0.107	13.780	 0.107	Simbad	129.57259	+04.30617
      48	J083817.5-021704	 	14.463	14.342	 0.090	14.478	14.354	 0.092	      	      	Simbad	129.57349	-02.28458
      49	J083834.1+020643	 	13.992	14.150	 0.093	13.997	14.157	 0.095	14.154	 0.095	Simbad	129.64250	+02.11220
      50	J083840.3+044416	 	13.921	13.988	 0.103	13.930	13.999	 0.104	14.002	 0.104	Simbad	129.66799	+04.73816
      51	J083840.6-004134	 	13.889	13.988	 0.099	13.898	13.999	 0.100	      	      	Simbad	129.66953	-00.69301
      52	J083856.9+030743	*	13.453	13.517	 0.111	13.466	13.529	 0.111	      	      	Simbad	129.73712	+03.12876
      53	J083857.5+020846	 	14.295	14.362	 0.091	14.288	14.357	 0.092	14.342	 0.093	Simbad	129.73984	+02.14643
      54	J083858.5-015032	 	13.358	13.236	 0.116	13.374	13.255	 0.114	13.273	 0.114	Simbad	129.74435	-01.84241
      55	J083859.3+022841	 	13.846	13.866	 0.112	13.853	13.873	 0.112	13.879	 0.112	Simbad	129.74727	+02.47829
      56	J083900.6+020057	 	14.204	14.185	 0.093	14.201	14.183	 0.094	14.192	 0.093	Simbad	129.75266	+02.01601
      57	J083903.5-011454	 	13.885	13.921	 0.103	13.897	13.933	 0.104	13.919	 0.105	Simbad	129.76511	-01.24847
      58	J083914.7-021226	 	13.637	13.556	 0.110	13.643	13.563	 0.109	      	      	Simbad	129.81191	-02.20738
      59	J083916.7-020552	 	13.721	13.791	 0.110	13.725	13.795	 0.110	      	      	Simbad	129.82001	-02.09797
      60	J083917.9-020839	 	13.835	13.655	 0.120	13.843	13.663	 0.119	      	      	Simbad	129.82499	-02.14423
      61	J083921.0-014149	 	14.135	14.046	 0.105	14.130	14.041	 0.105	14.025	 0.106	Simbad	129.83794	-01.69706
      62	J083927.0-021357	 	14.142	14.069	 0.098	14.159	14.085	 0.100	      	      	Simbad	129.86298	-02.23280
      63	J083929.0+043001	 	13.639	13.753	 0.105	13.642	13.757	 0.105	13.750	 0.105	Simbad	129.87098	+04.50042
      64	J083929.6-015005	 	14.253	14.182	 0.096	14.268	14.197	 0.098	      	      	Simbad	129.87383	-01.83481
      65	J083930.3-014348	 	13.681	13.651	 0.115	13.689	13.660	 0.114	      	      	Simbad	129.87658	-01.73021
      66	J083933.8-014044	 	14.690	14.605	 0.092	14.667	14.581	 0.092	14.571	 0.093	Simbad	129.89108	-01.67903
      67	J083937.8+014631	 	13.968	13.942	 0.106	13.976	13.950	 0.106	13.938	 0.107	Simbad	129.90793	+01.77542
      68	J083940.8+010416	 	13.558	13.569	 0.106	13.562	13.573	 0.105	13.577	 0.105	Simbad	129.92018	+01.07140
      69	J083945.5+031556	 	13.862	13.864	 0.102	13.873	13.876	 0.103	      	      	Simbad	129.93951	+03.26575
      70	J084000.0-013109	 	14.089	14.092	 0.101	14.083	14.085	 0.101	14.071	 0.101	Simbad	130.00045	-01.51946
      71	J084001.6+042452	 	13.715	13.721	 0.103	13.720	13.727	 0.103	      	      	Simbad	130.00688	+04.41463
      72	J084003.2+003008	 	13.933	14.004	 0.097	13.938	14.009	 0.098	      	      	Simbad	130.01384	+00.50232
      73	J084004.8+013751	*	13.884	13.877	 0.119	13.891	13.883	 0.119	      	      	Simbad	130.02033	+01.63092
      74	J084006.1+025913	 	14.343	14.229	 0.092	14.350	14.235	 0.093	14.226	 0.094	Simbad	130.02574	+02.98719
      75	J084011.6+034837	*	14.151	14.147	 0.088	14.180	14.176	 0.091	      	      	Simbad	130.04864	+03.81046
      76	J084021.6-022948	 	13.526	13.596	 0.114	13.531	13.601	 0.112	      	      	Simbad	130.09039	-02.49676
