#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/890/148/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900148
#Name: J/ApJ/890/148
#Title: Concentration-mass relation for XXL clusters (Umetsu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	creator=Umetsu K.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890..148U	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/148	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900148	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_890_148_table2:
#Name: J/ApJ/890/148/table2
#Title: Cluster properties and weak-lensing measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	XLSSC	(I3)	[2/202] Identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[30.42/38.51] X-ray cluster right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-6.21/-2.66] X-ray cluster declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	[0.03/1.04] Redshift	[ucd=src.redshift]
#Column	Cl	(I1)	[1/2] Object class (2)	[ucd=meta.code]
#Column	T300kpc	(F5.2)	[0.63/6.03]? X-ray temperature, T_300kpc_	[ucd=phys.temperature]
#Column	e_T300kpc	(F5.2)	[0.03/1.05]? T300kpc downwards uncertainty	[ucd=stat.error]
#Column	E_T300kpc	(F5.2)	[0.04/1.14]? T300kpc upwards uncertainty	[ucd=stat.error;stat.max]
#Column	c200	(F4.1)	[2/9.6] Concentration parameter c_200_=r_200_/r_s_ (section 4.1) (3)	[ucd=stat.param]
#Column	e_c200	(F4.1)	[1.2/5.6] C200 uncertainty	[ucd=stat.error]
#Column	c200Med	(F4.1)	[1.9/9.3] Median value of c200	[ucd=stat.median]
#Column	M200	(F5.2)	[0.07/9.64] Mass enclosed within a sphere of radius r_200_ (3)	[ucd=phys.mass]
#Column	e_M200	(F5.2)	[0.08/7.94] M200 uncertainty	[ucd=stat.error]
#Column	M200Med	(F5.2)	[0.07/9.45] Median value of M200	[ucd=phys.mass;stat.median]
#Column	M500	(F5.2)	[0.05/5.59] Mass, M_500_ (3)	[ucd=phys.mass]
#Column	e_M500	(F5.2)	[0.05/5.5] M500 uncertainty	[ucd=stat.error]
#Column	M500Med	(F5.2)	[0.05/5.53] Median value of M500	[ucd=phys.mass;stat.median]
#Column	M200MT	(F5.2)	[0.2/6.8]? Bias-corrected, weak-lensing-calibrated mass estimates, M_200,MT_ (4)	[ucd=phys.mass]
#Column	e_M200MT	(F5.2)	[0.1/2.2]? M200MT downwards uncertainty	[ucd=stat.error]
#Column	E_M200MT	(F5.2)	[0.19/3.4]? M200MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	M500MT	(F5.2)	[0.16/4.72]? Bias-corrected, weak-lensing-calibrated mass estimates, M_500,MT_ (4)	[ucd=phys.mass]
#Column	e_M500MT	(F5.2)	[0.08/1.35]? M500MT downwards uncertainty	[ucd=stat.error]
#Column	E_M500MT	(F5.2)	[0.14/1.92]? M500MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	S/N	(F4.1)	[-2.1/6] Signal-to-noise ratio based on the linear estimator (Equation (13))	[ucd=stat.snr]
#Column	SNRq	(F4.1)	[0.8/9.1] Signal-to-noise ratio based on the quadratic estimator (Equation (15))	[ucd=stat.snr]
#Column	R18	(I3)	Display data from XXL DR2 cat. (IX/52), Paper XXVIII	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	XLSSC	RAJ2000	DEJ2000	z	Cl	T300kpc	e_T300kpc	E_T300kpc	c200	e_c200	c200Med	M200	e_M200	M200Med	M500	e_M500	M500Med	M200MT	e_M200MT	E_M200MT	M500MT	e_M500MT	E_M500MT	S/N	SNRq	R18	Simbad
 	 	deg	deg	 	 	keV	keV	keV	 	 	 	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	10+14Msun	 	 	 	
--------	---	-------	-------	------	-	-----	-----	-----	----	----	----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	----	----	---	------
       1	  2	036.384	-03.920	 0.771	1	 2.50	 0.19	 0.18	 5.1	 4.9	 4.0	 0.19	 0.36	 0.36	 0.13	 0.25	 0.24	 1.07	 0.53	 0.90	 0.72	 0.36	 0.65	 0.3	 1.7	  1	Simbad
       2	  3	036.909	-03.300	 0.836	1	 3.48	 0.25	 0.24	 4.9	 4.8	 4.0	 0.43	 0.92	 0.87	 0.29	 0.62	 0.59	 1.64	 0.81	 1.39	 1.11	 0.56	 1.02	 0.7	 2.5	  0	Simbad
       3	  6	035.439	-03.772	 0.429	1	 4.24	 0.45	 0.61	 2.1	 1.2	 2.0	 9.64	 4.38	 9.45	 5.59	 2.09	 5.53	 6.79	 2.20	 3.38	 4.72	 1.35	 1.92	 5.7	 6.6	  1	Simbad
       4	  8	036.336	-03.801	 0.299	1	 1.56	 0.10	 0.12	 2.4	 2.0	 2.4	 1.65	 1.67	 1.46	 1.01	 0.95	 0.91	 1.07	 0.46	 0.81	 0.74	 0.32	 0.56	 3.2	 3.5	  1	Simbad
       5	  9	036.685	-03.684	 0.328	2	     	     	     	 5.8	 5.1	 4.7	 0.42	 0.53	 0.33	 0.29	 0.37	 0.23	     	     	     	     	     	     	 1.0	 3.3	  0	Simbad
       6	 10	036.843	-03.362	 0.330	1	 2.36	 0.24	 0.35	 4.2	 4.2	 3.7	 1.13	 1.14	 1.01	 0.76	 0.74	 0.68	 1.36	 0.59	 0.99	 0.92	 0.41	 0.70	 2.1	 4.1	  0	Simbad
       7	 11	036.540	-04.969	 0.054	1	 1.57	 0.11	 0.29	 3.0	 3.0	 2.9	 1.15	 1.38	 1.00	 0.76	 0.84	 0.65	 0.90	 0.41	 0.72	 0.63	 0.29	 0.51	 5.0	 5.5	  1	Simbad
       8	 13	036.858	-04.538	 0.308	1	 1.30	 0.11	 0.22	 2.8	 2.7	 2.7	 1.51	 1.43	 1.40	 0.97	 0.83	 0.90	 0.95	 0.40	 0.71	 0.67	 0.28	 0.50	 3.4	 3.8	  1	Simbad
       9	 18	036.008	-05.091	 0.324	1	 1.68	 0.16	 0.24	 5.9	 5.1	 4.7	 0.29	 0.40	 0.24	 0.20	 0.27	 0.17	 0.77	 0.37	 0.63	 0.52	 0.26	 0.46	-0.4	 2.8	  1	Simbad
      10	 20	036.635	-05.001	 0.494	2	 1.65	 0.23	 0.30	 2.1	 1.6	 2.2	 4.36	 3.39	 4.14	 2.60	 1.80	 2.52	 1.89	 0.76	 1.39	 1.39	 0.55	 0.95	 3.6	 3.9	  1	Simbad
      11	 21	036.233	-05.134	 0.085	1	 0.79	 0.06	 0.06	 5.1	 4.8	 4.0	 0.10	 0.13	 0.10	 0.07	 0.09	 0.07	 0.29	 0.14	 0.23	 0.19	 0.09	 0.17	 3.2	 4.5	  1	Simbad
      12	 22	036.917	-04.858	 0.293	1	 1.98	 0.12	 0.13	 4.9	 4.5	 4.2	 2.15	 1.34	 2.11	 1.48	 0.87	 1.46	 1.67	 0.60	 0.98	 1.20	 0.43	 0.69	 2.6	 3.9	  1	Simbad
      13	 25	036.353	-04.680	 0.265	1	 2.23	 0.18	 0.24	 4.6	 4.5	 3.9	 0.96	 0.93	 0.86	 0.65	 0.61	 0.58	 1.24	 0.54	 0.88	 0.84	 0.37	 0.62	 1.6	 3.5	  1	Simbad
      14	 27	037.012	-04.851	 0.295	1	 2.72	 0.40	 0.41	 2.8	 2.7	 2.7	 0.91	 1.04	 0.77	 0.58	 0.63	 0.49	 1.45	 0.67	 1.13	 0.95	 0.44	 0.77	 2.6	 3.5	  1	Simbad
      15	 28	035.984	-03.098	 0.297	1	 1.53	 0.17	 0.27	 5.2	 4.9	 4.1	 0.24	 0.35	 0.21	 0.16	 0.24	 0.14	 0.71	 0.34	 0.59	 0.48	 0.24	 0.43	 0.2	 2.6	  0	Simbad
      16	 30	035.778	-04.216	 0.631	2	     	     	     	 5.5	 5.0	 4.3	 0.09	 0.12	 0.10	 0.06	 0.08	 0.07	     	     	     	     	     	     	-1.2	 2.3	  1	Simbad
      17	 32	036.002	-03.424	 0.803	2	 2.16	 0.42	 0.49	 5.2	 4.9	 4.1	 0.24	 0.47	 0.48	 0.16	 0.32	 0.32	 1.01	 0.51	 0.93	 0.69	 0.35	 0.67	 0.3	 1.5	  0	Simbad
