#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/477/648/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74770648
#Name: J/MNRAS/477/648
#Title: Abell S1063 and MACS J1149.5+2223 photometry (Tortorelli+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	creator=Tortorelli L.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.477..648T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/477/648	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74770648	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_477_648_tablea1:
#Name: J/MNRAS/477/648/tablea1
#Title: *Photometric catalog (produced 2017-07-21) for Abell S1063 (z=0.348)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I2)	Object ID number within the table	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	F814Wmag	(F5.2)	F814W total magnitude (AB)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(F5.2)	1{sigma} standard deviation error on F814W total magnitude	[ucd=stat.error]
#Column	Re	(F5.2)	Circularized effective radius	[ucd=phys.size.radius]
#Column	e_Re	(F5.2)	1{sigma} standard deviation error on circularized effective radius	[ucd=stat.error]
#Column	mue	(F5.2)	Mean surface brightness within effective radius (1)	[ucd=phot.mag.sb]
#Column	e_mue	(F5.2)	1{sigma} standard deviation error on mean surface brightness within effective radius	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	1{sigma} standard deviation error on Sersic index	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	F814Wmag	e_F814Wmag	Re	e_Re	mue	e_mue	n	e_n
 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec+2	mag/arcsec+2	 	
--------	--	---------	---------	-----	-----	-----	-----	-----	-----	----	----
       1	 1	342.16045	-44.53893	22.09	 0.02	 0.96	 0.03	19.24	 0.07	 1.1	 0.1
       2	 2	342.16273	-44.53816	22.32	 0.03	 2.32	 0.11	21.39	 0.13	 1.9	 0.1
       3	 3	342.16661	-44.53482	21.39	 0.02	 0.66	 0.04	17.71	 0.13	 3.9	 0.2
       4	 4	342.16825	-44.53655	22.07	 0.03	 0.49	 0.02	17.76	 0.12	 3.5	 0.2
       5	 5	342.16903	-44.54034	22.87	 0.01	 1.51	 0.06	21.00	 0.09	 2.1	 0.1
       6	 6	342.16985	-44.53554	20.48	 0.02	 1.31	 0.17	18.30	 0.31	 4.4	 0.4
       7	 7	342.17079	-44.53583	23.03	 0.04	 1.85	 0.10	21.60	 0.15	 1.3	 0.1
       8	 8	342.17160	-44.53951	22.40	 0.02	 1.07	 0.01	19.79	 0.05	 1.4	 0.1
       9	 9	342.17176	-44.54054	20.48	 0.05	 2.82	 0.26	19.97	 0.25	 4.0	 0.4
      10	10	342.17217	-44.54313	23.19	 0.04	 0.87	 0.04	20.12	 0.15	 1.8	 0.1
      11	11	342.17368	-44.53277	21.61	 0.01	 1.35	 0.06	19.50	 0.10	 2.1	 0.1
      12	12	342.17443	-44.54622	22.29	 0.02	 0.74	 0.02	18.88	 0.07	 1.1	 0.1
      13	13	342.17450	-44.52900	22.07	 0.04	 0.47	 0.02	17.66	 0.12	 2.0	 0.1
      14	14	342.17465	-44.53693	23.63	 0.14	 1.12	 0.16	21.11	 0.45	 1.3	 0.3
      15	15	342.17492	-44.53413	21.39	 0.03	 0.64	 0.04	17.65	 0.16	 2.4	 0.1
      16	16	342.17546	-44.53538	18.71	 0.72	40.80	37.00	24.00	 2.70	 6.5	 3.0
      17	17	342.17646	-44.53366	20.89	 0.02	 0.84	 0.04	17.76	 0.12	 2.6	 0.1
      18	18	342.17686	-44.53753	21.25	 0.04	 1.20	 0.04	18.88	 0.12	 4.3	 0.1
      19	19	342.17703	-44.53694	19.13	 0.04	 2.23	 0.15	18.11	 0.19	 2.3	 0.2
      20	20	342.17726	-44.52501	23.26	 0.03	 1.48	 0.05	21.35	 0.10	 1.5	 0.1
      21	21	342.17793	-44.53239	20.98	 0.02	 1.02	 0.03	18.25	 0.10	 2.6	 0.2
      22	22	342.17795	-44.52406	21.19	 0.01	 1.49	 0.04	19.29	 0.07	 1.5	 0.1
      23	23	342.17863	-44.54655	22.20	 0.03	 0.80	 0.04	18.96	 0.14	 2.2	 0.1
      24	24	342.17891	-44.52472	21.81	 0.02	 1.07	 0.03	19.20	 0.08	 1.9	 0.1
      25	25	342.17903	-44.53278	20.32	 0.02	 0.78	 0.05	17.01	 0.15	 3.0	 0.1
