#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/773/86/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17730086
#Name: J/ApJ/773/86
#Title: Star-forming galaxies in ACO 2029 (Tyler+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	creator=Tyler K.D.	    First author or institution
#INFO	cites=bibcode:2013ApJ...773...86T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/773/86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17730086	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_773_86_table1:
#Name: J/ApJ/773/86/table1
#Title: A2029 member list
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.06/0.09] Redshift	[ucd=src.redshift]
#Column	logL24	(F5.2)	[7.8/11.6]? Log 24{mu}m luminosity	[ucd=phys.luminosity;em.IR.15-30um]
#Column	logLHa	(F5.2)	[5.7/8.5]? Log H{alpha} luminosity	[ucd=phys.luminosity;em.line.Halpha]
#Column	logLFUV	(F5.2)	[8/10.3]? Log FUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	SFRmin	(F6.3)	[0.01/10]? Minimum star formation rate (1)	[ucd=meta.id;meta.main]
#Column	SFRmax	(F6.3)	[0.03/10]? Maximum star formation rate (1)	[ucd=meta.id]
#Column	logM*	(F5.2)	[8.3/11.9]? Log stellar mass	[ucd=phys.mass]
#Column	Notes	(A3)	[0-4,] Additional note(s) (2)	[ucd=meta.note]
#Column	DR9	(A3)	Display the SDSS-DR9 photometric data (Cat. V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearsest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	z	logL24	logLHa	logLFUV	SFRmin	SFRmax	logM*	Notes	DR9	Sloan	Simbad
 	deg	deg	 	[Lsun]	[Lsun]	[Lsun]	Msun/yr	Msun/yr	[Msun]	 	 	 	
--------	---------	---------	-------	-----	-----	-----	------	------	-----	---	---	-----	------
       1	227.59595	+05.64154	 0.0768	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
       2	227.46886	+05.67973	 0.0808	     	     	     	      	      	10.59	   	DR9	Sloan	Simbad
       3	227.58581	+05.85502	 0.0812	 8.44	 7.46	 8.61	 0.711	 0.711	10.02	   	DR9	Sloan	Simbad
       4	227.32547	+05.51633	 0.0793	 9.38	 7.49	 8.54	 2.185	 2.185	10.64	   	DR9	Sloan	Simbad
       5	227.34391	+05.50399	 0.0752	 8.47	 6.75	     	 0.242	 0.242	 9.95	   	DR9	Sloan	Simbad
       6	227.38376	+05.55829	 0.0731	 9.07	 7.06	 8.16	 1.007	 1.007	 9.90	   	DR9	Sloan	Simbad
       7	227.35787	+05.53241	 0.0739	 8.06	 6.35	     	 0.094	 0.094	 9.67	   	DR9	Sloan	Simbad
       8	227.41070	+05.62229	 0.0799	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
       9	227.54800	+05.47763	 0.0786	     	     	     	      	      	10.29	   	DR9	Sloan	Simbad
      10	227.44500	+05.66050	 0.0835	 9.20	 7.51	 8.85	 1.713	 1.713	10.07	   	DR9	Sloan	Simbad
      11	227.43088	+05.67002	 0.0838	 9.44	 7.74	 9.16	 2.928	 2.928	10.46	   	DR9	Sloan	Simbad
      12	227.53186	+05.66304	 0.0842	 8.75	 7.66	 9.61	 1.176	 1.176	 9.39	   	DR9	Sloan	Simbad
      13	227.54318	+05.57114	 0.0765	     	     	 8.47	      	      	11.02	2  	DR9	Sloan	Simbad
      14	227.49977	+05.67873	 0.0732	     	     	     	      	      	10.66	   	DR9	Sloan	Simbad
      15	227.57229	+05.70119	 0.0782	     	     	 8.57	      	      	10.72	2  	DR9	Sloan	Simbad
      16	227.56356	+05.63479	 0.0831	     	     	     	      	      	10.40	   	DR9	Sloan	Simbad
      17	227.55189	+05.77132	 0.0869	 9.16	 7.54	 8.64	 1.644	 1.644	10.29	   	DR9	Sloan	Simbad
      18	227.52612	+05.84365	 0.0778	 9.41	 7.63	 9.03	 2.569	 2.569	10.56	   	DR9	Sloan	Simbad
      19	227.66740	+05.74026	 0.0695	 9.09	 7.27	 9.11	 1.180	 1.180	 9.63	   	DR9	Sloan	Simbad
      20	227.64353	+05.85998	 0.0864	     	     	     	      	      	10.21	   	DR9	Sloan	Simbad
      21	227.67594	+05.80516	 0.0725	     	     	     	      	      	 9.97	   	DR9	Sloan	Simbad
      22	227.61967	+05.68760	 0.0775	     	     	     	      	      	10.10	   	DR9	Sloan	Simbad
      23	227.65172	+05.83437	 0.0791	     	     	 8.15	      	      	10.29	2  	DR9	Sloan	Simbad
      24	227.61955	+05.63818	 0.0781	     	     	     	      	      	10.44	   	DR9	Sloan	Simbad
      25	227.67716	+05.74753	 0.0784	 7.85	     	 8.16	      	      	10.61	2  	DR9	Sloan	Simbad
      26	227.75029	+05.75698	 0.0847	     	     	     	      	      	10.34	   	DR9	Sloan	Simbad
      27	227.71812	+05.82187	 0.0761	     	     	     	      	      	 9.97	   	DR9	Sloan	Simbad
      28	227.73823	+05.75445	 0.0775	     	     	     	      	      	10.32	   	DR9	Sloan	Simbad
      29	227.69979	+05.75756	 0.0758	     	     	     	      	      	10.33	   	DR9	Sloan	Simbad
      30	227.75466	+05.79586	 0.0800	     	     	     	      	      	10.15	   	DR9	Sloan	Simbad
      31	227.72810	+05.75697	 0.0802	     	     	     	      	      	10.26	   	DR9	Sloan	Simbad
      32	227.70430	+05.73384	 0.0732	     	     	     	      	      	10.30	   	DR9	Sloan	Simbad
      33	227.84879	+05.68862	 0.0805	     	     	     	      	      	10.22	   	DR9	Sloan	Simbad
      34	227.71037	+05.62476	 0.0784	     	     	     	      	      	10.16	   	DR9	Sloan	Simbad
      35	227.79988	+05.65383	 0.0844	 8.74	 6.90	 9.10	      	      	10.66	3  	DR9	Sloan	Simbad
      36	227.76569	+05.68728	 0.0844	 8.33	 6.55	     	 0.163	 0.163	10.77	   	DR9	Sloan	Simbad
      37	227.82508	+05.68683	 0.0691	     	     	     	      	      	 9.58	   	DR9	Sloan	Simbad
      38	227.77675	+05.68970	 0.0807	10.08	 8.13	 8.86	      	      	10.40	3  	DR9	Sloan	Simbad
      39	227.79751	+05.67417	 0.0683	 7.90	     	 8.41	 0.131	 0.131	10.20	   	DR9	Sloan	Simbad
      40	227.81942	+05.72272	 0.0739	     	     	     	      	      	10.40	   	DR9	Sloan	Simbad
      41	227.72864	+05.60566	 0.0789	 8.94	 7.37	 9.22	 0.846	 0.846	 9.64	   	DR9	Sloan	Simbad
      42	227.81085	+05.64677	 0.0803	     	     	     	      	      	10.32	   	DR9	Sloan	Simbad
      43	227.93738	+05.65777	 0.0785	     	     	     	      	      	 9.98	   	DR9	Sloan	Simbad
      44	227.94936	+05.75612	 0.0777	 8.08	 5.83	     	 0.064	 0.064	10.12	   	DR9	Sloan	Simbad
      45	227.80648	+05.59663	 0.0792	     	     	     	      	      	10.62	   	DR9	Sloan	Simbad
      46	227.72962	+05.55879	 0.0794	 8.54	     	     	      	      	10.89	2  	DR9	Sloan	Simbad
      47	227.80475	+05.60505	 0.0737	     	     	     	      	      	10.15	   	DR9	Sloan	Simbad
      48	227.65842	+05.49540	 0.0802	     	     	     	      	      	10.35	   	DR9	Sloan	Simbad
      49	227.84553	+05.51885	 0.0751	     	     	     	      	      	10.40	   	DR9	Sloan	Simbad
      50	227.78845	+05.51967	 0.0834	 9.06	 7.16	     	 1.049	 1.049	10.41	   	DR9	Sloan	Simbad
      51	227.68141	+05.48090	 0.0738	     	     	     	      	      	10.31	   	DR9	Sloan	Simbad
      52	227.72296	+05.45524	 0.0841	 9.57	 7.33	 8.47	 2.876	 2.876	10.07	   	DR9	Sloan	Simbad
      53	227.81021	+05.49215	 0.0798	     	     	     	      	      	10.18	   	DR9	Sloan	Simbad
      54	227.70340	+05.40640	 0.0778	 7.83	 6.68	 8.21	 0.127	 0.127	 9.90	   	DR9	Sloan	Simbad
      55	227.74320	+05.42533	 0.0821	 8.41	 6.80	 8.62	 0.240	 0.240	10.02	   	DR9	Sloan	Simbad
      56	227.66123	+05.43148	 0.0828	     	     	     	      	      	10.26	   	DR9	Sloan	Simbad
      57	227.78530	+05.39130	 0.0792	 8.80	 7.07	 9.52	 0.502	 0.502	10.12	   	DR9	Sloan	Simbad
      58	227.77135	+05.36058	 0.0823	 9.43	 7.72	 9.43	 2.844	 2.844	10.49	   	DR9	Sloan	Simbad
      59	227.74419	+05.31809	 0.0807	 9.68	 7.65	 9.80	 3.990	 3.990	10.94	   	DR9	Sloan	Simbad
