#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:12:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:12:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/229/20/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22290020
#Name: J/ApJS/229/20
#Title: MMT/Hectospec redshift survey for Abell 2029 (Sohn+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2017ApJS..229...20S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/229/20	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22290020	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_229_20_table2:
#Name: J/ApJS/229/20/table2
#Title: A2029 spectroscopic members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	[20452/26670] Spectroscopic redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	e_cz	(I5)	[1/299] Uncertainty in cz	[ucd=stat.error]
#Column	r_cz	(A4)	Reference for cz (2)	[ucd=meta.ref;pos.frame]
#Column	sigma	(I3)	[6/945]? Central velocity dispersion within a rest-frame 3kpc aperture	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/962]? Uncertainty in sigma	[ucd=stat.error]
#Column	f_sigma	(A1)	[*] *: uncertainty is not available for sigma	[ucd=meta.code]
#Column	dn4000	(F6.2)	[0.1/4.3]? D_n_4000 index (1)	[ucd=phot.flux;arith.ratio]
#Column	T13	(I3)	Display data from Tyler+ 2013, J/ApJ/773/86, within 2"	[ucd=meta.ref.url]
#Column	DR9	(A3)	Display data from SDSS-DR9 photometric catalog (V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	cz	e_cz	r_cz	sigma	e_sigma	f_sigma	dn4000	T13	DR9	Sloan
 	deg	deg	km/s	km/s	 	km/s	km/s	 	 	 	 	
--------	----------	----------	-----	-----	----	---	---	-	------	---	---	-----
       1	227.740259	+05.766147	23177	   29	 T13	284	  5	 	  2.03	  1	DR9	Sloan
       2	227.737793	+05.762320	22763	   22	 T13	 95	 17	 	  2.03	  1	DR9	Sloan
       3	227.744635	+05.770809	22247	    4	SDSS	320	  5	 	  2.08	  1	DR9	Sloan
       4	227.738249	+05.754465	23162	   26	 T13	229	 10	 	  1.86	  1	DR9	Sloan
       5	227.749463	+05.769346	23468	   22	 T13	 61	 14	 	  1.91	  1	DR9	Sloan
       6	227.735039	+05.751555	23797	   35	 MMT	261	 42	 	  1.91	  1	DR9	Sloan
       7	227.732491	+05.765348	23679	   18	 T13	   	   	 	  1.88	  1	DR9	Sloan
       8	227.750338	+05.782786	23464	   24	 T13	274	  5	 	  2.00	  1	DR9	Sloan
       9	227.735860	+05.775843	24381	   24	 T13	151	  5	 	  1.79	  1	DR9	Sloan
      10	227.728122	+05.756973	24019	   26	 T13	160	  7	 	  1.88	  1	DR9	Sloan
      11	227.733751	+05.744775	23400	    8	 NED	   	   	 	      	  1	DR9	Sloan
      12	227.724321	+05.766815	24485	   26	 T13	135	 12	 	  1.96	  1	DR9	Sloan
      13	227.762156	+05.751119	23823	   27	 MMT	136	 12	 	  2.15	  0	DR9	Sloan
      14	227.717044	+05.753034	22353	   22	 T13	102	 15	 	  2.03	  1	DR9	Sloan
      15	227.776630	+05.756340	24348	   37	 T13	 38	297	 	  1.93	  1	DR9	Sloan
      16	227.724699	+05.726324	24535	   20	 MMT	 56	 22	 	  2.00	  0	DR9	Sloan
      17	227.742881	+05.717036	24257	   31	 T13	 21	198	 	  1.76	  1	DR9	Sloan
      18	227.752795	+05.723118	22877	   24	 T13	 32	 39	 	  1.61	  1	DR9	Sloan
      19	227.699795	+05.757562	22705	   22	 T13	222	  8	 	  1.96	  1	DR9	Sloan
      20	227.710599	+05.760976	24570	   26	 T13	 41	 30	 	  1.71	  1	DR9	Sloan
      21	227.754692	+05.795860	23923	   41	 T13	 70	 17	 	  1.78	  1	DR9	Sloan
      22	227.704789	+05.769446	22075	   48	 MMT	 23	 54	 	  1.86	  0	DR9	Sloan
      23	227.715743	+05.778881	24027	   33	 T13	 48	 46	 	  1.70	  1	DR9	Sloan
      24	227.739638	+05.801346	22673	   39	 MMT	 21	  0	 	  1.77	  0	DR9	Sloan
      25	227.745328	+05.806815	23354	    5	 T13	100	 61	 	  1.17	  1	DR9	Sloan
      26	227.773031	+05.730126	22432	   24	 T13	197	  7	 	  1.96	  1	DR9	Sloan
      27	227.761628	+05.802167	22294	   15	 T13	 74	  9	 	  1.78	  1	DR9	Sloan
      28	227.765850	+05.733974	22926	   27	 T13	 99	 25	 	  1.78	  1	DR9	Sloan
      29	227.770761	+05.737997	22254	   40	 T13	 21	  0	 	  1.49	  1	DR9	Sloan
      30	227.773808	+05.744911	24014	   38	 T13	 22	 72	 	  1.62	  1	DR9	Sloan
