ID,RA_deg,Dec_deg,ID_MUSE,sigma_kms,e_sigma_kms,SN
1,64.03810,-24.06749,79744,275.6,1.5,164.6
2,64.04486,-24.07351,80726,209.3,1.4,149.3
3,64.03471,-24.07160,81285,232.6,3.7,51.3
4,64.03823,-24.07176,81838,191.4,2.1,77.4
5,64.04276,-24.07303,81883,139.7,1.6,78.3
6,64.03268,-24.07015,82042,116.8,3.8,28.1
8,64.04636,-24.06706,83064,186.7,1.6,115.5
9,64.02831,-24.07227,82442,175.5,3.3,49.2
10,64.04245,-24.07465,82012,48.7,6.4,15.8
12,64.04131,-24.07136,82612,194.3,2.0,107.9
13,64.03679,-24.07226,81782,88.8,6.6,13.6
15,64.04010,-24.06591,82063,185.7,1.2,132.6
16,64.04370,-24.07337,82585,72.8,6.8,19.9
18,64.03945,-24.06933,82766,168.2,1.2,113.8
19,64.04516,-24.07145,82961,90.3,4.1,22.2
20,64.03473,-24.06980,82611,134.6,3.1,40.1
23,64.03878,-24.07072,82024,90.1,1.7,56.7
24,64.03344,-24.06907,82598,109.4,5.4,20.5
26,64.04269,-24.06513,83948,107.7,2.1,56.7
29,64.03519,-24.06874,83541,63.9,4.0,24.4
30,64.04251,-24.06923,83042,208.7,1.5,115.0
32,64.04418,-24.06872,83375,115.1,2.8,92.8
34,64.04481,-24.06708,84025,181.5,1.9,109.6
35,64.03574,-24.06968,82863,215.9,6.1,36.1
38,64.03480,-24.06282,85939,68.5,7.3,12.4
40,64.03445,-24.06797,84115,55.6,8.7,11.8
45,64.03872,-24.06610,84536,135.2,2.5,69.1
48,64.04612,-24.06395,85357,97.1,2.4,41.0
50,64.04253,-24.06324,84395,211.4,1.7,106.1
51,64.04285,-24.06222,86038,96.2,1.9,46.6
53,64.03852,-24.06207,85770,126.2,1.5,79.9
54,64.04519,-24.06213,84757,211.0,1.6,120.5
55,64.04088,-24.06035,86229,114.2,1.5,70.9
56,64.05061,-24.06462,82505,51.3,8.3,11.1
57,64.03816,-24.06312,85812,69.8,2.4,31.2
60,64.05262,-24.06571,85042,53.7,6.0,14.4
66,64.03687,-24.08067,77463,222.6,1.9,105.7
68,64.02845,-24.08909,-144,78.2,5.1,16.3
70,64.02734,-24.08660,78004,89.7,8.9,25.3
71,64.02547,-24.08510,77317,153.5,4.1,33.5
73,64.03197,-24.07743,77342,286.4,2.1,134.1
75,64.03932,-24.07686,79058,193.0,3.2,51.2
77,64.02221,-24.08526,78230,70.3,4.6,18.1
83,64.02938,-24.07901,79978,131.8,3.0,47.2
89,64.03384,-24.08056,79957,64.9,6.8,14.1
92,64.03820,-24.07897,79898,65.2,4.4,15.8
93,64.03521,-24.07724,79996,116.6,2.4,52.8
97,64.02198,-24.07786,80466,198.7,4.4,42.0
102,64.03441,-24.07536,81093,119.6,16.8,11.6
103,64.02671,-24.07639,80895,90.5,5.4,20.3
107,64.03378,-24.07617,81125,145.6,7.6,19.9
109,64.02888,-24.07506,81561,98.5,6.0,19.6
