#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/812/114/table3&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18120114
#Name: J/ApJ/812/114
#Title: Grism Lens-Amplified Survey from Space (GLASS). I. (Treu+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	creator=Treu T.	    First author or institution
#INFO	cites=bibcode:2015ApJ...812..114T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/812/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18120114	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-04-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_812_114_table3:
#Name: J/ApJ/812/114/table3
#Title: Redshift catalog for MACS J0717.5+3745
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A5)	[00036-92358] GLASS identifier (00036-02574 and 90082-92358) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	[109.36/109.42] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	[37.72/37.78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F8.5)	[0/2.6]? GLASS redshift (2)	[ucd=src.redshift]
#Column	q_z	(F3.1)	[0/4]? Quaility of z (3)	[ucd=meta.code.qual;src.redshift]
#Column	f_z	(F3.1)	[0/1] Flag indicating multiple z solutions (4)	[ucd=meta.code]
#Column	Note	(a10)	Additional notes (5)	[ucd=meta.note]
#Column	SimbadName	(A30)	Simbad column added by the CDS	[ucd=meta.id]
recno	ID	RAJ2000	DEJ2000	z	q_z	f_z	Note	SimbadName
 	 	deg	deg	 	 	 	 	
--------	-----	------------	-------------	--------	---	---	----------	------------------------------
       1	00036	109.39293627	+37.770497740	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00036
       2	00055	109.39810224	+37.770416861	 0.87850	3.5	0.0	          	[TSB2015] GLASS MACS0717-00055
       3	00057	109.40038631	+37.770271353	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-00057
       4	00145	109.40230016	+37.766627582	 1.35750	2.0	0.0	          	[TSB2015] GLASS MACS0717-00145
       5	00173	109.39848457	+37.766442326	 0.55600	3.0	0.5	          	[TSB2015] GLASS MACS0717-00173
       6	00234	109.39639585	+37.764684116	 0.54900	4.0	0.0	          	[TSB2015] GLASS MACS0717-00234
       7	00236	109.39366519	+37.764470231	 0.39000	4.0	0.0	          	[TSB2015] GLASS MACS0717-00236
       8	00272	109.39400607	+37.764400472	 0.38950	4.0	0.0	          	[TSB2015] GLASS MACS0717-00272
       9	00273	109.40514662	+37.764210184	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00273
      10	00299	109.39108321	+37.763095453	 1.90000	1.5	0.0	          	
      11	00307	109.39619713	+37.763354040	 2.54000	4.0	1.0	image 13.3	[TSB2015] GLASS MACS0717-00307
      12	00329	109.38220315	+37.763014966	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00329
      13	00333	109.39427107	+37.762990804	 1.38500	3.0	1.0	          	[TSB2015] GLASS MACS0717-00333
      14	00341	109.39985684	+37.762765976	 1.47150	4.0	0.0	          	[TSB2015] GLASS MACS0717-00341
      15	00342	109.39991428	+37.762454656	 0.43000	1.0	1.0	          	
      16	00347	109.39313910	+37.762822760	 0.63400	2.0	0.0	image 56.1	[TSB2015] GLASS MACS0717-00347
      17	00354	109.38864733	+37.762479104	 2.11000	2.0	1.0	          	[TSB2015] GLASS MACS0717-00354
      18	00355	109.38808017	+37.762062444	 0.90900	4.0	0.0	          	[TSB2015] GLASS MACS0717-00355
      19	00373	109.37419675	+37.761061528	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00373
      20	00392	109.40411569	+37.761686241	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00392
      21	00397	109.39619322	+37.760424560	 1.85400	4.0	0.0	image 14.3	[TSB2015] GLASS MACS0717-00397
      22	92358	109.39699227	+37.761067215	        	0.0	0.0	          	
      23	00399	109.39676413	+37.761587563	 1.68700	4.0	0.0	          	[TSB2015] GLASS MACS0717-00399
      24	00406	109.37919987	+37.759657050	        	0.0	0.0	          	
      25	00415	109.38126394	+37.759931329	 0.00000	3.0	0.0	star      	[TSB2015] GLASS MACS0717-00415
      26	00425	109.39227548	+37.761688789	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-00425
      27	00431	109.40245846	+37.761131611	 0.54950	4.0	0.0	          	[TSB2015] GLASS MACS0717-00431
      28	00450	109.40576231	+37.759670084	 0.59650	2.5	1.0	          	[TSB2015] GLASS MACS0717-00450
      29	00454	109.40295052	+37.760133806	 1.68950	4.0	0.0	          	[TSB2015] GLASS MACS0717-00454
      30	00465	109.39138778	+37.760101131	 1.80500	2.0	0.0	          	[TSB2015] GLASS MACS0717-00465
      31	00466	109.39123286	+37.760718472	 1.71000	3.0	1.0	image 12.3	[TSB2015] GLASS MACS0717-00466
      32	00488	109.40930318	+37.760218298	 0.66500	3.0	0.0	          	[TSB2015] GLASS MACS0717-00488
