ID,RA_deg,Dec_deg,ID_MUSE,sigma_kms,e_sigma_kms,SN
3,342.18449,-44.54318,35399,107.1,5.3,16.1
6,342.17176,-44.54054,35670,115.9,4.3,20.4
7,342.18666,-44.54076,35719,131.5,6.2,17.1
8,342.18893,-44.54039,35720,120.4,8.6,13.1
9,342.18205,-44.54034,35775,99.5,7.3,15.0
14,342.16046,-44.53895,35984,65.1,11.8,10.3
18,342.18438,-44.53619,36392,136.2,3.4,30.0
19,342.17547,-44.53539,35779,133.1,4.6,41.2
22,342.18693,-44.53537,36510,91.0,5.0,18.3
24,342.16985,-44.53554,36486,144.2,4.7,22.3
30,342.19134,-44.53432,36649,172.2,6.0,20.9
33,342.17492,-44.53413,36679,124.8,6.2,15.3
34,342.17903,-44.53278,36880,251.2,5.9,33.3
35,342.18322,-44.53088,33294,332.3,2.7,99.5
37,342.19156,-44.53334,36793,110.5,7.3,12.8
42,342.17793,-44.53239,36936,156.7,6.1,22.7
47,342.18109,-44.52920,-80,81.1,10.0,10.6
51,342.18916,-44.52953,37335,164.6,4.1,37.8
54,342.18813,-44.52595,37522,286.9,4.7,46.3
55,342.18678,-44.52781,37550,114.7,4.0,29.7
56,342.19551,-44.52599,37572,238.2,2.6,71.8
57,342.19330,-44.52643,37760,175.4,3.6,37.2
60,342.18405,-44.52693,37685,128.7,3.1,36.1
63,342.20029,-44.52520,37949,134.0,3.3,31.2
64,342.18255,-44.52687,37695,92.8,7.0,13.7
69,342.17891,-44.52472,38024,66.0,6.2,12.3
70,342.17962,-44.52305,38261,80.8,5.7,28.1
73,342.19329,-44.51782,38895,290.7,4.6,52.6
79,342.18543,-44.51863,38782,250.4,3.4,56.9
83,342.19294,-44.52207,38389,52.4,14.1,10.6
84,342.19727,-44.52327,38246,165.0,3.8,35.7
85,342.18665,-44.52247,38339,136.9,4.2,24.2
87,342.17795,-44.52406,38129,90.0,7.2,12.0
92,342.20418,-44.52524,37939,141.8,3.4,30.7
