#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:20 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/489/99/j2248pr&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74890099
#Name: J/MNRAS/489/99
#Title: ASTRODEEP Frontier Fields Catalogues (Bradac+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	creator=Bradac M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.489...99B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/489/99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74890099	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-05-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_489_99_j2248pr:
#Name: J/MNRAS/489/99/j2248pr
#Title: RXC J2248.7-4431 properties catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	Catalogue identification number, rxj2248-NNNNNN in j2248ph.dat file (IDcat)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000) (alpha_j2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000) (delta_j2000)	[ucd=pos.eq.dec;meta.main]
#Column	zbest	(F7.4)	Reference (median) photo-z value except when a match with a publicly available high-quality spectroscopic source is found within 1 arcsec (ZBEST)	[ucd=src.redshift;pos.heliocentric]
#Column	zphEAZY	(F5.2)	EAZY photometric redshift (ZPHOT_EAZY)	[ucd=src.redshift.phot]
#Column	e_zphEAZY	(F6.3)	? EAZY photometric redshift lower error (ZPHOT_EAZY_L95)	[ucd=stat.error]
#Column	E_zphEAZY	(F6.3)	? EAZY photometric redshift upper error (ZPHOT_EAZY_U95)	[ucd=stat.error;stat.max]
#Column	zphOAR	(F7.4)	OAR photometric redshift (ZPHOT_OAR)	[ucd=src.redshift.phot]
#Column	zsp	(F7.4)	? Spectroscopic redshift (ZSPEC)	[ucd=src.redshift]
#Column	Magnif	(F10.6)	Median magnification from all the models with version 4 data (MAGNIF)	[ucd=meta.version]
#Column	chi2Neb	(D12.5)	chi^2^ of the SED fitting with stellar plus nebular models at redshift fixed to ZBEST (chi2_NEB)	[ucd=stat.fit.chi2;stat.fit]
#Column	MstarNeb	(F9.3)	Stellar mass estimated from stellar plus nebular fits (MASS_NEB)	[ucd=phys.mass]
#Column	e_MstarNeb	(F7.4)	Lower uncertainty on MstarNeb (MASS_MIN_NEB)	[ucd=stat.error]
#Column	E_MstarNeb	(D12.5)	[] Upper uncertainty on MstarNeb (MASS_MAX_NEB)	[ucd=stat.error;stat.max]
#Column	SFRNeb	(F8.1)	Star-formation rate estimated from the stellar plus nebular fits (SFR_NEB)	[ucd=phys.SFR]
#Column	e_SFRNeb	(I7)	Lower uncertainty on SFRNbeb (SFR_MIN_NEB)	[ucd=stat.error]
#Column	E_SFRNeb	(F7.3)	[] Upper uncertainty on SFRNbeb (SFR_MAX_NEB)	[ucd=stat.error;stat.max]
recno	ID	RAJ2000	DEJ2000	zbest	zphEAZY	e_zphEAZY	E_zphEAZY	zphOAR	zsp	Magnif	chi2Neb	MstarNeb	e_MstarNeb	E_MstarNeb	SFRNeb	e_SFRNeb	E_SFRNeb
 	 	deg	deg	 	 	 	 	 	 	 	 	10+9Msun	10+9Msun	10+9Msun	Msun/yr	Msun/yr	Msun/yr
--------	------	----------	----------	-------	-----	------	------	-------	-------	----------	------------	---------	-------	------------	--------	-------	-------
       1	    15	342.176245	-44.556295	 5.6200	 5.62	 0.011	 0.171	 6.8901	       	  1.728546	 7.64720e+01	    1.128	 5.6200	 1.00000e+00	    54.3	2812472	 -2.954
       2	    17	342.178455	-44.555077	 1.2900	 1.29	 1.208	 1.346	 1.3500	       	  1.492323	 1.03060e+00	   12.420	 1.2900	 1.00000e+00	     6.1	3665986	 -1.741
       3	    18	342.175509	-44.555254	 0.0600	 0.06	 0.023	 0.114	 0.0300	       	  1.000000	 3.61420e+00	    0.058	 0.0600	 9.99990e-01	     0.0	5251302	 -8.083
       4	    19	342.177765	-44.555999	 1.5200	 1.52	 1.256	 2.012	 1.4400	       	  1.531243	 2.91460e-01	    0.896	 1.5200	 2.91460e-01	     2.2	5419952	 -1.224
       5	    21	342.175514	-44.555953	12.0000	12.00	10.543	12.000	10.0001	       	  1.791134	 1.00000e+30	    0.000	12.0000	 1.00000e+30	     0.0	      0	  0.000
       6	    22	342.176972	-44.553654	 0.3600	 0.36	 0.284	 0.403	 0.3300	       	  1.038901	 1.56830e+00	   18.610	 0.3600	 9.99990e-01	     0.2	5143063	 -1.512
       7	    23	342.176624	-44.554747	 0.6900	 0.69	 0.666	 5.418	 5.6600	       	  1.329809	 5.54750e+01	   14.210	 0.6900	 9.99990e-01	     0.0	5193628	 -1.691
       8	    24	342.175804	-44.555254	10.5700	10.57	10.539	10.693	10.0001	       	  1.811643	 1.00000e+30	    0.000	10.5700	 1.00000e+30	     0.0	      0	  0.000
       9	    25	342.177642	-44.554545	 0.4400	 0.44	 0.377	 0.497	 0.4900	       	  1.111137	 2.80440e+00	    0.948	 0.4400	 9.99980e-01	     0.0	5091171	 -4.605
      10	    26	342.176648	-44.555142	 2.3600	 2.36	 1.667	 2.926	 2.5800	       	  1.676669	 5.42140e-01	    0.035	 2.3600	 5.42140e-01	     3.2	2500207	 -1.983
      11	    27	342.176076	-44.554028	 0.4000	 0.40	 0.288	 0.421	 0.4400	       	  1.072305	 3.52070e+00	    0.880	 0.4000	 1.00000e+00	     0.0	5102120	 -4.741
      12	    28	342.180122	-44.554602	 0.4100	 0.41	 0.185	 3.320	 0.3200	       	  1.070136	 1.03180e+00	    0.026	 0.4100	 9.99970e-01	     0.0	6965443	 -7.695
      13	    29	342.179721	-44.553591	 0.3000	 0.30	 0.205	 0.397	 0.3200	       	  1.000000	 2.27240e+00	    0.774	 0.3000	 1.00000e+00	     0.0	5156974	 -4.885
      14	    30	342.178629	-44.553699	 1.2600	 1.26	 1.156	 1.370	 1.2600	       	  1.492085	 1.62040e+00	    0.229	 1.2600	 9.99980e-01	     2.5	3488785	 -3.934
      15	    31	342.181687	-44.553595	 0.1400	 0.14	 0.102	 0.250	 0.0900	       	  1.000000	 3.50670e+00	    0.090	 0.1400	 1.00000e+00	     0.0	5200868	 -7.050
      16	    32	342.175862	-44.553595	 0.4200	 0.42	 0.285	 0.479	 0.4600	       	  1.087296	 2.49320e+00	    0.162	 0.4200	 9.99990e-01	     0.0	 113095	 -6.439
      17	    33	342.175528	-44.553353	 0.4300	 0.43	 0.228	 0.655	 0.5100	       	  1.101347	 8.05870e-01	    0.106	 0.4300	 8.05870e-01	     0.0	5090313	 -6.930
      18	    34	342.179262	-44.553348	 2.8800	 2.88	 1.898	 2.949	 2.5000	       	  1.694648	 2.94840e+00	    0.486	 2.8800	 1.00000e+00	     0.6	5275738	 -3.649
      19	    35	342.184765	-44.552453	 0.9600	 0.96	 0.838	 1.012	 0.9600	       	  1.371285	 5.74060e+00	    4.051	 0.9600	 9.99990e-01	     3.0	5268799	 -2.730
      20	    36	342.182105	-44.552540	 0.4100	 0.41	 0.211	 0.430	 0.3100	       	  1.074376	 1.02260e+00	    0.410	 0.4100	 1.00000e+00	     0.0	5133632	 -5.632
