#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
 	 	 	deg	deg	 	 	[Msun]	[Msun]	 	 	km/s	km/s	 	 	 	 	 	 	
--------	-------------------	-------------------	----------	----------	-------	-------	------	-----	-----	-----	---	---	-	-	---	---	---	-----	------
       1	J151057.66+054558.1	1237658780557836308	227.740259	+05.766147	 0.0773	 0.0001	 10.90	 0.04	 2.03	 0.04	281	  5	N	N	  1	  1	  1	Sloan	Simbad
       2	J151057.07+054544.3	1237658780557836338	227.737793	+05.762320	 0.0759	 0.0001	  8.22	 0.33	 2.03	 0.07	105	 14	N	N	  1	  1	  1	Sloan	Simbad
       3	J151058.71+054614.9	1237658780557836305	227.744635	+05.770809	 0.0746	 0.0001	 10.91	 0.05	 2.14	 0.04	329	  5	N	N	  1	  1	  1	Sloan	Simbad
       4	J151057.18+054516.0	1237658780557836311	227.738249	+05.754465	 0.0773	 0.0001	 10.20	 0.06	 1.86	 0.04	238	  9	N	N	  1	  1	  1	Sloan	Simbad
       5	J151055.72+054542.6	1237658780557836336	227.732202	+05.761856	 0.0808	 0.0001	  9.49	 0.18	 1.82	 0.11	 84	 31	N	N	  1	  0	  1	Sloan	Simbad
       6	J151059.87+054609.6	1237658780557836342	227.749463	+05.769346	 0.0783	 0.0001	  8.65	 0.19	 1.91	 0.05	 49	 17	N	N	  1	  1	  1	Sloan	Simbad
       7	J151056.40+054505.6	1237658780557836316	227.735039	+05.751555	 0.0792	 0.0001	 10.40	 0.04	 2.08	 0.04	237	  6	N	N	  1	  1	  1	Sloan	Simbad
       8	J151055.79+054555.2	1237658780557836337	227.732491	+05.765348	 0.0790	 0.0001	  9.81	 0.11	 1.88	 0.05	112	 10	N	N	  1	  1	  1	Sloan	Simbad
       9	J151055.60+054553.5	1237658780557836369	227.731678	+05.764879	 0.0774	 0.0002	  7.84	 0.58	 1.56	 0.09	123	 41	N	N	  0	  0	  1	Sloan	Simbad
      10	J151100.08+054658.0	1237658780557836303	227.750338	+05.782786	 0.0783	 0.0001	 11.32	 0.06	 2.02	 0.03	281	  4	N	N	  1	  1	  1	Sloan	Simbad
      11	J151056.60+054633.0	1237658780557836313	227.735860	+05.775843	 0.0813	 0.0001	 10.76	 0.05	 1.80	 0.03	153	  4	N	N	  1	  1	  1	Sloan	Simbad
      12	J151054.74+054525.1	1237658780557836320	227.728122	+05.756973	 0.0801	 0.0001	 10.12	 0.06	 1.90	 0.04	157	 10	N	N	  1	  1	  1	Sloan	Simbad
      13	J151056.10+054441.1	1237658780557836322	227.733751	+05.744775	 0.0778	 0.0001	 11.67	 0.05	 2.13	 0.05	431	 17	N	N	  1	  1	  1	Sloan	Simbad
      14	J151053.83+054600.5	1237658780557836332	227.724321	+05.766815	 0.0817	 0.0001	  8.52	 0.12	 1.96	 0.06	136	 10	N	N	  1	  1	  1	Sloan	Simbad
      15	J151102.91+054504.0	1237662268074033737	227.762156	+05.751119	 0.0795	 0.0001	  9.69	 0.09	 2.15	 0.08	150	 11	N	N	  0	  1	  1	Sloan	Simbad
      16	J151052.09+054510.9	1237658780557836324	227.717044	+05.753034	 0.0746	 0.0001	 10.52	 0.06	 2.03	 0.08	111	 13	N	N	  1	  1	  1	Sloan	Simbad
      17	J151051.25+054510.0	1237658780557836372	227.713579	+05.752799	 0.0796	 0.0002	  8.08	 0.60	 3.23	 0.57	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
      18	J151052.66+054630.1	1237658780557837127	227.719419	+05.775027	 0.0746	 0.0002	 10.14	 0.18	 1.88	 0.23	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
      19	J151106.39+054522.8	1237662268074033179	227.776630	+05.756340	 0.0812	 0.0001	  9.00	 0.07	 1.93	 0.11	 53	 28	N	N	  1	  1	  1	Sloan	Simbad
      20	J151053.92+054334.7	1237655744020021366	227.724699	+05.726324	 0.0818	 0.0001	 10.16	 0.05	 2.00	 0.08	 55	 20	N	N	  0	  1	  1	Sloan	Simbad
      21	J151058.29+054301.3	1237655744020087422	227.742881	+05.717036	 0.0809	 0.0001	  9.26	 0.18	 1.76	 0.10	 58	 36	N	N	  1	  1	  1	Sloan	Simbad
      22	J151100.67+054323.2	1237655744020087460	227.752795	+05.723118	 0.0763	 0.0001	  9.27	 0.15	 1.61	 0.06	 56	 28	N	N	  1	  1	  1	Sloan	Simbad
      23	J151047.95+054527.2	1237658780557771127	227.699795	+05.757562	 0.0757	 0.0001	 10.33	 0.09	 1.92	 0.04	225	  8	N	N	  1	  1	  1	Sloan	Simbad
      24	J151048.20+054631.3	1237658780557771429	227.700858	+05.775381	 0.0791	 0.0001	  8.22	 0.31	 1.72	 0.14	 90	 42	N	N	  0	  0	  1	Sloan	Simbad
      25	J151050.54+054539.5	1237658780557836344	227.710599	+05.760976	 0.0820	 0.0001	 10.02	 0.10	 1.71	 0.07	 48	 25	N	N	  1	  1	  1	Sloan	Simbad
      26	J151101.12+054745.0	1237658780557836650	227.754692	+05.795860	 0.0799	 0.0001	 10.05	 0.15	 1.91	 0.04	 95	  7	N	N	  1	  1	  1	Sloan	Simbad
      27	J151051.77+054643.9	1237658780557836831	227.715743	+05.778881	 0.0801	 0.0001	  8.33	 0.10	 1.70	 0.10	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
      28	J151057.51+054804.8	1237658780557836864	227.739638	+05.801346	 0.0756	 0.0001	  8.53	 0.36	 1.77	 0.19	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
      29	J151058.87+054824.5	1237658780557836879	227.745328	+05.806815	 0.0779	 0.0000	  8.45	 0.17	 1.17	 0.03	168	 38	S	N	  1	  1	  1	Sloan	Simbad
      30	J151105.52+054348.4	1237662268074033194	227.773031	+05.730126	 0.0748	 0.0001	 10.44	 0.09	 1.96	 0.04	229	  8	N	N	  1	  1	  1	Sloan	Simbad
      31	J151102.79+054807.8	1237662268074033388	227.761628	+05.802167	 0.0744	 0.0001	  9.87	 0.18	 1.78	 0.04	 92	  8	N	N	  1	  1	  1	Sloan	Simbad
      32	J151103.80+054402.3	1237662268074033414	227.765850	+05.733974	 0.0765	 0.0001	  9.47	 0.06	 1.78	 0.10	 79	 28	N	N	  1	  1	  1	Sloan	Simbad
      33	J151104.98+054416.7	1237662268074034004	227.770761	+05.737997	 0.0742	 0.0001	  9.03	 0.18	 1.49	 0.08	 51	 36	N	N	  1	  1	  1	Sloan	Simbad
