#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:38:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:38:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/196/11/table3&-out=**&-out.max=unlimited&-c=227.7337%20%2B5.7444&-c.rm=110	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=227.733700+05.744400,rm=110.	
#Constraint -c.rm=110

#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	creator=Simard L.	    First author or institution
#INFO	cites=bibcode:2011ApJS..196...11S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/196/11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21960011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-04-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_196_11_table3:
#Name: J/ApJS/196/11/table3
#Title: SDSS structural parameters from pure Sersic decompositions
#Column	_r	(F8.4)	Distance from center (227.73370+05.74440)[FK5/J2000]	[ucd=pos.angDistance]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I18)	SDSS object identifier	[ucd=meta.id]
#Column	z	(F6.4)	? SDSS redshift (spectroscopic if available or photometric ("-1" in "Sp")	[ucd=src.redshift]
#Column	Sp	(I2)	[-2/6] SDSS SpecClass value (G1)	[ucd=meta.code.class]
#Column	Scale	(F7.3)	? Physical scale at redshift z	[ucd=instr.scale]
#Column	Vmax	(F10.3)	? Galaxy volume correction (Eq. 7)	[ucd=arith.factor]
#Column	gg2d	(F6.2)	? GIM2D pure Sersic model g-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_gg2d	(F6.2)	? Uncertainty in gg2d	[ucd=phot.mag;meta.modelled]
#Column	rg2d	(F6.2)	? GIM2D pure Sersic model r-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_rg2d	(F6.2)	? Uncertainty in rg2d	[ucd=phot.mag;meta.modelled]
#Column	gg2df	(F6.2)	? GIM2D pure Sersic model g-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	rg2df	(F6.2)	? GIM2D pure Sersic model r-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	dCol	(F6.2)	[-4.95,+5.73]? Delta fiber color (G2)	[ucd=phot.mag]
#Column	Rhlg	(F6.2)	? g-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rhlr	(F6.2)	? r-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rchl_g	(F7.2)	[-336,284] g-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	Rchl_r	(F7.2)	[-336,284] r-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	e	(F6.2)	? Galaxy ellipticiy (G3)	[ucd=src.ellipticity]
#Column	e_e	(F6.2)	? Uncertainty in e	[ucd=stat.error]
#Column	phi	(F7.2)	[-360,360] Galaxy position angle (G4)	[ucd=pos.posAng]
#Column	e_phi	(F6.2)	? Uncertainty in phi	[ucd=stat.error]
#Column	(dx)g	(F6.2)	[-42,32]? g-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)g	(F6.2)	? Uncertainty in (dx)g	[ucd=stat.error]
#Column	(dy)g	(F6.2)	[-38,30]? g-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)g	(F6.2)	? Uncertainty in (dy)g	[ucd=stat.error]
#Column	(dx)r	(F6.2)	[-31,30]? r-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)r	(F6.2)	? Uncertainty in (dx)r	[ucd=stat.error]
#Column	(dy)r	(F6.2)	[-38,30]? r-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)r	(F6.2)	? Uncertainty in (dy)r	[ucd=stat.error]
#Column	S2g	(F6.2)	[-89,98]? g-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	S2r	(F6.2)	[-75,99]? r-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	ggMag	(F6.2)	[-37,7]? Absolute, rest-frame g-band GIM2D galaxy magnitude (Eq. 3a)	[ucd=phys.magAbs]
#Column	e_ggMag	(F6.2)	? Uncertainty in ggMag	[ucd=stat.error;phot.mag]
#Column	rgMag	(F6.2)	[-36,6]? Absolute, rest-frame r-band GIM2D galaxy magnitude (Eq. 3b)	[ucd=phys.magAbs]
#Column	e_rgMag	(F6.2)	? Uncertainty in rgMag	[ucd=stat.error;phot.mag]
#Column	ng	(F6.2)	[0,8]? Galaxy Sersic index	[ucd=stat.fit.param]
#Column	e_ng	(F6.2)	? Uncertainty in ng	[ucd=stat.error]
#Column	All	(A3)	Display all results from the 3 models	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7 catalog (II/294)	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (declination part)	[ucd=pos.eq.dec;meta.main]
_r	recno	objID	z	Sp	Scale	Vmax	gg2d	e_gg2d	rg2d	e_rg2d	gg2df	rg2df	dCol	Rhlg	Rhlr	Rchl_g	Rchl_r	e	e_e	phi	e_phi	(dx)g	e_(dx)g	(dy)g	e_(dy)g	(dx)r	e_(dx)r	(dy)r	e_(dy)r	S2g	S2r	ggMag	e_ggMag	rgMag	e_rgMag	ng	e_ng	All	Sloan	DR7	_RA	_DE
arcmin	 	 	 	 	kpc/arcsec	Mpc+3	mag	mag	mag	mag	mag	mag	mag	kpc	kpc	kpc	kpc	 	 	deg	deg	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	 	 	mag	mag	mag	mag	 	 	 	 	 	deg	deg
--------	--------	------------------	------	--	-------	----------	------	------	------	------	------	------	------	------	------	-------	-------	------	------	-------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	---	-----	---	---------	---------
105.6781	  104098	587726102025994440	0.0895	 2	  1.670	    81.388	 17.50	  0.06	 16.78	  0.04	 19.81	 18.98	 -0.01	 15.52	 15.52	  12.53	  12.53	  0.39	  0.02	  85.13	  2.60	  0.31	  0.04	  0.30	  0.03	  0.36	  0.03	  0.43	  0.03	  0.09	  0.07	-20.83	  0.06	-21.43	  0.04	  4.48	  0.25	All	Sloan	DR7	226.63179	+04.36691
105.4310	  104100	587726102025994600	0.0302	 2	  0.605	     1.768	 18.18	  0.03	 17.80	  0.03	 20.02	 19.55	  0.03	  2.25	  2.25	   1.75	   1.75	  0.44	  0.03	 145.84	  2.11	  0.38	  0.04	  0.35	  0.04	  0.38	  0.04	  0.74	  0.07	  0.03	  0.06	-17.62	  0.03	-17.96	  0.03	  1.20	  0.11	All	Sloan	DR7	226.68580	+04.33085
105.1536	  104101	587726102025994678	0.0301	-1	  0.603	     2.047	 17.99	  0.06	 17.51	  0.06	 20.73	 20.18	      	  4.06	  4.06	   3.36	   3.36	  0.34	  0.04	 169.26	  3.72	  0.06	  0.09	  0.21	  0.15	  0.25	  0.09	  0.70	  0.09	  0.02	  0.03	-17.82	  0.06	-18.25	  0.06	  1.38	  0.13	All	Sloan	DR7	226.71575	+04.31497
104.0043	  104102	587726102026059979	0.1455	 2	  2.548	   300.060	 18.24	  0.07	 17.13	  0.06	 19.56	 18.35	  0.09	  6.91	  6.91	   5.97	   5.97	  0.32	  0.04	 132.33	  3.03	  0.45	  0.04	  0.36	  0.04	  0.33	  0.02	  0.57	  0.02	  0.02	  0.02	-21.59	  0.07	-22.34	  0.06	  6.95	  0.80	All	Sloan	DR7	226.84729	+04.25276
 99.6449	  104103	587726102026059981	0.1344	 2	  2.383	   311.602	 17.91	  0.03	 17.15	  0.03	 19.82	 19.01	 -0.09	  7.08	  7.08	   6.97	   6.97	  0.04	  0.02	 130.10	  9.40	  0.55	  0.06	  0.48	  0.06	  0.25	  0.04	  0.19	  0.05	  0.09	  0.06	-21.50	  0.03	-22.06	  0.03	  0.99	  0.05	All	Sloan	DR7	226.85334	+04.33405
105.7514	  104104	587726102026060047	0.0867	-1	  1.623	    29.873	 18.83	  0.02	 18.06	  0.02	 20.06	 19.19	      	  4.13	  4.13	   2.76	   2.76	  0.65	  0.01	 154.12	  0.97	  0.46	  0.04	  0.13	  0.05	  0.42	  0.03	  0.33	  0.03	  0.03	  0.03	-19.49	  0.02	-20.14	  0.02	  0.70	  0.08	All	Sloan	DR7	226.85320	+04.21564
 97.1889	  104105	587726102026125428	0.0812	 2	  1.531	    92.010	 17.69	  0.03	 16.97	  0.03	 19.21	 18.43	  0.05	  4.54	  4.54	   3.63	   3.63	  0.41	  0.02	  57.16	  1.41	  0.39	  0.03	  0.24	  0.03	  0.54	  0.02	  0.48	  0.02	  0.05	  0.04	-20.50	  0.03	-21.07	  0.03	  1.82	  0.12	All	Sloan	DR7	226.97893	+04.30964
 96.0600	  104106	587726102026125569	0.0354	 2	  0.704	    13.183	 17.03	  0.02	 16.64	  0.02	 19.59	 19.19	 -0.06	  3.07	  3.07	   2.94	   2.94	  0.09	  0.02	  90.74	  5.77	 -0.16	  0.04	  0.37	  0.05	 -0.41	  0.04	  0.46	  0.03	  0.11	  0.11	-19.15	  0.02	-19.47	  0.02	  0.81	  0.03	All	Sloan	DR7	226.98778	+04.32626
101.0579	  104107	587726102026125593	0.1402	 2	  2.471	   243.787	 18.46	  0.03	 17.42	  0.02	 19.77	 18.62	  0.01	  7.35	  7.35	   4.62	   4.62	  0.74	  0.02	 146.88	  0.82	  0.55	  0.03	  0.17	  0.03	  0.42	  0.03	  0.50	  0.03	  0.05	  0.03	-21.23	  0.03	-21.97	  0.02	  2.03	  0.12	All	Sloan	DR7	227.00290	+04.22556
102.8227	  104108	587726102026125600	0.1238	 2	  2.222	   214.400	 18.07	  0.02	 17.30	  0.02	 19.64	 18.82	 -0.04	  6.52	  6.52	   5.09	   5.09	  0.44	  0.01	  23.46	  1.32	  0.27	  0.03	  0.30	  0.04	  0.27	  0.03	  0.20	  0.03	  0.04	  0.05	-21.14	  0.02	-21.73	  0.02	  0.97	  0.06	All	Sloan	DR7	227.01297	+04.18835
 99.8708	  104109	587726102026191086	0.1145	-1	  2.078	    86.252	 18.45	  0.03	 17.84	  0.04	 19.57	 18.86	      	  4.17	  4.17	   3.09	   3.09	  0.53	  0.03	  12.60	  2.16	  0.58	  0.04	  0.23	  0.05	  0.40	  0.02	  0.54	  0.03	  0.05	  0.06	-20.53	  0.03	-20.99	  0.04	  1.86	  0.23	All	Sloan	DR7	227.05870	+04.22176
 94.0695	  104110	587726102026191124	0.1121	 2	  2.038	   433.222	 17.29	  0.03	 16.32	  0.03	 18.95	 17.92	  0.01	  7.10	  7.10	   6.63	   6.63	  0.14	  0.02	 163.40	  3.91	  0.23	  0.02	  0.46	  0.02	  0.31	  0.01	  0.33	  0.01	  0.03	  0.03	-21.77	  0.03	-22.53	  0.03	  3.54	  0.13	All	Sloan	DR7	227.11950	+04.30088
101.6529	  104111	587726102026191126	0.1114	 2	  2.027	   136.939	 17.88	  0.02	 17.43	  0.02	 19.68	 19.14	 -0.03	  6.36	  6.36	   5.16	   5.16	  0.37	  0.02	 149.31	  1.69	 -0.07	  0.05	  0.96	  0.04	  0.34	  0.04	  0.57	  0.05	  0.08	  0.10	-20.97	  0.02	-21.30	  0.02	  0.78	  0.05	All	Sloan	DR7	227.11168	+04.16758
 92.7699	  104112	587726102026191128	0.1122	 2	  2.041	   142.496	 18.18	  0.03	 17.15	  0.03	 19.41	 18.32	  0.05	  4.71	  4.71	   4.01	   4.01	  0.36	  0.02	 124.78	  3.25	  0.30	  0.02	  0.25	  0.02	  0.27	  0.02	  0.54	  0.01	  0.03	  0.02	-20.93	  0.03	-21.69	  0.03	  6.92	  0.48	All	Sloan	DR7	227.12934	+04.32025
