ID,RA_deg,Dec_deg,ID_MUSE,sigma_kms,e_sigma_kms,SN
2,3.60136,-30.41536,32547,88.2,1.8,51.0
4,3.58571,-30.41397,32768,57.5,3.8,23.9
5,3.56958,-30.41216,33328,91.7,2.5,40.0
6,3.57967,-30.40919,34423,181.0,1.2,102.0
8,3.59203,-30.40573,36034,287.2,1.7,123.0
9,3.57395,-30.40883,35061,178.2,1.9,67.5
11,3.58882,-30.41072,33540,106.6,2.5,36.7
15,3.58251,-30.40999,33699,117.6,3.4,28.5
17,3.58913,-30.40957,33910,110.6,2.0,43.9
19,3.58972,-30.41023,33410,79.8,6.5,13.1
22,3.58383,-30.40951,33671,70.6,5.6,11.5
23,3.59172,-30.40781,34556,185.5,3.2,44.9
26,3.59786,-30.40555,21367,77.7,2.6,36.8
29,3.58625,-30.40016,37824,304.0,1.9,114.5
31,3.57340,-30.40746,34538,33.3,7.5,10.9
33,3.59591,-30.40621,35339,135.3,2.0,46.9
34,3.59250,-30.40462,36210,222.2,1.4,116.3
36,3.57851,-30.40338,36527,214.8,2.0,107.7
37,3.59028,-30.40740,34439,97.3,3.4,22.2
39,3.59896,-30.39753,39072,98.0,1.7,48.6
40,3.58704,-30.40495,35693,152.7,2.5,45.8
45,3.60527,-30.40081,37068,229.9,3.5,51.3
49,3.58794,-30.40085,36892,96.3,1.5,63.1
50,3.60528,-30.40293,36220,73.5,2.6,24.7
53,3.58438,-30.40289,36043,85.9,3.0,24.2
57,3.59483,-30.40213,36298,58.1,3.7,18.0
60,3.60435,-30.40012,37344,158.7,1.9,61.6
61,3.59300,-30.39933,37947,153.5,1.1,95.4
64,3.57859,-30.39911,37609,70.1,4.2,24.4
65,3.58766,-30.39640,39382,218.3,1.3,116.8
66,3.59446,-30.40035,37229,174.0,2.5,48.4
67,3.59480,-30.39165,40689,212.8,1.1,132.0
69,3.57281,-30.40053,36953,94.4,4.5,15.3
70,3.59676,-30.40051,36849,68.7,4.3,14.3
72,3.58216,-30.39857,38117,162.8,1.4,75.5
73,3.57490,-30.39838,38067,180.9,1.7,76.0
75,3.57907,-30.40009,36843,58.6,5.8,22.0
78,3.58398,-30.39926,37230,86.9,2.3,51.2
81,3.57886,-30.39711,38729,120.0,1.8,54.2
84,3.58292,-30.39970,36982,35.0,12.2,22.5
85,3.58838,-30.39836,38010,157.2,1.5,81.6
86,3.60271,-30.39757,37825,64.8,4.8,15.1
92,3.58552,-30.39715,38275,61.0,2.3,32.0
94,3.58868,-30.39608,38930,148.2,1.0,105.3
95,3.60220,-30.39699,38143,84.2,4.1,18.8
96,3.58539,-30.39428,40059,210.6,2.5,78.3
97,3.59287,-30.39635,38252,63.4,4.5,13.6
98,3.57895,-30.39412,39646,131.1,2.6,41.9
99,3.58815,-30.39507,39428,150.4,1.1,99.0
102,3.60083,-30.39490,39283,82.7,2.8,25.7
104,3.58139,-30.39393,39503,124.2,2.0,45.9
108,3.58498,-30.39288,39710,95.2,1.8,49.2
113,3.57150,-30.39043,40478,91.8,1.7,45.9
116,3.58037,-30.39220,39876,82.4,2.7,40.6
118,3.58095,-30.39081,40243,120.5,2.9,76.8
119,3.58530,-30.38756,41856,104.9,2.1,69.7
120,3.59034,-30.39094,40314,146.7,1.6,66.9
121,3.58438,-30.39175,39727,57.4,5.2,11.4
124,3.57017,-30.38645,41644,228.7,6.6,22.6
125,3.57835,-30.38946,40428,53.8,4.8,13.3
127,3.59471,-30.38912,42443,90.3,1.4,49.2
130,3.59317,-30.39035,40239,69.1,6.6,18.0
136,3.58919,-30.38740,41950,188.5,1.6,79.0
137,3.59551,-30.38868,42269,108.9,2.2,36.6
138,3.59877,-30.38802,42149,121.8,2.0,41.1
139,3.58372,-30.38467,41303,59.5,3.2,38.0
141,3.59255,-30.38531,41418,189.6,2.9,46.4
144,3.57834,-30.38710,42195,55.0,3.6,35.1
145,3.58814,-30.38501,41363,143.7,2.2,46.4
148,3.59347,-30.38760,42079,65.0,10.4,10.9
149,3.59328,-30.38438,41259,125.0,3.6,58.9
150,3.60543,-30.38484,41440,179.3,2.1,56.0
154,3.60439,-30.38496,41908,66.7,6.2,29.1
156,3.59028,-30.38269,40884,118.9,2.1,39.8
161,3.58804,-30.38256,40832,82.0,3.2,24.1
166,3.57847,-30.38132,44545,89.9,5.2,15.2
