#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:13:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:13:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/607/A30/m1149cla&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36070030
#Name: J/A+A/607/A30
#Title: ASTRODEEP Frontier Fields Catalogues (Di Criscienzo+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	creator=Di Criscienzo M.	    First author or institution
#INFO	cites=bibcode:2017A&A...607A..30D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/607/A30	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-jz/lda	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_607_A30_m1149cla:
#Name: J/A+A/607/A30/m1149cla
#Title: Photometric catalogue (magnitudes) of MACSJ-1149 cluster
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	ID Source identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_B435	(A1)	[-] "-' for upper limit flag on B435	[ucd=meta.code.error]
#Column	B435	(F9.6)	? Magnitude in B435 band (AB)	[ucd=phot.mag;em.opt.B]
#Column	l_V606	(A1)	[-] "-' for upper limit flag on V606	[ucd=meta.code.error]
#Column	V606	(F9.6)	? Magnitude in V606 band (AB)	[ucd=phot.mag;em.opt.R]
#Column	l_I814	(A1)	[-] "-' for upper limit flag on I814	[ucd=meta.code.error]
#Column	I814	(F9.6)	? Magnitude in I814 band (AB)	[ucd=phot.mag;em.opt.I]
#Column	Y105	(D12.5)	? Magnitude in Y105 band (AB) (negative values are upper limit)	[ucd=phot.mag;em.IR.J]
#Column	l_J125	(A1)	[-] "-' for upper limit flag on J125	[ucd=meta.code.error]
#Column	J125	(F9.6)	? Magnitude in J125 band (AB)	[ucd=phot.mag;em.IR.J]
#Column	l_JH140	(A1)	[-] "-' for upper limit flag on JH140	[ucd=meta.code.error]
#Column	JH140	(F9.6)	? Magnitude in JH140 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_H160	(A1)	[-] "-' for upper limit flag on H160	[ucd=meta.code.error]
#Column	H160	(F9.6)	? Magnitude in H160 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_Ks	(A1)	[-] "-' for upper limit flag on Ks	[ucd=meta.code.error]
#Column	Ks	(F9.6)	? Magnitude in Ks band (AB)	[ucd=phot.mag;em.IR.K]
#Column	l_IRAC1	(A1)	[-] "-' for upper limit flag on IRAC1	[ucd=meta.code.error]
#Column	IRAC1	(F9.6)	? Magnitude in IRAC1 band (AB)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	l_IRAC2	(A1)	[-] "-' for upper limit flag on IRAC2	[ucd=meta.code.error]
#Column	IRAC2	(F9.6)	? Magnitude in IRAC2 band (AB)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_B435	(F9.6)	? Magnitude error on B435 band (AB)	[ucd=stat.error]
#Column	e_V606	(D12.5)	? Magnitude error on V606 band (AB)	[ucd=stat.error]
#Column	e_I814	(D12.5)	? Magnitude error on I814 band (AB)	[ucd=stat.error]
#Column	e_Y105	(D12.5)	? Magnitude error on Y105 band (AB)	[ucd=stat.error]
#Column	e_J125	(D12.5)	? Magnitude error on J125 band (AB)	[ucd=stat.error]
#Column	e_JH140	(D12.5)	? Magnitude error on JH140 band (AB)	[ucd=stat.error]
#Column	e_H160	(D12.5)	? Magnitude error on H160 band (AB)	[ucd=stat.error]
#Column	e_Ks	(D15.8)	? Magnitude error on Ks band (AB)	[ucd=stat.error]
#Column	e_IRAC1	(D15.8)	? Magnitude error on IRAC1 band (AB)	[ucd=stat.error]
#Column	e_IRAC2	(F12.9)	? Magnitude error on IRAC2 band (AB)	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	l_B435	B435	l_V606	V606	l_I814	I814	Y105	l_J125	J125	l_JH140	JH140	l_H160	H160	l_Ks	Ks	l_IRAC1	IRAC1	l_IRAC2	IRAC2	e_B435	e_V606	e_I814	e_Y105	e_J125	e_JH140	e_H160	e_Ks	e_IRAC1	e_IRAC2
 	 	deg	deg	 	mag	 	mag	 	mag	mag	 	mag	 	mag	 	mag	 	mag	 	mag	 	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag
--------	------	----------	----------	-	---------	-	---------	-	---------	------------	-	---------	-	---------	-	---------	-	---------	-	---------	-	---------	---------	------------	------------	------------	------------	------------	------------	---------------	---------------	------------
       1	     1	177.384995	+22.368847	 	         	 	         	 	         	            	 	 2.504800	 	         	 	18.746000	 	19.475555	 	19.636074	 	19.942410	         	            	            	            	 1.08600e+00	            	 6.39500e-01	 2.71405100e-03	 1.04102600e-02	 0.008773513
       2	     2	177.411621	+22.369240	 	26.777800	 	25.686700	 	25.053800	 2.47111e+01	 	24.630200	 	         	 	24.287100	 	24.762941	 	25.107372	 	24.618565	 0.178900	 4.78700e-02	 2.14800e-02	 1.79600e-01	 1.32200e-01	            	 1.48900e-01	 2.56321800e-01	 1.64518900e-01	 0.093903740
       3	     3	177.384460	+22.369341	 	         	 	         	 	         	            	 	 2.184200	 	         	-	19.331600	 	25.529984	 	22.803940	 	23.104002	         	            	            	            	 1.08600e+00	            	 1.08600e+00	 5.46203400e-01	 1.06781300e-01	 0.080752130
       4	     4	177.386871	+22.369522	 	         	 	         	 	         	            	 	25.342100	 	         	 	24.734700	 	25.304932	-	29.396896	 	25.042498	         	            	            	            	 1.70200e-01	            	 1.29400e-01	 4.16247800e-01	 1.08570000e+00	 0.146761800
       5	     5	177.391449	+22.371094	 	         	 	         	 	         	            	 	20.159500	 	         	 	19.802100	 	19.441788	 	19.691391	 	20.059467	         	            	            	            	 3.67300e-03	            	 3.50000e-03	 2.92545900e-03	 1.10004700e-02	 0.008548715
       6	     6	177.412094	+22.370441	 	24.999200	 	22.788300	 	21.513200	 2.10597e+01	 	20.765000	 	         	 	20.435500	 	20.148537	 	20.401253	 	20.686459	 0.054880	 6.03900e-03	 1.65700e-03	 1.18900e-02	 6.36900e-03	            	 7.90000e-03	 4.99788000e-03	 1.08877800e-02	 0.008645614
       7	     7	177.397446	+22.369638	-	31.716400	-	32.190400	-	32.343800	            	 	         	 	         	 	         	 	21.044657	-	28.225492	 	24.799334	 1.086000	 1.08600e+00	 1.08600e+00	            	            	            	            	 7.86975100e-03	 1.08570000e+00	 0.279779000
       8	     8	177.388962	+22.369654	 	         	 	         	 	         	            	 	 2.026800	 	         	 	24.049600	 	25.032038	 	26.751078	 	23.554770	         	            	            	            	 1.08600e+00	            	 2.35000e-01	 3.17335500e-01	 8.13475600e-01	 0.037297880
       9	     9	177.391159	+22.370232	 	         	 	         	 	         	            	 	         	 	         	 	21.024700	 	20.809065	 	20.846296	 	21.143585	         	            	            	            	            	            	 6.00000e-02	 8.95460500e-03	 1.24077800e-02	 0.009382424
      10	    10	177.397202	+22.370155	 	25.925100	 	23.983400	 	22.934800	            	 	-0.402600	 	         	 	22.022500	 	20.042980	 	22.194834	 	22.462452	 0.107600	 1.36000e-02	 4.41900e-03	            	 1.08600e+00	            	 1.14100e-01	 4.18381500e-03	 2.78127300e-02	 0.026094720
      11	    11	177.397583	+22.369797	-	32.232000	-	32.707500	-	32.865700	            	 	-1.578800	 	         	 	23.059200	 	22.988991	-	26.440973	-	26.759228	 1.086000	 1.08600e+00	 1.08600e+00	            	 1.08600e+00	            	 7.29200e-01	 5.14957800e-02	 1.08570000e+00	 1.085700000
      12	    12	177.396652	+22.369843	-	33.536300	 	30.698100	 	28.992500	            	 	         	 	         	 	         	-	24.019020	 	23.632517	 	23.546021	 1.086000	 6.17900e-02	 1.10900e-02	            	            	            	            	 1.08570000e+00	 2.28765800e-01	 0.159275400
      13	    13	177.405334	+22.369890	 	26.503200	 	25.842600	 	25.522300	 2.51457e+01	 	24.785100	 	         	 	24.005800	 	24.020807	 	23.664211	 	23.541647	 0.118900	 4.46000e-02	 2.59000e-02	 2.37600e-01	 1.23900e-01	            	 1.77800e-01	 1.26382100e-01	 4.22546000e-02	 0.035789180
      14	    14	177.397888	+22.369921	-	30.946600	-	31.401100	-	31.554800	            	 	 0.329600	 	         	 	22.084600	-	23.546104	 	23.351301	-	26.152887	 1.086000	 1.08600e+00	 1.08600e+00	            	 1.08600e+00	            	 6.42300e-01	 1.08570000e+00	 8.83574200e-01	 1.085700000
      15	    15	177.390152	+22.369976	 	         	 	         	 	         	            	 	         	 	         	 	23.331100	 	23.938663	 	23.345377	 	23.300228	         	            	            	            	            	            	 1.38500e-01	 1.36973800e-01	 4.15531900e-02	 0.032151370
      16	    16	177.407852	+22.369987	 	25.882500	 	25.750300	 	25.327000	 2.45755e+01	 	24.502100	 	         	 	24.115800	 	24.690289	 	24.064014	 	24.384670	 0.085560	 4.78400e-02	 2.63200e-02	 1.56200e-01	 1.15000e-01	            	 1.12600e-01	 2.45310400e-01	 6.52644600e-02	 0.083715420
      17	    17	177.398148	+22.369976	-	31.404500	-	31.887500	-	32.030800	            	 	 0.111400	 	         	 	22.248000	-	24.271055	 	23.430120	 	24.223095	 1.086000	 1.08600e+00	 1.08600e+00	            	 1.08600e+00	            	 6.23400e-01	 1.08570000e+00	 5.20007400e-01	 0.801509400
