#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/m0416&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_m0416:
#Name: J/A+A/709/A254/m0416
#Title: Structural parameters for MACS J0416.1-2403 members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F435W	(F6.2)	Total F435W AB magnitude (MAG_F435W)	[ucd=phot.mag;em.opt.B]
#Column	e_F435W	(F6.2)	? 1-sigma error on Total F435W AB magnitude (MAG_ERR_F435W)	[ucd=stat.error]
#Column	ReF435W	(F6.2)	Circularised F435W effective radius in kpc (RE_F435W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF435W	(F6.2)	? 1-sigma error on Circularised F435W effective radius in kpc (RE_ERR_F435W)	[ucd=stat.error]
#Column	muF435W	(F6.2)	Average F435W surface brightness within the effective radius in mag/arcsec2 (MU_F435W)	[ucd=phot.mag.sb]
#Column	e_muF435W	(F6.2)	? 1-sigma error on Average F435W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F435W)	[ucd=stat.error]
#Column	nF435W	(F6.2)	F435W Sersic index (N_F435W)	[ucd=stat.fit.param]
#Column	e_nF435W	(F6.2)	? 1-sigma error on F435W Sersic index (N_ERR_F435W)	[ucd=stat.error]
#Column	ARF435W	(F6.2)	F435W axis ratio (AR_F435W)	[ucd=phys.size.axisRatio]
#Column	e_ARF435W	(F6.2)	? 1-sigma error on F435W axis ratio (AR_ERR_F435W)	[ucd=stat.error]
#Column	PAF435W	(F6.2)	[] F435W position angle in decimal degrees (PA_F435W)	[ucd=pos.posAng]
#Column	e_PAF435W	(F6.2)	? 1-sigma error on F435W position angle in decimal degrees (PA_ERR_F435W)	[ucd=stat.error]
#Column	F606W	(F6.2)	Total F606W AB magnitude (MAG_F606W)	[ucd=phot.mag;em.opt.R]
#Column	e_F606W	(F6.2)	? 1-sigma error on Total F606W AB magnitude (MAG_ERR_F606W)	[ucd=stat.error]
#Column	ReF606W	(F6.2)	Circularised F606W effective radius in kpc (RE_F606W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF606W	(F6.2)	? 1-sigma error on Circularised F606W effective radius in kpc (RE_ERR_F606W)	[ucd=stat.error]
#Column	muF606W	(F6.2)	Average F606W surface brightness within the effective radius in mag/arcsec2 (MU_F606W)	[ucd=phot.mag.sb]
#Column	e_muF606W	(F6.2)	? 1-sigma error on Average F606W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F606W)	[ucd=stat.error]
#Column	nF606W	(F6.2)	F606W Sersic index (N_F606W)	[ucd=stat.fit.param]
#Column	e_nF606W	(F6.2)	? 1-sigma error on F606W Sersic index (N_ERR_F606W)	[ucd=stat.error]
#Column	ARF606W	(F6.2)	F606W axis ratio (AR_F606W)	[ucd=phys.size.axisRatio]
#Column	e_ARF606W	(F6.2)	? 1-sigma error on F606W axis ratio (AR_ERR_F606W)	[ucd=stat.error]
#Column	PAF606W	(F6.2)	[] F606W position angle in decimal degrees (PA_F606W)	[ucd=pos.posAng]
#Column	e_PAF606W	(F6.2)	? 1-sigma error on F606W position angle in decimal degrees (PA_ERR_F606W)	[ucd=stat.error]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	e_F814W	(F6.2)	? 1-sigma error on Total F814W AB magnitude (MAG_ERR_F814W)	[ucd=stat.error]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF814W	(F6.2)	? 1-sigma error on Circularised F814W effective radius in kpc (RE_ERR_F814W)	[ucd=stat.error]
#Column	muF814W	(F6.2)	Average F814W surface brightness within the effective radius in mag/arcsec2 (MU_F814W)	[ucd=phot.mag.sb]
#Column	e_muF814W	(F6.2)	? 1-sigma error on Average F814W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F814W)	[ucd=stat.error]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	e_nF814W	(F6.2)	? 1-sigma error on F814W Sersic index (N_ERR_F814W)	[ucd=stat.error]
#Column	ARF814W	(F6.2)	F814W axis ratio (AR_F814W)	[ucd=phys.size.axisRatio]
#Column	e_ARF814W	(F6.2)	? 1-sigma error on F814W axis ratio (AR_ERR_F814W)	[ucd=stat.error]
#Column	PAF814W	(F6.2)	[] F814W position angle in decimal degrees (PA_F814W)	[ucd=pos.posAng]
#Column	e_PAF814W	(F6.2)	? 1-sigma error on F814W position angle in decimal degrees (PA_ERR_F814W)	[ucd=stat.error]
#Column	F105W	(F6.2)	? Total F105W AB magnitude (MAG_F105W)	[ucd=phot.mag;em.IR.J]
#Column	e_F105W	(F6.2)	? 1-sigma error on Total F105W AB magnitude (MAG_ERR_F105W)	[ucd=stat.error]
#Column	ReF105W	(F6.2)	Circularised F105W effective radius in kpc (RE_F105W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF105W	(F6.2)	? 1-sigma error on Circularised F105W effective radius in kpc (RE_ERR_F105W)	[ucd=stat.error]
#Column	muF105W	(F6.2)	Average F105W surface brightness within the effective radius in mag/arcsec2 (MU_F105W)	[ucd=phot.mag.sb]
#Column	e_muF105W	(F6.2)	? 1-sigma error on Average F105W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F105W)	[ucd=stat.error]
#Column	nF105W	(F6.2)	F105W Sersic index (N_F105W)	[ucd=stat.fit.param]
#Column	e_nF105W	(F6.2)	? 1-sigma error on F105W Sersic index (N_ERR_F105W)	[ucd=stat.error]
#Column	ARF105W	(F6.2)	F105W axis ratio (AR_F105W)	[ucd=phys.size.axisRatio]
#Column	e_ARF105W	(F6.2)	? 1-sigma error on F105W axis ratio (AR_ERR_F105W)	[ucd=stat.error]
#Column	PAF105W	(F6.2)	[] F105W position angle in decimal degrees (PA_F105W)	[ucd=pos.posAng]
#Column	e_PAF105W	(F6.2)	? 1-sigma error on F105W position angle in decimal degrees (PA_ERR_F105W)	[ucd=stat.error]
#Column	F125W	(F6.2)	? Total F125W AB magnitude (MAG_F125W)	[ucd=phot.mag;em.IR.J]
#Column	e_F125W	(F6.2)	? 1-sigma error on Total F125W AB magnitude (MAG_ERR_F125W)	[ucd=stat.error]
#Column	ReF125W	(F6.2)	? Circularised F125W effective radius in kpc (RE_F125W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF125W	(F6.2)	? 1-sigma error on Circularised F125W effective radius in kpc (RE_ERR_F125W)	[ucd=stat.error]
#Column	muF125W	(F6.2)	? Average F125W surface brightness within the effective radius in mag/arcsec2 (MU_F125W)	[ucd=phot.mag.sb]
#Column	e_muF125W	(F6.2)	? 1-sigma error on Average F125W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F125W)	[ucd=stat.error]
#Column	nF125W	(F6.2)	? F125W Sersic index (N_F125W)	[ucd=stat.fit.param]
#Column	e_nF125W	(F6.2)	? 1-sigma error on F125W Sersic index (N_ERR_F125W)	[ucd=stat.error]
#Column	ARF125W	(F6.2)	? F125W axis ratio (AR_F125W)	[ucd=phys.size.axisRatio]
#Column	e_ARF125W	(F6.2)	? 1-sigma error on F125W axis ratio (AR_ERR_F125W)	[ucd=stat.error]
#Column	PAF125W	(F6.2)	[]? F125W position angle in decimal degrees (PA_F125W)	[ucd=pos.posAng]
#Column	e_PAF125W	(F6.2)	? 1-sigma error on F125W position angle in decimal degrees (PA_ERR_F125W)	[ucd=stat.error]
#Column	F140W	(F6.2)	? Total F140W AB magnitude (MAG_F140W)	[ucd=phot.mag;em.IR.H]
#Column	e_F140W	(F6.2)	? 1-sigma error on Total F140W AB magnitude (MAG_ERR_F140W)	[ucd=stat.error]
#Column	ReF140W	(F6.2)	? Circularised F140W effective radius in kpc (RE_F140W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF140W	(F6.2)	? 1-sigma error on Circularised F140W effective radius in kpc (RE_ERR_F140W)	[ucd=stat.error]
#Column	muF140W	(F6.2)	? Average F140W surface brightness within the effective radius in mag/arcsec2 (MU_F140W)	[ucd=phot.mag.sb]
#Column	e_muF140W	(F6.2)	? 1-sigma error on Average F140W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F140W)	[ucd=stat.error]
#Column	nF140W	(F6.2)	? F140W Sersic index (N_F140W)	[ucd=stat.fit.param]
#Column	e_nF140W	(F6.2)	? 1-sigma error on F140W Sersic index (N_ERR_F140W)	[ucd=stat.error]
#Column	ARF140W	(F6.2)	? F140W axis ratio (AR_F140W)	[ucd=phys.size.axisRatio]
#Column	e_ARF140W	(F6.2)	? 1-sigma error on F140W axis ratio (AR_ERR_F140W)	[ucd=stat.error]
#Column	PAF140W	(F6.2)	[]? F140W position angle in decimal degrees (PA_F140W)	[ucd=pos.posAng]
#Column	e_PAF140W	(F6.2)	? 1-sigma error on F140W position angle in decimal degrees (PA_ERR_F140W)	[ucd=stat.error]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
#Column	e_F160W	(F6.2)	? 1-sigma error on Total F160W AB magnitude (MAG_ERR_F160W)	[ucd=stat.error]
#Column	ReF160W	(F6.2)	Circularised F160W effective radius in kpc (RE_F160W)	[ucd=meta.ref;pos.frame]
#Column	e_ReF160W	(F6.2)	? 1-sigma error on Circularised F160W effective radius in kpc (RE_ERR_F160W)	[ucd=stat.error]
#Column	muF160W	(F6.2)	Average F160W surface brightness within the effective radius in mag/arcsec2 (MU_F160W)	[ucd=phot.mag.sb]
#Column	e_muF160W	(F6.2)	? 1-sigma error on Average F160W surface brightness within the effective radius in mag/arcsec2 (MU_ERR_F160W)	[ucd=stat.error]
#Column	nF160W	(F6.2)	F160W Sersic index (N_F160W)	[ucd=stat.fit.param]
#Column	e_nF160W	(F6.2)	? 1-sigma error on F160W Sersic index (N_ERR_F160W)	[ucd=stat.error]
#Column	ARF160W	(F6.2)	F160W axis ratio (AR_F160W)	[ucd=phys.size.axisRatio]
#Column	e_ARF160W	(F6.2)	? 1-sigma error on F160W axis ratio (AR_ERR_F160W)	[ucd=stat.error]
#Column	PAF160W	(F6.2)	[] F160W position angle in decimal degrees (PA_F160W)	[ucd=pos.posAng]
#Column	e_PAF160W	(F6.2)	? 1-sigma error on F160W position angle in decimal degrees (PA_ERR_F160W)	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	F435W	e_F435W	ReF435W	e_ReF435W	muF435W	e_muF435W	nF435W	e_nF435W	ARF435W	e_ARF435W	PAF435W	e_PAF435W	F606W	e_F606W	ReF606W	e_ReF606W	muF606W	e_muF606W	nF606W	e_nF606W	ARF606W	e_ARF606W	PAF606W	e_PAF606W	F814W	e_F814W	ReF814W	e_ReF814W	muF814W	e_muF814W	nF814W	e_nF814W	ARF814W	e_ARF814W	PAF814W	e_PAF814W	F105W	e_F105W	ReF105W	e_ReF105W	muF105W	e_muF105W	nF105W	e_nF105W	ARF105W	e_ARF105W	PAF105W	e_PAF105W	F125W	e_F125W	ReF125W	e_ReF125W	muF125W	e_muF125W	nF125W	e_nF125W	ARF125W	e_ARF125W	PAF125W	e_PAF125W	F140W	e_F140W	ReF140W	e_ReF140W	muF140W	e_muF140W	nF140W	e_nF140W	ARF140W	e_ARF140W	PAF140W	e_PAF140W	F160W	e_F160W	ReF160W	e_ReF160W	muF160W	e_muF160W	nF160W	e_nF160W	ARF160W	e_ARF160W	PAF160W	e_PAF160W
 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec2	mag/arcsec2	 	 	 	 	deg	deg
--------	---	---------	---------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------
       1	  1	064.03810	-24.06749	 21.33	  0.04	  7.19	  0.43	 22.53	  0.17	  1.73	  0.07	  0.80	  0.04	 53.57	  1.23	 20.52	  0.60	  2.92	  5.25	 19.75	  4.51	  1.06	  0.92	  0.85	  0.11	 59.99	  7.63	 18.47	  0.10	 11.47	  2.65	 20.68	  0.60	  2.23	  0.16	  0.79	  0.02	 53.42	  1.21	 18.17	  0.28	  9.03	  0.87	 19.85	  0.48	  2.14	  0.53	  0.78	  0.03	 56.10	  2.08	 17.34	  0.04	  6.78	  0.30	 18.41	  0.14	  2.20	  0.16	  0.83	  0.01	 54.89	  0.79	 17.46	  0.22	 11.11	  4.15	 19.59	  1.03	  2.30	  0.72	  0.95	  0.15	 53.18	  0.67	 17.34	  0.08	  8.81	  1.59	 18.98	  0.48	  2.18	  0.32	  0.83	  0.11	 55.58	  5.22
       2	  2	064.04486	-24.07351	 22.21	  0.01	  3.02	  0.06	 21.52	  0.05	  3.03	  0.02	  0.80	  0.00	 74.81	  0.33	 19.94	  0.02	  4.44	  0.14	 20.08	  0.09	  2.76	  0.09	  0.80	  0.02	 71.63	  0.64	 18.50	  0.01	  9.14	  0.19	 20.22	  0.06	  4.53	  0.37	  0.77	  0.01	 69.13	  2.21	 18.49	  0.01	  4.46	  0.07	 18.64	  0.04	  2.53	  0.05	  0.82	  0.01	 72.43	  0.39	 18.23	  0.01	  4.27	  0.13	 18.29	  0.08	  2.64	  0.11	  0.80	  0.02	 75.21	  1.82	 18.08	  0.01	  4.39	  0.07	 18.21	  0.04	  2.53	  0.04	  0.82	  0.01	 73.24	  0.53	 17.78	  0.01	  5.09	  0.05	 18.22	  0.02	  3.79	  0.02	  0.80	  0.00	 75.09	  0.43
       3	  3	064.03471	-24.07160	 23.00	  0.06	  1.82	  0.14	 21.20	  0.24	  3.36	  0.31	  0.85	  0.00	-36.38	  2.79	 20.59	  0.11	  2.25	  0.77	 19.26	  0.85	  5.03	  0.65	  0.82	  0.02	-35.85	  2.28	 19.50	  0.12	  2.71	  0.58	 18.58	  0.58	  5.81	  0.84	  0.80	  0.01	-26.17	  3.70	 19.08	  0.19	  2.23	  0.56	 17.73	  0.74	  4.65	  1.34	  0.79	  0.01	-26.98	  3.96	 18.83	  0.18	  2.01	  0.56	 17.25	  0.79	  4.64	  1.20	  0.79	  0.04	-25.96	  4.44	 18.64	  0.16	  1.97	  0.62	 17.03	  0.85	  4.60	  1.17	  0.81	  0.03	-34.15	  8.75	 18.58	  0.09	  2.26	  0.36	 17.26	  0.44	  4.26	  0.73	  0.79	  0.05	-24.97	  4.93
       4	  4	064.03823	-24.07176	 23.15	  0.08	  1.23	  0.25	 20.51	  0.52	  3.07	  0.42	  0.73	  0.02	-83.69	  1.50	 21.16	  0.03	  1.35	  0.15	 18.72	  0.27	  3.27	  0.24	  0.70	  0.01	-86.27	  2.05	 20.16	  0.05	  1.47	  0.10	 17.91	  0.19	  3.58	  0.31	  0.71	  0.02	-69.44	 53.70	 19.67	  0.04	  1.37	  0.20	 17.27	  0.34	  3.39	  0.49	  0.73	  0.02	-40.25	 80.79	 19.42	  0.03	  1.30	  0.26	 16.90	  0.47	  3.31	  0.72	  0.72	  0.02	-45.80	 78.57	 19.27	  0.03	  1.24	  0.21	 16.64	  0.40	  3.05	  0.70	  0.73	  0.02	-33.95	 84.14	 19.08	  0.04	  1.11	  0.31	 16.21	  0.65	  3.24	  0.90	  0.71	  0.02	-20.38	 88.83
       5	  5	064.04276	-24.07303	 23.68	  0.03	  1.97	  0.01	 22.06	  0.03	  2.81	  0.01	  0.71	  0.00	 30.88	  0.44	 21.63	  0.04	  1.70	  0.07	 19.69	  0.13	  2.71	  0.05	  0.71	  0.02	 30.17	  0.77	 20.63	  0.01	  1.81	  0.07	 18.84	  0.09	  3.38	  0.29	  0.70	  0.01	 31.44	  1.81	 20.15	  0.01	  1.81	  0.04	 18.35	  0.06	  2.52	  0.07	  0.72	  0.01	 28.87	  0.59	 19.88	  0.02	  1.74	  0.06	 17.99	  0.10	  2.61	  0.07	  0.69	  0.02	 28.99	  0.37	 19.75	  0.01	  1.84	  0.03	 17.98	  0.04	  2.53	  0.05	  0.72	  0.01	 28.92	  0.25	 19.44	  0.01	  1.85	  0.02	 17.68	  0.03	  2.99	  0.03	  0.68	  0.01	 26.09	  0.64
       6	  6	064.03268	-24.07015	 23.60	  0.08	  1.50	  0.20	 21.39	  0.37	  2.19	  0.22	  0.51	  0.00	-13.38	  0.23	 21.79	  0.05	  1.36	  0.08	 19.36	  0.18	  2.07	  0.13	  0.46	  0.01	-13.33	  0.61	 20.90	  0.05	  1.32	  0.06	 18.41	  0.14	  2.19	  0.22	  0.44	  0.01	-12.81	  0.82	 20.48	  0.09	  1.21	  0.09	 17.80	  0.25	  1.83	  0.32	  0.41	  0.03	-12.21	  0.70	 20.28	  0.11	  1.12	  0.05	 17.44	  0.21	  1.82	  0.15	  0.40	  0.01	-12.27	  0.73	 20.16	  0.12	  1.10	  0.05	 17.28	  0.21	  1.79	  0.15	  0.41	  0.01	-12.17	  0.64	 19.94	  0.18	  1.02	  0.02	 16.88	  0.23	  1.78	  0.18	  0.40	  0.01	-13.34	  0.99
       7	  7	064.02494	-24.07207	 22.90	  0.07	  1.80	  0.16	 21.09	  0.26	  2.66	  0.34	  0.49	  0.01	-51.22	  0.87	 20.81	  0.03	  1.54	  0.17	 18.65	  0.27	  2.92	  0.24	  0.43	  0.02	-51.10	  0.25	 19.88	  0.03	  1.55	  0.05	 17.73	  0.10	  3.14	  0.09	  0.42	  0.00	-50.40	  0.51	 19.39	  0.03	  1.55	  0.17	 17.25	  0.26	  2.95	  0.24	  0.44	  0.04	-49.48	  0.25	 19.14	  0.03	  1.42	  0.14	 16.82	  0.25	  2.58	  0.69	  0.43	  0.01	-49.48	  0.42	 18.99	  0.03	  1.36	  0.18	 16.57	  0.31	  2.89	  0.47	  0.42	  0.01	-49.63	  0.44	 18.82	  0.06	  1.25	  0.18	 16.22	  0.37	  2.52	  0.61	  0.43	  0.02	-48.36	  1.00
       8	  8	064.04636	-24.06706	 22.80	  0.03	  3.11	  0.08	 22.17	  0.08	  2.62	  0.12	  0.61	  0.01	 48.53	  0.41	 20.79	  0.07	  3.50	  0.47	 20.42	  0.36	  3.64	  0.28	  0.58	  0.01	 49.19	  0.71	 19.83	  0.06	  3.46	  0.41	 19.43	  0.32	  4.19	  0.29	  0.58	  0.02	 47.67	  0.76	 19.38	  0.08	  3.04	  0.56	 18.70	  0.48	  4.18	  0.43	  0.60	  0.04	 47.51	  1.39	 19.15	  0.09	  2.70	  0.52	 18.22	  0.51	  4.25	  0.58	  0.62	  0.03	 48.60	  3.46	 18.98	  0.08	  2.75	  0.53	 18.09	  0.49	  4.54	  0.55	  0.62	  0.04	 49.36	  4.57	 18.91	  0.08	  2.83	  0.42	 18.08	  0.40	  4.86	  0.50	  0.62	  0.03	 49.28	  3.23
       9	  9	064.02831	-24.07227	 23.41	  0.07	  1.13	  0.33	 20.58	  0.71	  3.06	  0.54	  0.77	  0.02	 55.40	  1.00	 21.46	  0.04	  1.50	  0.17	 19.24	  0.28	  2.99	  0.23	  0.76	  0.02	 53.22	  1.89	 20.51	  0.03	  1.44	  0.03	 18.21	  0.06	  2.89	  0.06	  0.76	  0.01	 48.78	  1.98	 20.06	  0.03	  1.34	  0.13	 17.60	  0.25	  2.48	  0.31	  0.74	  0.02	 42.92	  1.53	 19.80	  0.03	  1.30	  0.15	 17.28	  0.28	  2.34	  0.53	  0.75	  0.03	 44.30	  3.95	 19.65	  0.03	  1.28	  0.13	 17.10	  0.25	  2.25	  0.51	  0.75	  0.02	 44.05	  3.43	 19.49	  0.05	  1.19	  0.19	 16.77	  0.39	  2.25	  0.62	  0.75	  0.03	 44.42	  2.12
      10	 10	064.04245	-24.07465	 25.18	  0.16	  0.77	  0.03	 21.53	  0.25	  1.25	  0.08	  0.78	  0.01	-79.52	  1.60	 23.62	  0.07	  0.79	  0.02	 20.02	  0.12	  1.41	  0.05	  0.78	  0.01	-76.74	  2.63	 22.93	  0.03	  0.83	  0.02	 19.43	  0.07	  1.43	  0.07	  0.80	  0.02	-75.54	  2.04	 22.61	  0.06	  0.87	  0.02	 19.21	  0.12	  1.44	  0.13	  0.83	  0.03	-56.88	 38.19	 22.47	  0.09	  0.86	  0.03	 19.04	  0.17	  1.44	  0.12	  0.82	  0.01	-68.11	  2.28	 22.41	  0.10	  0.86	  0.03	 18.98	  0.18	  1.37	  0.13	  0.82	  0.02	-66.99	  0.91	 22.29	  0.16	  0.84	  0.04	 18.82	  0.26	  1.40	  0.14	  0.81	  0.03	-65.93	  1.67
      11	 11	064.04090	-24.07460	 26.12	  0.14	  1.05	  0.07	 23.13	  0.29	  1.18	  0.09	  0.29	  0.01	-61.98	  0.18	 24.24	  0.05	  1.35	  0.08	 21.80	  0.18	  1.69	  0.09	  0.28	  0.01	-62.41	  0.21	 23.44	  0.04	  1.36	  0.04	 21.02	  0.11	  1.74	  0.06	  0.29	  0.01	-62.37	  0.23	 23.05	  0.05	  1.44	  0.10	 20.75	  0.19	  1.56	  0.12	  0.33	  0.03	-62.02	  0.49	 22.89	  0.07	  1.34	  0.11	 20.43	  0.24	  1.48	  0.14	  0.32	  0.02	-61.92	  0.16	 22.81	  0.10	  1.34	  0.08	 20.36	  0.22	  1.42	  0.10	  0.32	  0.01	-62.00	  0.11	 22.73	  0.09	  1.06	  0.13	 19.76	  0.36	  0.28	  0.83	  0.25	  0.04	-59.79	  1.21
      12	 12	064.04131	-24.07136	 21.95	  0.06	  4.30	  0.37	 22.03	  0.25	  2.56	  0.11	  0.75	  0.03	-65.26	  1.39	 20.39	  0.13	  4.59	  0.91	 20.61	  0.56	  5.26	  0.43	  0.68	  0.01	-67.20	  1.39	 19.48	  0.08	  4.02	  0.31	 19.41	  0.24	  5.19	  0.12	  0.70	  0.02	-63.76	  0.72	 19.16	  0.14	  2.77	  1.16	 18.28	  1.06	  4.22	  0.85	  0.73	  0.04	-62.89	  1.11	 18.97	  0.08	  2.69	  0.54	 18.03	  0.52	  3.69	  0.73	  0.70	  0.03	-63.93	  1.64	 18.75	  0.11	  3.02	  0.70	 18.06	  0.62	  4.33	  0.58	  0.70	  0.03	-64.01	  1.68	 18.61	  0.06	  2.04	  0.38	 17.06	  0.46	  4.42	  0.72	  0.67	  0.05	-62.06	  1.14
      13	 13	064.03679	-24.07226	 24.68	  0.06	  1.48	  0.14	 22.43	  0.27	  3.17	  0.48	  0.85	  0.03	-78.98	  1.98	 22.09	  0.08	  3.45	  1.30	 21.69	  0.90	  6.97	  0.75	  0.96	  0.04	-62.24	 24.74	 21.13	  0.22	  3.85	  1.48	 20.96	  1.06	  7.70	  1.51	  0.96	  0.03	-46.52	 62.32	 20.95	  0.28	  2.09	  0.89	 19.46	  1.21	  5.22	  2.06	  0.99	  0.02	 22.75	 30.24	 20.47	  0.22	  3.26	  1.10	 19.95	  0.96	  6.53	  1.24	  0.98	  0.03	-65.17	 28.89	 20.66	  0.19	  1.74	  0.55	 18.76	  0.88	  4.27	  1.64	  0.93	  0.04	-69.30	 26.64	 20.54	  0.07	  1.78	  0.25	 18.71	  0.37	  4.88	  0.60	  0.96	  0.03	-50.53	  5.68
