#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/514/497/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75140497
#Name: J/MNRAS/514/497
#Title: HST/MUSE study of galaxies in Abell 370 (Lagattuta+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	creator=Lagattuta D.J.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.514..497L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/514/497	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-g2-fh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_514_497_tablea1:
#Name: J/MNRAS/514/497/tablea1
#Title: The Abell 370 Pilot-WINGS master data catalogue containing spectroscopic/photometric and spatial informations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I5)	Numerical identifier from SExtractor for each galaxy (iden) (1)	[ucd=meta.id;meta.main]
#Column	IDfrom	(A7)	An indication of how the object was detected (idfrom) (2)	[ucd=src.class]
#Column	Field	(A4)	The data set containing the galaxy (Field) (3)	[ucd=src.class.starGalaxy]
#Column	RAJ2000	(F11.8)	Right Ascension aligned to Gaia DR2 world coordinate system (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.8)	Declination aligned to Gaia DR2 world coordinate system (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.5)	The measured redshift of each galaxy (z)	[ucd=src.redshift]
#Column	q_z	(I1)	An assessment of the reliability of the redshift measurement from low q_z = 1 to high q_z = 3 (zconf) (4)	[ucd=meta.code.qual;src.redshift]
#Column	F435Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F435W-band (F435W) (5)	[ucd=phot.mag;em.opt.B]
#Column	e_F435Wmag	(D16.9)	[]? The measured uncertainty of F435Wmag (F435W_err)	[ucd=stat.error]
#Column	F606Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F606W-band (F606W) (5)	[ucd=phot.mag;em.opt.R]
#Column	e_F606Wmag	(D16.9)	[]? The measured uncertainty of F606Wmag (F606W_err)	[ucd=stat.error]
#Column	F814Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F814W-band (F814W) (5)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(D16.9)	[]? The measured uncertainty of F814Wmag (F814W_err)	[ucd=stat.error]
#Column	F105Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F105W-band (F105W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F105Wmag	(D16.9)	[]? The measured uncertainty of F105Wmag (F105W_err)	[ucd=stat.error]
#Column	F125Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F125W-band (F125W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F125Wmag	(D16.9)	[]? The measured uncertainty of F125Wmag (F125W_err)	[ucd=stat.error]
#Column	F140Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F140W-band (F140W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F140Wmag	(D16.9)	[]? The measured uncertainty of F140Wmag (F140W_err)	[ucd=stat.error]
#Column	F160Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F60W-band (F160W) (5)	[ucd=phot.mag;em.IR.H]
#Column	e_F160Wmag	(D16.9)	[]? The measured uncertainty of F160Wmag (F160W_err)	[ucd=stat.error]
#Column	MULID	(a9)	If the object is part of a multiply-imaged system it gives a unique identifier for each image (MUL) (6)	[ucd=meta.id.assoc]
recno	ID	IDfrom	Field	RAJ2000	DEJ2000	z	q_z	F435Wmag	e_F435Wmag	F606Wmag	e_F606Wmag	F814Wmag	e_F814Wmag	F105Wmag	e_F105Wmag	F125Wmag	e_F125Wmag	F140Wmag	e_F140Wmag	F160Wmag	e_F160Wmag	MULID
 	 	 	 	deg	deg	 	 	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
--------	-----	-------	----	-----------	-----------	-------	-	----------	----------------	----------	----------------	----------	----------------	----------	----------------	----------	----------------	----------	----------------	----------	----------------	---------
       1	    1	EXTERN 	CORE	39.96599600	-1.58438450	6.28550	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	36.2
       2	    1	PRIOR  	P02 	39.99259270	-1.56756840	0.36739	3	 22.554893	 4.862202300e-02	 21.038517	 2.643361100e-02	 20.060999	 1.590602500e-02	 19.752165	 2.792812300e-02	 19.499338	 1.192074700e-02	 19.340239	 7.452275600e-02	 19.253384	 4.949513000e-02	
       3	    1	PRIOR  	P04 	39.96519940	-1.55177450	0.37291	3	 24.281110	 6.511242000e-02	 22.340984	 2.384841400e-02	 21.375660	 1.365678500e-02	 20.945648	 1.755632900e-01	 20.705376	 5.022936700e-02	 20.576750	 1.255346200e-01	 20.465744	 2.281677300e-01	
       4	    1	MUSELET	P05 	39.99282560	-1.57194950	1.26522	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
       5	    2	EXTERN 	CORE	39.96318840	-1.56604570	1.03230	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	42.2
       6	    2	PRIOR  	P07 	39.99004400	-1.60627140	0.37507	3	-99.000000	 0.000000000e+00	 20.181700	 4.700000000e-03	 19.331700	 2.200000000e-03	 18.983400	 2.100000000e-03	 18.755000	 1.500000000e-03	-99.000000	 0.000000000e+00	 18.492600	 1.500000000e-03	
       7	    3	EXTERN 	CORE	39.97039120	-1.56879430	5.64890	3	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	37.1
       8	    3	PRIOR  	P02 	39.99083110	-1.56637900	0.00041	3	 18.350384	 2.451512700e-03	 18.005604	 3.633729400e-03	 17.592900	 2.872834400e-03	 17.266397	 4.702932000e-03	 17.221386	 1.558385800e-03	 17.267298	 1.691417280e+08	 17.265554	 1.881912200e-02	
       9	    3	PRIOR  	P06 	39.95723180	-1.56562050	0.36766	3	 20.982200	 4.600000000e-03	 19.583300	 1.300000000e-03	 18.633900	 3.000000000e-04	 18.182800	 1.000000000e-03	 17.930100	 9.000000000e-04	-99.000000	 0.000000000e+00	 17.669800	 8.000000000e-04	
      10	    4	EXTERN 	CORE	39.97042800	-1.56942030	5.64890	3	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	37.2
      11	    5	EXTERN 	CORE	39.96698200	-1.58679990	3.80840	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	25.3
      12	    5	PRIOR  	P06 	39.95590890	-1.56655970	0.54819	3	 22.815500	 1.000000000e-02	 20.810500	 1.600000000e-03	 19.641200	 4.000000000e-04	 19.238600	 1.500000000e-03	 18.994200	 1.400000000e-03	 18.856300	 7.000000000e-04	 18.712000	 1.300000000e-03	
      13	    6	MUSELET	P09 	39.97228333	-1.60274593	0.45251	3	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      14	   11	MUSELET	P07 	39.99662610	-1.59286790	5.52584	2	          	                	          	                	          	                	          	                	          	                	          	                	          	                	
      15	   17	PRIOR  	P10 	39.96328590	-1.61042560	0.42243	3	          	 1.085700000e+00	 23.147255	 1.732088500e-01	 22.609339	 7.584616000e-02	 22.357890	 3.537666200e-01	 22.278114	 1.384961800e-01	          	 2.166318900e+20	 22.146976	 1.390964700e-01	
      16	   19	PRIOR  	P10 	39.96407920	-1.61150260	0.47376	3	 35.769928	 3.480550230e+14	 23.914572	 2.546537200e-01	 23.225930	 1.124678400e-01	 23.028114	 5.150742000e-01	 22.971888	 2.251671000e-01	          	 1.085700000e+00	 22.838545	 1.683473000e-01	
      17	   23	PRIOR  	P05 	39.99814290	-1.59137840	0.36193	3	 24.586890	 5.771085000e-02	 22.918884	 2.564570000e-02	 22.066170	 1.744205700e-02	 21.721313	 1.837080900e-01	 21.501392	 5.648000500e-02	 45.721450	 1.495030010e+18	 21.312737	 2.023740300e-01	
