#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T00:01:48 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T00:01:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/777/97/table7&-out=SL2S,z,logMC,e_logMC,logMS,e_logMS,logMC2,e_logMC2,logMS2,e_logMS2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17770097
#Name: J/ApJ/777/97
#Title: SL2S galaxy-scale lens sample. III. (Sonnenfeld+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	creator=Sonnenfeld A.	    First author or institution
#INFO	cites=bibcode:2013ApJ...777...97S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/777/97	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17770097	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_777_97_table7:
#Name: J/ApJ/777/97/table7
#Title: Stellar mass measurements
#Column	SL2S	(A14)	Lens name (G1)	[ucd=meta.id;meta.main]
#Column	z	(F6.3)	[0.2/0.8]? Lens redshift; discussed in Paper IV (2013ApJ...777...98S)	[ucd=src.redshift]
#Column	logMC	(F5.2)	[10.4/11.9]? Log stellar mass, Chabrier IMF	[ucd=phys.mass]
#Column	e_logMC	(F5.2)	[0.09/0.2]? Error on logMC	[ucd=stat.error]
#Column	logMS	(F5.2)	[10.6/11.8]? Log stellar mass, Salpeter IMF	[ucd=phys.mass]
#Column	e_logMS	(F5.2)	[0.06/0.2]? Error on logMS	[ucd=stat.error]
#Column	logMC2	(F5.2)	[10.6/12.1]? Log stellar mass, Chabrier IMF with NIR	[ucd=phys.mass]
#Column	e_logMC2	(F5.2)	[0.09/0.2]? Error on logMC2	[ucd=stat.error]
#Column	logMS2	(F5.2)	[10.9/12]? Log stellar mass, Salpeter IMF with NIR	[ucd=phys.mass]
#Column	e_logMS2	(F5.2)	[0.06/0.2]? Error on logMS2	[ucd=stat.error]
SL2S	z	logMC	e_logMC	logMS	e_logMS	logMC2	e_logMC2	logMS2	e_logMS2
 	 	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]	[Msun]
--------------	------	-----	-----	-----	-----	-----	-----	-----	-----
J020833-071414	 0.428	11.59	 0.10	     	     	11.84	 0.10	     	
J021206-075528	 0.460	11.33	 0.10	     	     	11.59	 0.10	     	
J021247-055552	 0.750	11.17	 0.17	     	     	11.45	 0.17	     	
J021325-074355	 0.717	11.71	 0.18	11.73	 0.15	11.97	 0.19	11.97	 0.14
J021411-040502	 0.609	11.34	 0.14	11.38	 0.10	11.60	 0.14	11.63	 0.10
J021737-051329	 0.646	11.29	 0.15	11.35	 0.11	11.53	 0.16	11.60	 0.11
J021801-080247	      	     	     	     	     	     	     	     	
J021902-082934	 0.389	11.24	 0.10	11.20	 0.08	11.50	 0.10	11.45	 0.08
J022046-094927	 0.572	11.11	 0.12	     	     	11.36	 0.11	     	
J022056-063934	 0.330	11.44	 0.10	     	     	11.69	 0.09	     	
J022346-053418	 0.499	11.51	 0.11	     	     	11.76	 0.11	     	
J022357-065142	 0.473	11.49	 0.10	11.44	 0.08	11.74	 0.10	11.67	 0.08
J022511-045433	 0.238	11.57	 0.09	11.59	 0.07	11.81	 0.09	11.84	 0.07
J022610-042011	 0.494	11.48	 0.10	11.41	 0.09	11.73	 0.11	11.64	 0.09
J022648-040610	 0.766	11.53	 0.12	11.46	 0.11	11.79	 0.12	11.70	 0.11
J022648-090421	 0.456	11.72	 0.10	     	     	11.97	 0.10	     	
J023251-040823	 0.352	11.11	 0.10	11.18	 0.08	11.36	 0.09	11.43	 0.07
J084847-035103	 0.682	10.97	 0.16	     	     	11.24	 0.16	     	
J084909-041226	 0.722	11.39	 0.14	11.31	 0.10	11.63	 0.13	11.56	 0.11
J084934-043352	 0.373	11.42	 0.10	     	     	11.67	 0.10	     	
J084959-025142	 0.274	11.27	 0.09	11.27	 0.07	11.52	 0.09	11.51	 0.07
J085019-034710	 0.337	10.89	 0.09	     	     	11.14	 0.09	     	
J085327-023745	 0.774	11.13	 0.16	     	     	11.38	 0.16	     	
J085540-014730	 0.365	10.86	 0.10	     	     	11.11	 0.10	     	
J085559-040917	 0.419	11.39	 0.10	     	     	11.63	 0.10	     	
J085826-014300	 0.580	10.76	 0.14	10.81	 0.10	11.01	 0.14	11.06	 0.10
J090106-025906	 0.670	10.80	 0.17	     	     	11.07	 0.16	     	
J090407-005952	 0.611	11.30	 0.11	11.41	 0.11	11.55	 0.12	11.66	 0.11
J095921+020638	 0.552	11.03	 0.10	10.81	 0.09	11.28	 0.11	11.04	 0.09
J135847+545913	 0.510	11.39	 0.11	     	     	11.66	 0.11	     	
J135949+553550	 0.783	11.17	 0.15	     	     	11.41	 0.15	     	
J140123+555705	 0.527	11.54	 0.11	     	     	11.80	 0.11	     	
