#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T00:01:50 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T00:01:50	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/824/86/table1&-out=SDSS,zL,zs,_RA,_DE,imag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18240086
#Name: J/ApJ/824/86
#Title: The BOSS emission-line lens survey. III. (Shu+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/824/86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/824/86	    IVOID of underlying data collection
#INFO	creator=Shu Y.	    First author or institution
#INFO	cites=bibcode:2016ApJ...824...86S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/824/86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18240086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-08-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_824_86_table1:
#Name: J/ApJ/824/86/table1
#Title: Selected Properties of the 21 Galaxy-LAE Lens Candidate Systems
#Column	SDSS	(A19)	SDSS name	[ucd=meta.id;meta.main]
#Column	zL	(F7.4)	Redshift of the foreground lens galaxy	[ucd=src.redshift]
#Column	zs	(F7.4)	Redshift of the lensed LAE	[ucd=src.redshift;pos.heliocentric]
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	imag	(F5.2)	BOSS-measured i-band apparent cmodel magnitude within the 1" fiber	[ucd=phot.mag;em.opt.I]
SDSS	zL	zs	_RAJ2000	_DEJ2000	imag
 	 	 	deg	deg	mag
-------------------	-------	-------	-------------	-------------	-----
J002927.38+254401.7	 0.5869	 2.4504	007.364118056	+25.733829500	19.22
J005409.97+294450.8	 0.4488	 2.7176	013.541564167	+29.747468944	19.53
J011300.57+025046.2	 0.6230	 2.6088	018.252395833	 +2.846168000	19.45
J020121.39+322829.6	 0.3957	 2.8209	030.339147500	+32.474906917	18.32
J023740.63-064112.9	 0.4859	 2.2491	039.419330556	 -6.686941667	19.22
J074249.68+334148.9	 0.4936	 2.3633	115.707023889	+33.696941389	19.47
J075523.52+344539.5	 0.7224	 2.6347	118.848022500	+34.760997778	20.54
J085621.59+201040.5	 0.5074	 2.2335	134.089965833	+20.177930833	19.44
J091807.86+451856.7	 0.5238	 2.3440	139.532775833	+45.315769194	19.35
J091859.21+510452.5	 0.5811	 2.4030	139.746719167	+51.081275944	19.71
J111027.11+280838.4	 0.6073	 2.3999	167.612960833	+28.144018167	19.91
J111040.42+364924.4	 0.7330	 2.5024	167.668441667	+36.823444361	19.86
J111634.55+091503.0	 0.5501	 2.4536	169.143997222	 +9.250845917	19.40
J114154.71+221628.8	 0.5858	 2.7624	175.477966389	+22.274692528	19.73
J120159.02+474323.2	 0.5628	 2.1258	180.495941389	+47.723110194	19.30
J122656.45+545739.0	 0.4980	 2.7322	186.735244722	+54.960845944	18.88
J151641.22+495440.7	 0.5479	 2.8723	229.171753056	+49.911327361	19.02
J152926.41+401548.8	 0.5308	 2.7920	232.360061667	+40.263568889	19.35
J222825.76+120503.9	 0.5305	 2.8324	337.107360833	+12.084430694	19.89
J224505.93+004018.3	 0.7021	 2.5413	341.274719167	 +0.671764056	19.56
J234248.68-012032.5	 0.5270	 2.2649	355.702850556	 -1.342370861	19.57

