#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T07:50:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T07:50:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/690/A52/tablec4&Group=11649&-out=Group,GalID,SpecObjID,RAJ2000,DEJ2000,zsp,Lr&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36900052
#Name: J/A+A/690/A52
#Title: AXES-SDSS galaxy groups (Damsted+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	creator=Damsted S.	    First author or institution
#INFO	cites=bibcode:2024A&A...690A..52D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/690/A52	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36900052	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_690_A52_tablec4:
#Name: J/A+A/690/A52/tablec4
#Title: Clean members of SDSS FoF groups
#Column	Group	(I5)	FoF group identification number (GROUP_ID)	[ucd=meta.id]
#Column	GalID	(I6)	FoF ID of the galaxy (GALID)	[ucd=meta.id;meta.main]
#Column	SpecObjID	(I19)	SDSS ID of the galaxy (specobjid)	[ucd=meta.id]
#Column	RAJ2000	(F13.9)	Right ascension (J2000) (RA_GAL)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination (J2000) (DEC_GAL)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F12.9)	Galaxy redshift (ZSPEC)	[ucd=src.redshift]
#Column	Lr	(E11.4)	r-band luminosity (L_R)	[ucd=phys.luminosity;em.opt]
Group	GalID	SpecObjID	RAJ2000	DEJ2000	zsp	Lr
 	 	 	deg	deg	 	Lsun
-----	------	-------------------	-------------	-------------	------------	-----------
11649	 70023	                  0	186.623250645	 +9.019241000	 0.026352500	 5.6139e+00
11649	 79673	6081099845874675712	186.617909813	 +9.019892000	 0.026184459	 5.4230e+00
11649	231931	1386019389802833920	186.647924364	 +9.035484000	 0.026008878	 3.0744e+00
11649	334572	1386010318831904768	186.746708539	 +8.958791000	 0.025499100	 2.1463e+00
11649	404004	1387187346130102272	186.631880173	 +9.123110000	 0.025249635	 1.5830e+00
11649	429805	6081077305886306304	186.871252315	 +9.043365000	 0.026281795	 1.2690e+00
11649	549653	1385998224203999232	186.806780325	 +8.901722000	 0.025738195	 3.5219e-01
11649	550736	1387189820031264768	186.684569275	 +9.048483000	 0.024251647	 3.8735e-01
11649	551427	1386006745419114496	186.669939319	 +9.014896000	 0.025052850	 3.5262e-01
11649	562534	1385997124692371456	186.870342402	 +9.096249000	 0.026562671	 2.1653e-01
11649	565508	1386014442000508928	186.782713146	 +9.219051000	 0.026509697	 1.9206e-01
11649	571655	1387191194420799488	186.622224025	 +9.187339000	 0.026045743	 1.4499e-01
11649	572857	1386021039070275584	186.631625007	 +8.975765000	 0.025633980	 1.3731e-01
11649	577965	1386007295174928384	186.708202984	 +9.014832000	 0.026463387	 8.2590e-02
11649	579583	1386019939558647808	186.636765786	 +9.050217000	 0.023931752	 8.1672e-02

