#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	deg	deg
--------	----------	-	---------------------------------------------	---------------------------------------------	-----------	------	---	----	----	-----	---------------------------------------------------------	---------------------------------------------------------------------------------------------------	---	---	-	---------	---------
       1	UGC 12893 	 	dSA(l)0^o^ / Sph                             	dSA(l)0^o^ / Sph                             	II.1.0001  	Simbad	NED	LEDA	11.0	 0.00	dSA(l)0^o^ / Sph                                         	excellent case; face-on                                                                            	  1	  1	 	000.11866	+17.22030
       2	PGC 143   	 	dIm                                          	dI                                           	II.1.0002  	Simbad	NED	LEDA	10.0	     	dIm                                                      	resolved dwarf; image defects                                                                      	  1	  0	 	000.49125	-15.46389
       3	ESO 12-14 	 	IB(s)m                                       	SB(s)m                                       	II.1.0003  	Simbad	NED	LEDA	 9.5	 1.00	S/IB(s)m                                                 	                                                                                                   	  1	  0	 	000.68417	-80.34639
       4	UGC 17    	 	IABm                                         	IABm                                         	II.1.0004  	Simbad	NED	LEDA	10.0	 0.50	IABm                                                     	                                                                                                   	  1	  1	 	000.92996	+15.21831
       5	NGC 7814  	 	SA0/a spw                                    	SA0/a spw                                    	II.1.0005  	Simbad	NED	LEDA	 0.0	 0.00	SA0/a spw                                                	excellent large edge-on                                                                            	  1	  1	 	000.81228	+16.14523
       6	NGC 7817  	 	SAB(rs,nd)bc                                 	SA(rs,nd)b sp                                	II.1.0006  	Simbad	NED	LEDA	 3.5	 0.25	S\underline{A}B(rs,nd)\underline{b}c sp                  	grand-design spiral; bright (nd); bar is end-on and barely visible; like N1365                     	  1	  1	G	000.99541	+20.75234
       7	ESO 409-15	 	dIm                                          	dIm                                          	II.1.0007  	Simbad	NED	LEDA	10.0	     	dIAB:m                                                   	                                                                                                   	  1	  0	 	001.38271	-28.09817
       8	ESO 293-34	 	S pec                                        	S spw pec                                    	II.1.0008  	Simbad	NED	LEDA	    	     	S spw pec                                                	warped disk                                                                                        	  1	  0	 	001.58298	-41.49990
       9	NGC 7     	 	Sd / Im sp                                   	Sd sp                                        	II.1.0009  	Simbad	NED	LEDA	 7.0	     	Sd sp                                                    	large associations at ends of major axis                                                           	  1	  0	 	002.08483	-29.91700
      10	NGC 14    	 	(L)IB(s)m                                    	(L)IABm                                      	II.1.0010  	Simbad	NED	LEDA	10.0	 0.75	(L)IA\underline{B}(s:)m                                  	unusual for Im to have an outer feature                                                            	  1	  1	 	002.19342	+15.81553
      11	IC 1532   	 	SB(s)m sp                                    	SB(s)m sp                                    	II.1.0011  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m sp                                                	flocculent spiral; highly inclined but not edge-on                                                 	  1	  0	F	002.47292	-64.37139
      12	NGC 24    	 	S(rs)d: sp                                   	SA(rs,nd)d                                   	I.1.001    	Simbad	NED	LEDA	 7.0	 0.00	SA:(rs,nd)d: sp                                          	highly inclined but not edge-on                                                                    	  1	  0	 	002.48559	-24.96313
      13	UGC 99    	 	SAB(s)m                                      	SA(s)dm                                      	II.1.0012  	Simbad	NED	LEDA	 8.5	 0.25	S\underline{A}B(s)d\underline{m}                         	flocculent spiral; subtle features                                                                 	  1	  1	F	002.67000	+13.70939
      14	ESO 293-45	 	Sm: sp                                       	dIm sp                                       	II.1.0013  	Simbad	NED	LEDA	 9.5	     	S/Im: sp                                                 	                                                                                                   	  1	  0	 	002.85346	-41.39822
