#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea2:
#Name: J/A+A/587/A160/tablea2
#Title: Bar maximum gravitational torques and radii
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Qb	(F6.3)	Bar maximum gravitational torque	[ucd=src.morph.param]
#Column	e_Qb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_Qb2	(F6.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	RQb	(F7.3)	Bar maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	e_RQb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_RQb2	(F6.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Qbhcor	(F8.3)	? Bar maximum gravitational torque correcting for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbhcor	(F8.3)	? Bar maximum gravitational torque radius correcting for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	Qbbar	(F8.3)	? Bar-only maximum gravitational torque	[ucd=src.morph.param]
#Column	RQbbar	(F8.3)	? Bar-only maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	Qbbarhcor	(F8.3)	? Bar-only maximum gravitational torque correcting also for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbbarhcor	(F8.3)	? Bar-only maximum gravitational torque radius correcting also for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	QbS08	(F8.3)	? Bar maximum gravitational torque using the relation from Speltincx et al. (2008MNRAS.383..317S) for the disk thickness estimation	[ucd=src.morph.param]
#Column	e_QbS081	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	e_QbS082	(F8.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	QTrbar	(F8.3)	? Radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
#Column	e_QTrbar1	(F8.3)	[]? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_QTrbar2	(F8.3)	? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	QThcorrbar	(F8.3)	? Halo-corrected radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
recno	Galaxy	Qb	e_Qb1	e_Qb2	RQb	e_RQb1	e_RQb2	Qbhcor	RQbhcor	Qbbar	RQbbar	Qbbarhcor	RQbbarhcor	QbS08	e_QbS081	e_QbS082	QTrbar	e_QTrbar1	e_QTrbar2	QThcorrbar
 	 	 	 	 	arcsec	arcsec	arcsec	 	arcsec	 	arcsec	 	arcsec	 	 	 	 	 	 	
--------	----------	------	--------	------	-------	--------	------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
       1	ESO012-010	 0.641	  -0.053	 0.025	  8.250	  -1.500	 0.000	   0.518	   3.750	   0.627	   8.250	   0.514	   3.750	   0.680	  -0.060	   0.053	   0.373	  -0.039	   0.017	   0.168
       2	ESO013-016	 0.520	  -0.048	 0.024	  6.750	   0.000	 0.000	   0.470	   6.750	   0.483	   6.750	   0.437	   6.750	   0.582	  -0.055	   0.046	   0.334	  -0.025	   0.010	   0.258
       3	ESO026-001	 0.579	  -0.057	 0.030	  5.250	   0.000	 0.000	   0.505	   5.250	   0.580	   5.250	   0.505	   5.250	   0.549	  -0.061	   0.071	   0.212	  -0.027	   0.013	   0.093
       4	ESO027-001	 0.250	  -0.040	 0.022	 15.750	   0.000	 0.000	        	        	   0.151	   9.750	        	        	   0.230	  -0.041	   0.047	   0.249	  -0.039	   0.024	
       5	ESO079-007	 0.362	  -0.040	 0.016	  3.750	   0.000	 0.000	   0.329	   3.750	   0.364	   3.750	   0.331	   3.750	   0.324	  -0.037	   0.040	   0.196	  -0.016	   0.007	   0.149
       6	ESO202-041	 0.449	  -0.070	 0.073	 17.250	   0.000	 0.000	   0.113	   9.750	   0.323	  11.250	   0.099	   8.250	   0.449	  -0.070	   0.073	   0.436	  -0.070	   0.073	   0.085
       7	ESO234-043	 0.569	  -0.046	 0.043	  8.250	   0.000	 0.000	   0.419	   6.750	   0.538	   6.750	   0.398	   6.750	   0.569	  -0.046	   0.043	   0.396	  -0.036	   0.027	   0.168
       8	ESO236-039	 0.313	  -0.047	 0.020	  5.250	   0.000	 0.000	   0.171	   5.250	   0.305	   5.250	   0.167	   5.250	   0.259	  -0.043	   0.049	   0.157	  -0.022	   0.010	   0.071
       9	ESO285-048	 0.411	  -0.027	 0.012	  3.750	   0.000	 0.000	   0.381	   3.750	   0.401	   3.750	   0.372	   3.750	   0.394	  -0.033	   0.030	   0.274	  -0.038	   0.017	   0.205
      10	ESO287-037	 0.358	  -0.023	 0.012	  6.750	  -1.500	 0.000	   0.304	   5.250	   0.346	   5.250	   0.293	   5.250	   0.360	  -0.027	   0.026	   0.298	  -0.027	   0.011	   0.167
      11	ESO289-026	 0.741	  -0.101	 0.109	 18.750	  -1.500	 0.000	   0.549	   3.750	   0.727	  17.250	   0.547	   3.750	   0.741	  -0.101	   0.109	   0.404	  -0.052	   0.044	   0.119
      12	ESO298-023	 0.432	  -0.030	 0.015	  3.750	  -1.500	 0.000	   0.241	   2.250	        	        	        	        	   0.394	  -0.026	   0.029	        	        	        	
      13	ESO340-017	 0.549	  -0.043	 0.020	  8.250	   0.000	 0.000	   0.500	   6.750	   0.548	   8.250	   0.499	   6.750	   0.522	  -0.047	   0.049	   0.190	  -0.015	   0.006	   0.091
      14	ESO340-042	 0.638	  -0.050	 0.024	  3.750	   0.000	 0.000	   0.606	   3.750	   0.623	   3.750	   0.592	   3.750	   0.627	  -0.058	   0.057	   0.383	  -0.047	   0.025	   0.318
      15	ESO345-046	 0.300	  -0.020	 0.011	  3.750	   0.000	 0.000	   0.246	   3.750	   0.198	   3.750	   0.163	   3.750	   0.279	  -0.022	   0.024	   0.270	  -0.019	   0.010	   0.200
      16	ESO358-020	 0.365	  -0.036	 0.016	  5.250	   0.000	 0.000	   0.333	   5.250	   0.363	   5.250	   0.331	   5.250	   0.345	  -0.044	   0.039	   0.122	  -0.013	   0.006	   0.102
      17	ESO359-031	 0.329	  -0.037	 0.018	  8.250	   0.000	 0.000	   0.306	   8.250	   0.306	   8.250	   0.285	   8.250	   0.282	  -0.040	   0.044	   0.237	  -0.023	   0.010	   0.213
      18	ESO404-003	 0.380	  -0.031	 0.013	  6.750	   0.000	 0.000	   0.332	   5.250	   0.321	   5.250	   0.286	   3.750	   0.348	  -0.031	   0.034	   0.375	  -0.029	   0.013	   0.290
      19	ESO404-012	 0.279	  -0.030	 0.022	  9.750	   0.000	 0.000	   0.241	   9.750	   0.217	   9.750	   0.191	   8.250	   0.264	  -0.038	   0.044	   0.268	  -0.031	   0.022	   0.228
      20	ESO418-008	 0.480	  -0.044	 0.020	  3.750	   0.000	 0.000	   0.389	   3.750	   0.454	   3.750	   0.368	   3.750	   0.451	  -0.054	   0.050	   0.288	  -0.030	   0.014	   0.196
