#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea3:
#Name: J/A+A/587/A160/tablea3
#Title: Bar intrinsic ellipticity and parameters from the Fourier dissection of bars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Ell	(F8.3)	? Bar intrinsic ellipticity	[ucd=src.ellipticity]
#Column	A2	(F6.3)	? Bar maximum normalized m=2 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA2	(F7.3)	? Bar maximum normalized m=2 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A2rbar	(F8.3)	? Normalized m=2 Fourier amplitude evaluated at the end of the bar	[ucd=src.var.amplitude]
recno	Galaxy	Ell	A2	RA2	A4	RA4	A6	RA6	A8	RA8	A2rbar
 	 	 	 	arcsec	 	arcsec	 	arcsec	 	arcsec	
--------	----------	--------	------	-------	--------	--------	--------	--------	--------	--------	--------
       1	ESO012-010	   0.691	 0.483	 15.750	   0.195	  15.750	        	        	        	        	   0.318
       2	ESO013-016	   0.612	 0.391	  9.750	   0.125	   8.250	   0.098	   9.750	        	        	   0.265
       3	ESO026-001	   0.602	 0.643	  6.750	   0.282	   6.750	   0.133	   6.750	   0.083	   8.250	   0.244
       4	ESO027-001	   0.546	 0.489	 14.250	        	        	        	        	        	        	   0.478
       5	ESO079-007	   0.562	 0.191	  6.750	   0.112	   8.250	        	        	        	        	   0.089
       6	ESO202-041	   0.590	 0.467	 15.750	   0.255	  15.750	        	        	        	        	   0.386
       7	ESO234-043	   0.662	 0.505	 14.250	        	        	        	        	        	        	   0.418
       8	ESO236-039	   0.341	 0.143	  5.250	        	        	        	        	        	        	   0.096
       9	ESO285-048	   0.593	 0.322	  8.250	   0.090	  12.750	        	        	        	        	   0.272
      10	ESO287-037	   0.431	 0.291	  9.750	        	        	        	        	        	        	   0.223
      11	ESO289-026	   0.785	 0.777	 17.250	   0.398	  17.250	   0.206	  18.750	   0.188	  17.250	   0.528
      12	ESO298-023	        	 0.330	  8.250	        	        	        	        	        	        	
      13	ESO340-017	   0.484	 0.621	 11.250	        	        	        	        	        	        	   0.486
      14	ESO340-042	   0.729	 0.530	  8.250	   0.191	   8.250	        	        	        	        	   0.439
      15	ESO345-046	   0.435	 0.177	  5.250	        	        	        	        	        	        	   0.162
      16	ESO358-020	   0.493	 0.223	  8.250	        	        	        	        	        	        	   0.145
      17	ESO359-031	   0.400	 0.185	  9.750	   0.097	  12.750	        	        	        	        	   0.184
      18	ESO404-003	   0.504	 0.330	  6.750	        	        	        	        	        	        	   0.287
      19	ESO404-012	   0.608	 0.365	 11.250	   0.127	   9.750	        	        	        	        	   0.361
      20	ESO418-008	        	 0.255	  6.750	   0.137	   9.750	   0.048	   6.750	        	        	   0.165
      21	ESO418-009	   0.739	 0.311	  9.750	   0.159	   9.750	        	        	        	        	   0.314
      22	ESO420-009	   0.376	 0.080	  3.750	   0.016	   3.750	        	        	        	        	   0.057
      23	ESO422-005	        	 0.262	  9.750	   0.125	   8.250	        	        	        	        	
      24	ESO440-046	   0.682	 0.168	 11.250	        	        	        	        	        	        	   0.166
      25	ESO441-017	        	 0.260	  5.250	   0.062	   5.250	        	        	        	        	   0.218
      26	ESO443-069	   0.669	 0.556	  6.750	   0.291	   8.250	   0.166	   8.250	   0.089	   8.250	   0.298
      27	ESO443-085	   0.614	 0.307	  9.750	        	        	        	        	        	        	   0.287
      28	ESO445-089	   0.558	 0.299	  8.250	        	        	        	        	        	        	   0.289
      29	ESO482-035	   0.682	 0.517	 11.250	   0.223	  12.750	   0.145	  14.250	   0.063	  11.250	   0.405
      30	ESO485-021	   0.597	 0.442	 14.250	   0.155	  14.250	        	        	        	        	   0.422
      31	ESO508-007	   0.465	 0.214	  6.750	        	        	        	        	        	        	   0.167
