#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table3:
#Name: J/A+A/582/A86/table3
#Title: Properties of spiral arms in the S4G; corrected version sent by the author
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a24)	Morphological classification	[ucd=src.morph]
#Column	Type	(A1)	Type of arms (3)	[ucd=src.morph.type]
#Column	Segment	(A3)	Segment	[ucd=obs.field]
#Column	Pitchang	(F5.1)	Pitch angle	[ucd=src.morph.param]
#Column	ri	(F5.1)	Inner radius	[ucd=phys.angSize;src]
#Column	ro	(F5.1)	Outer radius	[ucd=phys.angSize;src]
#Column	Qual	(F4.1)	[1/2] Quality flag (4)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	Segment	Pitchang	ri	ro	Qual	Simbad	_RA	_DE
 	 	 	 	 	deg	arcsec	arcsec	 	 	deg	deg
--------	----------	------------------------	-	---	-----	-----	-----	----	------	---------	---------
       1	ESO012-010	SA_B(s)d                	F	sp1	-40.8	 24.9	 70.1	 1.0	Simbad	359.11500	-81.56639
       2	ESO012-010	SA_B(s)d                	F	sp2	-32.2	 28.0	 67.8	 1.0	Simbad	359.11500	-81.56639
       3	ESO026-001	(R_2')SAB(s)_cd         	M	sp1	-13.3	 19.9	 35.4	 2.0	Simbad	306.25914	-81.57516
       4	ESO026-001	(R_2')SAB(s)_cd         	M	sp2	-12.0	 18.7	 36.8	 2.0	Simbad	306.25914	-81.57516
       5	ESO027-001	SA_B(s)_bc              	M	sp1	 36.9	 15.9	 28.6	 1.0	Simbad	328.11051	-81.53084
       6	ESO027-001	SA_B(s)_bc              	M	sp2	  5.7	 29.9	 34.8	 1.0	Simbad	328.11051	-81.53084
       7	ESO027-001	SA_B(s)_bc              	M	sp3	 28.7	 36.3	 82.9	 1.0	Simbad	328.11051	-81.53084
       8	ESO027-001	SA_B(s)_bc              	M	sp4	  2.9	 84.3	 90.0	 1.0	Simbad	328.11051	-81.53084
       9	ESO027-001	SA_B(s)_bc              	M	sp5	 15.2	 22.0	 81.8	 1.0	Simbad	328.11051	-81.53084
      10	ESO027-008	SAB(s)_bc               	G	sp1	 17.2	 16.9	 50.5	 1.0	Simbad	335.76783	-79.99701
      11	ESO027-008	SAB(s)_bc               	G	sp2	 10.4	 17.5	 29.6	 1.0	Simbad	335.76783	-79.99701
      12	ESO027-008	SAB(s)_bc               	G	sp3	 30.1	 31.0	 59.6	 1.0	Simbad	335.76783	-79.99701
      13	ESO027-008	SAB(s)_bc               	G	sp4	 48.6	 22.0	 63.8	 1.0	Simbad	335.76783	-79.99701
      14	ESO054-021	(R')SAB(s)_dmpec        	F	sp1	 28.9	 19.8	104.3	 2.0	Simbad	057.45602	-71.63538
      15	ESO054-021	(R')SAB(s)_dmpec        	F	sp2	 29.6	 25.7	115.1	 2.0	Simbad	057.45602	-71.63538
      16	ESO116-012	SA_B(s)msp              	F	sp1	 -8.6	 45.8	 63.2	 2.0	Simbad	048.26977	-57.35725
      17	ESO116-012	SA_B(s)msp              	F	sp2	-58.5	 15.8	 44.9	 2.0	Simbad	048.26977	-57.35725
      18	ESO238-018	SA_B(s)dm               	F	sp1	 -7.0	 13.3	 18.4	 2.0	Simbad	338.93246	-50.89069
      19	ESO238-018	SA_B(s)dm               	F	sp2	-40.9	  6.8	 11.2	 2.0	Simbad	338.93246	-50.89069
      20	ESO287-037	SAB(s)dm                	F	sp1	  8.2	 27.4	 35.6	 2.0	Simbad	323.63342	-44.31478
      21	ESO287-037	SAB(s)dm                	F	sp2	  7.9	 25.0	 28.8	 2.0	Simbad	323.63342	-44.31478
      22	ESO288-013	SA_B(s)dm               	F	sp1	 -7.8	 20.2	 27.8	 2.0	Simbad	327.94417	-43.12417
      23	ESO288-013	SA_B(s)dm               	F	sp2	 -1.2	 27.7	 28.4	 2.0	Simbad	327.94417	-43.12417
      24	ESO288-013	SA_B(s)dm               	F	sp3	-27.2	 11.9	 28.7	 2.0	Simbad	327.94417	-43.12417
      25	ESO289-026	SAB(s)d                 	G	sp1	 28.8	 35.2	 69.4	 2.0	Simbad	335.88846	-42.27458
      26	ESO289-026	SAB(s)d                 	G	sp2	 39.2	 27.3	 66.7	 2.0	Simbad	335.88846	-42.27458
