#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table2:
#Name: J/A+A/582/A86/table2
#Title: Properties of bars, ring- and lens-structures in the S4G
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a27)	Morphological classification	[ucd=src.morph]
#Column	Type	(a5)	Type of feature (1)	[ucd=src.morph.type]
#Column	sma	(F5.1)	Semi-major axis	[ucd=phys.angSize;src]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Ell	(F7.2)	? Ellipticity	[ucd=src.ellipticity]
#Column	smaEll	(F6.1)	? Semi-major axis from ellipticity	[ucd=phys.angSize;src]
#Column	dsma	(F6.1)	? Deprojected semi-major axis	[ucd=phys.angSize;src]
#Column	dPA	(I4)	? Deprojected position angle	[ucd=pos.posAng]
#Column	dEll	(F7.2)	? Deprojected ellipticity	[ucd=src.ellipticity]
#Column	dsmaEll	(F6.1)	? Deprojexted semi-major axis from Ell	[ucd=phys.angSize;src]
#Column	Qual	(I1)	[1/3] Quality flag (2)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	sma	PA	Ell	smaEll	dsma	dPA	dEll	dsmaEll	Qual	Simbad	_RA	_DE
 	 	 	 	arcsec	deg	 	arcsec	arcsec	deg	 	arcsec	 	 	deg	deg
--------	----------	---------------------------	-----	-----	---	-------	------	------	----	-------	------	-	------	---------	---------
       1	ESO012-010	SA_B(s)d                   	bar  	 14.0	 21	   0.50	   9.2	  27.3	  43	   0.69	  17.3	1	Simbad	359.11500	-81.56639
       2	ESO012-014	S/IB(s)m                   	bar  	 23.8	  5	       	      	      	    	       	      	3	Simbad	000.68417	-80.34639
       3	ESO013-016	SB(rs)cd                   	bar  	 16.1	166	   0.75	  10.4	  16.1	 167	   0.61	  10.4	1	Simbad	023.20167	-79.47389
       4	ESO013-016	SB(rs)cd                   	rs   	 24.0	157	   0.25	      	  27.8	  90	   0.15	      	1	Simbad	023.20167	-79.47389
       5	ESO015-001	IB(s)m                     	bar  	 14.3	120	       	      	      	    	       	      	2	Simbad	055.93917	-80.10528
       6	ESO026-001	(R'2)SAB(s)_cd             	bar  	 18.5	 59	   0.61	  21.6	  19.0	  61	   0.60	  22.1	1	Simbad	306.25914	-81.57516
       7	ESO026-001	(R'2)SAB(s)_cd             	R2'  	 38.4	 54	   0.32	      	  39.3	  59	   0.31	      	2	Simbad	306.25914	-81.57516
       8	ESO027-001	SA_B(s)_bc                 	bar  	 13.1	 35	   0.53	  14.0	  13.8	  45	   0.55	  16.0	1	Simbad	328.11051	-81.53084
       9	ESO027-008	SAB(s)_bc                  	bar  	 14.8	131	       	      	      	    	       	      	1	Simbad	335.76783	-79.99701
      10	ESO048-017	SB(s)m                     	bar  	 27.9	 58	       	      	      	    	       	      	3	Simbad	332.23190	-73.38196
      11	ESO054-021	(R')SAB(s)_dm,pec          	bar  	  9.0	 69	       	      	      	    	       	      	2	Simbad	057.45602	-71.63538
      12	ESO054-021	(R')SAB(s)_dm,pec          	R'   	 94.3	102	   0.50	      	 114.8	 143	   0.31	      	3	Simbad	057.45602	-71.63538
      13	ESO079-005	SB(s)m                     	bar  	 15.6	 13	   0.82	  14.3	  17.7	  27	   0.76	  16.3	2	Simbad	010.18535	-63.44034
      14	ESO079-007	SB(s)dm                    	bar  	 13.9	 24	   0.64	  10.8	  14.0	  26	   0.56	  10.8	2	Simbad	012.51717	-66.55275
      15	ESO085-014	SBm                        	bar  	 23.5	 74	       	      	      	    	       	      	2	Simbad	073.67985	-62.80058
      16	ESO085-047	SB(s)m                     	bar  	 14.8	 43	       	      	      	    	       	      	2	Simbad	076.93292	-62.99000
      17	ESO107-016	SA_B(s)dm,sp               	bar  	  7.4	 98	       	      	      	    	       	      	3	Simbad	319.01958	-64.81694
      18	ESO114-007	S/IA_B(s)m/clump_group     	bar  	 13.0	 78	       	      	      	    	       	      	3	Simbad	026.62654	-58.67417
      19	ESO115-021	SA_B(s)m,sp                	bar  	 23.4	 47	       	      	      	    	       	      	3	Simbad	039.45651	-61.33160
      20	ESO116-012	SA_B(s)m,sp                	bar  	 24.0	 33	       	      	      	    	       	      	3	Simbad	048.26977	-57.35725
      21	ESO119-016	(R')SAB(s)dm:              	bar  	 15.6	 57	       	      	      	    	       	      	3	Simbad	072.87167	-61.65083
