#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	rfp	(A3)	Display the Radial force profiles of this galaxy	[ucd=meta.ref.url]
#Column	rcdm	(A4)	Display the Rotation curve decomposition model of this galaxy	[ucd=meta.ref.url]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	M*	(I12)	? Total stellar mass	[ucd=phys.mass]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Ropt	(F8.3)	? Estimated optical radius	[ucd=phys.angSize;em.opt]
#Column	VHI	(F8.3)	? Inclination-corrected HI maximum velocity	[ucd=spect.dopplerVeloc]
#Column	V36max	(F8.3)	? Maximum of the stellar contribution to the rotation curve	[ucd=phys.veloc.rotat]
#Column	e_V36max1	(F7.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36max2	(F6.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36maxRad	(F8.3)	? Radius of maximum velocity of the stellar component of the rotation curve	[ucd=phys.angSize]
#Column	e_V36maxRad1	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36maxRad2	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36Ropt	(F8.3)	? The stellar contribution to the rotation curve evaluated at the optical radius	[ucd=phys.veloc.rotat]
#Column	e_V36Ropt1	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36Ropt2	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	dRV36	(F8.3)	? Inner slope of the stellar component of the rotation curve	[ucd=arith.grad;phys.veloc]
#Column	e_dRV361	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_dRV362	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	ahalo	(F8.3)	? Halo core radius	[ucd=phys.size.radius]
#Column	Vinfhalo	(F8.3)	? Halo velocity amplitude, corrected to match the HI maximum velocity	[ucd=phys.veloc.dispersion]
#Column	Mh/M*	(F8.3)	? Stellar-to-halo mass ratio within the optical radius	[ucd=phys.mass;arith.ratio]
#Column	bar	(A1)	indicates bar informations in tables A2 and/or A3	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	rfp	rcdm	Galaxy	M*	Dist	hz	e_hz1	e_hz2	Ropt	VHI	V36max	e_V36max1	e_V36max2	V36maxRad	e_V36maxRad1	e_V36maxRad2	V36Ropt	e_V36Ropt1	e_V36Ropt2	dRV36	e_dRV361	e_dRV362	ahalo	Vinfhalo	Mh/M*	bar	Simbad	_RA	_DE
 	 	 	 	Msun	Mpc	arcsec	arcsec	arcsec	arcsec	km/s	km/s	km/s	km/s	arcsec	arcsec	arcsec	km/s	km/s	km/s	km/s/kpc	km/s/kpc	km/s/kpc	kpc	km/s	 	 	 	deg	deg
--------	---	----	----------	------------	-------	------	-------	-------	--------	--------	--------	-------	------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	-	------	---------	---------
       1	rfp	rcdm	ESO012-010	  4285479936	 32.750	 3.555	  2.844	 -0.889	 108.651	 119.592	  46.684	 -1.529	 0.535	  65.250	   1.500	   0.000	  42.229	  -0.678	   0.216	  24.805	  -4.350	   2.160	  17.859	 160.908	   9.419	*	Simbad	359.11500	-81.56639
       2	rfp	rcdm	ESO013-016	  3664379904	 23.017	 2.221	  1.776	 -0.555	  67.388	 100.360	  63.868	 -1.610	 0.530	  50.250	   0.000	   0.000	  60.841	  -1.028	   0.318	  65.011	 -11.260	   5.620	   7.964	 116.670	   2.309	*	Simbad	023.20167	-79.47389
       3	rfp	rcdm	ESO026-001	  2360480000	 19.160	 1.993	  1.594	 -0.498	  62.109	 133.719	  61.448	 -1.808	 0.613	  44.250	   0.000	   0.000	  53.307	  -0.662	   0.188	 164.590	 -31.410	  15.900	   5.431	 168.159	   7.101	*	Simbad	306.25922	-81.57529
       4	rfp	rcdm	ESO027-001	  9976989696	 18.308	 4.457	  2.971	 -1.273	  78.956	  97.026	 104.505	 -4.121	 1.986	  48.750	   1.500	   0.000	  93.649	  -1.908	   0.819	 283.094	 -46.290	  30.330	        	        	   0.099	*	Simbad	328.11014	-81.53076
       5	rfp	rcdm	ESO048-017	  1592210048	 29.520	 2.112	  1.690	 -0.528	  66.098	  79.420	  38.205	 -0.979	 0.326	  48.750	   0.000	   0.000	  36.270	  -0.691	   0.222	  39.210	  -7.100	   3.620	   8.418	  95.060	   5.092	 	Simbad	332.23190	-73.38196
       6	rfp	rcdm	ESO054-021	  3515599872	 16.475	 5.102	  4.082	 -1.276	 150.752	 111.430	  49.728	 -1.288	 0.433	 102.750	   0.000	   0.000	  49.074	  -0.963	   0.321	  44.050	  -6.460	   2.940	  12.696	 145.289	   5.576	 	Simbad	057.45602	-71.63538
       7	rfp	rcdm	ESO079-005	  1990669952	 23.483	 2.310	  2.310	 -1.155	  67.302	  92.718	  51.054	 -2.157	 1.226	  39.750	   1.500	   0.000	  43.571	  -0.760	   0.358	  32.523	  -6.100	   6.230	   7.286	 109.434	   4.734	 	Simbad	010.18523	-63.44029
       8	rfp	rcdm	ESO079-007	  2958010112	 25.220	 1.541	  1.232	 -0.385	  46.385	  89.542	  59.653	 -1.346	 0.441	  38.250	   0.000	   0.000	  57.875	  -1.008	   0.320	  65.148	 -10.710	   5.260	   5.572	  96.254	   1.870	*	Simbad	012.51717	-66.55275
       9	rfp	rcdm	ESO085-030	  6338699776	 31.075	 2.270	  2.270	 -1.135	  50.855	 116.133	  94.883	 -7.051	 4.672	  17.250	   1.500	  -1.500	  68.004	  -1.107	   0.456	 111.352	 -23.250	  24.670	   8.180	 126.254	   2.571	 	Simbad	075.37400	-63.29334
      10	rfp	rcdm	ESO085-047	   331131008	 16.700	 2.378	  1.903	 -0.595	  75.000	  35.824	  21.488	 -0.634	 0.222	  72.750	   0.000	   0.000	  21.488	  -0.634	   0.222	  11.856	  -1.140	   0.520	   4.602	  37.446	   2.388	 	Simbad	076.93292	-62.99000
      11	rfp	rcdm	ESO114-007	  1782380032	 26.100	 1.514	  1.211	 -0.379	  41.714	  60.872	  34.207	 -0.871	 0.300	  35.250	   1.500	   0.000	  33.391	  -0.556	   0.168	  23.782	  -3.170	   1.580	   4.763	  68.823	   3.117	 	Simbad	026.62654	-58.67417
      12	rfp	rcdm	ESO120-012	   590201024	 14.400	 2.046	  1.637	 -0.512	  64.952	  62.229	  32.836	 -0.919	 0.304	  39.750	   1.500	   0.000	  30.375	  -0.448	   0.137	  30.764	  -3.570	   1.620	   3.408	  67.775	   4.290	 	Simbad	084.99577	-58.58549
      13	rfp	rcdm	ESO120-021	   142232992	 18.167	 1.881	  1.505	 -0.470	  60.000	  65.752	  21.415	 -0.512	 0.168	  57.750	   0.000	   0.000	  21.415	  -0.512	   0.168	  21.841	  -4.340	   2.250	   3.505	  42.633	  11.308	 	Simbad	088.30917	-59.06611
      14	rfp	rcdm	ESO145-025	   968278016	 22.500	 2.900	  2.320	 -0.725	  82.500	  80.442	  31.761	 -0.951	 0.335	  80.250	   0.000	   0.000	  31.761	  -0.951	   0.335	  19.999	  -3.780	   1.990	   7.978	 105.521	   7.265	 	Simbad	328.52375	-57.61333
      15	rfp	rcdm	ESO150-005	   685489024	 15.150	 3.514	  2.812	 -0.879	  97.500	  91.311	  31.576	 -1.069	 0.386	  95.250	   0.000	   0.000	  31.576	  -1.069	   0.386	  26.036	  -4.200	   2.080	   5.332	 113.307	   9.879	 	Simbad	005.60650	-53.64750
      16	rfp	rcdm	ESO159-025	   136458000	 11.800	 1.823	  1.458	 -0.456	  56.340	  71.624	  18.948	 -0.472	 0.159	  44.250	   0.000	   0.000	  17.534	  -0.178	   0.041	  27.259	  -3.750	   1.950	   1.851	  62.521	  21.048	 	Simbad	085.77667	-52.70611
      17	rfp	rcdm	ESO187-035	   467735008	 26.200	 1.633	  1.307	 -0.408	  49.248	  56.439	  24.137	 -0.531	 0.184	  48.750	   1.500	   0.000	  24.136	  -0.530	   0.180	  33.373	  -6.440	   3.360	   5.239	  66.790	   5.995	 	Simbad	314.23454	-55.72047
      18	rfp	rcdm	ESO202-041	   209894000	 16.967	 2.637	  2.637	 -1.318	  37.937	  55.083	  20.220	 -0.872	 0.507	  50.250	   0.000	   0.000	  19.700	  -0.875	   0.494	  30.875	  -5.490	   5.360	   2.339	  70.613	   9.149	*	Simbad	069.23621	-52.17367
      19	rfp	rcdm	ESO234-043	  1324339968	 26.950	 2.891	  2.891	 -1.445	  60.000	  83.348	  40.522	 -1.897	 1.138	  57.750	   0.000	   0.000	  40.522	  -1.897	   1.138	  44.779	 -10.560	  11.580	   6.905	  99.954	   4.335	*	Simbad	308.05792	-48.52833
      20	rfp	rcdm	ESO234-049	  8109620224	 35.986	 1.513	  1.210	 -0.378	  46.718	  87.795	  89.048	 -3.661	 2.111	  35.250	   0.000	  -1.500	  86.281	  -2.585	   1.350	  53.399	 -10.100	  10.300	        	        	   0.048	 	Simbad	308.82525	-49.86550
      21	rfp	rcdm	ESO236-039	   289734016	 22.222	 0.974	  0.779	 -0.244	  32.648	  52.369	  25.480	 -0.438	 0.174	  35.250	   0.000	  -9.000	  24.756	  -0.378	   0.114	  31.980	  -3.980	   1.950	   2.727	  58.624	   4.663	*	Simbad	326.31250	-49.00778
      22	rfp	rcdm	ESO237-052	  3206269952	 36.460	 1.549	  1.239	 -0.387	  45.995	  89.702	  48.732	 -1.131	 0.592	  24.750	  19.500	   0.000	  48.242	  -0.898	   0.288	  40.155	  -6.420	   3.130	   8.194	 107.543	   3.297	 	Simbad	334.44717	-49.25996
      23	rfp	rcdm	ESO238-018	  3288519936	 41.042	 0.962	  0.770	 -0.241	  32.195	  56.167	  65.038	 -1.890	 0.656	  23.250	   0.000	   0.000	  59.500	  -0.949	   0.297	  64.514	  -3.870	   1.370	        	        	        	 	Simbad	338.93246	-50.89069
      24	rfp	rcdm	ESO245-005	   108143000	  4.193	 0.500	  0.500	 -0.250	 105.000	  47.537	  20.197	 -0.161	 0.108	 102.750	   0.000	   0.000	  20.197	  -0.161	   0.108	        	        	        	   1.253	 100.259	   6.091	 	Simbad	026.26542	-43.59778
      25	rfp	rcdm	ESO245-007	      864968	  0.415	 4.743	  4.743	 -2.371	 100.893	        	   6.039	 -0.295	 0.188	 117.750	   0.000	   0.000	   5.590	  -0.209	   0.111	        	        	        	        	        	        	 	Simbad	027.77625	-44.44472
      26	rfp	rcdm	ESO249-008	   529663008	 17.389	 0.918	  0.734	 -0.229	  34.300	  35.596	  49.962	 -2.749	 2.001	  14.250	   3.000	  -1.500	  40.985	  -0.743	   0.358	 150.523	 -27.080	  26.980	        	        	        	 	Simbad	054.32860	-43.58614
      27	rfp	rcdm	ESO249-026	    59020100	 12.931	 1.110	  0.888	 -0.278	  45.000	  53.275	  16.503	 -0.419	 0.135	  42.750	   0.000	   0.000	  16.503	  -0.419	   0.135	  41.936	  -7.800	   4.170	   1.893	  46.448	  12.641	 	Simbad	058.55375	-43.75722
      28	rfp	rcdm	ESO249-036	   331894016	  9.400	 2.350	  2.350	 -1.175	  60.000	  45.974	  19.151	 -0.978	 0.587	  57.750	   0.000	   0.000	  19.151	  -0.978	   0.587	  20.262	  -4.080	   4.400	   1.430	 119.336	   6.391	 	Simbad	059.81333	-45.87056
      29	rfp	rcdm	ESO285-048	  6776419840	 33.142	 2.152	  1.721	 -0.538	  65.597	 119.779	  69.869	 -1.894	 0.629	  47.250	   0.000	   0.000	  64.555	  -0.993	   0.304	  55.122	  -9.140	   4.390	  12.886	 159.697	   3.278	*	Simbad	311.16760	-45.97852
      30	rfp	rcdm	ESO287-037	  4931740160	 36.153	 1.862	  1.490	 -0.466	  59.817	 134.399	  68.749	 -1.719	 0.597	  42.750	   0.000	  -3.000	  63.678	  -0.914	   0.275	  38.744	  -6.170	   3.070	  12.137	 181.913	   4.635	*	Simbad	323.63342	-44.31478
      31	rfp	rcdm	ESO288-013	  3198899968	 35.611	 1.456	  1.165	 -0.364	  47.098	  54.223	  57.621	 -1.956	 0.681	  32.250	   0.000	   0.000	  48.059	  -0.489	   0.132	  27.707	  -3.260	   1.590	        	        	   0.366	 	Simbad	327.94417	-43.12417
      32	rfp	rcdm	ESO289-026	  1896710016	 26.457	 3.891	  3.891	 -1.945	  70.950	  78.627	  35.548	 -1.564	 0.945	  80.250	   0.000	   0.000	  34.215	  -1.245	   0.632	  41.789	  -9.770	  10.640	   8.062	  95.371	   5.744	*	Simbad	335.88846	-42.27458
      33	rfp	rcdm	ESO298-023	   442588000	 19.083	 0.873	  0.698	 -0.218	  29.777	  92.255	  31.417	 -0.615	 0.203	  26.250	   0.000	   0.000	  30.899	  -0.502	   0.162	  70.744	  -4.200	   1.610	   2.085	 103.443	  10.619	*	Simbad	033.61458	-39.18611
      34	rfp	rcdm	ESO300-014	  1069059968	 11.524	 5.446	  4.357	 -1.361	 162.386	  70.407	  29.325	 -0.701	 0.232	 140.250	   1.500	   0.000	  28.933	  -0.594	   0.189	  21.032	  -2.980	   1.380	   7.889	  84.932	   6.604	 	Simbad	047.40779	-41.03047
      35	rfp	rcdm	ESO302-014	    67297696	  9.300	 2.710	  2.710	 -1.355	  43.839	  38.911	  11.714	 -0.600	 0.347	  50.250	   0.000	   0.000	  11.356	  -0.590	   0.346	  16.304	  -2.900	   3.200	   1.161	  55.718	  14.413	 	Simbad	057.92000	-38.45361
      36	rfp	rcdm	ESO305-009	   608136000	 13.200	 4.234	  3.387	 -1.058	 120.000	  80.184	  28.710	 -0.941	 0.342	 117.750	   0.000	   0.000	  28.710	  -0.941	   0.342	  20.237	  -2.570	   1.150	   5.898	 100.109	   9.124	 	Simbad	077.03175	-38.30931
      37	rfp	rcdm	ESO340-017	  6053400064	 36.514	 1.750	  1.400	 -0.437	  53.449	 122.796	  72.429	 -2.971	 1.076	  20.250	   1.500	  -4.500	  63.927	  -0.805	   0.240	  74.984	 -11.730	   5.570	  13.049	 178.868	   3.609	*	Simbad	304.92367	-39.28860
      38	rfp	rcdm	ESO340-042	  2679170048	 36.486	 2.832	  2.265	 -0.708	  67.500	  92.030	  51.901	 -1.668	 0.584	  65.250	   0.000	   0.000	  51.901	  -1.668	   0.584	  38.949	  -7.420	   3.860	  13.445	 141.293	   2.877	*	Simbad	308.73292	-40.62417
      39	rfp	rcdm	ESO341-032	  5794279936	 38.361	 1.436	  1.149	 -0.359	  45.095	 111.484	  72.038	 -1.714	 0.574	  33.750	   0.000	   0.000	  68.491	  -1.033	   0.322	  55.056	  -9.060	   4.460	   9.973	 135.316	   2.213	 	Simbad	315.88917	-39.44417
      40	rfp	rcdm	ESO342-050	 20558899200	 31.464	 3.919	  2.613	 -1.120	  67.706	 154.326	 110.169	 -3.930	 1.815	  48.750	   0.000	   0.000	 104.209	  -2.546	   1.129	 144.662	 -25.440	  17.440	  13.646	 187.246	   1.601	 	Simbad	322.06275	-37.86130
      41	rfp	rcdm	ESO345-046	  3981080064	 26.700	 2.460	  1.968	 -0.615	  73.884	 151.504	  52.134	 -1.276	 0.473	  45.750	  25.500	   0.000	  51.274	  -0.857	   0.265	  49.824	  -8.430	   4.110	  10.675	 212.995	  10.373	*	Simbad	340.81542	-39.86750
      42	rfp	rcdm	ESO347-008	     1059250	  1.000	 2.524	  2.524	 -1.262	  40.839	  58.983	   5.617	 -0.270	 0.160	  50.250	   0.000	   0.000	   5.083	  -0.184	   0.089	  98.744	 -18.450	  21.180	   0.050	 173.677	 179.305	 	Simbad	350.20125	-41.73083
      43	rfp	rcdm	ESO347-017	   150660992	  8.200	 1.904	  1.523	 -0.476	  56.459	  37.573	  21.511	 -0.722	 0.249	  35.250	   0.000	   0.000	  20.065	  -0.334	   0.105	  19.091	  -1.110	   0.450	   1.348	  99.261	   3.363	 	Simbad	351.73500	-37.34611
      44	rfp	rcdm	ESO355-026	  5929249792	 31.537	 2.780	  1.853	 -0.794	  48.563	 113.977	  83.542	 -3.096	 1.485	  38.250	   1.500	   0.000	  77.422	  -1.891	   0.820	  77.482	 -13.920	   9.800	   8.391	 125.666	   1.566	 	Simbad	038.07295	-35.03018
      45	rfp	rcdm	ESO357-012	  1954339968	 22.591	 4.015	  3.212	 -1.004	 120.000	  79.926	  37.629	 -1.005	 0.351	 117.750	   0.000	   0.000	  37.629	  -1.005	   0.351	  23.480	  -4.320	   2.220	  11.979	  98.155	   4.712	 	Simbad	049.22229	-35.54131
      46	rfp	rcdm	ESO358-005	   633870016	 22.597	 1.553	  1.242	 -0.388	  55.839	  58.968	  34.274	 -0.782	 0.254	  44.250	   0.000	   0.000	  30.789	  -0.391	   0.111	   8.632	  -0.380	   0.380	   4.853	  63.952	   3.580	 	Simbad	051.81921	-33.48611
      47	rfp	rcdm	ESO358-015	   313328992	 16.100	 2.133	  2.133	 -1.067	  37.551	  31.397	  24.324	 -1.180	 0.789	  23.250	  13.500	   0.000	  23.787	  -0.862	   0.459	  49.490	  -9.070	   9.460	   1.948	  96.339	   0.996	 	Simbad	053.27846	-34.80881
      48	rfp	rcdm	ESO358-020	  1321299968	 24.361	 1.389	  1.111	 -0.347	  49.222	  51.698	  42.466	 -1.369	 0.494	  23.250	   1.500	   0.000	  35.019	  -0.307	   0.087	  36.193	  -5.190	   2.520	   5.170	  50.999	   1.582	*	Simbad	053.73889	-32.63979
      49	rfp	rcdm	ESO358-025	  2344229888	 18.614	 2.590	  2.590	 -1.295	  56.013	  43.031	  66.249	 -5.231	 3.518	  17.250	   3.000	   0.000	  49.658	  -0.969	   0.436	  85.268	 -15.440	  14.860	        	        	        	 	Simbad	053.88806	-32.46487
      50	rfp	rcdm	ESO358-051	   997699008	 15.700	 1.037	  0.829	 -0.259	  31.786	  69.885	  53.903	 -1.934	 0.730	  17.250	   1.500	  -1.500	  48.178	  -0.670	   0.208	  64.901	  -7.610	   3.710	   1.903	  63.905	   1.482	 	Simbad	055.38586	-34.88834
      51	rfp	rcdm	ESO358-054	   883080000	 16.900	 2.217	  1.774	 -0.554	  60.000	  49.378	  30.380	 -0.839	 0.279	  57.750	   0.000	   0.000	  30.380	  -0.839	   0.279	  30.627	  -5.160	   2.580	   4.212	  72.658	   2.203	 	Simbad	055.75812	-36.27122
      52	rfp	rcdm	ESO359-022	    63679500	 19.847	 0.659	  0.527	 -0.165	  24.176	  49.634	  17.231	 -1.172	 0.774	  20.250	   4.500	   0.000	  17.054	  -0.996	   0.558	        	        	        	   1.691	  49.818	  10.023	 	Simbad	062.18992	-35.38950
      53	rfp	rcdm	ESO359-031	   487528000	 20.625	 1.014	  0.811	 -0.254	  36.361	  41.192	  40.159	 -1.051	 0.359	  27.750	   0.000	   0.000	  36.506	  -0.472	   0.143	  40.405	  -3.810	   1.750	   2.706	  23.467	   0.367	*	Simbad	063.29004	-34.42633
      54	rfp	rcdm	ESO362-009	   797995008	 10.200	 4.898	  3.919	 -1.225	 145.492	  54.820	  31.797	 -0.833	 0.332	 108.750	   0.000	 -21.000	  30.491	  -0.675	   0.224	  22.539	  -3.780	   1.920	   5.327	  56.724	   2.995	 	Simbad	077.99708	-32.97250
      55	rfp	rcdm	ESO400-025	  1300169984	 30.194	 2.092	  1.673	 -0.523	  56.250	  91.343	  39.155	 -1.196	 0.410	  54.750	   0.000	   0.000	  39.155	  -1.196	   0.410	  19.377	  -3.150	   1.610	   7.420	 122.051	   5.960	 	Simbad	306.90820	-32.95747
      56	rfp	rcdm	ESO402-030	 11803199488	 37.542	 1.808	  5.424	 -0.362	  22.542	 128.615	 141.772	-15.753	12.978	   9.750	   3.000	   0.000	 120.042	  -5.916	   2.956	 154.159	 -31.410	  32.460	        	        	   0.199	 	Simbad	321.68521	-34.49904
      57	rfp	rcdm	ESO403-024	  2877400064	 36.361	 1.319	  1.055	 -0.330	  41.932	  92.785	  47.809	 -1.690	 1.031	  27.750	   3.000	   0.000	  44.657	  -0.967	   0.496	  40.290	  -6.040	   5.520	   7.389	 115.856	   4.451	 	Simbad	326.66571	-36.20531
      58	rfp	rcdm	ESO403-031	  1111730048	 31.000	 1.424	  1.139	 -0.356	  42.155	  86.832	  32.134	 -0.832	 0.295	  33.750	   1.500	   0.000	  30.894	  -0.552	   0.174	  34.672	  -4.760	   2.280	   4.845	 101.602	   9.258	 	Simbad	327.01833	-36.77389
      59	rfp	rcdm	ESO404-003	  6081359872	 32.986	 1.303	  1.042	 -0.326	  43.786	 126.331	  80.711	 -2.244	 0.765	  33.750	   0.000	   0.000	  71.035	  -0.856	   0.250	  89.832	 -14.990	   7.350	   7.836	 155.680	   2.902	*	Simbad	328.16556	-36.50283
      60	rfp	rcdm	ESO404-012	 27733200896	 36.440	 2.929	  1.952	 -0.837	  41.709	 206.519	 147.096	 -8.680	 4.579	  20.250	   0.000	  -1.500	 131.203	  -3.064	   1.269	 273.479	 -48.420	  33.020	  10.368	 276.860	   1.983	*	Simbad	329.27991	-34.58227
      61	rfp	rcdm	ESO406-042	   619441024	 19.650	 2.327	  1.862	 -0.582	  60.000	  61.007	  31.357	 -1.004	 0.344	  57.750	   0.000	   0.000	  31.357	  -1.004	   0.344	  71.642	 -15.060	   7.940	   4.316	  71.200	   3.737	 	Simbad	345.55972	-37.08353
      62	rfp	rcdm	ESO407-014	 11015400448	 40.445	 1.559	  1.039	 -0.445	  25.858	 135.783	 113.368	 -5.072	 2.563	  17.250	   1.500	   0.000	 104.529	  -2.491	   1.099	 119.528	 -19.240	  12.820	   6.318	 136.688	   0.922	 	Simbad	349.41476	-34.79081
