#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:51:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:51:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FMNRAS%2F498%2F6013%2Ftablea1&-out=Name%2CSurvey%2Czl%2Czs%2C_RA%2C_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74986013
#Name: J/MNRAS/498/6013
#Title: Strong-lensing systems for dark energy models (Amante+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/mnras/498/6013	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/498/6013	    IVOID of underlying data collection
#INFO	creator=Amante M.H.	    First author or institution
#INFO	cites=bibcode:2020MNRAS.498.6013A	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/498/6013	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74986013	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_498_6013_tablea1:
#Name: J/MNRAS/498/6013/tablea1
#Title: Compilation of 204 strong-lensing measurements
#Column	Name	(a23)	System name	[ucd=meta.id;meta.main]
#Column	Survey	(a7)	Survey name	[ucd=meta.id]
#Column	zl	(F7.4)	Lens redshift	[ucd=src.redshift;pos.heliocentric]
#Column	zs	(F7.4)	Source redshift	[ucd=src.redshift;pos.heliocentric]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Survey	zl	zs	_RA	_DE
 	 	 	 	deg	deg
-----------------------	-------	-------	-------	---------	---------
SDSSJ0819+4534         	SLACS  	 0.1940	 0.4460	124.88307	+45.57912
SDSSJ0959+4416         	SLACS  	 0.2370	 0.5310	149.75400	+44.27760
SDSSJ1029+0420         	SLACS  	 0.1040	 0.6150	157.34558	+04.33385
SDSSJ1103+5322         	SLACS  	 0.1580	 0.7350	165.78422	+53.37443
SDSSJ1306+0600         	SLACS  	 0.1730	 0.4720	196.55688	+06.00614
SDSSJ1313+4615         	SLACS  	 0.1850	 0.5140	198.26216	+46.25378
SDSSJ1318-0313         	SLACS  	 0.2400	 1.3000	199.66386	-03.22620
SDSSJ1420+6019         	SLACS  	 0.0630	 0.5350	215.06608	+60.32072
SDSSJ1443+0304         	SLACS  	 0.1340	 0.4190	220.83175	+03.06898
SDSSJ1614+4522         	SLACS  	 0.1780	 0.8110	243.65725	+45.38148
SDSSJ1644+2625         	SLACS  	 0.1370	 0.6100	251.17954	+26.42374
SDSSJ1719+2939         	SLACS  	 0.1810	 0.5780	259.89233	+29.65730
HE0047-1756            	CASTLES	 0.4080	 1.6700	012.61593	-17.66921
HE0230-2130            	CASTLES	 0.5220	 2.1620	038.13792	-21.29056
J0246-0825             	CASTLES	 0.7230	 1.6860	041.64204	-08.42664
HE0435-1223            	CASTLES	 0.4540	 1.6890	069.56198	-12.28739
SDSSJ092455.87+021924.9	CASTLES	 0.3930	 1.5230	141.23252	+02.32357
LBQS1009-0252          	CASTLES	 0.8710	 2.7390	153.06621	-03.11753
J1004+1229             	CASTLES	 0.9500	 2.6400	         	
SDSSJ115517.35+634622.0	CASTLES	 0.1760	 2.8880	178.82216	+63.77280
FBQ1633+3134           	CASTLES	 0.6840	 1.5180	248.45410	+31.56996
MG1654+1346            	CASTLES	 0.2540	 1.7400	         	
DES J2146-0047         	DES    	 0.7990	 2.3800	326.69183	-00.79564
SDSSJ0151+0049         	BELLS  	 0.5170	 1.3640	027.78071	+00.81916
SDSSJ0747+5055         	BELLS  	 0.4380	 0.8980	116.85057	+50.92699
SDSSJ0747+4448         	BELLS  	 0.4370	 0.8970	116.89480	+44.81648
SDSSJ0801+4727         	BELLS  	 0.4830	 1.5180	120.27206	+47.46368
SDSSJ0830+5116         	BELLS  	 0.5300	 1.3320	127.70722	+51.27542
SDSSJ0944-0147         	BELLS  	 0.5390	 1.1790	146.11446	-01.79513
SDSSJ1159-0007         	BELLS  	 0.5790	 1.3460	179.93595	-00.12450
SDSSJ1215+0047         	BELLS  	 0.6420	 1.2970	183.76851	+00.79057
SDSSJ1221+3806         	BELLS  	 0.5350	 1.2840	185.46633	+38.10292
SDSSJ1234-0241         	BELLS  	 0.4900	 1.0160	188.61662	-02.69155
SDSSJ1318-0104         	BELLS  	 0.6590	 1.3960	199.62246	-01.07267
SDSSJ1337+3620         	BELLS  	 0.5640	 1.1820	204.46381	+36.33835
SDSSJ1349+3612         	BELLS  	 0.4400	 0.8930	207.29292	+36.21104
SDSSJ1352+3216         	BELLS  	 0.4630	 1.0340	208.07913	+32.28105
SDSSJ1522+2910         	BELLS  	 0.5550	 1.3110	230.53973	+29.17275
SDSSJ1541+1812         	BELLS  	 0.5600	 1.1130	235.32734	+18.20975
SDSSJ1542+1629         	BELLS  	 0.3520	 1.0230	235.69306	+16.49771
SDSSJ1545+2748         	BELLS  	 0.5220	 1.2890	236.26490	+27.80147
SDSSJ1601+2138         	BELLS  	 0.5440	 1.4460	240.30531	+21.64275
SDSSJ1631+1854         	BELLS  	 0.4080	 1.0860	247.95969	+18.90113
SDSSJ2122+0409         	BELLS  	 0.6260	 1.4520	320.71685	+04.15987
SDSSJ2125+0411         	BELLS  	 0.3630	 0.9780	321.29447	+04.19210
