Name	RAdeg	DEdeg	z	LX_RASS	LX_RASS_ep	LX_RASS_em	M_WL	M_WL_ep	M_WL_em	M_post	M_post_ep	M_post_em
Abell2697	0.7990	-6.0860	0.2320	6.88	0.85	0.85	6.61	1.20	1.21	5.98	0.57	0.53
Abell0068	9.2785	9.1566	0.2546	9.47	2.61	2.61	6.82	1.11	1.01	6.38	0.52	0.50
Abell0115	14.0012	26.3424	0.1971	8.90	2.13	2.13	5.39	1.62	1.49	6.13	0.90	0.82
Abell0141	16.3864	-24.6466	0.2300	5.76	0.90	0.90	4.56	0.92	0.86	5.01	0.68	0.59
Abell0209	22.9689	-13.6112	0.2060	6.29	0.65	0.65	12.34	1.64	1.50	10.67	0.96	0.86
Abell0267	28.1748	1.0072	0.2300	6.74	1.42	1.42	5.60	0.91	0.85	5.48	0.55	0.52
Abell0291	30.4296	-2.1966	0.1960	4.88	0.56	0.56	4.46	1.02	0.95	2.99	0.37	0.33
Abell0521	73.5287	-10.2235	0.2475	8.18	1.36	1.36	5.39	0.99	0.93	5.62	0.63	0.56
Abell0586	113.0845	31.6335	0.1710	6.64	1.30	1.30	7.21	1.60	1.40	6.62	0.75	0.68
Abell0611	120.2367	36.0566	0.2880	8.86	2.53	2.53	9.11	1.67	1.56	6.42	0.70	0.63
Abell0697	130.7398	36.3666	0.2820	10.57	3.28	3.28	7.71	1.54	1.43	9.61	1.06	1.02
ZwCl0857.9+2107	135.1536	20.8946	0.2347	6.79	1.76	1.76	2.07	0.99	1.08	1.40	0.34	0.29
Abell0750	137.3024	10.9745	0.1630	6.59	1.40	1.40	6.15	1.71	1.35	6.19	1.10	0.98
Abell0773	139.4726	51.7271	0.2170	8.10	1.35	1.35	10.07	1.07	1.00	9.69	0.66	0.61
Abell0781	140.1075	30.4941	0.2984	11.29	2.82	2.82	4.75	1.72	1.89	7.07	1.45	1.25
ZwCl0949.6+5207	148.2048	51.8849	0.2140	6.60	1.15	1.15	4.97	1.13	1.04	3.06	0.40	0.36
Abell0907	149.5917	-11.0640	0.1669	5.95	0.49	0.49	11.52	1.95	1.67	7.86	0.96	0.84
Abell0963	154.2652	39.0471	0.2050	6.39	1.19	1.19	6.96	1.11	1.03	5.77	0.63	0.55
ZwCl1021.0+0426	155.9152	4.1863	0.2906	17.26	2.93	2.93	5.32	0.87	0.82	5.57	0.64	0.57
Abell1423	179.3223	33.6110	0.2130	6.19	1.34	1.34	4.44	0.89	0.81	3.97	0.47	0.42
Abell1451	180.8199	-21.5484	0.1992	7.63	1.63	1.63	8.17	1.04	0.96	7.87	0.75	0.67
ZwCl1231.4+1007	188.5728	9.7662	0.2290	6.32	1.58	1.58	4.61	1.44	1.47	5.02	0.77	0.72
Abell1682	196.7083	46.5593	0.2260	7.02	1.37	1.37	8.52	1.06	0.99	7.84	0.75	0.68
Abell1689	197.8730	-1.3410	0.1832	14.07	1.13	1.13	12.57	1.53	1.40	12.00	0.97	0.90
Abell1763	203.8337	41.0012	0.2279	9.32	1.33	1.33	15.80	2.16	1.94	13.70	1.40	1.23
Abell1835	210.2588	2.8786	0.2528	24.48	3.35	3.35	10.97	1.56	1.44	11.03	0.93	0.84
Abell1914	216.4860	37.8165	0.1712	10.98	1.11	1.11	7.83	1.35	1.24	8.30	0.86	0.81
ZwCl1454.8+2233	224.3131	22.3428	0.2578	8.41	2.10	2.10	3.74	1.46	1.44	2.98	0.46	0.42
Abell2009	225.0813	21.3694	0.1530	5.37	0.99	0.99	6.39	1.45	1.25	4.73	0.54	0.48
RXCJ1504.1-0248	226.0313	-2.8047	0.2153	28.07	1.49	1.49	6.54	1.48	1.32	6.19	0.95	0.79
Abell2111	234.9188	34.4243	0.2290	6.83	1.65	1.65	5.09	1.39	1.21	5.84	0.76	0.67
Abell2204	248.1956	5.5758	0.1524	12.50	1.34	1.34	9.92	1.82	1.59	10.11	1.01	0.94
Abell2219	250.0827	46.7114	0.2281	12.73	1.37	1.37	8.65	1.34	1.29	10.76	1.02	0.93
RXJ1720.1+2638	260.0420	26.6257	0.1640	9.57	1.07	1.07	4.94	1.38	1.17	4.55	0.65	0.58
Abell2261	260.6133	32.1326	0.2240	11.31	1.55	1.55	10.75	1.30	1.20	10.41	0.92	0.83
RXCJ2102.1-2431	315.5411	-24.5335	0.1880	5.07	0.55	0.55	3.71	0.87	0.79	3.03	0.41	0.37
RXJ2129.6+0005	322.4165	0.0894	0.2350	11.66	2.92	2.92	3.46	1.14	1.22	4.02	0.57	0.53
Abell2390	328.4034	17.6955	0.2329	13.43	3.14	3.14	10.53	1.52	1.41	10.36	1.08	0.96
Abell2537	347.0926	-2.1921	0.2966	10.17	1.45	1.45	8.57	2.03	1.82	7.77	0.99	0.89
Abell2552	347.8887	3.6349	0.2998	9.94	2.84	2.84	7.16	1.88	1.69	7.36	0.88	0.78
Abell2631	354.4155	0.2714	0.2779	8.07	2.11	2.11	5.61	1.58	1.78	5.66	0.72	0.66
