Name	LX_ce	LX_ce_ep	LX_ce_em	kT_X_ce	kT_X_ce_ep	kT_X_ce_em	M_gas	M_gas_ep	M_gas_em	Y_X	Y_X_ep	Y_X_em	Y_SZA	Y_SZA_ep	Y_SZA_em	Y_Pl	Y_Pl_ep	Y_Pl_em	L_K_BCG	L_K_BCG_ep	L_K_BCG_em	L_K_tot	L_K_tot_ep	L_K_tot_em	lambda	lambda_ep	lambda_em
Abell2697	11.68	0.44	0.44	6.99	0.48	0.38	0.90	0.07	0.07	5.42	0.40	0.40	7.61	0.78	0.80	9.18	0.48	0.48							91.44	4.37	4.37
Abell0068	9.91	0.59	0.59	7.66	0.77	0.62	0.80	0.04	0.04	5.59	2.24	2.24	9.38	1.21	1.16	10.34	0.59	0.59	1.01	0.01	0.01	12.46	1.92	2.26	93.04	4.60	4.60
Abell0115	10.68	0.40	0.40	5.93	0.39	0.32	0.87	0.15	0.15	5.88	0.57	0.57				12.44	0.48	0.48	0.74	0.00	0.00	14.77	1.72	2.13			
Abell0141	5.10	0.88	0.88	4.78	1.34	0.83	0.60	0.05	0.05	2.95	0.95	0.95				8.42	0.38	0.38	0.64	0.00	0.00	15.02	1.22	1.48			
Abell0209	13.59	1.02	1.02	6.39	1.05	0.77	1.44	0.08	0.08	8.80	1.68	1.68	10.79	0.96	0.96	19.33	0.53	0.53	0.90	0.00	0.00	20.51	2.01	1.98			
Abell0267	6.34	2.88	2.88	8.03	2.83	1.81	0.70	0.05	0.05	7.21	2.91	2.91	6.47	0.61	0.62	6.47	0.61	0.61	1.44	0.01	0.01	12.71	1.76	2.79	96.38	4.03	4.03
Abell0291	3.37	0.08	0.08	4.03	0.32	0.29	0.47	0.04	0.04	1.44	0.09	0.09	2.57	0.57	0.49	3.04	0.47	0.47	0.55	0.00	0.00	7.79	0.98	0.96	53.86	2.75	2.75
Abell0521	15.33	1.09	1.09	6.72	0.33	0.29	1.08	0.09	0.09	7.27	0.39	0.39	5.34	0.60	0.62	12.72	0.58	0.58	0.95	0.01	0.01	14.17	2.14	2.69			
Abell0586	6.20	0.54	0.54	5.56	1.10	0.79	0.73	0.06	0.06	3.63	0.69	0.69	10.29	1.34	1.27	5.30	0.44	0.44	0.81	0.00	0.00	18.30	1.96	2.36	105.96	4.38	4.38
Abell0611	12.00	0.94	0.94	11.96	2.50	2.40	0.69	0.05	0.05				8.47	0.78	0.84	11.67	0.67	0.67	1.33	0.01	0.01	13.61	2.66	2.82	100.90	4.64	4.64
Abell0697	22.55	2.29	2.29	11.06	2.16	1.83	1.22	0.10	0.10	16.21	3.55	3.55	16.35	1.51	1.50	26.41	0.62	0.62	1.50	0.01	0.01	13.15	2.61	2.62	147.28	5.13	5.13
ZwCl0857.9+2107	4.50	0.19	0.19	3.97	0.15	0.46	0.34	0.07	0.07	1.40	0.11	0.11				0.66	0.44	0.44	0.44	0.01	0.01	2.79	0.92	1.09	26.85	2.58	2.58
Abell0750	2.89	0.20	0.20	3.95	0.49	0.39	0.55	0.06	0.06	2.08	0.30	0.30	5.27	0.77	0.76	7.85	0.38	0.38	0.75	0.00	0.00	19.73	1.92	2.26	139.58	4.40	4.40
Abell0773	11.11	1.14	1.14	7.50	1.58	1.12	1.10	0.05	0.05	7.46	1.39	1.39	13.08	0.92	0.91	12.33	0.46	0.46	0.82	0.00	0.00	22.02	2.04	1.79	141.43	4.58	4.58
Abell0781	4.16	1.92	1.92	5.92	2.40	1.36	0.74	0.12	0.12	4.45	1.69	1.69				9.58	0.71	0.71	0.83	0.01	0.01	16.58	3.43	4.16	180.62	6.08	6.08
ZwCl0949.6+5207	4.52	0.99	0.99	7.31	0.94	0.89	0.40	0.04	0.04				3.22	0.69	0.65	2.71	0.40	0.40	0.80	0.00	0.00	7.91	1.47	1.51	44.37	3.38	3.38
Abell0907	5.91	0.22	0.22	5.66	0.51	0.41	0.93	0.06	0.06	4.01	0.33	0.33				9.26	0.41	0.41	0.60	0.00	0.00	13.83	1.56	1.71			
Abell0963	7.89	0.29	0.29	6.53	0.62	0.50	0.80	0.05	0.05	4.13	0.29	0.29				8.22	0.46	0.46	1.29	0.00	0.00	14.84	1.66	1.78	65.01	3.66	3.66
ZwCl1021.0+0426	19.66	1.47	1.47	9.04	1.51	1.13	0.95	0.05	0.05	10.80	2.50	2.50	10.42	0.83	0.82	9.81	0.60	0.60	0.89	0.01	0.01	9.27	1.87	1.82	83.11	4.12	4.12
Abell1423	7.35	0.68	0.68	8.20	1.54	1.16	0.62	0.06	0.06	6.42	1.46	1.46	3.15	0.46	0.47	7.61	0.40	0.40	1.02	0.01	0.01	9.90	1.22	1.47	59.00	3.77	3.77
Abell1451	6.13	1.31	1.31	8.87	1.45	1.10	1.02	0.05	0.05	7.57	1.07	1.07	6.02	0.98	1.01	11.52	0.49	0.49	0.55	0.00	0.00	18.77	2.11	1.92			
ZwCl1231.4+1007	7.87	0.66	0.66	6.56	1.20	0.89	0.69	0.11	0.11	5.67	1.25	1.25				8.62	0.42	0.42	0.99	0.00	0.00	9.43	2.83	1.82	93.13	4.41	4.41
