branch_id,class,observational_fit,receiver_or_action_energy_accounting,causality_and_initial_value_problem,common_matter_light_closure,source_lightcurve_time_dilation,distance_duality_and_photon_number,arrival_time_delay,chromaticity,CMB_blackbody_and_anisotropy,Tolman_surface_brightness,historical_novelty
VQ00_STANDARD_FLRW_PECULIAR_CONTROL,KNOWN_CONTROL,UNOPENED_NOT_SCORED,KNOWN_GR_STRESS_ENERGY,CAUSAL_METRIC_IVP,COMMON_METRIC_CLOSURE,DERIVES_1_PLUS_Z_STRETCH,PRESERVED_FOR_GEODESIC_PHOTON_NUMBER,KNOWN_GEOMETRIC_DELAY,ACHROMATIC_VACUUM,CMB_CONTROL_BASELINE,TOLMAN_CONTROL_BASELINE,KNOWN_NOT_NOVEL
VQ01_DIRECT_LOAD_OPTICAL_DEPTH,DIRECT_CUMULATIVE_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_RECEIVER,CONDITIONAL_ON_Q,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,TIRED_LIGHT_ADJACENT
VQ02_SLOWED_LIGHT_NONLINEAR_EXPOSURE,DIRECT_SLOWED_PHOTON_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_MEDIUM_ACTION,CONDITIONAL_ON_Q,MISSING,NOT_DERIVED,AT_RISK,POSITIVE_BETA_Q_DELAY,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,SLOWED_LIGHT_ADJACENT
VQ03_LOCAL_EQUILIBRIUM_LOAD,LOCAL_SOURCE_SINK_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_FIELD_ENERGY,INSTANTANEOUS_LOCAL_CLOSURE,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,SOURCE_SINK_SYNTHESIS_UNAUDITED
VQ04_YUKAWA_NONLOCAL_BARYON_FEED,NONLOCAL_SOURCE_SINK_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_FIELD_ENERGY,NONLOCAL_KERNEL_WITHOUT_RETARDATION,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,YUKAWA_NONLOCAL_NEIGHBORS
VQ05_DIFFUSIVE_SOURCE_SINK_RESERVOIR,CAUSAL_RESERVOIR_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_FIELD_ACTION,PARABOLIC_INSTANTANEOUS_TAIL,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,REACTION_DIFFUSION_NEIGHBOR
VQ06_BARYONIC_COLUMN_ATTENUATION,ATTENUATED_NONLOCAL_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_ABSORBER_LEDGER,NONLOCAL_COLUMN_WITHOUT_RETARDATION,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,DISTINCT_GEOMETRIC_SYNTHESIS_UNAUDITED
VQ07_INVERSE_DENSITY_HUBBLE_MIMIC,EMPIRICAL_PHENOMENOLOGY,UNOPENED_NOT_SCORED,PHENOMENOLOGICAL_NO_RECEIVER,LOCAL_ALGEBRAIC,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,EMPIRICAL_ANSATZ
VQ08_TWO_PHASE_VOID_MATTER,MINIMAL_EMPIRICAL_DISCRIMINATOR,UNOPENED_NOT_SCORED,PHENOMENOLOGICAL_NO_RECEIVER,PHASE_LABEL_STATIC,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,COARSE_GRAINED_ANSATZ
VQ09_PHOTON_CARRIED_LOAD_MEMORY,ORDER_SENSITIVE_PHOTON_STATE_HYPOTHESIS,UNOPENED_NOT_SCORED,QGAMMA_STATE_NOT_ENERGY_RECEIVER,PHOTON_ODE_CAUSAL_Q_NOT_CLOSED,MISSING,NOT_DERIVED,AT_RISK,NONE_BEYOND_C,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,ORDER_MEMORY_SYNTHESIS_CANDIDATE
VQ10_RESERVOIR_PLUS_SLOWED_PHOTON,COMBINED_LEAD_HYPOTHESIS,UNOPENED_NOT_SCORED,MISSING_FIELD_AND_MEDIUM_ACTION,INHERITS_PARABOLIC_TAIL,MISSING,NOT_DERIVED,AT_RISK,POSITIVE_BETA_Q_DELAY,ACHROMATIC_BY_ASSERTION,AT_RISK,AT_RISK,COMBINED_SYNTHESIS_CANDIDATE
