#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T00:31:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T00:31:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F777%2F97%2Ftable4&-out=SL2S%2Cm_SL2S%2CReff%2Cq%2CPA%2Cumag%2Cgmag%2Crmag%2Cimag%2Czmag%2CJmag%2CHmag%2CKsmag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17770097
#Name: J/ApJ/777/97
#Title: SL2S galaxy-scale lens sample. III. (Sonnenfeld+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/777/97	    IVOID of underlying data collection
#INFO	creator=Sonnenfeld A.	    First author or institution
#INFO	cites=bibcode:2013ApJ...777...97S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/777/97	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17770097	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_777_97_table4:
#Name: J/ApJ/777/97/table4
#Title: Lens light parameters, CFHT photometry
#Column	SL2S	(A14)	Lens name (G1)	[ucd=meta.id;meta.main]
#Column	m_SL2S	(A2)	2d component (G1)	[ucd=meta.code.multip]
#Column	Reff	(F5.2)	[0.2/2.3] Effective radius (1)	[ucd=phys.angSize]
#Column	q	(F5.2)	[0.2/1] Axis ratio of elliptical isophote (1)	[ucd=phys.size.axisRatio]
#Column	PA	(F5.1)	[-87/88] Position angle; East of North (1)	[ucd=pos.posAng]
#Column	umag	(F5.2)	[20.3/25.3] The CFHT u-band magnitude (1)	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F5.2)	[18.5/23.9] The CFHT g-band magnitude (1)	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F5.2)	[17.3/22.4] The CFHT r-band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	imag	(F5.2)	[16.8/21.2] The CFHT i-band magnitude (1)	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F5.2)	[16.5/20.8] The CFHT z-band magnitude (1)	[ucd=phot.mag;em.opt.I]
#Column	Jmag	(F5.2)	[15.9/20]? The CFHT/WIRCam J-band magnitude (1)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	[15/19.4]? The CFHT/WIRCam H-band magnitude (1)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F5.2)	[15/20]? The CFHT/WIRCam K_S_-band magnitude (1)	[ucd=phot.mag;em.IR.K]
SL2S	m_SL2S	Reff	q	PA	umag	gmag	rmag	imag	zmag	Jmag	Hmag	Ksmag
 	 	arcsec	 	deg	mag	mag	mag	mag	mag	mag	mag	mag
--------------	--	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
J020833-071414	  	 1.06	 0.81	 61.1	22.71	20.64	18.99	18.22	17.90	     	     	
J021206-075528	  	 0.78	 0.79	-29.2	23.33	21.32	19.75	18.90	18.61	     	     	
J021247-055552	  	 1.22	 1.00	 -9.1	23.59	22.73	21.44	20.21	19.77	     	     	
J021325-074355	  	 1.97	 0.60	 21.2	24.29	22.28	20.78	19.27	18.82	     	     	17.43
J021411-040502	  	 1.21	 0.88	 57.1	23.82	22.39	20.88	19.65	19.23	18.55	     	17.87
J021737-051329	  	 0.73	 0.90	 87.6	23.21	22.17	20.92	19.70	19.33	18.72	     	17.97
J021801-080247	  	 1.02	 1.00	-49.8	23.05	22.07	21.32	20.33	19.64	     	     	
J021902-082934	  	 0.95	 0.74	 82.6	23.02	21.37	19.70	18.94	18.55	     	     	17.59
J022046-094927	  	 0.53	 0.71	-68.5	24.17	22.33	20.88	19.88	19.52	     	     	
J022056-063934	  	 1.42	 0.54	-74.8	21.65	19.85	18.47	17.86	17.59	     	     	
J022346-053418	  	 1.31	 0.59	 63.4	22.93	21.09	19.56	18.70	18.29	     	     	
J022357-065142	  	 1.36	 0.95	 37.2	23.13	21.03	19.42	18.63	18.30	     	     	17.45
J022511-045433	  	 2.12	 0.72	 27.5	20.32	18.58	17.36	16.81	16.55	15.99	15.64	15.48
J022610-042011	  	 0.84	 0.87	 52.0	23.30	21.28	19.70	18.80	18.46	18.09	17.70	17.38
J022648-040610	  	 0.48	 0.30	-47.5	25.12	23.26	21.57	20.12	19.57	18.90	18.52	18.10
J022648-090421	  	 1.40	 0.81	 56.8	22.65	20.46	18.79	18.06	17.69	     	     	
J023251-040823	  	 1.14	 0.70	-72.6	22.28	20.71	19.31	18.72	18.44	     	     	17.30
J084847-035103	  	 0.45	 0.82	-65.4	24.57	23.57	22.16	20.81	20.39	     	     	
J084909-041226	  	 0.46	 0.51	 43.7	24.90	23.16	21.70	20.16	19.70	     	     	18.60
J084934-043352	  	 1.59	 0.78	 36.4	22.52	20.49	19.01	18.31	18.02	     	     	
J084959-025142	  	 1.34	 0.79	-65.4	21.75	19.85	18.56	17.94	17.68	     	     	16.63
J085019-034710	  	 0.28	 0.22	  1.2	23.52	21.48	20.07	19.38	19.14	     	     	
J085327-023745	  	 1.47	 0.81	-24.3	23.07	22.24	21.46	20.29	19.78	     	     	
J085540-014730	  	 0.69	 0.82	-70.8	22.80	21.42	20.05	19.37	19.10	     	     	
J085559-040917	  	 1.13	 0.82	 23.1	23.18	21.10	19.48	18.72	18.35	     	     	
J085826-014300	  	 0.55	 0.77	-86.2	24.09	23.15	21.85	20.78	20.38	     	     	19.20
J090106-025906	  	 0.42	 0.82	-67.5	24.53	23.81	22.40	21.16	20.73	     	     	19.80
J090407-005952	  	 2.00	 0.64	 71.1	23.59	21.61	20.57	19.47	19.12	     	     	17.71
J095921+020638	  	 0.46	 0.90	 42.0	25.28	22.74	21.23	20.23	19.90	19.72	19.38	19.13
J135847+545913	  	 0.92	 0.79	-72.4	23.93	21.66	20.14	19.16	18.78	     	     	
J135949+553550	  	 1.13	 0.67	 35.7	24.40	23.30	21.90	20.69	20.04	     	     	
J140123+555705	  	 0.86	 0.75	-41.9	23.84	21.64	20.05	18.97	18.57	     	     	
J140156+554446	  	 1.44	 0.82	 20.2	23.07	20.83	19.28	18.47	18.02	     	     	
J140221+550534	  	 1.52	 0.94	-18.1	22.28	20.47	18.89	18.19	17.82	     	     	
J140454+520024	  	 2.03	 0.79	 67.2	22.37	20.17	18.56	17.73	17.37	     	     	
J140533+550231	  	 0.56	 0.67	 15.8	24.32	22.48	21.10	20.13	19.62	     	     	
J140533+550231	c2	 1.11	 0.98	-36.0	23.14	22.28	21.11	20.23	19.73	     	     	
J140546+524311	  	 0.83	 0.89	-27.5	23.73	21.62	20.10	19.10	18.74	     	     	
J140614+520253	  	 2.21	 0.50	-60.9	22.67	20.64	19.08	18.22	17.85	     	     	
J140650+522619	  	 0.80	 0.67	 87.4	23.84	22.59	21.31	19.96	19.47	     	     	
J141137+565119	  	 0.85	 0.99	  2.5	21.68	20.37	19.08	18.55	18.27	     	     	
J141917+511729	  	 2.10	 0.64	 47.7	23.33	20.96	19.43	18.56	18.21	     	     	
J142003+523137	  	 0.72	 0.20	 71.2	24.69	22.85	21.43	20.70	20.31	     	     	
J142031+525822	  	 1.11	 0.62	-86.0	22.94	20.88	19.36	18.68	18.33	     	     	
J142059+563007	  	 1.62	 0.54	-12.6	22.72	20.73	19.29	18.51	18.16	     	     	
J142321+572243	  	 1.42	 0.82	 62.9	23.67	21.65	20.00	18.95	18.64	     	     	
J142731+551645	  	 0.39	 0.31	-63.7	23.33	22.00	20.74	19.85	19.47	     	     	
J220329+020518	  	 0.99	 0.81	-44.7	22.68	21.08	19.80	19.15	18.83	     	     	17.85
J220506+014703	  	 0.66	 0.48	 87.2	23.71	21.69	20.09	19.24	18.92	     	     	17.73
J220629+005728	  	 1.37	 0.63	-25.1	23.59	22.31	20.99	19.75	19.24	     	     	17.66
J221326-000946	  	 0.27	 0.34	-29.1	23.60	21.78	20.33	19.74	19.44	     	     	18.61
J221407-180712	  	 0.68	 0.72	 57.0	24.81	22.81	21.37	20.15	19.73	     	     	
J221852+014038	  	 0.90	 0.53	-67.1	23.86	21.70	20.19	19.07	18.67	     	     	17.54
J221929-001743	  	 1.01	 0.78	 85.1	21.32	19.52	18.31	17.78	17.50	     	     	
J222012+010606	  	 0.80	 0.87	-22.4	22.34	20.47	19.38	18.84	18.56	     	     	17.69
J222148+011542	  	 1.12	 0.81	 79.6	22.02	20.15	18.83	18.21	17.91	     	     	16.90
J222217+001202	  	 1.56	 0.66	 37.7	22.77	21.03	19.62	18.88	18.53	     	     	

