#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T06:19:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T06:19:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/896/70/table1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18960070
#Name: J/ApJ/896/70
#Title: Radial acceleration relation in CLASH galaxy clusters (Tian+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	creator=Tian Y.	    First author or institution
#INFO	cites=bibcode:2020ApJ...896...70T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/896/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18960070	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_896_70_table1:
#Name: J/ApJ/896/70/table1
#Title: Properties of the central brightest cluster galaxies (BCGs) in the CLASH sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAR	(I3)	Number of measurements for this cluster (link to fig2.dat)	[ucd=meta.number]
#Column	Name	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	z	(F6.3)	[0.18/0.7] Cluster redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Band	(A5)	HST band corresponding to the rest-frame wavelength of 1um	[ucd=instr.bandpass]
#Column	n	(F5.2)	[1.44/3.83] Sersic index of the BCG obtained with GALFIT in the HST band corresponding to the rest-frame wavelength of 1um	[ucd=stat.fit.param]
#Column	Re	(F4.1)	[13.2/56.9] Effective radius of the BCG obtained with GALFIT in the HST band corresponding to the rest-frame wavelength of 1um	[ucd=em.wl.effective]
#Column	e_Re	(F5.2)	[0.04/0.93] Re uncertainty	[ucd=stat.error]
#Column	Rad	(F4.1)	[14.3/30.3] BCG centric radius (r) for M*, Mgas, and Mtot estimates	[ucd=phys.size.radius]
#Column	M*	(F5.2)	[2.19/14.7] BCG total stellar mass (1)	[ucd=phys.mass]
#Column	Mgas	(F5.2)	[0.48/13.1]? X-ray gas mass Mgas(<Rad) from Donahue+ (2014ApJ...794..136D)	[ucd=phys.mass]
#Column	e_Mgas	(F5.2)	[0.02/0.55]? Mgas uncertainty	[ucd=stat.error]
#Column	Mtot	(F5.2)	[3.87/25.3] Lensing mass Mtot(<Rad) from Umetsu+ (2016ApJ...821..116U)	[ucd=phys.mass]
#Column	e_Mtot	(F5.2)	[0.73/6.5] Mtot uncertainty	[ucd=stat.error]
#Column	AName	(A8)	Abbreviated cluster name as used in Fig 2; column added by CDS	[ucd=meta.id]
#Column	Plot	(A4)	Interactive acceleration profile plot	[ucd=meta.ref.url]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	RAR	Name	z	RAJ2000	DEJ2000	Band	n	Re	e_Re	Rad	M*	Mgas	e_Mgas	Mtot	e_Mtot	AName	Plot	SimbadName	NED
 	 	 	 	"h:m:s"	"d:m:s"	 	 	kpc	kpc	kpc	10+11Msun	10+11Msun	10+11Msun	10+11Msun	10+11Msun	 	 	 	
--------	---	-----------------	------	-----------	------------	-----	-----	----	-----	----	-----	-----	-----	-----	-----	--------	----	----------------	---
       1	  4	A383             	 0.187	02 48 03.38	-03 31 45.02	F110W	 2.34	17.0	 0.09	14.3	 4.45	 1.78	 0.09	 7.55	 2.23	A383    	Plot	A383            	NED
       2	  5	A209             	 0.206	01 31 52.55	-13 36 40.50	F125W	 2.62	22.1	 0.14	14.3	 4.85	     	     	 3.87	 0.79	A209    	Plot	A209            	NED
       3	  5	A2261            	 0.224	17 22 27.21	+32 07 57.62	F125W	 1.74	18.7	 0.08	23.6	12.30	 0.48	 0.03	 6.44	 1.48	A2261   	Plot	A2261           	NED
       4	  5	RX J2129.7+0005  	 0.234	21 29 39.96	+00 05 21.17	F125W	 2.70	41.4	 0.54	14.3	 5.81	 2.18	 0.07	 6.65	 1.91	RXJ2129 	Plot	RXC J2129.6+0005	NED
       5	  5	A611             	 0.288	08 00 56.82	+36 03 23.63	F125W	 2.55	30.4	 0.16	22.2	 6.58	 0.48	 0.03	 6.24	 1.81	A611    	Plot	A611            	NED
       6	  3	MS2137-2353      	 0.313	21 40 15.16	-23 39 40.10	F125W	 2.35	15.0	 0.04	14.3	 3.65	 2.94	 0.07	 3.98	 1.57	MS2137  	Plot	ClG 2137-2353   	NED
       7	  5	RX J2248.7-4431  	 0.348	22 48 43.97	-44 31 51.14	F140W	 2.45	34.5	 0.20	30.3	 8.09	 1.01	 0.03	 6.19	 2.16	RXJ2248 	Plot	RXC J2248.7-4431	NED
       8	  3	MACS J1115.9+0129	 0.355	11 15 51.91	+01 29 55.00	F140W	 3.83	52.9	 0.93	16.2	 3.00	 5.80	 0.19	 6.25	 1.53	MACS1115	Plot	MCS J1115.8+0129	NED
       9	  5	MACS J1931.8-2635	 0.352	19 31 49.70	-26 34 32.22	F140W	 3.49	33.2	 0.38	14.3	 6.92	 1.47	 0.02	 7.21	 2.90	MACS1931	Plot	MCS J1931.8-2635	NED
      10	  5	RX J1532.9+3021  	 0.362	15 32 53.78	+30 20 59.43	F140W	 2.81	21.8	 0.14	14.3	 3.34	 1.13	 0.04	 6.80	 4.18	RXJ1532 	Plot	RXC J1532.9+3021	NED
      11	  4	MACS J1720.3+3536	 0.387	17 20 16.75	+35 36 26.24	F140W	 2.63	17.2	 0.06	23.6	 6.59	 1.15	 0.03	 6.83	 2.07	MACS1720	Plot	MCS J1720.3+3536	NED
      12	  3	MACS J0416.1-2403	 0.397	04 16 09.15	-24 04 02.99	F140W	 3.78	56.2	 0.81	14.3	 3.14	     	     	 4.22	 0.94	MACS0416	Plot	MCS J0416.1-2403	NED
      13	  3	MACS J0429.6-0253	 0.399	04 29 36.00	-02 53 06.78	F140W	 1.80	29.3	 0.08	17.2	11.90	 6.71	 0.55	 9.98	 3.40	MACS0429	Plot	MCS J0429.6-0253	NED
      14	  5	MACS J1206.2-0847	 0.439	12 06 12.15	-08 48 03.32	F140W	 3.65	44.8	 0.52	14.3	 3.13	     	     	 6.90	 2.07	MACS1206	Plot	MCS J1206.2-0847	NED
      15	  3	MACS J0329.7-0211	 0.450	03 29 41.57	-02 11 46.33	F140W	 2.76	22.9	 0.12	22.2	 8.47	13.10	 0.41	25.30	 6.50	MACS0329	Plot	MCS J0329.6-0211	NED
      16	  5	RX J1347.5-1145  	 0.451	13 47 30.61	-11 45 09.33	F140W	 2.62	21.7	 0.12	14.3	 4.52	 5.11	 0.07	 7.28	 1.88	RXJ1347 	Plot	RXC J1347.5-1145	NED
      17	  3	MACS J1149.5+2223	 0.544	11 49 35.70	+22 23 54.68	F160W	 2.44	34.3	 0.32	14.3	 4.72	     	     	 4.54	 1.12	MACS1149	Plot	MCS J1149.5+2223	NED
