left,right,distinguishable_in_binary_basis,minimal_declared_witness,all_declared_witnesses,warning
Q00_GR_COHERENT_SPIN2_CONTROL,Q01_MASSIVE_SPIN2,True,dispersion,dispersion|extra_polarization,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q02_SCALAR_VECTOR_TENSOR_MIXTURE,True,dispersion,dispersion|extra_polarization|birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q03_DISCRETE_GRAVITY_IMPULSES,True,third_cumulant,third_cumulant|fourth_cumulant|state_conditioning|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q04_CLASSICAL_STOCHASTIC_METRIC,True,mean_response,mean_response|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q05_SEMICLASSICAL_EXPECTATION_SOURCE,True,gaussian_power,gaussian_power|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,mean_response,mean_response|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,gaussian_power,gaussian_power|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,dispersion,dispersion|state_conditioning|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,dispersion,dispersion,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,dispersion,dispersion|extra_polarization|birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,dispersion,dispersion|fourth_cumulant|state_conditioning|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q00_GR_COHERENT_SPIN2_CONTROL,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,third_cumulant,third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q02_SCALAR_VECTOR_TENSOR_MIXTURE,True,birefringence,birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q03_DISCRETE_GRAVITY_IMPULSES,True,dispersion,dispersion|extra_polarization|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q04_CLASSICAL_STOCHASTIC_METRIC,True,mean_response,mean_response|dispersion|extra_polarization|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q05_SEMICLASSICAL_EXPECTATION_SOURCE,True,dispersion,dispersion|extra_polarization|gaussian_power|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,True,mean_response,mean_response|dispersion|extra_polarization|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q07_ENTANGLEMENT_MEDIATED_GRAVITY,True,dispersion,dispersion|extra_polarization|gaussian_power|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q08_EMERGENT_SUPERFLUID_MEDIUM,True,extra_polarization,extra_polarization|state_conditioning|entangling_channel|phase_transition,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,True,extra_polarization,extra_polarization,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q10_POLARIZATION_BIREFRINGENT_GRAVITY,True,birefringence,birefringence|state_conditioning,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q11_FINITE_OCCUPATION_COHERENCE,True,mean_response,mean_response|dispersion|extra_polarization|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,True,extra_polarization,extra_polarization|fourth_cumulant|state_conditioning|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q01_MASSIVE_SPIN2,Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,True,dispersion,dispersion|extra_polarization|third_cumulant|fourth_cumulant|state_conditioning|entangling_channel|decoherence|memory_lag,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q03_DISCRETE_GRAVITY_IMPULSES,True,dispersion,dispersion|extra_polarization|birefringence|third_cumulant|fourth_cumulant|entangling_channel,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q04_CLASSICAL_STOCHASTIC_METRIC,True,mean_response,mean_response|dispersion|extra_polarization|birefringence|state_conditioning|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,Q05_SEMICLASSICAL_EXPECTATION_SOURCE,True,dispersion,dispersion|extra_polarization|birefringence|gaussian_power|entangling_channel|decoherence,"a differing flag is a test target, not evidence that either model is true"
