card_id,category,data_readiness,theory_health,novelty,mean_response,dispersion,extra_polarization,birefringence,gaussian_power,third_cumulant,fourth_cumulant,state_conditioning,entangling_channel,decoherence,memory_lag,phase_transition,falsifier_id,source_status
Q00_GR_COHERENT_SPIN2_CONTROL,massless_spin2_coherent_control,3,4,0,1,0,0,0,1,0,0,0,1,0,0,0,GWOSC_GW150914_GR_WAVEFORM_CONTROL,PUBLIC_EXACT_FAMILY_NOT_OPENED
Q01_MASSIVE_SPIN2,massive_spin2,3,2,1,1,1,1,0,1,0,0,0,1,0,0,0,GWTC3_MODIFIED_DISPERSION,PUBLIC_SOURCE_NOT_OPENED
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,mediator_mixture,3,2,2,1,1,1,1,1,0,0,1,1,0,0,0,GWTC3_POLARIZATION_PLUS_BINARY_PULSAR,PUBLIC_SOURCES_NOT_OPENED
Q03_DISCRETE_GRAVITY_IMPULSES,discrete_impulse_shot_noise,2,1,3,1,0,0,0,1,1,1,1,0,0,0,0,HOLOMETER_CROSS_SPECTRA_HIGHER_CUMULANTS,PUBLIC_SOURCE_EXACT_PAYLOAD_NOT_RECEIPTED
Q04_CLASSICAL_STOCHASTIC_METRIC,classical_stochastic_gravity,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,LVK_O3_ISOTROPIC_STOCHASTIC_BACKGROUND,PUBLIC_EXACT_FAMILY_NOT_OPENED
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,semiclassical_expectation_value,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,PAGE_GEILKER_BRANCH_SOURCE_CONTROL,PRIMARY_PAPER_ROWS_NOT_DIGITIZED
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,gravity_related_collapse,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,GRAN_SASSO_DP_SOURCE_DATA,PUBLIC_SUPPLEMENT_NOT_OPENED
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,quantum_entangling_mediator,0,3,1,1,0,0,0,0,0,0,1,1,0,0,0,FROZEN_BMV_CORRELATION_TABLE,PROTOCOL_READY_NO_PUBLIC_GRAVITY_RESPONSE
Q08_EMERGENT_SUPERFLUID_MEDIUM,condensate_collective_gravity,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1,SPARC_XCOP_PHASE_TRANSFER,PUBLIC_FAMILIES_LOCAL_BINDINGS_NOT_OPENED_BY_THIS_PACKAGE
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,wave_packet_dispersion,3,3,1,1,1,0,0,1,0,0,0,1,0,0,0,GWTC3_EVENT_TRANSFER_DISPERSION,PUBLIC_EXACT_FAMILY_NOT_OPENED
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,polarization_birefringence,3,3,1,1,1,1,1,1,0,0,1,1,0,0,0,GWTC3_NETWORK_POLARIZATION,PUBLIC_SOURCE_NOT_OPENED
Q11_FINITE_OCCUPATION_COHERENCE,finite_occupation_quantum_state,2,3,2,0,0,0,0,1,1,1,1,0,1,0,0,HOLOMETER_AND_GWOSC_STATE_NOISE,PUBLIC_FAMILIES_NOT_OPENED
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,wildcard_quantum_memory_timewell,1,2,3,1,1,0,0,1,0,1,1,1,1,1,0,SOURCE_MODULATED_CLOCK_INTERFEROMETER_MEMORY,PRIMARY_PAPER_EXISTS_EXACT_TIME_ROWS_NOT_IDENTIFIED
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,wildcard_entity_capture_memory,1,1,3,1,0,0,0,1,1,1,1,0,1,1,0,SOURCE_STEP_RINGDOWN_CUMULANT_TEST,SOURCE_BLOCKED_EXACT_ROWS_UNKNOWN
