sequence	vcirc_km_s
1	2.749000000000e+02
3	2.675000000000e+02
5	3.138000000000e+02
6	2.391000000000e+02
7	2.378000000000e+02
9	1.582000000000e+02
10	2.064000000000e+02
12	1.116000000000e+02
13	2.194000000000e+02
14	3.374000000000e+02
15	1.771000000000e+02
16	2.612000000000e+02
17	1.942000000000e+02
18	2.354000000000e+02
19	3.512000000000e+02
21	1.669000000000e+02
22	3.052000000000e+02
23	3.214000000000e+02
24	1.894000000000e+02
25	2.590000000000e+02
26	2.391000000000e+02
27	2.107000000000e+02
28	1.381000000000e+02
29	2.079000000000e+02
30	1.843000000000e+02
32	3.239000000000e+02
33	1.434000000000e+02
34	1.972000000000e+02
35	1.849000000000e+02
37	3.357000000000e+02
38	2.783000000000e+02
39	1.496000000000e+02
41	3.840000000000e+02
42	2.550000000000e+02
43	1.591000000000e+02
44	3.564000000000e+02
45	2.628000000000e+02
46	1.963000000000e+02
47	2.121000000000e+02
48	3.019000000000e+02
49	1.298000000000e+02
50	1.910000000000e+02
52	2.590000000000e+02
54	1.403000000000e+02
55	3.150000000000e+02
56	3.800000000000e+02
57	1.925000000000e+02
58	1.250000000000e+02
59	2.565000000000e+02
60	2.996000000000e+02
61	2.315000000000e+02
62	3.056000000000e+02
63	2.647000000000e+02
64	2.945000000000e+02
65	2.994000000000e+02
67	3.205000000000e+02
68	1.811000000000e+02
69	2.811000000000e+02
70	2.223000000000e+02
71	1.406000000000e+02
72	2.074000000000e+02
73	1.632000000000e+02
74	3.476000000000e+02
75	4.761000000000e+02
79	2.713000000000e+02
80	2.268000000000e+02
82	2.419000000000e+02
85	3.090000000000e+02
86	2.858000000000e+02
87	4.337000000000e+02
88	2.635000000000e+02
89	2.624000000000e+02
90	2.632000000000e+02
91	2.880000000000e+02
92	4.138000000000e+02
94	3.150000000000e+02
95	2.766000000000e+02
96	2.168000000000e+02
97	1.666000000000e+02
98	2.067000000000e+02
99	2.423000000000e+02
100	2.950000000000e+02
101	3.770000000000e+02
102	3.033000000000e+02
103	2.638000000000e+02
104	2.338000000000e+02
106	2.046000000000e+02
108	1.675000000000e+02
109	2.008000000000e+02
110	1.836000000000e+02
111	2.541000000000e+02
112	1.512000000000e+02
113	2.086000000000e+02
116	2.433000000000e+02
117	4.089000000000e+02
118	1.752000000000e+02
119	2.145000000000e+02
120	2.802000000000e+02
121	3.733000000000e+02
122	1.743000000000e+02
123	2.742000000000e+02
124	2.910000000000e+02
125	1.992000000000e+02
126	2.598000000000e+02
129	2.842000000000e+02
130	3.242000000000e+02
131	2.417000000000e+02
133	1.678000000000e+02
134	4.304000000000e+02
135	4.097000000000e+02
