galaxy,fold
CamB,3
D564-8,1
D631-7,3
DDO064,0
DDO161,3
DDO168,1
DDO170,4
ESO079-G014,4
ESO116-G012,4
F565-V2,4
F568-3,1
F568-V1,4
F571-V1,2
F583-1,1
F583-4,4
KK98-251,0
NGC0024,3
NGC0055,2
NGC0247,0
NGC0289,3
NGC0300,3
NGC0801,4
NGC1003,1
NGC1090,2
NGC2403,3
NGC2683,2
NGC2841,2
NGC2915,4
NGC2955,2
NGC2976,0
NGC2998,4
NGC3109,0
NGC3198,4
NGC3521,1
NGC3741,0
NGC3769,4
NGC3877,1
NGC3893,0
NGC3917,4
NGC3949,0
NGC3972,0
NGC3992,2
NGC4051,3
NGC4068,3
NGC4088,3
NGC4100,0
NGC5005,2
NGC5033,2
NGC5371,1
NGC5585,2
NGC5985,2
NGC6015,0
NGC6195,2
NGC6503,3
NGC6674,1
NGC6946,3
NGC7331,0
UGC00128,2
UGC00191,1
UGC00731,1
UGC00891,4
UGC02259,4
UGC02487,4
UGC02916,3
UGC02953,1
UGC03205,3
UGC03580,2
UGC04325,1
UGC04483,3
UGC04499,2
UGC05414,4
UGC05716,4
UGC05750,3
UGC05764,1
UGC05829,0
UGC06399,3
UGC06614,3
UGC06786,1
UGC06787,0
UGC06818,2
UGC06917,0
UGC06923,0
UGC06983,4
UGC07089,4
UGC07261,1
UGC07323,0
UGC07399,2
UGC07524,1
UGC07577,0
UGC07603,4
UGC07866,1
UGC08490,2
UGC08699,3
UGC08837,1
UGC09037,0
UGC09133,2
UGC09992,1
UGC10310,3
UGC11820,1
UGC11914,2
UGCA442,0
UGCA444,0
