#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:25:02 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:25:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/501/461/lens&-out=SLACS,MSalBC,E_MSalBC,e_MSalBC,MSalM,E_MSalM,e_MSalM,MChaBC,E_MChaBC,e_MChaBC,MKroM,E_MKroM,e_MKroM&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35010461
#Name: J/A+A/501/461
#Title: Photometric masses of early-type lens galaxies (Grillo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/a+a/501/461	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/501/461	    IVOID of underlying data collection
#INFO	creator=Grillo C.	    First author or institution
#INFO	cites=bibcode:2009A&A...501..461G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/501/461	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35010461	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-05-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_501_461_lens:
#Name: J/A+A/501/461/lens
#Title: Spectroscopy, photometry, and lensing mass  measurements of the 57 early-type grade-A lens galaxies of  the SLACS survey
#Column	SLACS	(a10)	System name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	MSalBC	(I3)	Photometric mass from Sal,BC model (1)	[ucd=phys.mass]
#Column	E_MSalBC	(I2)	Error on MSalBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC	(I2)	Error on MSalBC (lower limit)	[ucd=stat.error]
#Column	MSalM	(I3)	Photometric mass from Sal,M model (1)	[ucd=phys.mass]
#Column	E_MSalM	(I2)	Error on MSalM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM	(I2)	Error on MSalM (lower limit)	[ucd=stat.error]
#Column	MChaBC	(I2)	Photometric mass from Cha,BC model (1)	[ucd=phys.mass]
#Column	E_MChaBC	(I2)	Error on MChaBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC	(I2)	Error on MChaBC (lower limit)	[ucd=stat.error]
#Column	MKroM	(I2)	Photometric mass from Kro,M model (1)	[ucd=phys.mass]
#Column	E_MKroM	(I2)	Error on MKroM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM	(I2)	Error on MKroM (lower limit)	[ucd=stat.error]
SLACS	MSalBC	E_MSalBC	e_MSalBC	MSalM	E_MSalM	e_MSalM	MChaBC	E_MChaBC	e_MChaBC	MKroM	E_MKroM	e_MKroM
 	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass	10+10solMass
----------	---	--	--	---	--	--	--	--	--	--	--	--
J0008-0004	 48	 8	29	 40	 7	27	28	 3	18	22	 7	14
J0029-0055	 31	14	 9	 15	22	 2	17	 8	 5	 9	15	 1
J0037-0942	 54	11	20	 54	 5	31	31	 6	12	35	 5	22
J0044+0113	 23	11	 6	 29	 4	19	15	 5	 6	19	 3	13
J0109+1500	 44	11	 8	 32	18	10	26	 5	 6	20	12	 6
J0157-0056	 74	10	31	 43	23	13	43	 4	19	27	15	 8
J0216-0813	120	30	46	 89	31	24	70	11	22	59	19	18
J0252+0039	 22	 2	10	 18	 3	12	12	 2	 5	11	 2	 7
J0330-0020	 52	 2	13	 42	 3	14	29	 2	 6	27	 1	 8
J0405-0455	  5	 3	 2	  7	 2	 4	 3	 2	 1	 4	 2	 3
J0728+3835	 25	12	 3	 23	15	 7	14	 8	 1	17	 8	 8
J0737+3216	 91	 5	18	 74	 7	21	52	 1	12	50	 3	18
J0822+2652	 58	 2	 8	 51	 3	20	33	 1	 6	32	 4	14
J0903+4116	 96	 4	33	 80	 6	31	54	 3	22	50	 4	23
J0912+0029	 73	14	11	 77	21	31	43	 8	 8	49	16	21
J0935-0003	140	20	30	100	30	25	81	 6	19	65	19	17
J0936+0913	 32	 9	 7	 26	21	11	18	 5	 4	16	14	 6
J0946+1006	 41	 2	 8	 35	 3	20	24	 1	 6	23	 2	13
J0956+5100	 75	 8	33	 66	11	42	43	 4	19	42	 6	27
J0959+4416	 44	 9	10	 45	 1	27	28	 1	 7	27	 3	16
J0959+0410	 12	 2	 3	 12	 4	 6	 7	 2	 2	 8	 2	 4
J1016+3859	 22	 5	 6	 17	12	 4	13	 3	 3	12	 7	 4
J1020+1122	 37	15	 9	 30	17	 6	24	 6	 8	18	11	 3
J1023+4230	 38	 3	 7	 35	 2	10	22	 1	 4	23	 1	 8
J1029+0420	 13	 5	 4	 16	 3	 8	 8	 4	 3	10	 2	 5
J1100+5329	 58	38	17	 31	44	 6	40	14	17	20	29	 4
J1106+5228	 22	 8	 6	 20	 9	 6	13	 4	 3	14	 6	 5
J1112+0826	 63	 7	 7	 59	14	14	36	 4	 3	39	 9	10
J1134+6027	 24	10	 9	 27	 7	17	15	 4	 7	17	 7	11
J1142+1001	 30	12	 6	 25	15	 5	19	 6	 6	17	 9	 4
J1143-0144	 37	 6	 3	 40	 4	13	22	 3	 2	26	 4	 9
J1153+4612	 12	 8	 1	  8	13	 1	 7	 5	 1	 5	 9	 1
J1204+0358	 16	 5	 4	 14	 9	 3	10	 2	 2	 9	 6	 2
J1205+4910	 50	15	15	 53	16	31	29	 8	 9	33	13	20
J1213+6708	 35	10	 8	 37	11	15	21	 5	 4	23	 9	 9
J1218+0830	 35	11	 7	 40	 8	17	21	 6	 4	26	 6	12
J1250+0523	 50	12	15	 48	 4	30	29	 5	 7	28	 7	16
J1402+6321	 65	10	 9	 64	22	25	37	 7	 5	42	14	18
