#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:08:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:08:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/851/48/table2&-out=Target,logM&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18510048
#Name: J/ApJ/851/48
#Title: SLACS. XIII. Galaxy-scale strong lens candidates (Shu+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	creator=Shu Y.	    First author or institution
#INFO	cites=bibcode:2017ApJ...851...48S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/851/48	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18510048	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_851_48_table2:
#Name: J/ApJ/851/48/table2
#Title: Strong-lens model parameters of the 40 S4TM grade-A lenses
#Column	Target	(A14)	SDSS system name (SDSSJHHMM+DDMM)	[ucd=meta.id]
#Column	logM	(F5.2)	[10.7/12.1] Estimated stellar mass assuming a Chabrier IMF from Shu+ (2015ApJ...803...71S)	[ucd=phys.mass]
Target	logM
 	[Msun]
--------------	-----
SDSSJ0143-1006	11.53
SDSSJ0159-0006	11.03
SDSSJ0324+0045	11.31
SDSSJ0324-0110	11.71
SDSSJ0753+3416	11.23
SDSSJ0754+1927	11.13
SDSSJ0757+1956	11.34
SDSSJ0826+5630	11.38
SDSSJ0847+2348	11.19
SDSSJ0851+0505	11.05
SDSSJ0920+3028	12.08
SDSSJ0955+3014	11.77
SDSSJ0956+5539	11.46
SDSSJ1010+3124	11.68
SDSSJ1031+3026	11.22
SDSSJ1040+3626	10.99
SDSSJ1041+0112	11.07
SDSSJ1048+1313	11.22
SDSSJ1051+4439	11.16
SDSSJ1056+4141	11.12
SDSSJ1101+1523	11.23
SDSSJ1116+0729	11.29
SDSSJ1127+2312	11.44
SDSSJ1137+1818	11.31
SDSSJ1142+2509	11.21
SDSSJ1144+0436	10.74
SDSSJ1213+2930	11.09
SDSSJ1301+0834	10.92
SDSSJ1330+1750	11.74
SDSSJ1403+3309	10.78
SDSSJ1430+6104	11.32
SDSSJ1433+2835	11.45
SDSSJ1541+3642	11.25
SDSSJ1543+2202	11.74
SDSSJ1550+2020	11.30
SDSSJ1553+3004	11.26
SDSSJ1607+2147	11.55
SDSSJ1633+1441	11.39
SDSSJ2309-0039	11.68
SDSSJ2324+0105	11.32

