#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:08:41 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:08:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/851/48/table1&-out=Target,zL,zS,Imag,Ai,Reff,q,Class&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18510048
#Name: J/ApJ/851/48
#Title: SLACS. XIII. Galaxy-scale strong lens candidates (Shu+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/851/48	    IVOID of underlying data collection
#INFO	creator=Shu Y.	    First author or institution
#INFO	cites=bibcode:2017ApJ...851...48S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/851/48	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18510048	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_851_48_table1:
#Name: J/ApJ/851/48/table1
#Title: Selected properties of the Sloan Lens ACS (SLACS) Survey for the Masses (S4TM) sample
#Column	Target	(A14)	SDSS system name (SDSSJHHMM+DDMM)	[ucd=meta.id]
#Column	zL	(F7.4)	[0.04/0.45] Foreground lens redshift inferred from SDSS spectrum	[ucd=src.redshift]
#Column	zS	(F7.4)	[0.17/1.3] Background source redshift inferred from SDSS spectrum	[ucd=src.redshift;pos.heliocentric]
#Column	Imag	(F5.2)	[14.7/19.1] Apparent AB magnitude of the lens galaxy in the HST/ACS F814W band inferred from the de Vaucouleurs model (I_814_)	[ucd=phot.mag;em.opt.I]
#Column	Ai	(F5.2)	[0.01/0.3] Galactic dust extinction {Delta}I_814_ (1)	[ucd=phys.absorption.gal]
#Column	Reff	(F5.2)	[0.5/10] Effective radius	[ucd=phys.angSize]
#Column	q	(F5.2)	[0.4/1] Minor-to-major axis ratio	[ucd=phys.size.axisRatio]
#Column	Class	(A5)	Classification (2)	[ucd=meta.code.class]
Target	zL	zS	Imag	Ai	Reff	q	Class
 	 	 	mag	mag	arcsec	 	
--------------	-------	-------	-----	-----	-----	-----	-----
SDSSJ0026-0059	 0.0924	 0.9506	16.87	 0.04	 4.92	 0.65	E-S-X
SDSSJ0058-1020	 0.3088	 0.7741	16.76	 0.07	 4.76	 0.69	E-M-B
SDSSJ0105+0111	 0.3584	 1.1041	18.99	 0.04	 0.83	 0.58	E-S-X
SDSSJ0139-1035	 0.2221	 0.9745	17.20	 0.04	 2.13	 0.83	E-U-C
SDSSJ0143-1006	 0.2210	 1.1046	16.85	 0.05	 3.24	 0.78	E-S-A
SDSSJ0152+1414	 0.1359	 0.2920	16.93	 0.12	 3.52	 0.82	E-U-X
SDSSJ0159-0006	 0.1584	 0.7477	17.47	 0.05	 1.58	 0.91	E-S-A
SDSSJ0206+0115	 0.1373	 0.8749	16.93	 0.05	 1.13	 0.52	E-S-B
SDSSJ0207+0045	 0.0419	 1.1148	14.80	 0.05	 3.10	 0.83	E-S-X
SDSSJ0314-0035	 0.1151	 1.1501	16.92	 0.14	 1.44	 0.61	E-S-B
SDSSJ0324+0045	 0.3210	 0.9199	18.23	 0.22	 1.67	 0.84	E-S-A
SDSSJ0324-0110	 0.4456	 0.6239	18.17	 0.17	 2.23	 0.73	E-S-A
SDSSJ0329-0055	 0.1062	 0.6576	16.84	 0.23	10.00	 0.87	L-S-X
SDSSJ0330-0051	 0.3406	 1.1334	19.05	 0.22	 0.55	 0.77	E-S-C
SDSSJ0739+3201	 0.1860	 0.6198	17.10	 0.09	 1.00	 0.66	E-S-C
SDSSJ0753+3416	 0.1371	 0.9628	16.55	 0.10	 1.89	 0.86	E-S-A
SDSSJ0753+3839	 0.0408	 1.2344	17.10	 0.08	 3.37	 0.86	E-S-X
SDSSJ0754+1927	 0.1534	 0.7401	17.02	 0.10	 1.46	 0.94	E-S-A
SDSSJ0754+4202	 0.3692	 1.0543	17.19	 0.08	 4.63	 0.56	E-S-X
SDSSJ0755+1116	 0.1378	 0.3448	17.16	 0.05	 3.74	 0.99	L-S-X
SDSSJ0757+1956	 0.1206	 0.8326	15.82	 0.09	 3.67	 0.91	E-S-A
SDSSJ0813+0959	 0.1565	 1.1851	16.36	 0.05	 2.33	 0.52	L-S-X
SDSSJ0818+5410	 0.1163	 0.3673	16.90	 0.10	 1.06	 0.68	E-S-C
SDSSJ0824+2242	 0.2802	 0.8457	16.17	 0.08	 6.67	 0.93	E-M-X
SDSSJ0826+5630	 0.1318	 1.2907	16.27	 0.11	 1.64	 0.87	E-S-A
SDSSJ0831+1940	 0.0876	 0.8805	16.87	 0.07	 1.26	 0.72	E-S-X
