#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-29T01:02:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-29T01:02:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F26D%2Fcatalog&-out=UGC%2C_RAJ2000%2C_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7026
#Name: VII/26D
#Title: Uppsala General Catalogue of Galaxies (UGC) (Nilson 1973)
#INFO	ivoid=ivo://cds.vizier/vii/26d	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/26d	    IVOID of underlying data collection
#INFO	creator=Nilson P.	    First author or institution
#INFO	cites=1973UGC...C......0N	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/26D	    Dataset landing page
#INFO	publication_date=2003-07-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_26D_catalog:
#Name: VII/26D/catalog
#Title: UGC catalogue
#Column	UGC	(I5)	[1/12921]+= UGC number	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
UGC	_RAJ2000	_DEJ2000
 	deg	deg
-----	--------	--------
    1	000.6412	+16.6450
    2	000.6423	+44.9283
    3	000.6913	+18.8950
    4	000.7659	 +4.2117
    5	000.7906	 -1.9050
    6	000.7916	+21.9783
    7	000.8164	+15.9783
    8	000.8164	+16.1450
    9	000.8409	 +4.6283
   10	000.8411	 +8.6117
   11	000.8417	+22.1116
   12	000.8422	+29.7950
   13	000.8671	+27.3616
   14	000.8919	+23.2116
   15	000.9409	 +4.2783
   16	000.9411	 +7.4617
   17	000.9666	+15.2116
   18	000.9913	+10.8616
   19	000.9919	+20.7450
   20	001.0355	+80.2949
   21	001.0412	 +7.3617
   22	001.0664	+10.3116
   23	001.0664	+10.7783
   24	001.0672	+22.5950
   25	001.0911	 +6.1617
   26	001.0930	+31.4783
   27	001.1161	 +5.8450
   28	001.1411	 +5.1950
   29	001.1429	+28.3116
   30	001.1434	+33.5616
   31	001.2171	+17.1950
   32	001.2416	+11.7116
   33	001.2661	 +5.1283
   34	001.2913	 +6.9116
   35	001.3162	 +6.2616
   36	001.3163	 +6.7783
   37	001.3662	 +5.1783
   38	001.3662	 +5.2283
   39	001.3978	+53.6449
   40	001.4435	+27.4449
   41	001.4931	+22.4783
   42	001.5171	+13.1283
   43	001.5172	+14.4283
   44	001.5428	+19.7449
   45	001.5490	+54.5449
   46	001.5926	+17.4283
   47	001.6427	+17.2783
   48	001.6478	+47.8782
   49	001.6667	 +8.3616
   50	001.6689	+26.1616
   51	001.6913	 +5.1116
   52	001.6917	 +8.6283
   53	001.7181	+19.3116
   54	001.7218	+41.7449
   55	001.7480	+46.6615
   56	001.7675	+14.0782
   57	001.7945	+27.7115
   58	001.8168	 +8.3116
   59	001.8195	+27.6782
   60	001.8203	+32.6115
   61	001.8738	+47.0448
   62	001.9463	+35.3615
   63	001.9464	+35.9615
   64	001.9475	+40.8782
   65	001.9960	+33.0782
   66	002.0171	 +9.7115
   67	002.0418	 +7.7782
   68	002.0450	+27.0115
   69	002.0451	+27.5282
   70	002.0757	+49.7781
   71	002.1493	+44.1115
   72	002.1656	 -0.7218
   73	002.1726	+37.4448
   74	002.1914	 +4.6115
   75	002.1933	+15.8115
   76	002.1948	+24.5282
   77	002.1967	+33.4448
   78	002.2198	+23.8282
   79	002.2452	+25.6282
   80	002.2456	+27.7282
   81	002.2675	+10.8948
   82	002.2694	+21.6282
   83	002.3408	 +0.6115
   84	002.3722	+33.3281
   85	002.3765	+47.3614
   86	002.4461	+27.8448
   87	002.4463	+28.3614
   88	002.4665	 +4.6948
   89	002.4708	+25.9281
   90	002.4939	+16.9448
   91	002.4963	+28.1614
   92	002.4963	+28.2114
   93	002.5722	+30.8614
   94	002.5960	+25.8281
   95	002.5968	+28.9948
   96	002.6219	+29.0114
   97	002.6469	+28.6781
   98	002.6480	+32.9947
   99	002.6685	+13.7281
  100	002.6732	+33.3614
  101	002.7213	+25.5614
  102	002.7475	+30.0614
  103	002.7666	 +4.2781
  104	002.7924	 +7.9947
  105	002.8224	+28.9114
  106	002.8421	 +6.3781
  107	002.8973	+27.9447
  108	002.9476	+28.5113
  109	002.9654	 -1.0886
  110	002.9971	+26.3947
  111	003.0435	+12.0447
  112	003.0525	+41.7446
  113	003.0712	+22.3280
  114	003.0737	+31.0613
  115	003.6248	+88.3779
  116	003.1670	 +5.5113
  117	003.1999	+33.3779
  118	003.2214	+22.1113
  119	003.2443	+14.4113
  120	003.2492	+30.9279
  121	003.2523	+39.2446
  122	003.3201	+17.0279
  123	003.3453	+17.4946
  124	003.3486	+28.3779
  125	003.4325	+48.1612
  126	003.4446	+14.6112
  127	003.4484	+26.9779
  128	003.4517	+35.9945
  129	003.4667	 +3.7113
  130	003.4748	+30.8945
  131	003.4827	+48.1612
  132	003.4942	+12.9779
  133	003.5079	+48.2445
  134	003.5192	+12.9112
  135	003.5427	 +7.4279
  136	003.5833	+48.2445
  137	003.6087	+48.6778
  138	003.6336	+48.2612
  139	003.6405	 -0.7221
  140	003.6461	+18.5612
  141	003.6494	+28.4445
  142	003.6922	 +5.2279
