Name	RAJ2000	DEJ2000	D	dR	V_sys	mean_i	mean_PA
NGC 925	02 27 16.5	+33 34 43.5	9.2	3.0	546.3	66.0	286.6
NGC 2366	07 28 53.4	+69 12 51.1	3.4	6.0	104.0	63.8	39.8
NGC 2403	07 36 51.1	+65 36 02.9	3.2	4.0	132.8	62.9	123.7
NGC 2841	09 22 02.6	+50 58 35.4	14.1	5.0	633.7	73.7	152.6
NGC 2903	09 32 10.1	+21 30 04.3	8.9	7.0	555.6	65.2	204.3
NGC 2976	09 47 15.3	+67 55 00.0	3.6	3.5	1.1	64.5	334.5
NGC 3031	09 55 33.1	+69 03 54.7	3.6	6.0	--39.8	59.0	330.2
NGC 3198	10 19 55.0	+45 32 58.9	13.8	6.0	660.7	71.5	215.0
IC 2574	10 28 27.7	+68 24 59.4	4.0	6.0	53.1	53.4	55.7
NGC 3521	11 05 48.6	--00 02 09.2	10.7	6.0	803.5	72.7	339.8
NGC 3621	11 18 16.5	--32 48 50.9	6.6	6.5	728.5	64.7	345.4
NGC 3627	11 20 15.0	+12 59 29.6	9.3	5.0	708.2	61.8	173.0
NGC 4736	12 50 53.0	+41 07 13.2	4.7	5.0	306.7	41.4	296.1
DDO 154	12 54 05.7	+27 09 09.9	4.3	6.5	375.9	66.0	229.7
NGC 4826	12 56 43.6	+21 41 00.3	7.5	5.0	407.4	65.2	120.9
NGC 5055	13 15 49.2	+42 01 45.3	10.1	5.0	496.8	59.0	101.8
NGC 6946	20 34 52.2	+60 09 14.4	5.9	3.0	43.7	32.6	242.7
NGC 7331	22 37 04.1	+34 24 56.5	14.7	3.0	818.3	75.8	167.7
NGC 7793	23 57 49.7	--32 35 27.9	3.9	6.0	226.2	49.6	290.1
