#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:21:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:21:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/370/765/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_370_765_table5:
#Name: J/A+A/370/765/table5
#Title: Results from the HI synthesis observations literature
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A2)	[FPH] Sample (G1)	[ucd=meta.code]
#Column	Name	(A5)	Galaxy name (N for NGC, U for UGC)	[ucd=meta.id;meta.main]
#Column	W20	(F5.1)	Uncorrected widths with formal errors of the global profiles at 20% of the peak flux	[ucd=spect.line.width]
#Column	e_W20	(F4.1)	rms uncertainty on W20	[ucd=stat.error]
#Column	W50	(F5.1)	Uncorrected widths with formal errors of the global profiles at 50% of the peak flux	[ucd=spect.line.width]
#Column	e_W50	(F4.1)	rms uncertainty on W50	[ucd=stat.error]
#Column	Res	(F4.1)	Instrumental velocity resolution at which the global profiles were observed	[ucd=spect.resolution]
#Column	HRV	(F6.1)	Heliocentric systemic velocity as derived from the global profiles	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	rms uncertainty on HRV	[ucd=stat.error]
#Column	Int	(F5.1)	Integrated HI flux	[ucd=phot.flux.density;em.line.HI;spect.line]
#Column	e_Int	(F4.1)	rms uncertainty on Int	[ucd=stat.error]
#Column	l_F21cm	(A1)	Limit flag on F21cm	[ucd=meta.code.error]
#Column	F21cm	(F5.1)	21cm (1400MHz) continuum flux density (2)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_F21cm	(F4.1)	? rms uncertainty on F21cm	[ucd=stat.error]
#Column	RHI	(F5.2)	? Radius of the HI disk (3)	[ucd=phys.angSize;em.line.HI]
#Column	Rlmp	(F5.2)	? Radius of the last measured point of the rotation curve (4)	[ucd=phys.angSize]
#Column	Vlmp	(I3)	? Rotational velocity of the last measured point	[ucd=phys.veloc.rotat]
#Column	e_Vlmp	(I2)	? rms uncertainty on Vrot	[ucd=stat.error]
#Column	Shape	(a7)	Information on the overall shape of the rotation curve (5)	[ucd=meta.code;src.morph]
#Column	Vmax	(I3)	? Maximum observed rotational velocity (6)	[ucd=spect.line.width]
#Column	e_Vmax	(I2)	? rms uncertainty on Vmax	[ucd=stat.error]
#Column	Vflat	(I3)	? Average rotational velocity of the flat part of the rotation curve (7)	[ucd=phys.veloc.rotat]
#Column	e_Vflat	(I2)	? rms uncertainty on Vflat	[ucd=stat.error]
recno	Sample	Name	W20	e_W20	W50	e_W50	Res	HRV	e_HRV	Int	e_Int	l_F21cm	F21cm	e_F21cm	RHI	Rlmp	Vlmp	e_Vlmp	Shape	Vmax	e_Vmax	Vflat	e_Vflat
 	 	 	km/s	km/s	km/s	km/s	km/s	km/s	km/s	Jy.km/s	Jy.km/s	 	mJy	mJy	arcmin	arcmin	km/s	km/s	 	km/s	km/s	km/s	km/s
--------	--	-----	-----	----	-----	----	----	------	----	-----	----	-	-----	----	-----	-----	---	--	-------	---	--	---	--
       1	FH	U6399	188.1	 1.4	172.5	 2.9	 8.3	 791.5	 0.6	 10.5	 0.3	<	  2.5	    	 1.68	 1.50	 88	 5	R/F    	 88	 5	 88	 5
       2	FH	U6446	154.1	 1.0	131.9	 1.2	 5.0	 644.3	 0.8	 40.6	 0.5	<	  7.2	    	 2.96	 2.93	 80	11	F     L	 82	 4	 82	 4
       3	FH	N3726	286.5	 1.6	260.6	 1.8	 5.0	 865.6	 0.9	 89.8	 0.8	 	 49.7	 5.0	 4.24	 6.22	167	15	F/(D)  	162	 9	162	 9
       4	FH	N3769	265.3	 6.7	230.5	 3.6	 8.3	 737.3	 1.8	 62.3	 0.6	 	 12.1	 2.9	 4.31	 7.10	113	11	F/(D)  	122	 8	122	 8
       5	FH	U6667	187.5	 1.4	178.1	 1.9	 5.0	 973.2	 1.2	 11.0	 0.4	<	  2.7	    	 1.64	 1.50	 86	 3	R     L	 86	 3	 86	 3
       6	FH	N3877	373.4	 5.0	344.5	 6.2	33.2	 895.4	 3.8	 19.5	 0.6	 	 35.6	 2.4	 2.19	 2.17	169	 7	F     L	167	11	167	11
       7	FH	N3893	310.9	 1.0	277.9	 4.1	 5.0	 967.2	 1.0	 69.9	 0.5	 	137.4	 2.9	 3.98	 3.88	148	19	F/(D)  	188	11	188	11
       8	FH	N3917	294.5	 1.9	279.1	 2.1	 8.3	 964.6	 1.4	 24.9	 0.6	<	  7.2	    	 2.69	 2.83	137	 8	F      	135	 3	135	 3
       9	FH	N3949	286.5	 1.4	258.3	 1.7	 8.3	 800.2	 1.2	 44.8	 0.4	 	134.1	 3.6	 2.62	 1.35	169	 8	F     L	164	 7	164	 7
      10	FH	N3953	441.9	 2.4	413.9	 3.2	33.1	1052.3	 2.0	 39.3	 0.8	 	 50.9	 2.5	 3.32	 3.00	215	10	F      	223	 5	223	 5
      11	FH	N3972	281.2	 1.4	260.7	 5.5	 8.3	 852.2	 1.4	 16.6	 0.4	<	  5.8	    	 1.92	 1.67	134	 5	R     L	134	 5	   	
      12	FH	U6917	208.9	 3.2	189.6	 1.6	 8.3	 910.7	 1.4	 26.2	 0.3	<	  4.4	    	 2.42	 2.00	111	 7	R/F    	104	 4	104	 4
      13	FH	U6923	166.8	 2.4	147.1	 4.5	10.0	1061.6	 2.2	 10.7	 0.6	<	  2.6	    	 1.29	 1.02	 81	 5	R     L	 81	 5	   	
      14	FH	U6930	136.5	 0.5	122.1	 0.7	 8.3	 777.2	 0.4	 42.7	 0.3	<	  5.8	    	 3.20	 3.17	108	 7	R/F    	107	 4	107	 4
      15	FH	N3992	478.5	 1.4	461.4	 2.4	10.0	1048.2	 1.2	 74.6	 1.5	 	 30.2	 7.6	 4.75	 6.67	237	 9	F/D    	272	 6	242	 5
      16	FH	U6940	 59.3	 3.8	 40.6	 7.8	10.0	1118.0	 1.7	  2.1	 0.3	<	  1.3	    	 0.61	 0.33	 37	 4	R      	 37	 4	   	
      17	FH	U6962	220.3	 6.6	182.4	 3.7	 8.3	 807.4	 3.2	 10.0	 0.3	 	 13.4	 1.7	 1.38	 1.00	171	 7	R     L	171	 7	   	
      18	FH	N4010	277.7	 1.0	264.1	 1.2	 8.3	 901.9	 0.8	 38.2	 0.3	 	 16.9	 1.6	 3.36	 2.00	122	 2	(R)/F L	128	 9	128	 9
      19	FH	U6969	132.1	 6.4	123.5	 2.9	10.0	1118.5	 2.4	  6.1	 0.5	<	  3.8	    	 0.95	 0.85	 79	 5	R      	 79	 5	   	
      20	FH	U6973	367.8	 1.8	350.4	 1.2	 8.3	 700.5	 1.0	 22.9	 0.2	 	127.5	 2.1	 2.21	 1.50	180	 8	F/(D)  	173	10	173	10
      21	FH	U6983	188.4	 1.3	173.0	 1.1	 5.0	1081.9	 0.8	 38.5	 0.6	<	  5.4	    	 3.07	 3.00	109	12	F      	107	 7	107	 7
      22	FH	N4051	255.4	 1.8	224.6	 1.5	 5.0	 700.3	 1.2	 35.6	 0.8	 	 26.5	 2.6	 2.89	 2.33	153	10	R/F   L	159	13	159	13
      23	FH	N4085	277.4	 6.6	255.4	 7.8	19.8	 745.7	 5.0	 14.6	 0.9	 	 44.1	 1.3	 1.94	 1.18	136	 7	R/F   L	134	 6	134	 6
      24	FH	N4088	371.4	 1.7	342.1	 1.9	19.8	 756.7	 1.2	102.9	 1.1	 	222.3	 1.9	 4.25	 4.10	174	 8	F/(D) L	173	14	173	14
      25	FH	N4100	401.8	 2.0	380.5	 1.8	19.9	1074.4	 1.3	 41.6	 0.7	 	 54.3	 1.7	 3.45	 4.35	159	 9	F/D    	195	 7	164	13
      26	FH	N4102	349.8	 2.0	322.4	 8.5	 8.3	 846.3	 2.0	  8.0	 0.2	 	276.0	 1.5	 1.16	 0.83	178	12	F      	178	11	178	11
      27	FH	N4157	427.6	 2.2	400.7	 3.1	19.9	 774.4	 1.8	107.4	 1.6	 	179.6	 2.3	 4.60	 5.67	185	14	F/D    	201	 7	185	10
      28	FH	N4183	249.6	 1.2	232.5	 1.5	 8.3	 930.1	 1.0	 48.9	 0.7	<	  5.8	    	 3.07	 4.02	113	11	F/D   L	115	 6	109	 4
      29	FH	N4217	428.1	 5.1	395.6	 3.8	33.2	1027.0	 3.0	 33.8	 0.7	 	115.6	 2.2	 3.19	 3.17	178	12	F/D    	191	 6	178	 5
      30	FH	N4389	184.0	 1.5	164.9	 1.6	 8.3	 718.4	 1.2	  7.6	 0.2	 	 23.3	 1.2	 1.30	 1.02	110	 8	R      	110	 8	   	
      31	PH	N3718	492.8	 1.0	465.7	 1.0	33.2	 993.0	 0.8	140.9	 0.9	 	 11.4	 0.4	     	 6.67	223	12	F      	232	11	232	11
      32	PH	N3729	270.8	 1.5	253.2	 3.9	33.2	1059.8	 1.4	  5.5	 0.3	 	 18.0	 0.9	     	 1.00	151	11	F      	151	11	151	11
      33	PH	U6773	110.4	 2.3	 91.1	 2.2	 8.3	 923.6	 1.6	  5.6	 0.4	<	  2.6	    	     	 0.67	 45	 5	R     L	 45	 5	   	
      34	PH	U6818	166.9	 2.3	141.9	 5.7	 8.3	 808.1	 2.1	 13.9	 0.2	 	  2.4	 1.0	     	 1.33	 74	 7	R/(F) L	 73	 5	 73	 5
      35	PH	U6894	141.8	 1.1	132.2	 1.5	 8.3	 848.6	 1.8	  5.8	 0.2	<	  2.7	    	     	 0.67	 63	 5	R      	 63	 5	   	
      36	PH	N3985	160.2	 3.7	 88.0	 2.4	 8.3	 948.2	 2.0	 15.7	 0.6	 	  9.7	 1.4	     	 0.50	 93	 7	R      	 93	 7	   	
      37	PH	N4013	425.0	 0.9	395.0	 0.8	33.0	 831.3	 0.6	 41.5	 0.2	 	 36.3	 0.8	     	 6.12	170	10	F/D    	195	 3	177	 6
      38	PH	U7089	156.7	 1.7	 97.7	 3.0	10.0	 770.0	 1.5	 17.0	 0.6	<	  3.4	    	     	 1.75	 79	 7	R     L	 79	 7	   	
      39	PH	U7094	 83.7	 1.7	 71.9	 5.5	10.0	 779.6	 1.6	  2.9	 0.2	<	  2.6	    	     	 1.00	 35	 6	R     L	 35	 6	   	
      40	PH	N4117	289.4	 7.5	260.3	 5.2	10.0	 934.0	 1.5	  6.9	 1.1	 	  3.7	 1.2	     	     	   	  	?      	   	  	   	
      41	PH	N4138	331.6	 4.5	266.0	 7.8	19.9	 893.8	 3.9	 19.2	 0.7	 	 16.7	 4.6	     	 3.55	150	21	F/D    	195	 7	147	12
