#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/716/198/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17160198
#Name: J/ApJ/716/198
#Title: The DiskMass survey. I. (Bershady+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	creator=Bershady M.A.	    First author or institution
#INFO	cites=bibcode:2010ApJ...716..198B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/716/198	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17160198	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_716_198_table2:
#Name: J/ApJ/716/198/table2
#Title: DiskMass sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Type	(a6)	Hubble morphological type	[ucd=src.morph.type]
#Column	f_Type	(I1)	[1/5]? additional classification (1)	[ucd=meta.code]
#Column	HRV	(I5)	NED heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	NED distance (2)	[ucd=pos.distance;pos.heliocentric]
#Column	AB	(F5.2)	B-band Galactic extinction	[ucd=phys.absorption]
#Column	Bmag	(F4.1)	? Apparent B-band magnitude from RC3, with corrections applied	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F4.1)	? Bmag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Ksmag	(F5.2)	? 2MASS Ks-band magnitude, with corrections applied	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F5.2)	? Ksmag uncertainty	[ucd=stat.error;phot.mag;em.IR.K]
#Column	KMag	(F5.1)	? Absolute K-band magnitude applying distance modulus and Galactic extinction corrections	[ucd=phys.magAbs;em.IR.K]
#Column	B-K	(F4.1)	? Rest-frame B-K color index, corrected for Galactic extinction	[ucd=phot.color;em.opt.B;em.IR.K]
#Column	e_B-K	(F4.1)	? B-K uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	mu0	(F4.1)	Estimated disk central surface brightness from POSS images, calibrated to R band	[ucd=phot.mag.sb]
#Column	hR	(F4.1)	Estimated disk radial scale length	[ucd=phys.angSize;src]
#Column	r23.5	(F4.1)	Apparent isophotal radius where {mu}_R_=23.5mag/arcsec2	[ucd=phys.angSize]
#Column	Sel	(a6)	Disk-mass Phase-A sample selection (3)	[ucd=meta.code]
#Column	Ha	(A3)	H{alpha} IFU observations (D=DensePak or S=SparsePak)	[ucd=meta.code]
#Column	f_Ha	(A1)	[g] incomplete H{alpha} observation (4)	[ucd=meta.code]
#Column	sigma	(a5)	Stellar line-of-site velocity dispersion (IFS) observations ({sigma}^LOS^_*_) (5)	[ucd=meta.code]
#Column	n_sigma	(A1)	[g] incomplete sigma observation (4)	[ucd=meta.note]
#Column	Spz	(A1)	[y/ ] Spitzer/IRAC or MIPS imaging?	[ucd=meta.code]
#Column	HI	(a5)	21cm aperture-synthesis observations (V: VLA, W: Westerbork and/or G: GMRT)	[ucd=meta.code]
#Column	2M	(A2)	Display the 2MASS extended data within 15" (Cat. VII/233)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	UGC	RAJ2000	DEJ2000	Type	f_Type	HRV	Dist	AB	Bmag	e_Bmag	Ksmag	e_Ksmag	KMag	B-K	e_B-K	mu0	hR	r23.5	Sel	Ha	f_Ha	sigma	n_sigma	Spz	HI	2M	Simbad	NED
 	 	"h:m:s"	"d:m:s"	 	 	km/s	Mpc	mag	mag	mag	mag	mag	mag	mag	mag	mag/arcsec2	arcsec	arcsec	 	 	 	 	 	 	 	 	 	
--------	-----	----------	---------	------	-	-----	-----	-----	----	----	-----	-----	-----	----	----	----	----	----	------	---	-	-----	-	-	-----	--	------	---
       1	   16	00 03 49.0	+07 28 44	Sbc   	 	 5239	 70.6	 0.27	13.6	 0.2	 9.46	 0.03	-24.8	 3.9	 0.2	20.6	14.4	36.5	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
       2	   74	00 08 44.7	+04 36 45	SABc  	 	 3941	 53.2	 0.13	13.9	 0.3	10.09	 0.05	-23.6	 3.7	 0.3	20.7	13.3	32.8	4,d   	S  	 	M    	 	y	G    	2M	Simbad	NED
       3	  102	00 11 01.1	+30 03 08	SABa  	 	 6791	 91.6	 0.26	14.3	 0.3	 9.81	 0.05	-25.0	 4.2	 0.3	20.8	15.4	36.6	4     	S  	g	     	 	 	     	2M	Simbad	NED
       4	  305	00 30 34.2	+13 22 00	Sc    	 	 9934	133.9	 0.33	14.5	 0.3	10.69	 0.09	-25.0	 3.5	 0.3	21.0	10.5	24.2	4     	S  	 	     	 	 	     	2M	Simbad	NED
       5	  311	00 31 20.5	+30 47 33	Scd   	2	 6433	 86.6	 0.28	13.9	 0.2	10.65	 0.06	-24.1	 3.0	 0.2	20.4	10.2	28.6	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
       6	  419	00 39 34.9	+00 51 35	SABc  	 	 4415	 59.1	 0.09	14.1	 0.3	 9.85	 0.09	-24.0	 4.1	 0.3	19.5	13.3	47.7	4     	   	 	     	 	 	     	2M	Simbad	NED
       7	  448	00 42 22.1	+29 38 30	SABc  	 	 4857	 65.3	 0.26	14.0	 0.2	10.06	 0.05	-24.0	 3.7	 0.2	20.8	13.9	33.6	d     	S  	 	P    	 	y	W    	2M	Simbad	NED
       8	  463	00 43 32.5	+14 20 34	SABc  	 	 4452	 59.6	 0.39	13.3	 0.2	 9.36	 0.03	-24.5	 3.6	 0.2	19.8	12.4	41.5	p,4,d 	S  	 	P,M  	 	y	V    	2M	Simbad	NED
       9	  468	00 43 56.2	+01 51 02	SABc  	3	 4561	 61.0	 0.10	14.0	 0.2	11.24	 0.09	-22.7	 2.7	 0.2	20.6	13.5	34.9	4     	   	 	     	 	 	     	2M	Simbad	NED
      10	  473	00 45 02.0	+06 06 46	S0/a  	 	12247	164.4	 0.16	14.3	 0.2	 9.86	 0.04	-26.2	 4.3	 0.2	19.9	10.2	32.9	d     	   	 	     	 	 	     	2M	Simbad	NED
      11	  476	00 46 05.4	-01 43 23	Sb    	1	 4060	 54.6	 0.12	13.1	 0.2	10.90	 0.05	-22.8	 2.1	 0.2	17.8	 7.5	38.7	4     	   	 	     	 	 	     	2M	Simbad	NED
      12	  678	01 06 14.1	+03 34 28	Scd   	 	 5521	 73.5	 0.11	14.4	 0.3	11.08	 0.10	-23.3	 3.2	 0.3	20.5	 9.4	25.7	4     	S  	 	     	 	 	     	2M	Simbad	NED
      13	  892	01 21 16.6	-00 32 40	SBab  	 	 5240	 69.7	 0.18	14.0	 0.2	 9.90	 0.05	-24.3	 3.9	 0.2	19.5	11.4	41.0	4,d   	S  	g	     	 	 	     	2M	Simbad	NED
      14	  929	01 23 13.7	-00 23 06	Scd   	 	 7465	 99.5	 0.15	14.3	 0.2	10.93	 0.09	-24.1	 3.2	 0.2	20.2	 8.1	23.7	4     	   	 	     	 	 	     	2M	Simbad	NED
      15	 1069	01 29 56.1	+32 30 04	S     	 	 4658	 62.4	 0.25	14.4	 0.3	11.12	 0.07	-22.9	 3.0	 0.3	21.2	12.0	24.8	4     	S  	g	     	 	 	     	2M	Simbad	NED
      16	 1081	01 30 46.6	+21 26 26	SBc   	 	 3128	 41.8	 0.25	13.5	 0.2	10.18	 0.08	-22.9	 3.1	 0.2	20.4	23.3	65.5	4     	S  	 	P,M  	 	y	G    	2M	Simbad	NED
      17	 1087	01 31 26.7	+14 16 39	Sc    	 	 4485	 59.6	 0.23	14.3	 0.3	     	     	     	    	    	20.8	11.2	28.3	4,d   	S,D	 	P,M  	g	y	V    	2M	Simbad	NED
      18	 1126	01 34 50.2	+21 25 08	SBc   	 	 9971	133.4	 0.34	14.0	 0.2	10.34	 0.06	-25.3	 3.4	 0.2	20.5	11.1	29.7	d     	   	 	     	 	 	     	2M	Simbad	NED
      19	 1167	01 38 21.0	+07 32 03	Scd   	 	 4303	 57.0	 0.18	14.0	 0.3	10.46	 0.08	-23.3	 3.3	 0.3	20.3	10.9	30.3	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      20	 1212	01 44 08.2	+34 23 14	Sb    	 	10759	144.4	 0.21	14.1	 0.2	10.44	 0.04	-25.4	 3.5	 0.2	21.0	13.2	26.4	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      21	 1322	01 51 29.9	+13 07 55	Sc    	 	 4821	 63.9	 0.36	14.6	 0.3	11.62	 0.20	-22.4	 2.6	 0.4	20.9	11.5	27.4	p     	D  	 	     	 	 	     	2M	Simbad	NED
      22	 1497	02 01 06.5	+31 52 57	SBc   	 	 5190	 69.3	 0.26	13.0	 0.2	 9.60	 0.04	-24.6	 3.1	 0.2	20.3	18.5	41.2	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      23	 1529	02 02 31.1	+11 05 36	Sc    	 	 4649	 61.6	 0.37	14.1	 0.3	10.34	 0.08	-23.6	 3.4	 0.3	20.1	10.9	33.0	4,d   	S  	 	P,M  	 	y	G    	2M	Simbad	NED
      24	 1559	02 03 59.0	+15 19 06	SABcd 	 	 3619	 48.1	 0.27	14.3	 0.3	     	     	     	    	    	21.1	12.2	33.6	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      25	 1579	02 05 15.2	+06 06 20	SBcd  	2	 3410	 45.1	 0.18	13.8	 0.3	11.29	 0.12	-22.0	 2.3	 0.3	21.3	14.5	31.3	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      26	 1635	02 08 27.9	+06 23 41	Sbc   	 	 3449	 46.6	 0.24	14.1	 0.3	10.39	 0.08	-23.0	 3.5	 0.3	21.1	14.0	30.0	4,d   	S  	 	P    	 	y	V    	2M	Simbad	NED
      27	 1721	02 14 34.1	+37 24 28	SBbc  	 	 4639	 62.3	 0.20	14.0	 0.3	10.33	 0.06	-23.7	 3.4	 0.3	20.8	12.6	29.0	d     	S  	g	     	 	 	     	2M	Simbad	NED
      28	 1727	02 14 33.6	-00 46 00	Sa    	5	 7910	105.3	 0.16	13.8	 0.2	 9.48	 0.02	-25.6	 4.2	 0.2	20.1	10.9	33.2	d     	S  	 	     	 	 	     	2M	Simbad	NED
      29	 1862	02 24 25.0	-02 09 46	SABcd 	1	 1385	 18.4	 0.14	13.7	 0.1	     	     	     	    	    	20.1	12.7	38.0	4,d   	S  	 	P,M  	 	y	G    	2M	Simbad	NED
      30	 1908	02 26 37.3	+12 09 19	SBc   	3	 8261	110.0	 0.37	14.1	 0.2	 9.99	 0.06	-25.3	 3.7	 0.2	19.6	 8.7	30.9	p     	S  	 	P    	 	y	G    	2M	Simbad	NED
      31	 2109	02 37 58.5	+34 14 28	SABcd 	 	 3677	 49.3	 0.34	14.1	 0.2	11.76	 0.12	-21.7	 2.0	 0.2	21.0	18.2	39.6	4,d   	S  	 	M    	g	 	     	2M	Simbad	NED
      32	 2200	02 43 22.3	+04 58 04	Sb    	 	 4088	 54.0	 0.25	12.9	 0.2	 8.72	 0.02	-25.0	 3.9	 0.2	20.2	17.7	53.3	4     	S  	g	     	 	 	     	2M	Simbad	NED
      33	 3080	04 31 55.3	+01 11 57	SABc  	 	 3541	 47.5	 0.37	14.1	 0.3	10.72	 0.06	-22.7	 3.0	 0.3	20.1	13.6	42.5	p     	S  	 	M    	g	 	     	2M	Simbad	NED
      34	 3091	04 33 56.2	+01 06 49	SABd  	 	 5511	 73.9	 0.36	14.6	 0.3	10.86	 0.12	-23.5	 3.4	 0.3	21.0	 9.6	22.4	p     	D  	 	P    	 	y	G    	2M	Simbad	NED
      35	 3134	04 41 48.4	-01 18 08	SABbc 	5	 8665	115.7	 0.14	14.0	 0.2	10.26	 0.07	-25.1	 3.6	 0.2	19.5	 8.0	29.3	4     	S  	 	     	 	 	     	2M	Simbad	NED
      36	 3140	04 42 54.9	+00 37 07	Sc    	 	 4633	 62.1	 0.35	13.4	 0.2	 9.50	 0.04	-24.5	 3.5	 0.2	20.0	12.9	40.2	p     	S  	 	P,M,C	 	y	V    	2M	Simbad	NED
      37	 3701	07 11 42.5	+72 10 12	Scd   	 	 2915	 43.2	 0.28	14.4	 0.4	11.71	 0.17	-21.5	 2.5	 0.4	21.7	16.8	26.9	4,d   	S  	 	P    	 	y	V,W  	2M	Simbad	NED
      38	 3714	07 12 32.8	+71 45 02	S     	1	 3064	 45.2	 0.24	12.9	 0.2	 9.39	 0.02	-23.9	 3.3	 0.2	20.7	15.4	37.6	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      39	 3965	07 41 18.1	+34 13 56	SBab  	5	 4664	 66.2	 0.22	15.3	 0.4	10.37	 0.04	-23.8	 4.7	 0.4	19.7	 7.9	27.3	4     	S  	 	     	 	 	     	2M	Simbad	NED
      40	 3997	07 44 38.8	+40 21 58	Im    	 	 5915	 83.1	 0.23	    	    	11.53	 0.14	-23.1	    	    	21.6	12.0	20.3	4     	S  	 	P    	 	y	W    	2M	Simbad	NED
      41	 4036	07 51 54.7	+73 00 56	SABbc 	 	 3470	 50.9	 0.12	12.8	 0.2	 9.83	 0.03	-23.7	 2.8	 0.2	20.5	20.6	44.7	4,dD  	S  	 	P,M  	g	y	W    	2M	Simbad	NED
      42	 4066	07 56 15.4	+78 00 49	Scd   	 	 2296	 35.5	 0.18	13.9	 0.2	11.27	 0.11	-21.5	 2.4	 0.2	20.5	11.8	31.5	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      43	 4099	07 55 48.8	+24 42 21	SBb   	 	 4673	 66.6	 0.29	13.9	 0.3	10.38	 0.05	-23.8	 3.2	 0.3	20.0	11.6	36.4	4     	S  	 	     	 	 	     	2M	Simbad	NED
      44	 4107	07 57 01.8	+49 34 04	Sc    	 	 3504	 51.1	 0.18	13.7	 0.2	10.15	 0.06	-23.4	 3.4	 0.2	20.1	11.4	35.4	4,d   	S  	 	P,M  	 	y	W    	2M	Simbad	NED
      45	 4112	07 56 48.8	+07 28 41	Sa    	 	 4610	 65.8	 0.08	13.2	 0.2	 9.42	 0.04	-24.7	 3.7	 0.2	20.2	13.8	40.7	d     	S  	 	     	 	 	     	2M	Simbad	NED
      46	 4139	07 59 23.7	+16 25 17	Sc    	 	 4889	 69.6	 0.15	14.2	 0.2	11.34	 0.13	-22.9	 2.7	 0.2	20.8	11.7	29.3	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      47	 4189	08 02 49.7	+15 48 31	SBbc  	 	 4856	 69.3	 0.14	13.9	 0.2	10.96	 0.07	-23.3	 2.8	 0.2	20.5	12.3	30.1	4     	S  	 	M    	 	y	G    	2M	Simbad	NED
      48	 4227	08 07 25.0	+39 11 40	SABb  	 	 3928	 56.9	 0.23	13.4	 0.2	10.11	 0.07	-23.7	 3.1	 0.2	20.5	12.5	35.2	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      49	 4256	08 10 15.3	+33 57 21	SABc  	 	 5260	 74.8	 0.23	12.9	 0.2	 9.54	 0.04	-24.8	 3.2	 0.2	20.2	18.9	46.1	p,4   	S  	 	P    	 	y	W    	2M	Simbad	NED
      50	 4300	08 16 00.8	+27 04 32	Scd   	 	 7668	107.5	 0.15	14.0	 0.2	10.58	 0.06	-24.6	 3.3	 0.2	20.8	11.2	28.1	4     	   	 	     	 	 	     	2M	Simbad	NED
      51	 4308	08 17 25.9	+21 41 08	SBc   	 	 3566	 52.1	 0.17	13.5	 0.3	 9.77	 0.05	-23.8	 3.6	 0.3	20.2	22.4	51.6	4     	   	 	     	 	 	     	2M	Simbad	NED
      52	 4344	08 20 16.6	+20 52 29	Sdm   	 	 5041	 72.2	 0.22	14.3	 0.4	11.33	 0.07	-23.0	 2.7	 0.4	20.9	12.5	31.9	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      53	 4368	08 22 45.0	+24 17 49	Scd   	 	 3870	 56.4	 0.16	13.5	 0.3	10.05	 0.07	-23.7	 3.3	 0.3	20.7	15.8	40.5	p,4,d 	S  	 	P,M  	g	y	G    	2M	Simbad	NED
      54	 4380	08 24 31.9	+54 51 15	Scd   	 	 7485	105.0	 0.26	14.5	 0.2	10.82	 0.09	-24.3	 3.4	 0.2	21.0	 9.7	21.8	4     	S,D	 	P,M  	g	y	W    	2M	Simbad	NED
      55	 4390	08 27 52.0	+73 31 03	SBcd  	 	 2169	 34.0	 0.13	14.6	 0.5	     	     	     	    	    	21.0	16.5	37.6	4     	   	 	     	 	 	     	2M	Simbad	NED
      56	 4397	08 28 40.0	+73 44 53	Sc    	 	 3641	 53.4	 0.11	13.5	 0.2	 9.91	 0.08	-23.7	 3.5	 0.2	19.0	10.5	43.0	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
      57	 4445	08 31 27.2	+60 59 42	Sc    	 	 6330	 89.5	 0.30	14.6	 0.3	10.77	 0.09	-24.0	 3.5	 0.3	21.2	12.3	25.7	4,d   	S,D	 	     	 	 	     	2M	Simbad	NED
      58	 4456	08 32 03.5	+24 00 40	Sc    	 	 5487	 78.5	 0.16	13.8	 0.3	10.68	 0.08	-23.8	 3.0	 0.3	20.9	12.3	29.1	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      59	 4458	08 32 11.4	+22 33 37	Sa    	 	 4741	 68.4	 0.15	13.2	 0.2	 9.27	 0.03	-24.9	 3.8	 0.2	20.9	19.1	44.2	p,d   	S  	 	P,M,C	g	y	G    	2M	Simbad	NED
      60	 4473	08 33 56.7	+26 58 22	S     	 	 3528	 52.0	 0.18	14.4	 0.2	11.23	 0.09	-22.4	 3.0	 0.2	21.1	 9.5	20.8	4     	   	 	     	 	 	     	2M	Simbad	NED
      61	 4542	08 42 52.7	+25 04 15	Sdm   	 	 5185	 74.6	 0.14	14.5	 0.3	11.95	 0.22	-22.4	 2.4	 0.4	21.9	11.4	14.3	4     	   	 	     	 	 	     	2M	Simbad	NED
      62	 4549	08 44 21.4	+58 50 31	Scd   	 	 1289	 22.4	 0.33	13.9	 0.2	10.44	 0.03	-21.3	 3.2	 0.2	19.4	10.0	37.2	d     	   	 	     	 	 	     	2M	Simbad	NED
      63	 4555	08 44 08.5	+34 43 01	SABbc 	 	 4244	 61.9	 0.14	13.2	 0.2	 9.91	 0.05	-24.1	 3.1	 0.2	20.5	20.0	40.2	4,d   	S  	 	P,M  	 	y	W    	2M	Simbad	NED
      64	 4584	08 45 59.6	+12 37 11	Scd   	 	 4108	 60.1	 0.13	13.6	 0.2	     	     	     	    	    	20.3	12.3	34.6	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      65	 4622	08 50 20.2	+41 17 23	Scd   	 	12849	178.2	 0.13	14.6	 0.3	11.04	 0.09	-25.2	 3.4	 0.3	20.5	 8.8	23.4	4     	S  	 	P    	 	y	V,W  	2M	Simbad	NED
      66	 4630	08 53 42.4	+73 29 28	SABab 	4	 3486	 51.5	 0.12	12.5	 0.2	 8.70	 0.02	-24.9	 3.7	 0.2	19.7	19.1	70.0	4     	   	 	     	 	 	     	2M	Simbad	NED
      67	 4643	08 52 40.5	+21 25 21	Sbc   	 	 7699	108.9	 0.15	13.9	 0.2	10.36	 0.05	-24.8	 3.4	 0.2	20.8	11.3	28.0	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      68	 4658	08 54 21.7	+32 40 49	Sc    	 	 4382	 63.9	 0.13	14.2	 0.4	11.28	 0.10	-22.8	 2.8	 0.4	21.2	16.9	35.7	d     	   	 	     	 	 	     	2M	Simbad	NED
      69	 4673	08 55 52.3	+02 31 28	SBcd  	 	 3818	 56.3	 0.21	14.0	 0.3	     	     	     	    	    	22.2	14.4	15.1	4     	   	 	     	 	 	     	2M	Simbad	NED
      70	 4731	09 01 00.1	+10 37 02	S0/a  	 	 8891	125.5	 0.17	14.0	 0.2	 9.94	 0.05	-25.6	 3.9	 0.2	20.4	10.5	29.2	d     	   	 	     	 	 	     	2M	Simbad	NED
      71	 4770	09 05 59.5	+35 22 39	SBa   	 	 7065	100.4	 0.15	14.0	 0.2	 9.66	 0.04	-25.4	 4.2	 0.2	20.2	13.4	39.7	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      72	 4810	09 09 41.9	+37 36 05	S     	 	 6889	 98.0	 0.09	14.1	 0.3	10.09	 0.06	-24.9	 3.9	 0.3	20.8	12.4	31.9	4     	   	 	     	 	 	     	2M	Simbad	NED
      73	 4864	09 14 12.8	+16 44 32	Sa    	 	 8368	118.6	 0.14	13.7	 0.3	10.03	 0.08	-25.3	 3.6	 0.3	20.7	11.6	32.2	4,d   	   	 	     	 	 	     	2M	Simbad	NED
      74	 4875	09 14 59.8	+29 43 48	S0/a  	 	 6337	 90.9	 0.11	13.3	 0.2	 9.74	 0.03	-25.1	 3.4	 0.2	20.8	14.0	30.7	d     	   	 	     	 	 	     	2M	Simbad	NED
      75	 4962	09 20 40.7	+15 06 05	SBa   	 	 8652	122.7	 0.12	14.3	 0.3	10.69	 0.09	-24.8	 3.5	 0.3	20.6	 8.1	24.4	4     	   	 	     	 	 	     	2M	Simbad	NED
      76	 4978	09 22 06.2	+03 53 52	Scd   	 	 4135	 61.3	 0.20	14.3	 0.4	11.99	 0.31	-22.0	 2.1	 0.5	21.5	 9.6	14.1	4     	D  	 	     	 	 	     	2M	Simbad	NED
      77	 4999	09 23 36.5	+02 08 11	SBbc  	 	 5086	 74.5	 0.19	13.6	 0.2	 9.96	 0.05	-24.4	 3.4	 0.2	19.6	 9.1	32.0	4     	   	 	     	 	 	     	2M	Simbad	NED
      78	 5015	09 25 48.1	+34 16 38	SABdm 	 	 1650	 27.6	 0.08	14.6	 0.5	     	     	     	    	    	21.8	14.8	20.8	4     	   	 	     	 	 	     	2M	Simbad	NED
      79	 5140	09 39 08.0	+34 00 23	Sc    	 	 4423	 65.4	 0.12	13.3	 0.2	10.54	 0.07	-23.5	 2.7	 0.2	20.9	16.4	39.0	4     	   	 	     	 	 	     	2M	Simbad	NED
      80	 5180	09 42 03.4	+00 20 11	Sc    	 	 1892	 29.5	 0.43	12.1	 0.2	 8.86	 0.03	-23.5	 2.8	 0.2	19.6	17.6	64.0	4     	S  	 	M    	 	y	G    	2M	Simbad	NED
