#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_276_59_table7:
#Name: J/ApJS/276/59/table7
#Title: H{alpha} data table for individual fiber measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(A3)	Run code (1)	[ucd=meta.id;obs]
#Column	N	(I1)	[1/5] Night during the observing run	[ucd=meta.note]
#Column	P	(I1)	[1/4] SparsePak pointing	[ucd=obs.field]
#Column	A	(I2)	[1/82] SparsePak fiber aperture	[ucd=instr.fov]
#Column	C	(I1)	[1/9] Fitting code (2)	[ucd=meta.code]
#Column	oRA	(F5.1)	[-70.5/38.7] East-West offset of fiber aperture (3)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE	(F5.1)	[-47/62.5] North-South offset of fiber aperture (3)	[ucd=pos.eq.dec;arith.diff]
#Column	EWg	(F6.1)	[-0.2/1167]? H{alpha} emission equivalent width from sum of Gaussian line parameters	[ucd=spect.line.eqWidth]
#Column	EWsum	(F7.1)	[-0.2/29060]? H{alpha} emission equivalent width from zeroth moment of line emission	[ucd=spect.line.eqWidth]
#Column	logmuN	(F6.2)	[-16.6/-13] Log H{alpha} narrow component surface-brightness (flux within the 4.7" diameter fiber aperture); in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuN	(F5.2)	[0/73] Uncertainty in logmuN	[ucd=stat.error;phot.mag.sb]
#Column	VelN	(F6.1)	[-382/348] Narrow component velocity relative to kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelN	(F6.1)	[0/5579] Uncertainty in VelN	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaN	(F5.1)	[2.9/142] Narrow component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaN	(F5.1)	[0/999] Uncertainty in sigmaN	[ucd=stat.error;phys.veloc.dispersion]
#Column	logmuB	(F6.2)	[-99/-13]? Log H{alpha} broad component surface-brightness; in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuB	(F5.2)	[0/13.4]? Uncertainty in logmuB	[ucd=stat.error;phot.mag.sb]
#Column	VelB	(F6.1)	[-487/340]? Broad component velocity relative to the kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelB	(F6.1)	[0/1174]? Uncertainty in VelB	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaB	(F5.1)	[0/888]? Broad component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaB	(F5.1)	[0/999]? Uncertainty in sigmaB	[ucd=stat.error;phys.veloc.dispersion]
recno	UGC	R	N	P	A	C	oRA	oDE	EWg	EWsum	logmuN	e_logmuN	VelN	e_VelN	sigmaN	e_sigmaN	logmuB	e_logmuB	VelB	e_VelB	sigmaB	e_sigmaB
 	 	 	 	 	 	 	arcsec	arcsec	10-10m	10-10m	[mW/m2/arcsec2]	[mW/m2/arcsec2]	km/s	km/s	km/s	km/s	[mW/m2/arcsec2]	[mW/m2/arcsec2]	km/s	km/s	km/s	km/s
--------	-----	---	-	-	--	-	-----	-----	------	-------	------	-----	------	------	-----	-----	------	-----	------	------	-----	-----
       1	   16	R1 	2	1	 1	1	  8.4	 -0.5	   6.0	    5.8	-14.87	 0.02	 -28.6	   0.9	 21.9	  0.7	      	     	      	      	     	
       2	   16	R1 	2	1	 4	1	 23.1	  8.0	  17.7	   17.2	-15.04	 0.02	  -3.4	   1.1	 24.4	  0.9	      	     	      	      	     	
       3	   16	R1 	2	1	 5	7	 28.1	 16.4	  -0.2	    8.8	-15.91	 0.17	  10.6	   7.8	 21.2	  6.4	      	     	      	      	     	
       4	   16	R1 	2	1	 7	1	 23.1	 24.8	  23.7	   24.1	-15.47	 0.06	  29.5	   3.3	 23.6	  2.6	      	     	      	      	     	
       5	   16	R1 	2	1	 8	1	 28.1	 -0.5	   8.1	    7.4	-15.53	 0.06	 -36.6	   2.1	 16.3	  1.7	      	     	      	      	     	
       6	   16	R1 	2	1	13	1	 33.0	 -8.9	  22.1	   22.6	-15.60	 0.08	 -55.4	   3.1	 19.4	  2.6	      	     	      	      	     	
       7	   16	R1 	2	1	14	1	 28.1	-17.4	   9.3	    8.8	-15.64	 0.06	 -69.9	   2.0	 14.5	  1.6	      	     	      	      	     	
       8	   16	R1 	2	1	15	1	 23.1	 -8.9	  28.9	   28.8	-14.84	 0.01	 -55.9	   0.6	 22.7	  0.5	      	     	      	      	     	
       9	   16	R1 	2	1	17	7	 18.2	 33.3	  -0.2	   -0.2	-16.08	 0.16	  57.7	   5.2	 15.1	  4.2	      	     	      	      	     	
      10	   16	R1 	2	1	19	1	  8.4	 33.3	  11.1	   11.9	-15.50	 0.05	  67.4	   1.8	 15.4	  1.5	      	     	      	      	     	
      11	   16	R1 	2	1	20	3	 13.3	 24.8	  57.7	   47.7	-15.07	 0.02	  46.4	   0.7	 17.4	  0.5	-15.60	 0.15	 106.0	  32.9	104.6	 26.8
      12	   16	R1 	2	1	21	1	  8.4	 16.4	   8.4	    8.2	-15.40	 0.04	  51.2	   1.7	 18.9	  1.4	      	     	      	      	     	
      13	   16	R1 	2	1	23	3	 13.3	  8.0	  11.0	    9.2	-15.08	 0.02	   5.2	   0.9	 21.0	  0.7	-15.73	 0.15	 -99.3	  19.1	 59.0	 15.7
      14	   16	R1 	2	1	24	1	 13.3	 -8.9	   6.0	    5.3	-15.35	 0.04	 -73.9	   1.8	 21.4	  1.5	      	     	      	      	     	
      15	   16	R1 	2	1	25	1	  3.4	 -8.9	  10.3	   10.3	-14.75	 0.01	 -74.6	   0.5	 20.5	  0.4	      	     	      	      	     	
      16	   16	R1 	2	1	26	1	  3.4	  2.3	   0.8	    0.8	-15.48	 0.06	   4.9	   3.0	 25.8	  2.5	      	     	      	      	     	
      17	   16	R1 	2	1	27	1	 18.2	 16.4	  23.5	   24.5	-15.08	 0.02	  24.4	   0.8	 19.8	  0.6	      	     	      	      	     	
      18	   16	R1 	2	1	28	1	 18.2	 -0.5	   7.4	    7.1	-15.41	 0.08	 -31.4	   3.6	 22.1	  2.9	      	     	      	      	     	
      19	   16	R1 	2	1	30	1	 18.2	-17.4	  22.2	   23.4	-14.96	 0.02	 -81.5	   0.7	 21.1	  0.6	      	     	      	      	     	
      20	   16	R1 	2	1	31	1	 -1.5	 -6.1	   2.6	    2.2	-15.10	 0.02	 -52.7	   0.9	 21.7	  0.7	      	     	      	      	     	
      21	   16	R1 	2	1	32	1	  3.4	-25.8	   5.5	    6.3	-15.64	 0.06	 -85.6	   2.1	 16.5	  1.7	      	     	      	      	     	
      22	   16	R1 	2	1	33	1	  8.4	-17.4	   9.2	    8.3	-15.15	 0.02	 -84.1	   0.9	 22.0	  0.7	      	     	      	      	     	
      23	   16	R1 	2	1	34	1	 13.3	-25.8	   7.9	    8.2	-15.55	 0.05	 -85.3	   1.8	 17.9	  1.4	      	     	      	      	     	
      24	   16	R1 	2	1	38	1	 -1.5	 33.3	   9.3	    9.1	-15.65	 0.06	  76.2	   2.6	 19.5	  2.1	      	     	      	      	     	
