#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/703/894/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17030894
#Name: J/ApJ/703/894
#Title: PNe in 5 nearby galaxies (Herrmann+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	creator=Herrmann K.A.	    First author or institution
#INFO	cites=bibcode:2009ApJ...703..894H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/703/894	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17030894	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_703_894_table4:
#Name: J/ApJ/703/894/table4
#Title: Planetary nebula identifications
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a10)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	m5007	(F5.2)	The [O III] (5007) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	l_R	(A1)	Limit flag on R	[ucd=meta.code.error]
#Column	R	(F5.2)	? I({lambda}5007)_0_/I(H{alpha}+[N II])_0_ ratio	[ucd=phot.flux;arith.ratio]
#Column	e_R	(F5.2)	? The 1{sigma} error in R	[ucd=stat.error]
#Column	n_R	(A4)	? Type of R value given (L, Phot, Spect)	[ucd=meta.note]
#Column	Ntrg	(I1)	? Number of Hydra+MRS setups where PN was targeted	[ucd=meta.number]
#Column	Ndet	(I1)	? Number of Hydra+MRS setups where PN was detected	[ucd=meta.number]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? The 1{sigma} error in RV	[ucd=stat.error]
#Column	Rem	(A3)	Remarks (2)	[ucd=meta.note]
#Column	File	(a26)	Name of the FITS file of the spectrum	[ucd=meta.id;meta.fits]
#Column	File2	(a26)	Name of the second FITS file of the spectrum	[ucd=meta.id;meta.file]
#Column	Sp	(A3)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	m5007	l_R	R	e_R	n_R	Ntrg	Ndet	RV	e_RV	Rem	File	File2	Sp
 	 	"h:m:s"	"d:m:s"	mag	 	 	 	 	 	 	km/s	km/s	 	 	 	
--------	----------	-----------	-----------	-----	-	-----	-----	----	-	-	------	----	---	--------------------------	--------------------------	---
       1	IC 342-1  	03 46 54.99	+68 06 39.1	25.26	 	 3.18	 0.76	Phot	3	3	  73.7	 4.3	   	IC342/PN_IC342_001.fits   	                          	1 2
       2	IC 342-2  	03 46 27.89	+68 05 33.9	25.26	 	 5.01	     	Spec	2	2	 -66.2	 6.2	   	IC342/PN_IC342_002.fits   	                          	1 2
       3	IC 342-3  	03 47 24.95	+68 02 49.9	25.43	 	 7.62	     	Spec	3	3	  -2.7	 3.8	   	IC342/PN_IC342_003.fits   	                          	1 2
       4	IC 342-4  	03 47 34.97	+68 03 02.6	25.43	 	 3.71	     	Spec	3	3	  79.2	 3.7	   	IC342/PN_IC342_004.fits   	                          	1 2
       5	IC 342-5  	03 46 54.29	+68 07 30.1	25.49	 	 5.04	 2.42	Phot	1	1	  -6.7	 6.7	   	IC342/PN_IC342_005.fits   	                          	1 2
       6	IC 342-6  	03 46 59.20	+68 01 58.5	25.52	 	 2.81	 0.67	Phot	3	1	  16.8	18.3	U  	IC342/PN_IC342_006_U.fits 	                          	1 2
       7	IC 342-7  	03 46 46.72	+68 02 51.9	25.54	 	 3.63	 1.20	Phot	1	1	 -64.0	 7.1	   	IC342/PN_IC342_007.fits   	                          	1 2
       8	IC 342-8  	03 46 25.38	+68 03 54.9	25.54	 	 2.39	 0.52	Phot	1	1	 -75.2	 6.8	   	IC342/PN_IC342_008.fits   	                          	1 2
       9	IC 342-9  	03 46 22.95	+68 04 31.3	25.55	 	 1.97	 0.46	Phot	2	2	 -30.2	 3.8	   	IC342/PN_IC342_009.fits   	                          	1 2
      10	IC 342-10 	03 46 43.39	+68 05 55.1	25.55	 	 4.80	     	Spec	1	1	 -45.5	 5.5	   	IC342/PN_IC342_010.fits   	                          	1 2
      11	IC 342-11 	03 46 24.35	+68 04 19.7	25.57	 	 2.14	 0.71	Phot	2	1	 -35.0	11.0	   	IC342/PN_IC342_011.fits   	                          	1 2
      12	IC 342-12 	03 46 15.82	+68 10 07.0	25.58	 	 5.06	     	Spec	1	1	 -22.9	 6.3	S  	IC342/PN_IC342_012_S0.fits	IC342/PN_IC342_012_S1.fits	1 2
      13	IC 342-13 	03 46 14.13	+68 04 15.5	25.60	 	 4.16	 1.59	Phot	1	1	 -86.5	 6.4	   	IC342/PN_IC342_013.fits   	                          	1 2
      14	IC 342-14 	03 46 32.47	+68 02 40.1	25.60	 	 4.16	     	Spec	1	1	-119.1	 5.6	S  	IC342/PN_IC342_014_S0.fits	IC342/PN_IC342_014_S1.fits	1 2
      15	IC 342-15 	03 47 14.92	+68 03 36.8	25.65	 	 4.96	     	Spec	2	1	   8.2	 6.7	   	IC342/PN_IC342_015.fits   	                          	1 2
      16	IC 342-16 	03 47 15.11	+68 09 56.8	25.65	 	 1.87	 0.39	Phot	2	2	  97.5	 7.6	   	IC342/PN_IC342_016.fits   	                          	1 2
      17	IC 342-17 	03 47 23.59	+68 08 56.0	25.65	 	 4.18	 1.79	Phot	0	0	      	    	   	                          	                          	1 2
      18	IC 342-18 	03 46 33.55	+68 06 50.2	25.66	 	 1.86	 0.31	Phot	1	1	   5.0	 4.8	   	IC342/PN_IC342_018.fits   	                          	1 2
      19	IC 342-19 	03 46 41.73	+68 05 32.0	25.66	 	 1.72	     	Spec	2	2	   3.0	 7.9	   	IC342/PN_IC342_019.fits   	                          	1 2
      20	IC 342-20 	03 46 50.31	+68 02 33.6	25.66	 	 1.98	 0.50	Phot	1	1	 -45.3	 6.4	   	IC342/PN_IC342_020.fits   	                          	1 2
      21	IC 342-21 	03 46 57.12	+68 05 16.9	25.69	 	 2.36	 0.64	Phot	3	2	  55.5	 5.4	   	IC342/PN_IC342_021.fits   	                          	1 2
      22	IC 342-22 	03 46 55.03	+68 04 39.8	25.70	 	 5.65	     	Spec	2	2	  27.9	 4.6	   	IC342/PN_IC342_022.fits   	                          	1 2
      23	IC 342-23 	03 47 01.82	+68 02 13.9	25.70	 	 1.34	     	Spec	3	1	  16.5	 8.6	   	IC342/PN_IC342_023.fits   	                          	1 2
      24	IC 342-24 	03 46 23.13	+68 06 11.1	25.71	 	 3.39	     	Spec	1	1	   6.2	 8.8	   	IC342/PN_IC342_024.fits   	                          	1 2
      25	IC 342-25 	03 46 11.42	+68 05 33.8	25.72	 	 3.20	     	Spec	2	1	 -49.4	 6.5	   	IC342/PN_IC342_025.fits   	                          	1 2
      26	IC 342-26 	03 46 14.33	+68 09 27.3	25.72	 	 4.30	     	Spec	1	1	  -7.4	 8.2	S  	IC342/PN_IC342_026_S0.fits	IC342/PN_IC342_026_S1.fits	1 2
      27	IC 342-27 	03 46 33.89	+68 08 03.9	25.74	 	 3.11	 0.85	Phot	2	2	 104.8	 5.1	   	IC342/PN_IC342_027.fits   	                          	1 2
      28	IC 342-28 	03 47 01.99	+68 03 16.7	25.75	 	 2.04	 0.50	Phot	3	2	  85.3	 5.1	   	IC342/PN_IC342_028.fits   	                          	1 2
      29	IC 342-29 	03 47 13.65	+68 07 54.2	25.76	 	 2.11	 0.51	Phot	2	2	  66.9	 7.6	   	IC342/PN_IC342_029.fits   	                          	1 2
      30	IC 342-30 	03 46 08.91	+68 09 41.9	25.76	 	 3.30	     	Spec	3	2	  47.4	 5.9	   	IC342/PN_IC342_030.fits   	                          	1 2
      31	IC 342-31 	03 46 39.11	+68 05 55.1	25.76	 	 2.49	 0.71	Phot	2	1	-109.6	 8.8	   	IC342/PN_IC342_031.fits   	                          	1 2
      32	IC 342-32 	03 46 18.63	+68 05 03.5	25.76	 	 4.90	     	Spec	3	1	  21.4	 8.2	   	IC342/PN_IC342_032.fits   	                          	1 2
      33	IC 342-33 	03 46 27.65	+68 09 09.3	25.79	 	 3.81	     	Spec	3	3	  78.3	 4.2	S  	IC342/PN_IC342_033_S0.fits	IC342/PN_IC342_033_S1.fits	1 2
