#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:21:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:21:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/370/765/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_370_765_table2:
#Name: J/A+A/370/765/table2
#Title: Photometry of all galaxies in the UMa cluster brighter than M_b,i_(B)=-16.8 and more inclined than 45 degrees
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A2)	Samples (G1)	[ucd=meta.code]
#Column	Name	(A7)	Galaxy name (U for UGC, N for NGC)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[fi] Note on the galaxy (2)	[ucd=meta.note]
#Column	Bmag	(F5.2)	Total B magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	Rmag	(F5.2)	Total R magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	Total I magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	K'mag	(F5.2)	? Total K'mag magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	WHI	(I3)	? Corrected HI line width at the 20% level, used to calculate the internal extinction	[ucd=spect.line.width]
#Column	AB	(F5.2)	Calculated internal extinction corrections in the B passband (4)	[ucd=phys.absorption]
#Column	AR	(F5.2)	Calculated internal extinction corrections in the R passband (4)	[ucd=phys.absorption]
#Column	AI	(F5.2)	Calculated internal extinction corrections in the I passband (4)	[ucd=phys.absorption]
#Column	AK'	(F5.2)	Calculated internal extinction corrections in the K' passband (4)	[ucd=phys.absorption]
#Column	BMAG	(F6.2)	Ttal absolute B magnitude (5)	[ucd=phys.magAbs;em.opt.B]
#Column	RMAG	(F6.2)	Total absolute R magnitude (5)	[ucd=phys.magAbs;em.opt.R]
#Column	IMAG	(F6.2)	Total absolute I magnitude (5)	[ucd=phys.magAbs;em.opt.I]
#Column	K'MAG	(F6.2)	? Total absolute K' magnitude (5)	[ucd=phys.magAbs;em.IR.K]
#Column	D25	(F5.2)	Diameter of the 25th mag/arcsec^2^ blue isophote (6)	[ucd=phys.angSize;em.opt.B]
recno	Sample	Name	n_Name	Bmag	Rmag	Imag	K'mag	WHI	AB	AR	AI	AK'	BMAG	RMAG	IMAG	K'MAG	D25
 	 	 	 	mag	mag	mag	mag	km/s	mag	mag	mag	mag	mag	mag	mag	mag	arcmin
--------	--	-------	-	-----	-----	-----	-----	---	-----	-----	-----	-----	------	------	------	------	-----
       1	FH	U6399  	 	14.33	13.31	12.88	11.09	172	 0.47	 0.36	 0.27	 0.06	-17.56	-18.44	-18.77	-20.33	 1.84
       2	FH	U6446  	 	13.52	12.81	12.58	11.50	174	 0.18	 0.14	 0.10	 0.02	-18.08	-18.72	-18.90	-19.88	 2.07
       3	FH	N3726  	 	11.00	 9.97	 9.51	 7.96	331	 0.34	 0.25	 0.20	 0.05	-20.76	-21.67	-22.07	-23.45	 5.32
       4	FH	N3769  	 	12.80	11.56	10.99	 9.10	256	 0.67	 0.50	 0.39	 0.09	-19.32	-20.35	-20.80	-22.35	 2.34
       5	FH	U6667  	 	14.33	13.11	12.63	10.81	167	 0.74	 0.58	 0.43	 0.10	-17.83	-18.87	-19.18	-20.65	 2.18
       6	FH	N3877  	 	11.91	10.46	 9.72	 7.75	335	 1.06	 0.78	 0.62	 0.15	-20.60	-21.73	-22.29	-23.76	 3.95
       7	FH	N3893  	 	11.20	10.19	 9.71	 7.84	382	 0.31	 0.23	 0.18	 0.04	-20.55	-21.45	-21.86	-23.56	 3.67
       8	FH	N3917  	 	12.66	11.42	10.85	 9.08	276	 0.87	 0.64	 0.51	 0.12	-19.65	-20.63	-21.05	-22.40	 3.48
       9	FH	N3949  	 	11.55	10.69	10.28	 8.43	321	 0.33	 0.24	 0.20	 0.05	-20.22	-20.96	-21.31	-22.98	 2.66
      10	FH	N3953  	 	11.03	 9.66	 9.02	 7.03	446	 0.60	 0.43	 0.35	 0.08	-21.05	-22.20	-22.74	-24.41	 5.38
      11	FH	N3972  	 	13.09	11.90	11.34	 9.39	264	 0.76	 0.56	 0.44	 0.11	-19.08	-20.05	-20.48	-22.08	 2.62
      12	FH	U6917  	 	13.15	12.16	11.74	10.30	224	 0.31	 0.23	 0.18	 0.04	-18.63	-19.49	-19.84	-21.10	 2.84
      13	FH	U6923  	 	13.91	12.97	12.36	11.04	160	 0.28	 0.22	 0.16	 0.04	-17.84	-18.67	-19.20	-20.36	 1.67
      14	FH	U6930  	i	12.70	11.71	11.39	10.33	231	 0.08	 0.06	 0.05	 0.01	-18.86	-19.78	-20.07	-21.04	 2.98
      15	FH	N3992  	 	10.86	 9.55	 8.94	 7.23	547	 0.56	 0.40	 0.33	 0.08	-21.18	-22.28	-22.80	-24.21	 6.27
      16	FH	U6940  	f	16.45	15.65	15.44	13.99	 50	 0.00	 0.00	 0.00	 0.00	-15.02	-15.77	-15.96	-17.37	 0.64
      17	FH	U6962  	i	12.88	11.88	11.42	10.11	327	 0.16	 0.11	 0.09	 0.02	-18.72	-19.64	-20.06	-21.27	 2.26
      18	FH	N4010  	 	13.36	12.14	11.55	 9.22	254	 1.20	 0.89	 0.70	 0.17	-19.30	-20.17	-20.55	-22.31	 2.97
      19	FH	U6969  	 	15.12	14.32	14.04	12.58	117	 0.20	 0.17	 0.11	 0.02	-16.56	-17.28	-17.48	-18.80	 1.19
      20	FH	U6973  	 	12.94	11.26	10.53	 8.23	364	 0.71	 0.52	 0.42	 0.10	-19.21	-20.67	-21.28	-23.23	 2.21
      21	FH	U6983  	 	13.10	12.27	11.91	10.52	221	 0.21	 0.16	 0.12	 0.03	-18.58	-19.31	-19.61	-20.87	 2.99
