#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:31:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:31:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/674/A37/vpob&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36740037
#Name: J/A+A/674/A37
#Title: Gaia DR3. MW asymmetric disc mapping (Gaia Coll.+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	creator=Gaia Collaboration	    First author or institution
#INFO	cites=bibcode:2023A&A...674..A37G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/674/A37	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36740037	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_674_A37_vpob:
#Name: J/A+A/674/A37/vpob
#Title: Velocity profiles of the OB stars from Fig. 17 of the paper
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Radius	(F4.1)	Galactocentric radius	[ucd=phys.angSize;src]
#Column	vphimin	(F7.3)	Azimuthal velocity at 16th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphi	(F7.3)	Azimuthal velocity at 50th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphimax	(F7.3)	Azimuthal velocity at 84th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	sigvRmin	(F6.3)	Radial velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvR	(F6.3)	Radial velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvRmax	(F6.3)	Radial velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimin	(F6.3)	Azimuthal velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphi	(F6.3)	Azimuthal velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimax	(F6.3)	Azimuthal velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmin	(F6.3)	Vertical velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZ	(F6.3)	Vertical velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmax	(F6.3)	Vertical velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	npix	(I3)	Number of pixel in the radial bin of the velocity map	[ucd=meta.number]
recno	Radius	vphimin	vphi	vphimax	sigvRmin	sigvR	sigvRmax	sigvphimin	sigvphi	sigvphimax	sigvZmin	sigvZ	sigvZmax	npix
 	kpc	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	
--------	----	-------	-------	-------	------	------	------	------	------	------	------	------	------	---
       1	 6.5	243.793	244.888	245.150	15.939	16.974	17.799	10.548	11.095	11.810	 5.664	 6.086	 6.516	 28
       2	 6.7	243.954	244.856	245.152	15.769	16.795	16.933	10.134	10.734	11.023	 6.087	 6.704	 6.968	 39
       3	 6.9	243.328	243.420	243.689	16.346	16.968	17.772	 9.522	10.073	10.447	 6.429	 6.511	 6.596	 47
       4	 7.1	241.747	242.224	242.846	16.263	16.884	17.545	 9.585	 9.854	10.053	 7.005	 7.103	 7.246	 58
       5	 7.3	241.979	242.180	242.281	14.557	15.478	16.167	 9.822	10.151	10.448	 6.603	 6.667	 6.981	 60
       6	 7.5	240.219	240.818	241.365	13.705	14.406	14.593	 9.416	 9.793	10.021	 6.104	 6.233	 6.466	 66
       7	 7.7	239.634	239.818	240.056	12.911	13.495	13.799	10.078	10.196	10.352	 5.894	 5.977	 6.178	 76
       8	 7.9	238.824	238.974	239.197	11.769	12.180	12.398	10.104	10.389	10.539	 5.941	 6.068	 6.132	 84
       9	 8.1	237.741	237.991	238.310	12.236	13.051	13.697	10.211	10.746	11.001	 6.237	 6.343	 6.498	 71
      10	 8.3	237.192	237.567	237.996	13.332	14.150	14.669	 9.422	 9.657	 9.930	 6.085	 6.233	 6.364	 84
      11	 8.5	237.856	238.548	238.935	11.785	12.191	12.438	 8.704	 9.214	 9.633	 5.654	 5.757	 5.813	 76
      12	 8.7	238.088	238.505	238.754	12.870	12.998	13.350	 8.880	 9.109	 9.332	 6.053	 6.116	 6.168	 69
      13	 8.9	236.394	237.000	237.573	12.305	13.093	13.169	 7.739	 8.112	 8.251	 5.985	 6.152	 6.321	 70
      14	 9.1	233.239	234.749	235.442	11.906	12.910	13.279	 7.663	 7.892	 8.265	 6.102	 6.220	 6.375	 60
      15	 9.3	231.063	231.407	231.898	11.539	12.563	12.907	 7.755	 8.059	 8.474	 5.887	 6.007	 6.186	 53
      16	 9.5	229.407	229.506	229.875	11.177	12.927	14.018	 7.793	 8.155	 8.238	 5.793	 6.064	 6.726	 39
      17	 9.7	228.278	228.737	228.942	12.453	13.273	14.044	 7.081	 7.200	 7.657	 6.224	 6.440	 6.581	 26
      18	 9.9	227.322	228.525	229.730	10.713	14.769	15.392	 7.468	 8.177	 8.338	 4.813	 4.892	 5.446	 10

