#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:31:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:31:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/674/A37/vprgb&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36740037
#Name: J/A+A/674/A37
#Title: Gaia DR3. MW asymmetric disc mapping (Gaia Coll.+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/674/a37	    IVOID of underlying data collection
#INFO	creator=Gaia Collaboration	    First author or institution
#INFO	cites=bibcode:2023A&A...674..A37G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/674/A37	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36740037	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_674_A37_vprgb:
#Name: J/A+A/674/A37/vprgb
#Title: Velocity profiles of the RGB stars from Fig. 17 of the paper
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Radius	(F4.1)	Galactocentric radius	[ucd=phys.angSize;src]
#Column	vphimin	(F7.3)	Azimuthal velocity at 16th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphi	(F7.3)	Azimuthal velocity at 50th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	vphimax	(F7.3)	Azimuthal velocity at 84th percentile	[ucd=phys.veloc;pos.cartesian.y]
#Column	sigvRmin	(F6.3)	Radial velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvR	(F6.3)	Radial velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvRmax	(F6.3)	Radial velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimin	(F6.3)	Azimuthal velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphi	(F6.3)	Azimuthal velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvphimax	(F6.3)	Azimuthal velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmin	(F6.3)	Vertical velocity dispersion at 16th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZ	(F6.3)	Vertical velocity dispersion at 50th percentile	[ucd=phys.veloc.dispersion]
#Column	sigvZmax	(F6.3)	Vertical velocity dispersion at 84th percentile	[ucd=phys.veloc.dispersion]
#Column	npix	(I3)	Number of pixel in the radial bin of the velocity map	[ucd=meta.number]
recno	Radius	vphimin	vphi	vphimax	sigvRmin	sigvR	sigvRmax	sigvphimin	sigvphi	sigvphimax	sigvZmin	sigvZ	sigvZmax	npix
 	kpc	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	km/s	
--------	----	-------	-------	-------	------	------	------	------	------	------	------	------	------	---
       1	 0.1	  2.239	 11.009	 15.868	71.113	74.571	82.610	59.191	67.575	76.009	86.259	87.577	90.226	 12
       2	 0.3	 20.020	 22.156	 24.579	77.596	81.464	85.698	75.563	78.452	81.376	86.779	87.835	89.280	 38
       3	 0.5	 34.959	 36.510	 38.426	80.844	84.783	87.582	77.221	80.335	82.010	82.984	84.282	85.119	 58
       4	 0.7	 41.841	 44.317	 45.739	79.275	83.794	86.356	78.770	81.756	83.402	79.708	80.658	81.528	 89
       5	 0.9	 53.507	 55.183	 56.599	80.161	82.936	83.921	77.219	79.374	80.372	77.318	77.919	78.957	116
       6	 1.1	 63.439	 65.582	 67.455	77.556	78.496	80.541	74.574	76.728	78.824	71.917	73.093	74.280	125
       7	 1.3	 70.334	 71.924	 72.884	76.139	76.977	79.687	75.419	76.567	78.069	68.210	69.048	70.427	148
       8	 1.5	 78.227	 78.898	 80.929	74.853	76.650	77.939	75.127	76.213	77.167	65.397	66.280	67.288	150
       9	 1.7	 89.873	 91.956	 93.091	73.325	74.159	76.310	73.950	75.051	75.687	62.831	63.412	64.153	145
      10	 1.9	 98.785	100.042	102.386	75.003	76.357	78.763	73.058	74.050	74.775	60.714	61.354	61.887	149
      11	 2.1	111.288	113.735	115.662	74.557	75.293	78.049	73.377	74.172	74.825	59.899	60.627	61.017	152
      12	 2.3	121.979	123.807	125.182	74.873	76.710	78.269	72.211	73.115	74.091	57.627	58.255	58.931	161
      13	 2.5	127.779	129.827	132.316	73.503	76.214	77.158	70.580	71.394	72.250	55.892	56.456	57.070	155
      14	 2.7	134.867	136.603	140.919	71.355	73.774	75.361	67.181	67.636	68.445	53.426	54.064	54.630	164
      15	 2.9	143.925	146.625	148.068	72.022	72.862	74.306	65.017	65.403	66.306	52.943	53.444	53.873	171
      16	 3.1	152.472	153.323	153.956	68.676	70.372	71.597	62.523	62.773	63.287	50.642	50.968	51.132	187
      17	 3.3	157.393	158.667	159.701	65.612	67.779	69.879	59.784	60.308	60.624	47.621	47.953	48.432	203
      18	 3.5	163.577	164.890	166.071	62.695	64.123	64.945	57.804	58.216	59.181	45.908	46.138	46.365	209
      19	 3.7	168.762	170.264	171.396	61.767	63.220	64.604	55.975	56.848	57.391	43.626	44.006	44.338	224
      20	 3.9	175.737	176.503	177.115	59.530	60.234	60.741	53.564	54.144	54.738	41.260	41.601	41.947	240
      21	 4.1	181.193	182.252	183.249	58.463	59.355	60.123	51.691	51.986	52.591	39.461	39.753	40.051	241
      22	 4.3	186.846	187.403	188.084	56.508	57.198	57.746	49.644	50.373	50.934	38.032	38.217	38.496	240
      23	 4.5	191.410	191.884	192.559	54.500	55.320	55.797	48.700	49.418	49.946	36.003	36.171	36.413	249
      24	 4.7	195.481	196.260	196.848	53.686	54.233	54.400	47.030	47.612	48.204	34.785	34.948	35.030	275
      25	 4.9	198.981	199.785	200.378	52.107	52.325	52.606	45.664	46.115	47.034	33.534	33.810	33.932	268
      26	 5.1	200.511	201.436	202.861	49.973	50.319	50.631	44.735	45.184	45.575	32.174	32.298	32.511	284
      27	 5.3	204.072	204.761	205.765	48.731	48.988	49.219	43.310	43.569	43.823	31.170	31.323	31.537	291
