UGC	Lop_kin	Lop_rho	R_HI	M_HI	V_sys	W20	W50	PA	warp1	e_warp1	warp2	e_warp2	Env
1281	3.1	0.0	3.40	1.2	157	132.4	123.3	39	5.3 +-	0.7	-0.7 +-	0.7	0
2459	2.2	7.4	3.87	134.1	2465	335.5	324.7	64	-4.4 +-	0.6	1.4 +-	1.1	2
3137	6.0	4.0	3.53	32.2	992	243.3	232.2	74	-2.7 +-	0.5	3.3 +-	0.7	0
3909	1.7	0.4	2.29	10.4	943	183.6	167.6	80	-4.9 +-	2.6	8.8 +-	1.7	0
4278	7.2	1.8	3.13	10.2	558	192.8	173.5	173			-2.9 +-	0.6	2
4806	1.2	0.3	2.33	72.1	1950	351.6	328.1	148	3.2 +-	1.4			2
5452	3.1	9.3	1.94	23.3	1340	220.8	203.0	38	-4.7 +-	2.1	17.4 +-	2.3	2
5459	9.2	3.0	3.58	37.3	1108	287.6	269.0	131	-8.1 +-	3.1	3.1 +-	0.9	1
5986	5.4	6.9	5.29	27.1	624	265.6	243.1	38	4.6 +-	0.7	22.4 +-	3.0	2
6126	3.7	11.6	3.07	10.3	701	198.7	184.8	166	-18.6 +-	1.1	26.5 +-	1.1	2
6283	2.9	0.4	3.48	15.1	715	214.9	201.8	8	6.1 +-	1.8	-3.5 +-	1.3	0
6964	5.4	3.2	2.83	19.0	906	274.4	262.7	65	20.2 +-	1.3	-15.7 +-	0.8	1
7089	13.4	15.1	2.13	5.8	782	158.3	141.7	36					2
7090	9.8	10.2	3.82	12.9	575	341.3	312.8	20					2
7125	5.6	9.5	3.70	34.2	1079	161.9	147.6	83			5.9 +-	0.6	2
7151	8.6	0.4	3.26	1.9	265	167.6	157.0	102					1
7321	2.4	1.5	3.23	2.4	407	230.2	220.9	82			-2.6 +-	0.8	0
7483	2.5	2.7	2.47	21.1	1247	227.1	198.8	108					2
7774	5.2	1.9	2.72	3.4	522	203.3	190.3	102	15.2 +-	2.5	-32.8 +-	2.7	1
8246	3.9	1.8	2.19	4.8	809	145.4	134.6	83			-17.0 +-	2.5	2
8286	2.1	0.6	4.25	5.4	406	188.9	179.0	28	-2.3 +-	0.5	4.6 +-	1.0	0
8396	7.4	4.9	1.78	9.8	951	173.3	142.2	128			23.9 +-	6.7	2
8550	1.9	3.6	2.85	2.0	359	135.4	124.4	167	2.5 +-	1.0			1
8709	4.4	9.5	3.46	174.2	2410	416.5	399.1	148					2
8711	3.9	0.7	3.10	53.8	1506	330.5	311.2	151	-16.4 +-	2.7	8.7 +-	1.7	0
9242	6.8	2.9	3.13	31.0	1439	208.5	195.1	72					1
