#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:21:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:21:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/370/765/table1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_370_765_table1:
#Name: J/A+A/370/765/table1
#Title: All galaxies in the UMa cluster brighter than Mb,i(B)=-16.8 and more inclined than 45 degrees
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A2)	Samples (G1)	[ucd=meta.code]
#Column	Name	(A7)	Galaxy name (U for UGC, N for NGC)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[fi] Note on the galaxy (2)	[ucd=meta.note]
#Column	RAB1950	(A10)	Right ascension (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	MType	(A4)	Morphological type	[ucd=src.morph.type]
#Column	D25(B)	(F5.2)	Observed major axis diameter of the 25th mag/arcsec^2^ blue isophote	[ucd=phys.angSize]
#Column	PA	(I3)	Position angle of the receding side of the galaxy (3)	[ucd=pos.posAng]
#Column	1-b/a	(F5.2)	Observed ellipticity of the optical galaxy image	[ucd=src.ellipticity;obs.image]
#Column	iopt	(I2)	Inclination as derived from the observed axis ratio (b/a).	[ucd=src.orbital.inclination]
#Column	iadopt	(I2)	Adopted inclination angle as derived from several methods	[ucd=src.orbital.inclination]
#Column	e_iadopt	(I1)	rms uncertainty on iadopt	[ucd=stat.error]
#Column	SB	(A3)	Low (LSB) or high surface brightness (HSB) galaxy, according to Paper II	[ucd=meta.code;phot.mag.sb]
#Column	[BH]	(F5.2)	Galactic extinction in the B-band according to Burstein & Heiles (1984ApJS...54...33B)	[ucd=phys.absorption]
#Column	[SFD]	(F5.2)	Galactic extinction in the B-band according to Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
recno	Sample	Name	n_Name	RAB1950	DEB1950	GLON	GLAT	MType	D25(B)	PA	1-b/a	iopt	iadopt	e_iadopt	SB	[BH]	[SFD]	_RA.icrs	_DE.icrs
 	 	 	 	"h:m:s"	"d:m:s"	deg	deg	 	arcmin	deg	 	deg	deg	deg	 	mag	mag	"h:m:s"	"d:m:s"
--------	--	-------	-	----------	---------	------	-----	----	-----	---	-----	--	--	-	---	-----	-----	----------	---------
       1	FH	U6399  	 	11 20 35.9	+51 10 09	152.08	60.96	Sm  	 2.40	140	 0.72	79	75	2	LSB	 0.00	 0.07	11 23 23.3	+50 53 41
       2	FH	U6446  	 	11 23 52.9	+54 01 21	147.56	59.14	Sd  	 2.27	200	 0.38	54	51	3	LSB	 0.00	 0.07	11 26 40.5	+53 44 50
       3	FH	N3726  	 	11 30 38.7	+47 18 20	155.38	64.88	SBc 	 5.83	194	 0.38	54	53	2	HSB	 0.01	 0.07	11 33 21.2	+47 01 45
       4	FH	N3769  	 	11 35 02.8	+48 10 10	152.72	64.75	SBb 	 2.97	150	 0.69	76	70	2	HSB	 0.01	 0.10	11 37 44.2	+47 53 33
       5	FH	U6667  	 	11 39 45.3	+51 52 32	146.27	62.29	Scd 	 3.43	 88	 0.88	90	89	1	LSB	 0.00	 0.07	11 42 26.0	+51 35 53
       6	FH	N3877  	 	11 43 29.3	+47 46 21	150.72	65.96	Sc  	 5.40	 36	 0.78	84	76	1	HSB	 0.01	 0.10	11 46 07.9	+47 29 41
       7	FH	N3893  	 	11 46 00.2	+48 59 20	148.15	65.23	Sc  	 3.93	352	 0.33	49	49	2	HSB	 0.02	 0.09	11 48 38.2	+48 42 40
       8	FH	N3917  	 	11 48 07.7	+52 06 09	143.65	62.79	Scd 	 4.67	257	 0.76	82	79	2	LSB	 0.01	 0.09	11 50 45.4	+51 49 28
       9	FH	N3949  	 	11 51 05.5	+48 08 14	147.63	66.40	Sbc 	 2.90	297	 0.38	54	55	2	HSB	 0.03	 0.09	11 53 41.7	+47 51 33
      10	FH	N3953  	 	11 51 12.4	+52 36 18	142.21	62.59	SBbc	 6.10	 13	 0.50	62	62	1	HSB	 0.01	 0.13	11 53 49.0	+52 19 37
      11	FH	N3972  	 	11 53 09.0	+55 35 56	138.85	60.06	Sbc 	 3.43	298	 0.72	79	77	1	HSB	 0.00	 0.06	11 55 45.1	+55 19 14
      12	FH	U6917  	 	11 53 53.1	+50 42 27	143.46	64.45	SBd 	 3.17	123	 0.46	59	56	2	LSB	 0.03	 0.12	11 56 28.6	+50 25 45
      13	FH	U6923  	 	11 54 14.4	+53 26 19	140.51	62.06	Sdm 	 1.97	354	 0.58	68	65	2	LSB	 0.00	 0.12	11 56 49.9	+53 09 37
      14	FH	U6930  	i	11 54 42.3	+49 33 41	144.54	65.51	SBd 	 3.00	 39	 0.14	32	31	3	LSB	 0.05	 0.13	11 57 17.4	+49 16 59
      15	FH	N3992  	 	11 55 00.9	+53 39 11	140.09	61.92	SBbc	 6.93	248	 0.44	58	56	2	HSB	 0.01	 0.13	11 57 36.1	+53 22 29
      16	FH	U6940  	f	11 55 12.4	+53 30 46	140.17	62.06	Scd 	 0.83	135	 0.72	79	75	3	LSB	 0.00	 0.12	11 57 47.5	+53 14 04
      17	FH	U6962  	i	11 55 59.5	+43 00 44	154.08	71.05	SBcd	 2.33	179	 0.20	38	37	3	HSB	 0.00	 0.09	11 58 34.0	+42 44 02
      18	FH	N4010  	 	11 56 02.0	+47 32 16	146.68	67.36	SBd 	 4.63	 65	 0.88	90	89	1	LSB	 0.00	 0.11	11 58 36.6	+47 15 34
      19	FH	U6969  	 	11 56 12.9	+53 42 11	139.70	61.96	Sm  	 1.50	330	 0.69	76	76	2	LSB	 0.01	 0.13	11 58 47.6	+53 25 29
      20	FH	U6973  	 	11 56 17.8	+43 00 03	153.97	71.10	Sab 	 2.67	 40	 0.61	70	71	3	HSB	 0.00	 0.09	11 58 52.2	+42 43 21
