#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T03:10:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T03:10:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/896/70/fig2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18960070
#Name: J/ApJ/896/70
#Title: Radial acceleration relation in CLASH galaxy clusters (Tian+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/896/70	    IVOID of underlying data collection
#INFO	creator=Tian Y.	    First author or institution
#INFO	cites=bibcode:2020ApJ...896...70T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/896/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18960070	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_896_70_fig2:
#Name: J/ApJ/896/70/fig2
#Title: Radial acceleration relation (RAR) in 20 CLASH galaxy clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	AName	(A8)	Abbreviated cluster name	[ucd=meta.id]
#Column	Rad	(F5.1)	[14.3/600] Spherical radius (r)	[ucd=phys.size.radius]
#Column	log(gbar)	(F7.3)	[-10.9/-9.6] Log baryonic mass acceleration, g_bar_(r)	[ucd=phys.mass]
#Column	log(gtot)	(F7.3)	[-10.02/-9.1] Log total acceleration, g_tot_(r)	[ucd=phys.acceleration;arith.zp]
#Column	e_log(gbar)	(F6.3)	[0.001/0.05] Standard error in log(gbar)	[ucd=stat.error]
#Column	e_log(gtot)	(F6.3)	[0.04/0.3] Standard error in log(gtot)	[ucd=stat.error]
recno	AName	Rad	log(gbar)	log(gtot)	e_log(gbar)	e_log(gtot)
		kpc	[m/s2]	[m/s2]	[m/s2]	[m/s2]
--------	--------	-----	-------	-------	------	------
       1	A209    	 14.3	-10.015	 -9.579	 0.043	 0.089
       2	A383    	 14.3	 -9.910	 -9.288	 0.039	 0.128
       3	A611    	 22.2	-10.136	 -9.381	 0.036	 0.124
       4	A2261   	 23.6	 -9.793	 -9.364	 0.040	 0.097
       5	MACS0329	 22.2	 -9.871	 -9.145	 0.032	 0.112
       6	MACS0416	 14.3	-10.670	 -9.541	 0.043	 0.096
       7	MACS0429	 17.2	 -9.743	 -9.328	 0.036	 0.148
       8	MACS0647	 14.3	-10.007	 -9.279	 0.043	 0.156
       9	MACS0717	 14.3	-10.184	 -9.557	 0.043	 0.078
      10	MACS0744	 14.3	 -9.668	 -9.283	 0.043	 0.139
      11	MACS1115	 16.2	-10.291	 -9.479	 0.019	 0.106
      12	MACS1149	 14.3	-10.224	 -9.509	 0.043	 0.107
      13	MACS1206	 14.3	-10.542	 -9.328	 0.043	 0.130
      14	MACS1720	 23.6	 -9.948	 -9.342	 0.032	 0.128
      15	MACS1931	 14.3	 -9.997	 -9.308	 0.039	 0.175
      16	MS2137  	 14.3	 -9.921	 -9.567	 0.036	 0.171
      17	RXJ1347 	 14.3	 -9.899	 -9.304	 0.031	 0.112
      18	RXJ1532 	 14.3	-10.126	 -9.334	 0.039	 0.267
      19	RXJ2129 	 14.3	-10.133	 -9.344	 0.035	 0.125
      20	RXJ2248 	 30.3	-10.209	 -9.387	 0.033	 0.145
      21	A209    	100.0	-10.682	 -9.636	 0.013	 0.077
      22	A383    	100.0	-10.489	 -9.434	 0.007	 0.089
      23	A611    	100.0	-10.504	 -9.454	 0.005	 0.100
      24	A2261   	100.0	-10.423	 -9.426	 0.007	 0.083
      25	MACS0329	100.0	-10.267	 -9.296	 0.005	 0.084
      26	MACS0429	100.0	-10.293	 -9.446	 0.008	 0.108
      27	MACS0647	100.0	-10.350	 -9.379	 0.010	 0.120
      28	MACS0717	100.0	-10.769	 -9.593	 0.007	 0.071
      29	MACS0744	100.0	-10.295	 -9.364	 0.008	 0.111
      30	MACS1115	100.0	-10.256	 -9.542	 0.005	 0.091
      31	MACS1206	100.0	-10.350	 -9.407	 0.008	 0.106
      32	MACS1720	100.0	-10.371	 -9.423	 0.005	 0.102
      33	MACS1931	100.0	-10.171	 -9.409	 0.002	 0.127
      34	MS2137  	100.0	-10.254	 -9.625	 0.002	 0.136
