card_id,data_readiness,theory_health,novelty,manifest_id,manifest_status,response_status
Q00_GR_COHERENT_SPIN2_CONTROL,3,4,0,M01_GWOSC_DISPERSION,EXECUTABLE_MANIFEST_FROZEN_PAYLOAD_UNOPENED,NOT_OPENED_NOT_SCORED
Q01_MASSIVE_SPIN2,3,2,1,M01_GWOSC_DISPERSION,EXECUTABLE_MANIFEST_FROZEN_PAYLOAD_UNOPENED,NOT_OPENED_NOT_SCORED
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,3,2,2,M02_GWOSC_POLARIZATION,EXECUTABLE_MANIFEST_FROZEN_PAYLOAD_UNOPENED,NOT_OPENED_NOT_SCORED
Q03_DISCRETE_GRAVITY_IMPULSES,1,1,3,M09_HOLOMETER_UNSUITABLE_TIME_CUMULANTS,SOURCE_BLOCKED,AGGREGATE_UNSUITABLE_FOR_DECLARED_TEST
Q04_CLASSICAL_STOCHASTIC_METRIC,1,2,1,M10_STOCHASTIC_SOURCE_BLOCKED,SOURCE_BLOCKED,NONIDENTIFYING_FOR_ONTOLOGY
Q05_SEMICLASSICAL_EXPECTATION_SOURCE,1,1,1,M08_PAGE_GEILKER_SOURCE_BLOCKED,SOURCE_BLOCKED,PUBLISHED_RESULT_ONLY
Q06_GRAVITATIONAL_COLLAPSE_DECOHERENCE,2,1,1,M03_GRAN_SASSO_SOURCE_BLOCKED,SOURCE_BLOCKED,NOT_OPENED_NOT_SCORED
Q07_ENTANGLEMENT_MEDIATED_GRAVITY,0,3,1,M04_BMV_SOURCE_BLOCKED,SOURCE_BLOCKED,NO_GRAVITY_RESPONSE_EXISTS
Q08_EMERGENT_SUPERFLUID_MEDIUM,1,2,1,M05_SPARC_XCOP_SOURCE_BLOCKED,SOURCE_BLOCKED,NOT_OPENED_NOT_SCORED
Q09_DISPERSIVE_GRAVITY_WAVE_PACKET,3,3,1,M01_GWOSC_DISPERSION,EXECUTABLE_MANIFEST_FROZEN_PAYLOAD_UNOPENED,NOT_OPENED_NOT_SCORED
Q10_POLARIZATION_BIREFRINGENT_GRAVITY,3,3,1,M02_GWOSC_POLARIZATION,EXECUTABLE_MANIFEST_FROZEN_PAYLOAD_UNOPENED,NOT_OPENED_NOT_SCORED
Q11_FINITE_OCCUPATION_COHERENCE,1,3,2,M09_HOLOMETER_UNSUITABLE_TIME_CUMULANTS,SOURCE_BLOCKED,AGGREGATE_UNSUITABLE_FOR_DECLARED_TEST
Q12_QUANTIZED_TIMEWELL_MEMORY_MODE,1,2,3,M06_MEMORY_SOURCE_BLOCKED,SOURCE_BLOCKED,NOT_OPENED_NOT_SCORED
Q13_QUANTIZED_CAPTURE_JUMP_MEMORY,1,1,3,M06_MEMORY_SOURCE_BLOCKED,SOURCE_BLOCKED,NOT_OPENED_NOT_SCORED
Q14_POSTQUANTUM_CLASSICAL_QUANTUM_GRAVITY,1,3,1,M07_CQ_DIFFUSION_SOURCE_BLOCKED,SOURCE_BLOCKED,NOT_OPENED_NOT_SCORED
Q15_KTM_CLASSICAL_CHANNEL_BOUNDARY,0,3,1,M11_THEOREM_BOUNDARY_NO_DATA,THEOREM_ONLY,NOT_APPLICABLE
