#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/501/2279&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75012279
#Name: J/MNRAS/501/2279
#Title: Stars in the Sagittarius stream (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.501.2279V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/501/2279	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75012279	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-06-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_501_2279_catalog:
#Name: J/MNRAS/501/2279/catalog
#Title: Catalogue of stars in the Sagittarius stream
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Gaia DR2 parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Error on plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F5.2)	Gaia DR2 G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BPmag	(F5.2)	Gaia DR2 BP-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Jmag	(F5.2)	2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	2MASS H-band magnitude	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F5.2)	2MASS K-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	E(B-V)	(F5.2)	Reddening from Schlegel, Finkbeiner & Davis (1998ApJ...500..525S)	[ucd=phot.color.excess]
#Column	Dist	(F5.2)	Estimate of the distance from nearby RR Lyrae stars	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	Error on Dist	[ucd=stat.error]
#Column	vLOS	(F7.2)	? Heliocentric line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_vLOS	(F5.2)	? Error on vLOS	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Fe/H abundance ratio	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_[Fe/H]	(F5.2)	? Error on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Ref	(I1)	? Reference for the spectroscopic data (1)	[ucd=meta.ref;pos.frame]
#Column	Lambda	(F8.3)	{Lambda} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	Beta	(F7.3)	{Beta} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
recno	RAJ2000	DEJ2000	plx	e_plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	BPmag	Jmag	Hmag	Kmag	E(B-V)	Dist	e_Dist	vLOS	e_vLOS	[Fe/H]	e_[Fe/H]	Ref	Lambda	Beta	SimbadName
 	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	mag	mag	mag	kpc	kpc	km/s	km/s	[-]	[-]	 	deg	deg	
--------	--------	--------	------	------	------	------	------	------	-----	-----	-----	-----	-----	-----	-----	-----	-------	-----	-----	-----	-	--------	-------	----------------------------
       1	000.0357	-10.4442	-0.075	 0.099	-1.627	 0.125	-3.325	 0.093	16.13	 1.32	14.46	13.80	13.73	 0.04	21.03	 1.47	       	     	     	     	0	 -72.652	 -6.886	Gaia DR2 2422822873087610624
       2	000.0628	-23.6540	 0.050	 0.048	-1.148	 0.072	-2.844	 0.053	15.04	 1.40	13.26	12.62	12.48	 0.02	23.63	 3.93	       	     	     	     	0	 -67.073	  5.093	Gaia DR2 2339739994921350912
       3	000.0737	-23.3191	 0.045	 0.049	-2.548	 0.105	-4.186	 0.058	15.55	 1.25	13.98	13.38	13.28	 0.02	22.73	 4.04	       	     	     	     	0	 -67.225	  4.794	Gaia DR2 2339854378490321280
       4	000.0851	-19.3309	 0.022	 0.045	-1.882	 0.084	-3.660	 0.049	15.56	 1.47	13.75	13.05	12.92	 0.02	22.82	 0.58	       	     	     	     	0	 -68.925	  1.186	Gaia DR2 2413932084626466432
       5	000.1081	-13.8471	 0.098	 0.043	-1.129	 0.075	-3.148	 0.046	14.97	 1.50	13.13	12.38	12.27	 0.04	22.35	 3.30	       	     	     	     	0	 -71.266	 -3.774	Gaia DR2 2420742906325713536
       6	000.1258	-32.0337	 0.078	 0.115	-1.815	 0.185	-3.277	 0.128	17.05	 1.20	15.70	15.05	14.99	 0.01	24.56	 1.32	       	     	     	     	0	 -63.489	 12.690	Gaia DR2 2314347731654668928
       7	000.1712	-11.8469	-0.007	 0.063	-1.196	 0.129	-2.597	 0.068	15.44	 1.54	13.53	12.78	12.67	 0.03	21.83	 2.66	       	     	     	     	0	 -72.173	 -5.559	Gaia DR2 2422382548744196992
       8	000.2071	-15.3078	-0.013	 0.074	-1.255	 0.137	-2.879	 0.088	16.33	 1.26	14.71	14.06	13.99	 0.03	22.11	 4.36	       	     	     	     	0	 -70.733	 -2.411	Gaia DR2 2416056890847075328
       9	000.2127	+00.1796	-0.115	 0.059	-1.262	 0.087	-3.108	 0.051	15.37	 1.40	13.62	12.94	12.85	 0.03	21.25	 2.27	       	     	     	     	0	 -77.510	-16.389	Gaia DR2 2546043938621960448
      10	000.2602	-07.4022	-0.079	 0.082	-1.389	 0.153	-2.902	 0.079	15.92	 1.22	14.39	13.81	13.68	 0.04	19.33	 2.21	       	     	     	     	0	 -74.168	 -9.541	Gaia DR2 2441870194051631488
      11	000.2645	-31.1045	 0.012	 0.041	-1.660	 0.057	-3.346	 0.047	14.32	 1.58	12.34	11.61	11.45	 0.02	24.56	 1.32	       	     	     	     	0	 -64.010	 11.904	Gaia DR2 2314720504752083968
      12	000.2651	-07.5385	 0.049	 0.052	-2.009	 0.097	-3.741	 0.052	14.91	 1.42	13.10	12.46	12.31	 0.03	19.33	 2.21	       	     	     	     	0	 -74.114	 -9.416	Gaia DR2 2441489797388496896
      13	000.3005	-20.3161	 0.035	 0.028	-2.178	 0.061	-4.009	 0.032	13.63	 1.81	11.42	10.63	10.42	 0.02	22.73	 0.45	       	     	     	     	0	 -68.691	  2.164	Gaia DR2 2341767872320458752
      14	000.3010	-19.1666	-0.059	 0.119	-1.632	 0.190	-2.984	 0.144	17.25	 1.21	15.66	15.03	14.96	 0.02	22.82	 0.59	       	     	     	     	0	 -69.179	  1.123	Gaia DR2 2413941048221929728
      15	000.3192	-24.4467	-0.111	 0.165	-0.997	 0.222	-3.145	 0.251	17.58	 1.17	15.98	15.46	15.40	 0.02	23.63	 3.93	       	     	     	     	0	 -66.947	  5.910	Gaia DR2 2336625933177493376
      16	000.3192	-27.7820	-0.167	 0.145	-1.321	 0.222	-3.011	 0.161	17.59	 1.04	16.32	15.62	15.52	 0.02	24.96	 0.31	       	     	     	     	0	 -65.510	  8.926	Gaia DR2 2333353550351310208
      17	000.3515	-24.1496	-0.064	 0.036	-2.383	 0.056	-4.305	 0.041	13.63	 1.73	11.51	10.72	10.56	 0.02	23.63	 3.93	       	     	     	     	0	 -67.101	  5.654	Gaia DR2 2339657359750588032
