#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/267/table1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220267
#Name: J/ApJ/922/267
#Title: Dwarf galaxies photometry & structures (Carlsten+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..267C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/267	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220267	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-12-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_267_table1:
#Name: J/ApJ/922/267/table1
#Title: ELVES host information
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Host	(A7)	Host name	[ucd=meta.id;meta.main]
#Column	Dist	(F5.2)	[0/11.9] Distance	[ucd=pos.distance]
#Column	r_Dist	(a7)	Distance reference(s) (1)	[ucd=meta.ref;pos.frame]
#Column	Nsat	(I2)	[0/29] Number of satellites (2)	[ucd=meta.number]
#Column	Nun	(I2)	[0/16] Number of unconfirmed satellites (2)	[ucd=meta.number]
#Column	Rcov	(I3)	[150/300] Coverage radius	[ucd=phys.size.radius]
#Column	Det	(a19)	Imaging data used for dwarf detection (3)	[ucd=meta.bib]
#Column	Conf	(a23)	Candidate confirmation (3)	[ucd=meta.bib]
#Column	Phot	(a19)	Photometry used (3)	[ucd=meta.bib]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Host	Dist	r_Dist	Nsat	Nun	Rcov	Det	Conf	Phot	SimbadName	NED	LEDA	_RA	_DE
 	 	Mpc	 	 	 	kpc	 	 	 	 	 	 	deg	deg
--------	-------	-----	-------	--	--	---	-------------------	-----------------------	-------------------	----------------	---	----	---------	---------
       1	MW     	 0.00	       	 7	 0	300	                   	                       	M12                	                	NED	LEDA	         	
       2	M31    	 0.78	CF     	13	 0	300	                   	                       	M12                	M31             	NED	LEDA	010.68471	+41.26875
       3	NGC1023	10.40	NED    	12	 3	300	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	NGC1023         	NED	LEDA	040.10006	+39.06324
       4	NGC2903	 9.00	K13,T19	 6	 1	300	CFHT/MegaCam,DECaLS	CFHT/MegaCam,Gemini    	CFHT/MegaCam,DECaLS	NGC2903         	NED	LEDA	143.04213	+21.50083
       5	NGC4258	 7.20	H13    	 5	 0	150	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	NGC4258         	NED	LEDA	184.74008	+47.30372
       6	NGC4565	11.90	RS11   	 3	 5	150	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	NGC4565         	NED	LEDA	189.08668	+25.98739
       7	NGC4631	 7.40	RS11   	10	 0	200	DECaLS             	CFHT/MegaCam,Gemini    	CFHT/MegaCam,DECaLS	NGC4631         	NED	LEDA	190.53337	+32.54151
       8	M51    	 8.58	McQ16a 	 0	 2	150	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	M51             	NED	LEDA	202.46957	+47.19526
       9	M104   	 9.55	McQ16b 	11	 2	150	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	M104            	NED	LEDA	189.99763	-11.62305
      10	NGC891 	 9.12	CF     	 3	 5	200	CFHT/MegaCam       	CFHT/MegaCam           	CFHT/MegaCam       	NGC891          	NED	LEDA	035.63711	+42.34832
      11	NGC6744	 8.95	CF     	 5	 6	200	DECam              	DECam                  	DECam              	NGC6744         	NED	LEDA	287.44222	-63.85747
      12	M101   	 6.50	Beat19 	 7	 0	300	DECaLS             	B19,Subaru/HSC         	CFHT/MegaCam,DECaLS	M101            	NED	LEDA	210.80243	+54.34875
      13	M94    	 4.20	RS11   	 3	 3	200	DECaLS             	S18                    	DECaLS             	M94             	NED	LEDA	192.72114	+41.12025
      14	NGC253 	 3.56	CF     	 3	 0	300	DECaLS             	DECaLS                 	DECaLS             	NGC253          	NED	LEDA	011.88806	-25.28880
      15	M64    	 5.30	CF     	 8	 2	300	DECaLS             	DECaLS,Subaru/HSC      	DECaLS             	M64             	NED	LEDA	194.18207	+21.68266
      16	NGC5055	 8.87	McQ17  	 8	 0	200	DECaLS             	Subaru/HSC             	DECaLS             	NGC5055         	NED	LEDA	198.95531	+42.02937
      17	NGC4517	 8.34	K14    	 7	 0	300	DECaLS             	Subaru/HSC             	DECaLS             	NGC4517         	NED	LEDA	188.18994	+00.11504
      18	NGC3627	10.50	Lee13  	11	 5	200	DECaLS             	CFHT/MegaCam,Subaru/HSC	DECaLS             	NGC3627         	NED	LEDA	170.06260	+12.99150
      19	NGC3379	10.70	M18    	29	16	300	DECaLS             	CFHT/MegaCam,Subaru/HSC	DECaLS             	NGC3379         	NED	LEDA	161.95667	+12.58163
      20	M81    	 3.61	CF     	19	 0	300	C13                	C13                    	DECaLS             	M81             	NED	LEDA	148.88822	+69.06530
      21	CENA   	 3.66	CF     	15	 0	200	M19,C19            	M19,C19                	DECam,M17          	NAME Centaurus A	NED	LEDA	201.36506	-43.01911
      22	NGC628 	 9.77	CF     	13	 1	300	DECaLS             	Gemini                 	DECaLS             	NGC628          	NED	LEDA	024.17394	+15.78364
      23	NGC3115	10.20	Pea15  	14	 4	300	DECaLS             	Gemini                 	DECaLS             	NGC3115         	NED	LEDA	151.30803	-07.71861
      24	NGC5236	 4.70	CF     	11	 0	300	M15                	M18/DECam              	DECam              	NGC5236         	NED	LEDA	204.25383	-29.86576

