#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/144/4/refs&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51440004
#Name: J/AJ/144/4
#Title: Properties of dwarf galaxies in the Local Group (McConnachie+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	creator=McConnachie A.W.	    First author or institution
#INFO	cites=bibcode:2012AJ....144....4M	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/144/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51440004	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_144_4_refs:
#Name: J/AJ/144/4/refs
#Title: References
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(A3)	Reference code	[ucd=meta.note]
#Column	BibCode	(A19)	Bibliographic code	[ucd=meta.bib.bibcode]
#Column	Aut	(a38)	Author's name	[ucd=meta.bib.author]
#Column	Com	(a257)	Comments	[ucd=meta.note]
recno	Ref	BibCode	Aut	Com
 	 	 	 	
--------	---	-------------------	--------------------------------------	-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       1	1  	2006MNRAS.366..865B	Bellazzini et al.                     	
       2	2  	2005MNRAS.362..906M	Martin et al.                         	
       3	3  	2004MNRAS.353..874M	Monaco et al.                         	
       4	4  	1994Natur.370..194I	Ibata et al.                          	
       5	5  	2007ApJ...654..897B	Belokurov et al.                      	
       6	6  	2011ApJ...733...46S	Simon et al.                          	
       7	7  	2006ApJ...650L..41Z	Zucker et al.                         	
       8	8  	2007ApJ...670..313S	Simon & Geha                          	
       9	9  	2008ApJ...688..245W	Walsh et al.                          	
      10	10 	2009ApJ...690..453K	Koch et al.                           	
      11	11 	2009MNRAS.397.1748B	Belokurov et al.                      	
      12	12 	2006astro.ph..3486W	Willman et al.                        	
      13	13 	2007MNRAS.380..281M	Martin et al.                         	
      14	14 	2009ApJ...693.1118G	Grillmair                             	
      15	15 	2009ApJ...702L...9C	Carlin et al.                         	
      16	16 	2003AJ....125.1309C	Clementini et al.                     	
      17	17 	2002AJ....124.2639V	van der Marel et al.                  	
      18	18 	1999AcA....49..201U	Udalski et al.                        	
      19	19 	2006AJ....131.2514H	Harris & Zaritsky                     	
      20	20 	2006ApJ...653L.109D	Dall'Ora et al.                       	
      21	21 	2004AJ....127..861B	Bonanos et al.                        	
      22	22 	2007ApJ...667L..53W	Walker et al.                         	
      23	23 	2002AJ....123.3199C	Carrera et al.                        	
      24	24 	2009ApJ...704.1274W	Walker et al.                         	
      25	25 	2008AJ....135.1993P	Pietrzynski et al.                    	
      26	26 	2009AJ....137.3100W	Walker et al.                         	
      27	27 	2009ApJ...703..692L	Lee et al.                            	
      28	28 	2008A&A...487..103O	Okamoto et al.                        	
      29	29 	2009AJ....138..459P	Pietrzynski et al.                    	
      30	30 	2007ApJ...668L..43C	Coleman et al.                        	
      31	31 	2009A&A...506.1147A	Aden et al.                           	
