#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/418/244&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74180244
#Name: J/MNRAS/418/244
#Title: SDSS-based Polar Ring Catalogue (Moiseev+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	creator=Moiseev A.V.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.418..244M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/418/244	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74180244	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_418_244_table1:
#Name: J/MNRAS/418/244/table1
#Title: Catalogue of galaxies with polar rings (PRG) candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Type	(A1)	[BGRP] Type of candidate: B=Best, G=Good, R=Related ojbect, P=possible face-on ring	[ucd=meta.code]
#Column	Seq	(I3)	SPRC (SDSS-based Polar Ring Catalogue) sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	SDSS r magnitude	[ucd=phot.mag;em.opt.R]
#Column	u_rmag	(A1)	Uncertainty flag on rmag	[ucd=meta.code.error]
#Column	cz	(I5)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	OName	(a18)	Other name(s)	[ucd=meta.id;meta.main]
#Column	Sloan	(a5)	Display the SDSS data for this galaxy	[ucd=meta.ref.url]
#Column	Zoo	(A3)	Display the Morphology as classified in the Galaxy Zoo (Lintott et al. 2011, Cat. J/MNRAS/410/166)	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7, Cat. II/294	[ucd=meta.ref.url]
recno	Type	Seq	RAJ2000	DEJ2000	rmag	u_rmag	cz	OName	Sloan	Zoo	DR7
 	 	 	"h:m:s"	"d:m:s"	mag	 	km/s	 	 	 	
--------	-	---	-----------	-----------	-----	-	-----	------------------	-----	---	---
       1	B	  1	00 09 11.58	-00 36 54.7	15.59	 	21960	                  	Sloan	Zoo	DR7
       2	B	  2	00 26 41.51	+25 51 01.7	14.37	 	     	                  	Sloan	Zoo	DR7
       3	B	  3	00 41 03.44	-09 56 28.1	16.11	 	11063	                  	Sloan	Zoo	DR7
       4	B	  4	02 42 58.43	-00 57 09.2	16.96	 	12888	                  	Sloan	Zoo	DR7
       5	B	  5	03 44 26.15	-05 42 09.6	16.93	 	 8364	                  	Sloan	Zoo	DR7
       6	B	  6	07 50 41.63	+50 57 40.1	16.94	 	 5586	                  	Sloan	Zoo	DR7
       7	B	  7	07 52 34.32	+29 20 49.7	16.95	 	18032	                  	Sloan	Zoo	DR7
       8	B	  8	07 55 39.63	+18 35 27.3	17.10	 	     	                  	Sloan	Zoo	DR7
       9	B	  9	08 12 57.83	+22 25 30.0	17.18	 	43402	                  	Sloan	Zoo	DR7
      10	B	 10	08 20 38.19	+15 36 59.8	16.29	 	12736	                  	Sloan	Zoo	DR7
      11	B	 11	08 48 32.01	+32 20 12.5	15.68	 	19733	                  	Sloan	Zoo	DR7
      12	B	 12	09 01 50.14	+52 12 22.6	17.16	 	     	                  	Sloan	Zoo	DR7
      13	B	 13	09 14 53.66	+49 38 24.0	15.37	 	 9521	                  	Sloan	Zoo	DR7
      14	B	 14	09 18 15.97	+20 22 05.3	14.73	 	 9548	CGCG 121-053      	Sloan	Zoo	DR7
      15	B	 15	09 36 34.63	+21 13 57.8	14.43	 	10281	                  	Sloan	Zoo	DR7
      16	B	 16	09 42 07.35	+36 24 17.2	16.95	 	18028	                  	Sloan	Zoo	DR7
      17	B	 17	09 59 11.85	+16 28 41.5	14.92	 	 7914	                  	Sloan	Zoo	DR7
      18	B	 18	10 08 42.82	+14 22 02.1	17.25	 	24538	                  	Sloan	Zoo	DR7
      19	B	 19	10 17 17.50	+41 05 57.7	17.39	 	31524	                  	Sloan	Zoo	DR7
      20	B	 20	10 26 00.41	+04 14 33.0	17.84	 	22287	                  	Sloan	Zoo	DR7
      21	B	 21	10 28 58.56	+31 33 42.2	17.15	 	24353	                  	Sloan	Zoo	DR7
      22	B	 22	10 41 55.66	+07 45 13.9	17.02	 	47932	                  	Sloan	Zoo	DR7
      23	B	 23	10 46 23.65	+06 37 10.1	15.64	 	 8330	                  	Sloan	Zoo	DR7
      24	B	 24	11 16 25.11	+56 50 17.0	14.98	 	14133	                  	Sloan	Zoo	DR7
      25	B	 25	11 24 53.65	+21 53 48.9	17.16	 	21836	                  	Sloan	Zoo	DR7
      26	B	 26	11 40 05.50	+06 04 43.7	18.70	 	     	                  	Sloan	Zoo	DR7
      27	B	 27	11 44 44.02	+23 09 45.0	16.28	 	14508	                  	Sloan	Zoo	DR7
      28	B	 28	11 52 28.30	+05 00 44.7	16.80	 	23188	                  	Sloan	Zoo	DR7
      29	B	 29	11 53 33.56	+47 19 07.3	15.25	 	14208	                  	Sloan	Zoo	DR7
      30	B	 30	12 07 12.69	+07 39 44.5	17.48	 	22527	                  	Sloan	Zoo	DR7
      31	B	 31	12 17 11.51	+31 30 37.8	15.08	 	14913	                  	Sloan	Zoo	DR7
      32	B	 32	12 19 24.16	+64 37 54.0	16.65	 	10480	                  	Sloan	Zoo	DR7
      33	B	 33	12 19 30.57	+14 52 39.5	11.24	 	 1358	NGC 4262          	Sloan	Zoo	DR7
      34	B	 34	12 25 59.80	+15 42 08.5	17.43	 	24375	                  	Sloan	Zoo	DR7
      35	B	 35	12 44 14.99	+17 00 49.2	17.23	 	20256	                  	Sloan	Zoo	DR7
      36	B	 36	12 52 17.80	+12 06 30.3	17.71	 	     	                  	Sloan	Zoo	DR7
      37	B	 37	12 53 09.76	+49 48 32.5	16.38	 	20297	                  	Sloan	Zoo	DR7
      38	B	 38	13 08 14.92	+28 44 07.5	15.90	 	11688	                  	Sloan	Zoo	DR7
      39	B	 39	13 08 16.92	+45 22 35.2	16.01	 	 8792	                  	Sloan	Zoo	DR7
      40	B	 40	13 11 31.46	+36 16 54.6	17.38	 	 1126	NGC 5014          	Sloan	Zoo	DR7
      41	B	 41	13 25 33.22	+27 22 46.7	15.88	 	18320	                  	Sloan	Zoo	DR7
      42	B	 42	13 39 04.59	+02 09 49.5	15.04	 	 7041	UGC 08634         	Sloan	Zoo	DR7
      43	B	 43	13 41 34.83	+37 26 25.7	17.67	 	51352	                  	Sloan	Zoo	DR7
      44	B	 44	13 45 06.11	+27 30 14.3	16.38	 	34003	                  	Sloan	Zoo	DR7
      45	B	 45	13 52 39.38	+01 06 09.1	16.05	 	21461	                  	Sloan	Zoo	DR7
      46	B	 46	13 55 00.36	+24 10 05.7	17.68	 	38517	                  	Sloan	Zoo	DR7
      47	B	 47	13 59 41.70	+25 00 46.1	14.49	 	 9370	                  	Sloan	Zoo	DR7
      48	B	 48	14 14 20.82	+27 28 04.4	15.04	 	16788	                  	Sloan	Zoo	DR7
      49	B	 49	14 14 46.25	+30 25 17.8	15.98	 	20499	                  	Sloan	Zoo	DR7
      50	B	 50	14 15 59.68	+19 24 30.6	16.89	 	23293	                  	Sloan	Zoo	DR7
      51	B	 51	14 18 16.05	+20 31 34.3	17.17	 	22616	                  	Sloan	Zoo	DR7
      52	B	 52	14 18 25.60	+25 30 06.7	15.07	 	 4450	KUG 1416+257      	Sloan	Zoo	DR7
      53	B	 53	14 19 18.45	+01 50 49.1	17.73	 	24837	                  	Sloan	Zoo	DR7
      54	B	 54	14 39 48.62	+21 46 20.3	15.85	 	11805	                  	Sloan	Zoo	DR7
      55	B	 55	14 43 48.70	+16 09 29.7	16.98	 	25782	                  	Sloan	Zoo	DR7
      56	B	 56	15 11 14.09	+37 02 37.7	14.81	 	16499	MCG +06-33-026    	Sloan	Zoo	DR7
      57	B	 57	15 11 53.36	+27 43 46.7	16.16	 	21093	                  	Sloan	Zoo	DR7
      58	B	 58	15 38 01.95	+56 42 21.8	15.66	 	     	                  	Sloan	Zoo	DR7
      59	B	 59	15 38 45.54	+65 27 38.3	16.65	 	     	                  	Sloan	Zoo	DR7
      60	B	 60	15 47 24.32	+38 55 50.4	17.29	 	23519	                  	Sloan	Zoo	DR7
      61	B	 61	15 49 54.81	+09 49 43.1	14.81	 	13753	                  	Sloan	Zoo	DR7
      62	B	 62	15 51 26.66	+35 10 45.9	17.48	 	     	                  	Sloan	Zoo	DR7
      63	B	 63	15 51 28.30	+04 30 11.6	17.38	 	22184	                  	Sloan	Zoo	DR7
      64	B	 64	15 58 29.79	+57 05 51.5	17.60	 	     	                  	Sloan	Zoo	DR7
