#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/281/19&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22810019
#Name: J/ApJS/281/19
#Title: Stellar counterrotation in galaxies using MaNGA (Gasymov+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	creator=Gasymov D.	    First author or institution
#INFO	cites=bibcode:2025ApJS..281...19G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/281/19	    Dataset landing page
#INFO	publication_date=2026-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_281_19_table2:
#Name: J/ApJS/281/19/table2
#Title: reliable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[28/332.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-1.2/55.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.5/11.2] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.017/0.075] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk (inner, outer, undef or unclear)	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(a7)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
 	 	 	deg	deg	 	[Msun]	 	 	 	 	 	 	 	 	
--------	--------	-----	---------	---------	-----	------	--------	-------------------------	-------	-----------	-----------	-------	---	------	---
       1	1-42660 	d    	028.18504	+13.19254	SABab	10.270	 0.02617	2sigma                   	outer  	V  G       	LSB        	2      	  1	Simbad	NED
       2	1-42247 	d    	033.58805	+14.11853	Sab  	 9.712	 0.02897	2sigma  Srot, CR-GS      	inner  	V, G       	           	       	  0	Simbad	NED
       3	1-109056	d,b  	039.44659	+00.40509	SABa 	10.406	 0.04729	2sigma                   	outer  	V, P, G    	           	       	  1	Simbad	NED
       4	1-37062 	d    	041.84637	+00.05875	SAB0a	10.187	 0.02477	2sigma  CR-GS, Srot      	inner  	V, G       	T, Sh      	3      	  1	Simbad	NED
       5	1-37068 	     	042.19844	-00.10918	SAB0a	10.343	 0.02466	2sigma  CR-GS, NRR       	inner  	V, G       	           	       	  1	Simbad	NED
       6	1-37494 	d,b  	044.62546	+00.79422	S0a  	10.180	 0.04290	2sigma                   	outer  	V, P, G    	           	2      	  1	Simbad	NED
       7	1-37478 	d,b,*	044.84667	-01.16668	S0   	10.462	 0.02824	sigma-elong.             	inner  	V  G       	           	       	  1	Simbad	NED
       8	1-109275	d,b  	046.07067	+00.51989	SBa  	10.049	 0.04351	2sigma, CR-GS, Srot      	inner  	V, G       	B          	3      	  0	Simbad	NED
       9	1-38543 	d    	054.03242	-00.59644	S0a  	10.364	 0.02343	2sigma  CR-GS            	inner  	V, G       	E          	2      	  1	Simbad	NED
      10	1-297863	d,b,*	116.76728	+18.13833	SAB0 	10.247	 0.04521	2sigma  NRR              	inner  	Cl, G      	           	       	  0	Simbad	NED
      11	1-339061	d    	117.14434	+44.68827	SAB0a	10.316	 0.02034	2sigma  CR-GS, Srot      	inner  	Sh, G, O   	T, Sh      	1,2,4  	  1	Simbad	NED
      12	1-378729	d,b  	118.01730	+50.13082	S0   	10.200	 0.02395	Gas-mis, 2sigma          	undef  	Cl, G      	           	       	  0	Simbad	NED
      13	1-44047 	d    	119.64331	+41.57841	S0   	10.220	 0.04137	2sigma  Srot             	outer  	F, G, O    	           	1,2    	  1	Simbad	NED
      14	1-44483 	d    	119.83486	+42.05707	S0a  	10.123	 0.02450	2sigma  Srot             	outer  	Sh, G, O   	E, T       	1,2,3  	  1	Simbad	NED
      15	1-145913	     	120.22168	+28.13039	Edc  	 9.851	 0.01706	Srot  CR-GS, 2sigma?     	inner  	F, G, O    	           	       	  1	Simbad	NED
      16	1-382889	d    	120.62021	+20.51398	Sa   	10.368	 0.02862	2sigma  CR-GS, Srot      	inner  	Sh         	E          	       	  0	Simbad	NED
      17	1-121871	d,b  	120.76670	+36.26448	S0   	10.106	 0.04416	2sigma                   	inner  	F, G, O    	           	2      	  1	Simbad	NED
      18	1-76425 	     	131.82766	+02.76227	Sab  	10.609	 0.02847	2sigma  CR-GS            	outer  	Cl, G      	T, LSB     	       	  0	Simbad	NED
      19	1-386322	d    	134.21394	+27.27009	S0a  	 9.937	 0.01855	2sigma  Srot             	outer  	Sh, G, O   	E          	2      	  1	Simbad	NED
